State Name ,District Name,Urban Local Bodies (Municipality/Munipal Corparation/Nac,Block,Rural Local Bodies (Gp/Ward),Total_IGNDPS
Odisha ,Cuttack,NA,Narasinghpur,Total,144.93
Odisha ,Cuttack,NA,Niali,Sadhansa,1.75
Odisha ,Cuttack,NA,Niali,Kapasi,5.44
Odisha ,Cuttack,NA,Niali,Pahanga,7.88
Odisha ,Cuttack,NA,Niali,Binisipur,0.88
Odisha ,Cuttack,NA,Niali,Baharana,21.5
Odisha ,Cuttack,NA,Niali,Erancha,2.62
Odisha ,Cuttack,NA,Niali,Raniola,9.62
Odisha ,Cuttack,NA,Niali,Sagadailo,7.06
Odisha ,Cuttack,NA,Niali,Sithalo,9.72
Odisha ,Cuttack,NA,Niali,Pokharigoan,8.75
Odisha ,Cuttack,NA,Niali,Bilasuni,2.98
Odisha ,Cuttack,NA,Niali,Madhab,12.25
Odisha ,Cuttack,NA,Niali,Anlo,1.75
Odisha ,Cuttack,NA,Niali,Nuagoan,8.75
Odisha ,Cuttack,NA,Niali,Niali,1.23
Odisha ,Cuttack,NA,Niali,Ekaberuan,8.75
Odisha ,Cuttack,NA,Niali,Ratnapur,2.62
Odisha ,Cuttack,NA,Niali,Alana,7.24
Odisha ,Cuttack,NA,Niali,Nivarana,6.12
Odisha ,Cuttack,NA,Niali,Tihuda,7
Odisha ,Cuttack,NA,Niali,Jallarpur,28
Odisha ,Cuttack,NA,Niali,Total,161.91
Odisha ,Cuttack,NA,Nischinta Koili,Janardanpur,9.21
Odisha ,Cuttack,NA,Nischinta Koili,Kalamishiri,7.85
Odisha ,Cuttack,NA,Nischinta Koili,Santapur,3.93
Odisha ,Cuttack,NA,Nischinta Koili,Jamara,2.91
Odisha ,Cuttack,NA,Nischinta Koili,Orati,3.57
Odisha ,Cuttack,NA,Nischinta Koili,Narendrapur,8.21
Odisha ,Cuttack,NA,Nischinta Koili,Daudapur,19.42
Odisha ,Cuttack,NA,Nischinta Koili,Nagashpur,3.15
Odisha ,Cuttack,NA,Nischinta Koili,Bandhakatia,5.46
Odisha ,Cuttack,NA,Nischinta Koili,Buhalo,7.22
Odisha ,Cuttack,NA,Nischinta Koili,Nemalo,0.36
Odisha ,Cuttack,NA,Nischinta Koili,Kendupatna,4.28
Odisha ,Cuttack,NA,Nischinta Koili,Fugola,1.18
Odisha ,Cuttack,NA,Nischinta Koili,Asureswar,2.6
Odisha ,Cuttack,NA,Nischinta Koili,Nischintakoili,0.55
Odisha ,Cuttack,NA,Nischinta Koili,Tarota,1.78
Odisha ,Cuttack,NA,Nischinta Koili,Jiginipur,2.86
Odisha ,Cuttack,NA,Nischinta Koili,Kentala,4.28
Odisha ,Cuttack,NA,Nischinta Koili,Sukarpada,6.39
Odisha ,Cuttack,NA,Nischinta Koili,Ramakrushnapur,0.21
Odisha ,Cuttack,NA,Nischinta Koili,Balipada,6.43
Odisha ,Cuttack,NA,Nischinta Koili,Sirlo,2.86
Odisha ,Cuttack,NA,Nischinta Koili,Isani-Berhampur,4.57
Odisha ,Cuttack,NA,Nischinta Koili,Manpur,8.77
Odisha ,Cuttack,NA,Nischinta Koili,Sarapada,2.14
Odisha ,Cuttack,NA,Nischinta Koili,Katikata,5.59
Odisha ,Cuttack,NA,Nischinta Koili,Katarpada,4.28
Odisha ,Cuttack,NA,Nischinta Koili,Natakai,4.03
Odisha ,Cuttack,NA,Nischinta Koili,Kolanapur,2.14
Odisha ,Cuttack,NA,Nischinta Koili,Kerilo,2.86
Odisha ,Cuttack,NA,Nischinta Koili,Bandhupur,3.57
Odisha ,Cuttack,NA,Nischinta Koili,Palada,3.17
Odisha ,Cuttack,NA,Nischinta Koili,Tilakana,2.61
Odisha ,Cuttack,NA,Nischinta Koili,Barado,7.6
Odisha ,Cuttack,NA,Nischinta Koili,Jairampur,4.03
Odisha ,Cuttack,NA,Nischinta Koili,Jhedeswarpur,3.93
Odisha ,Cuttack,NA,Nischinta Koili,Badakhiri,0.22
Odisha ,Cuttack,NA,Nischinta Koili,Total,164.22
Odisha ,Cuttack,NA,Salepur,Barigol,0.14
Odisha ,Cuttack,NA,Salepur,Pikol,0.14
Odisha ,Cuttack,NA,Salepur,Sisua,2.83
Odisha ,Cuttack,NA,Salepur,Souri,0.13
Odisha ,Cuttack,NA,Salepur,Nandola,0.28
Odisha ,Cuttack,NA,Salepur,Malasasna,0.28
Odisha ,Cuttack,NA,Salepur,Tentola,0.98
Odisha ,Cuttack,NA,Salepur,Gopinathpur,0.14
Odisha ,Cuttack,NA,Salepur,Champati,0.28
Odisha ,Cuttack,NA,Salepur,Bahugram,0.2
Odisha ,Cuttack,NA,Salepur,Naranda,0.14
Odisha ,Cuttack,NA,Salepur,Ratilo,0.14
Odisha ,Cuttack,NA,Salepur,Trilochanpur,3.22
Odisha ,Cuttack,NA,Salepur,Gujarpur,0.01
Odisha ,Cuttack,NA,Salepur,Total,8.91
Odisha ,Cuttack,NA,Tangi Choudwar,Kayalpada,6.98
Odisha ,Cuttack,NA,Tangi Choudwar,Indranipatna,24.32
Odisha ,Cuttack,NA,Tangi Choudwar,Agrahat,5.64
Odisha ,Cuttack,NA,Tangi Choudwar,Badasamantarapur,5.42
Odisha ,Cuttack,NA,Tangi Choudwar,Govindpur,5.64
Odisha ,Cuttack,NA,Tangi Choudwar,Bhatimunda,0.53
Odisha ,Cuttack,NA,Tangi Choudwar,Jaripada,2.88
Odisha ,Cuttack,NA,Tangi Choudwar,Napanga,3.23
Odisha ,Cuttack,NA,Tangi Choudwar,Kanheipur,3.15
Odisha ,Cuttack,NA,Tangi Choudwar,Salagoan,11.93
Odisha ,Cuttack,NA,Tangi Choudwar,Harianta,2.02
Odisha ,Cuttack,NA,Tangi Choudwar,Uchhapada,3.47
Odisha ,Cuttack,NA,Tangi Choudwar,Mangarajpur,1.74
Odisha ,Cuttack,NA,Tangi Choudwar,Berhampur,1.67
Odisha ,Cuttack,NA,Tangi Choudwar,Sankarpur,1.08
Odisha ,Cuttack,NA,Tangi Choudwar,Kakhadi,2.84
Odisha ,Cuttack,NA,Tangi Choudwar,Sofo,2.33
Odisha ,Cuttack,NA,Tangi Choudwar,Garudagoan,13.91
Odisha ,Cuttack,NA,Tangi Choudwar,Total,98.78
Odisha ,Cuttack,NA,Tigiria,Jemadeipur,1.86
Odisha ,Cuttack,NA,Tigiria,Bindhanima,0.1
Odisha ,Cuttack,NA,Tigiria,Badanaupur,2.25
Odisha ,Cuttack,NA,Tigiria,Nizigargh,0.88
Odisha ,Cuttack,NA,Tigiria,Panchagaon,1.27
Odisha ,Cuttack,NA,Tigiria,Bhiruda,1.86
Odisha ,Cuttack,NA,Tigiria,Anchalkota,1.47
Odisha ,Cuttack,NA,Tigiria,Gadadharpur,1.76
Odisha ,Cuttack,NA,Tigiria,Puruna Tigiria,0.49
Odisha ,Cuttack,NA,Tigiria,Somapada,1.47
Odisha ,Cuttack,NA,Tigiria,Hatamal,0.78
Odisha ,Cuttack,NA,Tigiria,Baliput,0.59
Odisha ,Cuttack,NA,Tigiria,Total,14.78
Odisha ,Cuttack,NA,Total,NA,1669.13
Odisha ,Deogarh,NA,Barkote,Ballam,3.99
Odisha ,Deogarh,NA,Barkote,Ballanda,0.42
Odisha ,Deogarh,NA,Barkote,Bamparada,1.89
Odisha ,Deogarh,NA,Barkote,Basaloi,6.09
Odisha ,Deogarh,NA,Barkote,Bijayanagar,2.73
Odisha ,Deogarh,NA,Barkote,Dandasingha,2.73
Odisha ,Deogarh,NA,Barkote,Danra,4.83
Odisha ,Deogarh,NA,Barkote,Dantaribahal,1.68
Odisha ,Deogarh,NA,Barkote,Gursang,3.78
Odisha ,Deogarh,NA,Barkote,Jharakandhal,2.1
Odisha ,Deogarh,NA,Barkote,Kadopada,3.36
Odisha ,Deogarh,NA,Barkote,Kaliapal,0.84
Odisha ,Deogarh,NA,Barkote,Kalla,1.89
Odisha ,Deogarh,NA,Barkote,Kandhal,2.1
Odisha ,Deogarh,NA,Barkote,Kantapali,1.66
Odisha ,Deogarh,NA,Barkote,Kaunsibahal,2.73
Odisha ,Deogarh,NA,Barkote,Kelda,1.89
Odisha ,Deogarh,NA,Barkote,Madhyapur,5.88
Odisha ,Deogarh,NA,Barkote,Raitabahal,4.83
Odisha ,Deogarh,NA,Barkote,Rambhei,2.94
Odisha ,Deogarh,NA,Barkote,Saruali,2.73
Odisha ,Deogarh,NA,Barkote,Singsal,1.89
Odisha ,Deogarh,NA,Barkote,Golabandha,2.52
Odisha ,Deogarh,NA,Barkote,Saida,2.31
Odisha ,Deogarh,NA,Barkote,Total,67.81
Odisha ,Deogarh,Deogarh Urban,NA,Ward-1,0.42
Odisha ,Deogarh,Deogarh Urban,NA,Ward-10,0.02
Odisha ,Deogarh,Deogarh Urban,NA,Ward-2,2.13
Odisha ,Deogarh,Deogarh Urban,NA,Ward-3,1.62
Odisha ,Deogarh,Deogarh Urban,NA,Ward-4,0.44
Odisha ,Deogarh,Deogarh Urban,NA,Ward-5,2.04
Odisha ,Deogarh,Deogarh Urban,NA,Ward-6,1.28
Odisha ,Deogarh,Deogarh Urban,NA,Ward-7,0.04
Odisha ,Deogarh,Deogarh Urban,NA,Ward-8,0.46
Odisha ,Deogarh,Deogarh Urban,NA,Ward-9,0.78
Odisha ,Deogarh,Deogarh Urban,NA,Total,9.23
Odisha ,Deogarh,NA,Reamal,Adas,2.25
Odisha ,Deogarh,NA,Reamal,Baghbar,2.91
Odisha ,Deogarh,NA,Reamal,Budhapal,3.95
Odisha ,Deogarh,NA,Reamal,Budido,1.79
Odisha ,Deogarh,NA,Reamal,Chadeimara,0.99
Odisha ,Deogarh,NA,Reamal,Gundiapali,1.88
Odisha ,Deogarh,NA,Reamal,Kantabahal,2.76
Odisha ,Deogarh,NA,Reamal,Karlaga,1.55
Odisha ,Deogarh,NA,Reamal,Khilei,3.33
Odisha ,Deogarh,NA,Reamal,Kundheigola,1.92
Odisha ,Deogarh,NA,Reamal,Lulang,1.95
Odisha ,Deogarh,NA,Reamal,Mahaleipada,2.09
Odisha ,Deogarh,NA,Reamal,Naulipada,6.66
Odisha ,Deogarh,NA,Reamal,Nuadihi,0.59
Odisha ,Deogarh,NA,Reamal,Palsama,5.33
Odisha ,Deogarh,NA,Reamal,Para,2.48
Odisha ,Deogarh,NA,Reamal,Reamal,4.75
Odisha ,Deogarh,NA,Reamal,Tabada,0.37
Odisha ,Deogarh,NA,Reamal,Tarange,1.58
Odisha ,Deogarh,NA,Reamal,Tinkbir,0.55
Odisha ,Deogarh,NA,Reamal,Tuhilamal,1.73
Odisha ,Deogarh,NA,Reamal,Utunia,2.13
Odisha ,Deogarh,NA,Reamal,Tentalbahal,1.26
Odisha ,Deogarh,NA,Reamal,Kholbasa,0.33
Odisha ,Deogarh,NA,Reamal,Nuapada,1.94
Odisha ,Deogarh,NA,Reamal,Tungamal,0.44
Odisha ,Deogarh,NA,Reamal,Total,57.51
Odisha ,Deogarh,NA,Tileibani,Badchhapal,9.58
Odisha ,Deogarh,NA,Tileibani,Baniakilinda,4.79
Odisha ,Deogarh,NA,Tileibani,Cheplipali,4.39
Odisha ,Deogarh,NA,Tileibani,Dholpada,1.6
Odisha ,Deogarh,NA,Tileibani,Dimirikunda,15.16
Odisha ,Deogarh,NA,Tileibani,Dudhianali,8.38
Odisha ,Deogarh,NA,Tileibani,Jharagogua,3.59
Odisha ,Deogarh,NA,Tileibani,Kansar,3.99
Odisha ,Deogarh,NA,Tileibani,Kendeijhori,2.93
Odisha ,Deogarh,NA,Tileibani,Laimora,9.18
Odisha ,Deogarh,NA,Tileibani,Parposi,3.59
Odisha ,Deogarh,NA,Tileibani,Sado,3.99
Odisha ,Deogarh,NA,Tileibani,Suguda,5.59
Odisha ,Deogarh,NA,Tileibani,Tainsar,3.59
Odisha ,Deogarh,NA,Tileibani,Talkundi,7.98
Odisha ,Deogarh,NA,Tileibani,Tileibani,7.98
Odisha ,Deogarh,NA,Tileibani,Kalanda,2.79
Odisha ,Deogarh,NA,Tileibani,Palkudar,0.24
Odisha ,Deogarh,NA,Tileibani,Jharmunda,7.47
Odisha ,Deogarh,NA,Tileibani,Gandam,6.38
Odisha ,Deogarh,NA,Tileibani,Total,113.19
Odisha ,Deogarh,NA,Total,NA,247.74
Odisha ,Dhenkanal,NA,Bhuban,Arakhapal,3.91
Odisha ,Dhenkanal,NA,Bhuban,Balibo,2.69
Odisha ,Dhenkanal,NA,Bhuban,Baruan (B),7.36
Odisha ,Dhenkanal,NA,Bhuban,Bhusal,5.82
Odisha ,Dhenkanal,NA,Bhuban,Dayanabil,0.45
Odisha ,Dhenkanal,NA,Bhuban,Dhalapada,2.98
Odisha ,Dhenkanal,NA,Bhuban,Dighi,4.7
Odisha ,Dhenkanal,NA,Bhuban,Ekatali,5.76
Odisha ,Dhenkanal,NA,Bhuban,G.N.Prasad,0.22
Odisha ,Dhenkanal,NA,Bhuban,Jamunakote,0.22
Odisha ,Dhenkanal,NA,Bhuban,Jiral,2
Odisha ,Dhenkanal,NA,Bhuban,Kuninda,1.57
Odisha ,Dhenkanal,NA,Bhuban,Mahulpal,0.93
Odisha ,Dhenkanal,NA,Bhuban,Marthapur,2.09
Odisha ,Dhenkanal,NA,Bhuban,Mathakaragola,3.65
Odisha ,Dhenkanal,NA,Bhuban,Mrudanga,3.14
Odisha ,Dhenkanal,NA,Bhuban,Surapratapapur,1.79
Odisha ,Dhenkanal,NA,Bhuban,Total,49.28
Odisha ,Dhenkanal,NA,Gondia,Bainsia,3.73
Odisha ,Dhenkanal,NA,Gondia,Bidharapur,0.82
Odisha ,Dhenkanal,NA,Gondia,Dasamanapatana,1.64
Odisha ,Dhenkanal,NA,Gondia,Deogan,0.55
Odisha ,Dhenkanal,NA,Gondia,Digambarpur,0.91
Odisha ,Dhenkanal,NA,Gondia,Gondia,0.27
Odisha ,Dhenkanal,NA,Gondia,Joranda,2.09
Odisha ,Dhenkanal,NA,Gondia,Kabera,4.37
Odisha ,Dhenkanal,NA,Gondia,Kaluria,0.46
Odisha ,Dhenkanal,NA,Gondia,Karmul,1.46
Odisha ,Dhenkanal,NA,Gondia,Khandabandha,3.46
Odisha ,Dhenkanal,NA,Gondia,Laulai,0.36
Odisha ,Dhenkanal,NA,Gondia,Lethaka,1.64
Odisha ,Dhenkanal,NA,Gondia,Mandar,4.37
Odisha ,Dhenkanal,NA,Gondia,Mathatentulia,5.82
Odisha ,Dhenkanal,NA,Gondia,Nihalprasad,0.64
Odisha ,Dhenkanal,NA,Gondia,Pingua,1.55
Odisha ,Dhenkanal,NA,Gondia,Poruhakhoj,0.82
Odisha ,Dhenkanal,NA,Gondia,Raitola,0.82
Odisha ,Dhenkanal,NA,Gondia,Ratanpur,0.46
Odisha ,Dhenkanal,NA,Gondia,Sadangi,0.18
Odisha ,Dhenkanal,NA,Gondia,Santhapur,0.27
Odisha ,Dhenkanal,NA,Gondia,Sorisiapada,0.18
Odisha ,Dhenkanal,NA,Gondia,Gundurapasi,0.82
Odisha ,Dhenkanal,NA,Gondia,Barada,0.09
Odisha ,Dhenkanal,NA,Gondia,Total,37.78
Odisha ,Dhenkanal,NA,Hindol,Asarada,5.04
Odisha ,Dhenkanal,NA,Hindol,Babandha,7.56
Odisha ,Dhenkanal,NA,Hindol,Bampa,2.52
Odisha ,Dhenkanal,NA,Hindol,Baunsa Pokhari,1.26
Odisha ,Dhenkanal,NA,Hindol,Buhalipal,7.56
Odisha ,Dhenkanal,NA,Hindol,Chital Pur,5.67
Odisha ,Dhenkanal,NA,Hindol,Dandiri,3.78
Odisha ,Dhenkanal,NA,Hindol,Dudurkote,13.8
Odisha ,Dhenkanal,NA,Hindol,Galapada,11.34
Odisha ,Dhenkanal,NA,Hindol,Gandanali,7.56
Odisha ,Dhenkanal,NA,Hindol,Giridharprasad,11.97
Odisha ,Dhenkanal,NA,Hindol,Gulehi,3.78
Odisha ,Dhenkanal,NA,Hindol,Hatura,1.26
Odisha ,Dhenkanal,NA,Hindol,Jharada,20.16
Odisha ,Dhenkanal,NA,Hindol,Kadala,18.27
Odisha ,Dhenkanal,NA,Hindol,Kalinga,6.3
Odisha ,Dhenkanal,NA,Hindol,Kansara,3.15
Odisha ,Dhenkanal,NA,Hindol,Kantamila,3.78
Odisha ,Dhenkanal,NA,Hindol,Karanda,1.26
Odisha ,Dhenkanal,NA,Hindol,Khaliborei,1.26
Odisha ,Dhenkanal,NA,Hindol,Kintimili,12.17
Odisha ,Dhenkanal,NA,Hindol,Kukuta,2.52
Odisha ,Dhenkanal,NA,Hindol,Kunua,4.41
Odisha ,Dhenkanal,NA,Hindol,Kutunia,1.26
Odisha ,Dhenkanal,NA,Hindol,Madhapur,7.56
Odisha ,Dhenkanal,NA,Hindol,Mahalunda,11.34
Odisha ,Dhenkanal,NA,Hindol,Nabakishorpur,0.63
Odisha ,Dhenkanal,NA,Hindol,Nuabag,3.78
Odisha ,Dhenkanal,NA,Hindol,Nuagaon,1.26
Odisha ,Dhenkanal,NA,Hindol,P.P.Kote,6.3
Odisha ,Dhenkanal,NA,Hindol,Patala,4.41
Odisha ,Dhenkanal,NA,Hindol,Ranjagol,3.15
Odisha ,Dhenkanal,NA,Hindol,Rasol,13.43
Odisha ,Dhenkanal,NA,Hindol,Sanjapada,6.3
Odisha ,Dhenkanal,NA,Hindol,Thokar,10.28
Odisha ,Dhenkanal,NA,Hindol,Total,226.08
Odisha ,Dhenkanal,Hindol Urban,NA,Ward-1,0.61
Odisha ,Dhenkanal,Hindol Urban,NA,Ward-10,0.61
Odisha ,Dhenkanal,Hindol Urban,NA,Ward-12,0.61
Odisha ,Dhenkanal,Hindol Urban,NA,Ward-13,0.61
Odisha ,Dhenkanal,Hindol Urban,NA,Ward-14,1.42
Odisha ,Dhenkanal,Hindol Urban,NA,Ward-15,0.2
Odisha ,Dhenkanal,Hindol Urban,NA,Ward-2,0.41
Odisha ,Dhenkanal,Hindol Urban,NA,Ward-3,0.41
Odisha ,Dhenkanal,Hindol Urban,NA,Ward-5,0.41
Odisha ,Dhenkanal,Hindol Urban,NA,Ward-6,1.01
Odisha ,Dhenkanal,Hindol Urban,NA,Ward-7,0.2
Odisha ,Dhenkanal,Hindol Urban,NA,Ward-8,0.41
Odisha ,Dhenkanal,Hindol Urban,NA,Ward-9,0.2
Odisha ,Dhenkanal,Hindol Urban,NA,Total,7.11
Odisha ,Dhenkanal,NA,Kamakhyanagar,Badasuanlo,0.96
Odisha ,Dhenkanal,NA,Kamakhyanagar,Baisinga,1.9
Odisha ,Dhenkanal,NA,Kamakhyanagar,Baligorad,2.08
Odisha ,Dhenkanal,NA,Kamakhyanagar,Bankual,0.38
Odisha ,Dhenkanal,NA,Kamakhyanagar,Baruan (K),1.9
Odisha ,Dhenkanal,NA,Kamakhyanagar,Baunsapal,1.15
Odisha ,Dhenkanal,NA,Kamakhyanagar,Bhairpur,1.32
Odisha ,Dhenkanal,NA,Kamakhyanagar,Budhibil,0.76
Odisha ,Dhenkanal,NA,Kamakhyanagar,Jagannathpur,2.83
Odisha ,Dhenkanal,NA,Kamakhyanagar,Kadua,3.19
Odisha ,Dhenkanal,NA,Kamakhyanagar,Kanapura,1.18
Odisha ,Dhenkanal,NA,Kamakhyanagar,Kantapal,2.27
Odisha ,Dhenkanal,NA,Kamakhyanagar,Kantio Kateni,3.78
Odisha ,Dhenkanal,NA,Kamakhyanagar,Kantio Putasahi,4.35
Odisha ,Dhenkanal,NA,Kamakhyanagar,Kotagara,3.02
Odisha ,Dhenkanal,NA,Kamakhyanagar,Kusumajodi,10.96
Odisha ,Dhenkanal,NA,Kamakhyanagar,Mahulpal,2.27
Odisha ,Dhenkanal,NA,Kamakhyanagar,Raynrusinghpur,0.57
Odisha ,Dhenkanal,NA,Kamakhyanagar,Sogar,6.24
Odisha ,Dhenkanal,NA,Kamakhyanagar,Tumusinga,4.72
Odisha ,Dhenkanal,NA,Kamakhyanagar,Total,55.83
Odisha ,Dhenkanal,Kamakhyanagar Urban,NA,Ward-1,0.39
Odisha ,Dhenkanal,Kamakhyanagar Urban,NA,Ward-10,0.78
Odisha ,Dhenkanal,Kamakhyanagar Urban,NA,Ward-11,0.79
Odisha ,Dhenkanal,Kamakhyanagar Urban,NA,Ward-12,0.98
Odisha ,Dhenkanal,Kamakhyanagar Urban,NA,Ward-13,0.2
Odisha ,Dhenkanal,Kamakhyanagar Urban,NA,Ward-14,0.98
Odisha ,Dhenkanal,Kamakhyanagar Urban,NA,Ward-15,0.59
Odisha ,Dhenkanal,Kamakhyanagar Urban,NA,Ward-2,0.39
Odisha ,Dhenkanal,Kamakhyanagar Urban,NA,Ward-3,0.41
Odisha ,Dhenkanal,Kamakhyanagar Urban,NA,Ward-4,0.4
Odisha ,Dhenkanal,Kamakhyanagar Urban,NA,Ward-6,0.59
Odisha ,Dhenkanal,Kamakhyanagar Urban,NA,Ward-8,1.01
Odisha ,Dhenkanal,Kamakhyanagar Urban,NA,Ward-9,0.39
Odisha ,Dhenkanal,Kamakhyanagar Urban,NA,Total,7.9
Odisha ,Dhenkanal,NA,Kankada Had,Balikuma,1.65
Odisha ,Dhenkanal,NA,Kankada Had,Bam,5.59
Odisha ,Dhenkanal,NA,Kankada Had,Batagan,3.62
Odisha ,Dhenkanal,NA,Kankada Had,Birashal,2.63
Odisha ,Dhenkanal,NA,Kankada Had,Biribolei,6.25
Odisha ,Dhenkanal,NA,Kankada Had,Chandapur,3.95
Odisha ,Dhenkanal,NA,Kankada Had,Dashipur,1.97
Odisha ,Dhenkanal,NA,Kankada Had,Garhapalashuni,7.57
Odisha ,Dhenkanal,NA,Kankada Had,Ghagaramunda,2.96
Odisha ,Dhenkanal,NA,Kankada Had,Jhilli,1.97
Odisha ,Dhenkanal,NA,Kankada Had,Kankadahad,3.62
Odisha ,Dhenkanal,NA,Kankada Had,Kantapal,3.29
Odisha ,Dhenkanal,NA,Kankada Had,Kantol,0.99
Odisha ,Dhenkanal,NA,Kankada Had,Karagola,2.3
Odisha ,Dhenkanal,NA,Kankada Had,Kerjoli,4.61
Odisha ,Dhenkanal,NA,Kankada Had,Kuturia,5.92
Odisha ,Dhenkanal,NA,Kankada Had,Mahabiroad,4.51
Odisha ,Dhenkanal,NA,Kankada Had,Makua Kateni,5.59
Odisha ,Dhenkanal,NA,Kankada Had,Maruabili,1.97
Odisha ,Dhenkanal,NA,Kankada Had,Pangatira,2.63
Odisha ,Dhenkanal,NA,Kankada Had,Raibola,3.29
Odisha ,Dhenkanal,NA,Kankada Had,Total,76.88
Odisha ,Dhenkanal,NA,Odapada,Badalo,2.64
Odisha ,Dhenkanal,NA,Odapada,Balarampur,1.01
Odisha ,Dhenkanal,NA,Odapada,Bangursingh,2.84
Odisha ,Dhenkanal,NA,Odapada,Ghatipiri,0.41
Odisha ,Dhenkanal,NA,Odapada,Govbvd Prasad,0.41
Odisha ,Dhenkanal,NA,Odapada,Gunadei,1.42
Odisha ,Dhenkanal,NA,Odapada,Gundichapada,0.61
Odisha ,Dhenkanal,NA,Odapada,Indipur,0.81
Odisha ,Dhenkanal,NA,Odapada,Kadabindha,0.41
Odisha ,Dhenkanal,NA,Odapada,Kalanga,1.01
Odisha ,Dhenkanal,NA,Odapada,Khadag Prasad,7.71
Odisha ,Dhenkanal,NA,Odapada,Kottam,0.61
Odisha ,Dhenkanal,NA,Odapada,Kusupanga,0.41
Odisha ,Dhenkanal,NA,Odapada,Mangalpur,0.81
Odisha ,Dhenkanal,NA,Odapada,Motonga,1.62
Odisha ,Dhenkanal,NA,Odapada,Nayabhagirathipur,1.01
Odisha ,Dhenkanal,NA,Odapada,Nimindha,0.2
Odisha ,Dhenkanal,NA,Odapada,Odapada,0.61
Odisha ,Dhenkanal,NA,Odapada,Sadasibpur,1.22
Odisha ,Dhenkanal,NA,Odapada,Siminai,0.61
Odisha ,Dhenkanal,NA,Odapada,Total,26.38
Odisha ,Dhenkanal,NA,Parajang,Akhuapal,23.32
Odisha ,Dhenkanal,NA,Parajang,Badajhara,0.57
Odisha ,Dhenkanal,NA,Parajang,Barihapur,0.63
Odisha ,Dhenkanal,NA,Parajang,Basoi,1.76
Odisha ,Dhenkanal,NA,Parajang,Basulei,4.12
Odisha ,Dhenkanal,NA,Parajang,Gengutia,2.94
Odisha ,Dhenkanal,NA,Parajang,Kalada,15.29
Odisha ,Dhenkanal,NA,Parajang,Kandarasingha,18.23
Odisha ,Dhenkanal,NA,Parajang,Kankadasoda,48.93
Odisha ,Dhenkanal,NA,Parajang,Kantor,0.63
Odisha ,Dhenkanal,NA,Parajang,Kualo,12.35
Odisha ,Dhenkanal,NA,Parajang,Mundeilo,9.41
Odisha ,Dhenkanal,NA,Parajang,Patarpada,12.47
Odisha ,Dhenkanal,NA,Parajang,Roda,7.64
Odisha ,Dhenkanal,NA,Parajang,Saranga,17.24
Odisha ,Dhenkanal,NA,Parajang,Total,175.53
Odisha ,Dhenkanal,NA,Total,NA,662.77
Odisha ,Gajapati,NA,Gosani,Bada Koturu,2.73
Odisha ,Gajapati,NA,Gosani,Garabandha,1.31
Odisha ,Gajapati,NA,Gosani,Gurandi,0.62
Odisha ,Gajapati,NA,Gosani,Katala Kaitha,3.37
Odisha ,Gajapati,NA,Gosani,Uppalada,6.82
Odisha ,Gajapati,NA,Gosani,Total,14.85
Odisha ,Gajapati,Kashinagar NAC,NA,Ward-1,0.87
Odisha ,Gajapati,Kashinagar NAC,NA,Ward-10,0.65
Odisha ,Gajapati,Kashinagar NAC,NA,Ward-11,0.87
Odisha ,Gajapati,Kashinagar NAC,NA,Ward-12,0.65
Odisha ,Gajapati,Kashinagar NAC,NA,Ward-13,1.08
Odisha ,Gajapati,Kashinagar NAC,NA,Ward-2,0.22
Odisha ,Gajapati,Kashinagar NAC,NA,Ward-3,0.22
Odisha ,Gajapati,Kashinagar NAC,NA,Ward-4,0.43
Odisha ,Gajapati,Kashinagar NAC,NA,Ward-5,0.43
Odisha ,Gajapati,Kashinagar NAC,NA,Ward-6,0.87
Odisha ,Gajapati,Kashinagar NAC,NA,Ward-7,0.65
Odisha ,Gajapati,Kashinagar NAC,NA,Ward-8,0.22
Odisha ,Gajapati,Kashinagar NAC,NA,Ward-9,0.22
Odisha ,Gajapati,Kashinagar NAC,NA,Total,7.38
Odisha ,Gajapati,NA,Nuagada,Anuguru,3.61
Odisha ,Gajapati,NA,Nuagada,Attarsingi,3.84
Odisha ,Gajapati,NA,Nuagada,Betarsingi,0.55
Odisha ,Gajapati,NA,Nuagada,Keradang,1.3
Odisha ,Gajapati,NA,Nuagada,Kirama,1.52
Odisha ,Gajapati,NA,Nuagada,Luhangar,1.3
Odisha ,Gajapati,NA,Nuagada,Nuagada,0.53
Odisha ,Gajapati,NA,Nuagada,Paik Antarada,4.42
Odisha ,Gajapati,NA,Nuagada,Parimala,1.05
Odisha ,Gajapati,NA,Nuagada,Putrupada,2.11
Odisha ,Gajapati,NA,Nuagada,Sambalpur,1.86
Odisha ,Gajapati,NA,Nuagada,Titisingi,3.19
Odisha ,Gajapati,NA,Nuagada,Badapada,1.9
Odisha ,Gajapati,NA,Nuagada,Sundardanga,1.3
Odisha ,Gajapati,NA,Nuagada,Tangili,0.04
Odisha ,Gajapati,NA,Nuagada,Total,28.52
Odisha ,Gajapati,NA,R.Udayagiri,Abarsing,24.58
Odisha ,Gajapati,NA,R.Udayagiri,Anagha,9.73
Odisha ,Gajapati,NA,R.Udayagiri,Chellagada,51.35
Odisha ,Gajapati,NA,R.Udayagiri,Chelligada,44.81
Odisha ,Gajapati,NA,R.Udayagiri,Mahendragada,75.78
Odisha ,Gajapati,NA,R.Udayagiri,Mangarajpur,26.18
Odisha ,Gajapati,NA,R.Udayagiri,R.Udayagiri,39
