State Name ,District Name,Urban Local Bodies (Municipality/Munipal Corparation/Nac,Block,Rural Local Bodies (Gp/Ward),Total_IGNDPS
Odisha ,Angul,NA,Kaniha,Gadasila,3.53
Odisha ,Angul,NA,Kaniha,Gandamala,2.02
Odisha ,Angul,NA,Kaniha,Total,40.07
Odisha ,Angul,NA,Kishorenagar,Ambapal,4.82
Odisha ,Angul,NA,Kishorenagar,Angapada,9.63
Odisha ,Angul,NA,Kishorenagar,Bamur,11.07
Odisha ,Angul,NA,Kishorenagar,Bileinali,6.02
Odisha ,Angul,NA,Kishorenagar,Dhadarpal,21.67
Odisha ,Angul,NA,Kishorenagar,Dhaurapali,13.2
Odisha ,Angul,NA,Kishorenagar,Gaon Boinda,24.72
Odisha ,Angul,NA,Kishorenagar,Handapa,28.9
Odisha ,Angul,NA,Kishorenagar,Himitira,21.67
Odisha ,Angul,NA,Kishorenagar,Jairat,35.01
Odisha ,Angul,NA,Kishorenagar,Jamunali,21.67
Odisha ,Angul,NA,Kishorenagar,Jharberani,19.66
Odisha ,Angul,NA,Kishorenagar,Kadalimunda,29.91
Odisha ,Angul,NA,Kishorenagar,Kanteikulia,12.04
Odisha ,Angul,NA,Kishorenagar,Kataranga,3.17
Odisha ,Angul,NA,Kishorenagar,Nakchi,21.47
Odisha ,Angul,NA,Kishorenagar,Nunukapasi,13.27
Odisha ,Angul,NA,Kishorenagar,Oskapali,6.02
Odisha ,Angul,NA,Kishorenagar,Urukula,26.05
Odisha ,Angul,NA,Kishorenagar,Total,329.97
Odisha ,Angul,NA,Talacher,Badajorada,12.61
Odisha ,Angul,NA,Talacher,Bantol,15.99
Odisha ,Angul,NA,Talacher,Brajanathpur,19.01
Odisha ,Angul,NA,Talacher,Danara,8.53
Odisha ,Angul,NA,Talacher,Dera,14.5
Odisha ,Angul,NA,Talacher,Dharampur,14.5
Odisha ,Angul,NA,Talacher,Ghantapada,35.35
Odisha ,Angul,NA,Talacher,Gopal Prasad,6.78
Odisha ,Angul,NA,Talacher,Gurujang,24.29
Odisha ,Angul,NA,Talacher,Gurujanguli,20.93
Odisha ,Angul,NA,Talacher,Hensmul,11.02
Odisha ,Angul,NA,Talacher,Jaganathpur,17.61
Odisha ,Angul,NA,Talacher,Kalamchuin,38.92
Odisha ,Angul,NA,Talacher,Kandhal,11.2
Odisha ,Angul,NA,Talacher,Kankili,22.79
Odisha ,Angul,NA,Talacher,Karnapur,17.07
Odisha ,Angul,NA,Talacher,Kumunda,16.56
Odisha ,Angul,NA,Talacher,Padmabatipur,18.23
