s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,ganjam,chhatrapur,18,tanganapalli,0,42.24,27.33,14.72,0,0,42.06,0.18,0.47,946,ganjam,chhatrapur,tanganapalli
odisha,ganjam,chikiti,1,chandapur,0,17.27,15.88,1.22,0,0,17.1,0.17,0.12,947,ganjam,chikiti,chandapur
odisha,ganjam,chikiti,2,ekasingi,0,8.81,8.63,0.13,0,0,8.75,0.05,0.03,948,ganjam,chikiti,ekasingi
odisha,ganjam,chikiti,3,girisola,0,54.79,43.59,10.94,0,0,54.53,0.26,0.08,949,ganjam,chikiti,girisola
odisha,ganjam,chikiti,4,gobindanagar,0,13.92,13.92,0,0,0,13.92,0,0.1,950,ganjam,chikiti,gobindanagar
odisha,ganjam,chikiti,5,jhatipadar,0,86.49,52.92,33.34,0,0,86.26,0.23,0.1,951,ganjam,chikiti,jhatipadar
odisha,ganjam,chikiti,6,k.nuagam,0,28.03,22.65,5.31,0,0,27.95,0.08,0.03,952,ganjam,chikiti,k.nuagam
odisha,ganjam,chikiti,7,kalabada,0,18.84,16.7,2.02,0,0,18.73,0.11,0.13,953,ganjam,chikiti,kalabada
odisha,ganjam,chikiti,8,katuru,0,39.68,26.2,13.33,0,0,39.53,0.15,0.13,954,ganjam,chikiti,katuru
odisha,ganjam,chikiti,9,kotilingi,0,26.28,21.88,4.22,0,0,26.11,0.17,0.02,955,ganjam,chikiti,kotilingi
odisha,ganjam,chikiti,10,lalamenta,0,55.54,43.39,11.96,0,0,55.35,0.19,0.41,956,ganjam,chikiti,lalamenta
odisha,ganjam,chikiti,11,nuapada,0,9.92,9.58,0.23,0,0,9.82,0.11,0.02,957,ganjam,chikiti,nuapada
odisha,ganjam,chikiti,12,pitatali,0,34.11,33.74,0.3,0,0,34.04,0.07,0.07,958,ganjam,chikiti,pitatali
odisha,ganjam,chikiti,13,r.subani,0,24.29,23.09,1.19,0,0,24.29,0,0,959,ganjam,chikiti,r.subani
odisha,ganjam,chikiti,14,ramachandrapur,0,73.52,40.53,32.78,0,0,73.31,0.21,0,960,ganjam,chikiti,ramachandrapur
odisha,ganjam,chikiti,15,rampa,0,46.09,42.95,2.85,0,0,45.8,0.29,0.05,961,ganjam,chikiti,rampa
odisha,ganjam,chikiti,16,sunapur,0,48.56,31.25,17.27,0,0,48.51,0.05,0.03,962,ganjam,chikiti,sunapur
odisha,ganjam,chikiti,17,surala,0,22.99,16.74,6,0,0,22.74,0.25,0.08,963,ganjam,chikiti,surala
odisha,ganjam,dharakote,1,baharapur,0,19.88,14.64,5.22,0,0,19.86,0.01,0.09,964,ganjam,dharakote,baharapur
odisha,ganjam,dharakote,2,balarampur,0,29.45,20.51,8.87,0,0,29.38,0.07,0.11,965,ganjam,dharakote,balarampur
odisha,ganjam,dharakote,3,baradabili,0,35.65,24.29,11.34,0,0,35.62,0.03,0.14,966,ganjam,dharakote,baradabili
odisha,ganjam,dharakote,4,dharakote,0,11.38,6.79,4.59,0,0,11.38,0,0.02,967,ganjam,dharakote,dharakote
odisha,ganjam,dharakote,5,dhaugaon,0,28.54,15.73,12.81,0,0,28.54,0,0.43,968,ganjam,dharakote,dhaugaon
odisha,ganjam,dharakote,6,g.damodarapalli,0,7.1,6.98,0.11,0,0,7.09,0.02,0,969,ganjam,dharakote,g.damodarapalli
odisha,ganjam,dharakote,7,jagamohan,0,8.76,4.86,3.59,0,0,8.45,0.32,0.04,970,ganjam,dharakote,jagamohan
odisha,ganjam,dharakote,8,jahada,0,12.28,9.45,2.83,0,0,12.28,0,0.01,971,ganjam,dharakote,jahada
odisha,ganjam,dharakote,9,jhadabandha,0,63.53,51.29,12.22,0,0,63.51,0.02,0.07,972,ganjam,dharakote,jhadabandha
odisha,ganjam,dharakote,10,jharapari,0,12.66,9.45,3.2,0,0,12.65,0.01,0,973,ganjam,dharakote,jharapari
odisha,ganjam,dharakote,11,machhakote,0,15.57,9.79,4.98,0,0,14.77,0.8,0,974,ganjam,dharakote,machhakote
odisha,ganjam,dharakote,12,manikyapur,0,44.66,31.15,13.28,0,0,44.43,0.23,0.1,975,ganjam,dharakote,manikyapur
odisha,ganjam,dharakote,13,mundamarai,0,36.88,20.39,16.5,0,0,36.88,0,0.11,976,ganjam,dharakote,mundamarai
odisha,ganjam,dharakote,14,olamba,0,16.84,10.73,6.19,0,0,16.92,-0.08,0.17,977,ganjam,dharakote,olamba
odisha,ganjam,dharakote,15,rugumu,0,25.22,14.76,9.96,0,0,24.73,0.49,0.29,978,ganjam,dharakote,rugumu
odisha,ganjam,dharakote,16,saba,0,32.27,24.35,6.11,0,0,30.45,1.82,0.25,979,ganjam,dharakote,saba
odisha,ganjam,dharakote,17,saradhapur,0,60.1,43.99,16.07,0,0,60.06,0.04,0.23,980,ganjam,dharakote,saradhapur
odisha,ganjam,dharakote,18,singipur,0,22.65,10.08,12.55,0,0,22.63,0.02,0.16,981,ganjam,dharakote,singipur
odisha,ganjam,digapahandi,1,ankorada,0,10.02,5.39,4.63,0,0,10.02,0,0,982,ganjam,digapahandi,ankorada
odisha,ganjam,digapahandi,2,b.l.narayanpur,0,18.27,15.98,2.11,0,0,18.09,0.19,0.14,983,ganjam,digapahandi,b.l.narayanpur
odisha,ganjam,digapahandi,3,b.turubudi,0,37.56,27.39,10.11,0,0,37.5,0.06,0.18,984,ganjam,digapahandi,b.turubudi
odisha,ganjam,digapahandi,4,badadumula,0,13.94,11.43,2.5,0,0,13.94,0,0.35,985,ganjam,digapahandi,badadumula
odisha,ganjam,digapahandi,5,bamakei,0,9.72,6.07,3.5,0,0,9.58,0.15,0,986,ganjam,digapahandi,bamakei
odisha,ganjam,digapahandi,6,basudevpur,0,15.81,11.3,4.51,0,0,15.81,0,0.28,987,ganjam,digapahandi,basudevpur
odisha,ganjam,digapahandi,7,bhismagiri,0,16.69,15.16,1.49,0,0,16.65,0.05,0.06,988,ganjam,digapahandi,bhismagiri
odisha,ganjam,digapahandi,8,bhramarpur,0,6.68,4.93,1.75,0,0,6.68,0,0.05,989,ganjam,digapahandi,bhramarpur
odisha,ganjam,digapahandi,9,chasanimakhandi,0,21.86,13.95,7.9,0,0,21.85,0.01,0.41,990,ganjam,digapahandi,chasanimakhandi
odisha,ganjam,digapahandi,10,chaudhury tikarapada,0,12.33,9.09,3.16,0,0,12.25,0.08,0.31,991,ganjam,digapahandi,chaudhury tikarapada
odisha,ganjam,digapahandi,11,gadagobindapur,0,21.71,18.54,3.02,0,0,21.56,0.15,0.08,992,ganjam,digapahandi,gadagobindapur
odisha,ganjam,digapahandi,12,gaudagam,0,5.1,4.5,0.6,0,0,5.1,0,0.16,993,ganjam,digapahandi,gaudagam
odisha,ganjam,digapahandi,13,gokarnapur,0,12.77,9.98,2.77,0,0,12.76,0.02,0.38,994,ganjam,digapahandi,gokarnapur
odisha,ganjam,digapahandi,14,jakara,0,9.04,6.43,2.62,0,0,9.04,0,0.26,995,ganjam,digapahandi,jakara
odisha,ganjam,digapahandi,15,kaithada,0,9.52,8.43,1,0,0,9.43,0.09,0.11,996,ganjam,digapahandi,kaithada
odisha,ganjam,digapahandi,16,kaithakhandi,0,13.12,12.59,0.53,0,0,13.12,0,0.01,997,ganjam,digapahandi,kaithakhandi
odisha,ganjam,digapahandi,17,karapada,0,3.14,1.97,0.7,0,0,2.66,0.48,0,998,ganjam,digapahandi,karapada
odisha,ganjam,digapahandi,18,khamarigam,0,24.52,20.55,3.79,0,0,24.34,0.18,0.35,999,ganjam,digapahandi,khamarigam
odisha,ganjam,digapahandi,19,kotinada,0,4.01,4.01,0,0,0,4.01,0,0.22,1000,ganjam,digapahandi,kotinada
odisha,ganjam,digapahandi,20,kusapada,0,5.5,1.94,3.57,0,0,5.5,0,0.01,1001,ganjam,digapahandi,kusapada
odisha,ganjam,digapahandi,21,nimakhandipentha,0,41.97,31.82,10.09,0,0,41.91,0.06,0.1,1002,ganjam,digapahandi,nimakhandipentha
odisha,ganjam,digapahandi,22,padmanavpur,0,14.91,11.67,3.2,0,0,14.86,0.05,0.37,1003,ganjam,digapahandi,padmanavpur
odisha,ganjam,digapahandi,23,phasiguda,0,8.12,4.16,3.96,0,0,8.12,0,0,1004,ganjam,digapahandi,phasiguda
odisha,ganjam,digapahandi,24,sahadev tikarpada,0,12.01,11.44,1.36,0,0,12.8,-0.8,0.07,1005,ganjam,digapahandi,sahadev tikarpada
odisha,ganjam,digapahandi,25,sidheswar,0,13,9.02,3.92,0,0,12.94,0.06,0.34,1006,ganjam,digapahandi,sidheswar
odisha,ganjam,ganjam,1,humma,0,2.23,1.98,0.16,0,0,2.13,0.1,0,1007,ganjam,ganjam,humma
odisha,ganjam,ganjam,2,jharedi radhagovindapur,0,4.59,4.43,0.17,0,0,4.59,0,0,1008,ganjam,ganjam,jharedi radhagovindapur
odisha,ganjam,ganjam,3,kainchapur,0,10.91,8.1,2.8,0,0,10.9,0.01,0.26,1009,ganjam,ganjam,kainchapur
odisha,ganjam,ganjam,4,karapada,0,19.14,9.77,12.35,0,0,22.12,-2.98,0.07,1010,ganjam,ganjam,karapada
odisha,ganjam,ganjam,5,khandadeuli,0,35.89,26.09,16.53,0,0,42.62,-6.73,0.08,1011,ganjam,ganjam,khandadeuli
odisha,ganjam,ganjam,6,malada,0,14.56,11.12,7.14,0,0,18.27,-3.71,0.03,1012,ganjam,ganjam,malada
odisha,ganjam,ganjam,7,palanga,0,25.39,23.28,2.04,0,0,25.32,0.07,0.22,1013,ganjam,ganjam,palanga
odisha,ganjam,ganjam,8,pallibandha,0,26.08,20.91,5.17,0,0,26.08,0,0.01,1014,ganjam,ganjam,pallibandha
odisha,ganjam,ganjam,9,poirasi,0,42.72,28.14,17.15,0,0,45.28,-2.57,0.11,1015,ganjam,ganjam,poirasi
odisha,ganjam,ganjam,10,rajapur,0,5.08,4.22,0.82,0,0,5.04,0.03,0,1016,ganjam,ganjam,rajapur
odisha,ganjam,ganjam,11,ramagada(paluru),0,28.74,20.9,7.79,0,0,28.68,0.05,0.04,1017,ganjam,ganjam,ramagada(paluru)
odisha,ganjam,ganjam,12,sana ramchandrapur,0,18.07,11.29,6.78,0,0,18.07,0,0,1018,ganjam,ganjam,sana ramchandrapur
odisha,ganjam,ganjam,13,santoshpur,0,15.29,7.7,7.55,0,0,15.25,0.04,0,1019,ganjam,ganjam,santoshpur
odisha,ganjam,ganjam,14,subalaya,0,37.26,22.16,15.1,0,0,37.26,0.01,0.03,1020,ganjam,ganjam,subalaya
odisha,ganjam,ganjam,15,umuri dharmasaranpur,0,11.03,5.37,5.66,0,0,11.03,0,0.1,1021,ganjam,ganjam,umuri dharmasaranpur
odisha,ganjam,hinjilicut,1,badakhandi,0,30.51,18.77,11.7,0,0,30.48,0.04,0,1022,ganjam,hinjilicut,badakhandi
odisha,ganjam,hinjilicut,2,belgam,0,6.83,6.37,0.46,0,0,6.83,0,0,1023,ganjam,hinjilicut,belgam
odisha,ganjam,hinjilicut,3,bhabandha,0,37.54,28.33,9.19,0,0,37.51,0.02,0,1024,ganjam,hinjilicut,bhabandha
odisha,ganjam,hinjilicut,4,burupada,0,6.51,4.01,2.48,0.02,0,6.5,0.01,0,1025,ganjam,hinjilicut,burupada
odisha,ganjam,hinjilicut,5,chanduli,0,8,4.24,3.77,0,0,8,0,0.09,1026,ganjam,hinjilicut,chanduli
odisha,ganjam,hinjilicut,6,darubhadra,0,38.66,34.12,4.51,0,0,38.64,0.02,0.03,1027,ganjam,hinjilicut,darubhadra
odisha,ganjam,hinjilicut,7,dayapalli,0,30.76,28.75,1.88,0,0,30.63,0.13,0,1028,ganjam,hinjilicut,dayapalli
odisha,ganjam,hinjilicut,8,dhobadi,0,18.18,16.13,2.02,0,0,18.15,0.03,0.13,1029,ganjam,hinjilicut,dhobadi
odisha,ganjam,hinjilicut,9,durbandha,0,35.94,21.67,14.13,0,0,35.8,0.14,0.11,1030,ganjam,hinjilicut,durbandha
odisha,ganjam,hinjilicut,10,gandala,0,12.6,8.46,4.1,0,0,12.56,0.04,0,1031,ganjam,hinjilicut,gandala
odisha,ganjam,hinjilicut,11,kanchuru,0,11.73,8.21,3.51,0,0,11.72,0.01,0,1032,ganjam,hinjilicut,kanchuru
odisha,ganjam,hinjilicut,12,kharida,0,2.58,1.43,1.11,0,0,2.55,0.03,0.02,1033,ganjam,hinjilicut,kharida
odisha,ganjam,hinjilicut,13,makarajhola,0,34.76,23.03,11.68,0,0,34.71,0.06,0.01,1034,ganjam,hinjilicut,makarajhola
odisha,ganjam,hinjilicut,14,nandika,0,23.07,20.49,2.54,0.03,0,23.05,0.02,0.01,1035,ganjam,hinjilicut,nandika
odisha,ganjam,hinjilicut,15,pochilima,0,23.34,21.19,2.03,0,0,23.22,0.12,0.06,1036,ganjam,hinjilicut,pochilima
odisha,ganjam,hinjilicut,16,putiapadar,0,11.47,11.09,0.29,0,0,11.38,0.08,0.07,1037,ganjam,hinjilicut,putiapadar
odisha,ganjam,hinjilicut,17,ralaba,0,22.18,15.47,6.56,0,0,22.04,0.15,0.08,1038,ganjam,hinjilicut,ralaba
odisha,ganjam,hinjilicut,18,sahapur,0,23.34,18.84,4.43,0.02,0,23.29,0.05,0.16,1039,ganjam,hinjilicut,sahapur
odisha,ganjam,hinjilicut,19,saru,0,13.42,9.63,3.76,0,0,13.39,0.02,0,1040,ganjam,hinjilicut,saru
odisha,ganjam,hinjilicut,20,sasanambagam,0,35.42,23.38,11.95,0,0,35.33,0.09,0.03,1041,ganjam,hinjilicut,sasanambagam
odisha,ganjam,hinjilicut,21,sikiri,0,8.52,5.76,2.76,0,0,8.52,0,0,1042,ganjam,hinjilicut,sikiri
odisha,ganjam,jagannathprasad,1,adheigam,0,7.54,6.49,0.99,0,0,7.48,0.06,0.28,1043,ganjam,jagannathprasad,adheigam
odisha,ganjam,jagannathprasad,2,aladi,0,20.8,15.36,5.44,0,0,20.8,0,0.6,1044,ganjam,jagannathprasad,aladi
odisha,ganjam,jagannathprasad,3,allasuguma,0,50.22,35.53,15.63,0,0,51.16,-0.93,0.14,1045,ganjam,jagannathprasad,allasuguma
odisha,ganjam,jagannathprasad,4,b.d.pur,0,17.37,10.27,7.22,0,0,17.49,-0.12,0.16,1046,ganjam,jagannathprasad,b.d.pur
odisha,ganjam,jagannathprasad,5,baragam,0,23.31,12.56,10.8,0,0,23.35,-0.04,0.1,1047,ganjam,jagannathprasad,baragam
odisha,ganjam,jagannathprasad,6,budurungu,0,64.19,29.39,34.79,0,0,64.19,0,0.05,1048,ganjam,jagannathprasad,budurungu
odisha,ganjam,jagannathprasad,7,chadheiapalli,0,23.72,17.09,6.62,0,0,23.72,0,0.03,1049,ganjam,jagannathprasad,chadheiapalli
odisha,ganjam,jagannathprasad,8,chamunda,0,76.47,28.89,48.56,0,0,77.45,-0.98,0.31,1050,ganjam,jagannathprasad,chamunda
odisha,ganjam,jagannathprasad,9,gandadhar,0,10.65,8.56,2.27,0,0,10.83,-0.18,0.07,1051,ganjam,jagannathprasad,gandadhar
odisha,ganjam,jagannathprasad,10,gayaganda,0,32.75,35.95,0.6,0,0,36.55,-3.8,0.21,1052,ganjam,jagannathprasad,gayaganda
odisha,ganjam,jagannathprasad,11,gerada,0,24.51,17.9,8.97,0,0,26.88,-2.37,2.07,1053,ganjam,jagannathprasad,gerada
odisha,ganjam,jagannathprasad,12,jagannathprasad,0,37.8,27.68,10.78,0,0,38.46,-0.66,0,1054,ganjam,jagannathprasad,jagannathprasad
odisha,ganjam,jagannathprasad,13,jhadabhumi,0,22.82,13.17,9.65,0,0,22.82,0,0.14,1055,ganjam,jagannathprasad,jhadabhumi
odisha,ganjam,jagannathprasad,14,jirabadi,0,26.98,8.18,18.79,0,0,26.98,0,0.06,1056,ganjam,jagannathprasad,jirabadi
odisha,ganjam,jagannathprasad,15,kadua,0,35.28,31,4.97,0,0,35.97,-0.68,0.09,1057,ganjam,jagannathprasad,kadua
odisha,ganjam,jagannathprasad,16,khamarapalli,0,41.23,25.51,15.54,0,0,41.04,0.19,0.21,1058,ganjam,jagannathprasad,khamarapalli
odisha,ganjam,jagannathprasad,17,khetamundali,0,17.16,17.77,0.26,0,0,18.02,-0.86,0.03,1059,ganjam,jagannathprasad,khetamundali
odisha,ganjam,jagannathprasad,18,kokalaba,0,33.67,28.98,5.52,0,0,34.5,-0.84,0.76,1060,ganjam,jagannathprasad,kokalaba
odisha,ganjam,jagannathprasad,19,kudutai,0,14.51,17.03,0,0,0,17.03,-2.52,0.09,1061,ganjam,jagannathprasad,kudutai
odisha,ganjam,jagannathprasad,20,kumpapada,0,21.4,17.76,3.83,0,0,21.59,-0.19,0.24,1062,ganjam,jagannathprasad,kumpapada
odisha,ganjam,jagannathprasad,21,panchabhuti,0,27.53,14.03,13.36,0,0,27.4,0.13,0.01,1063,ganjam,jagannathprasad,panchabhuti
odisha,ganjam,jagannathprasad,22,pratapur,0,31.96,16.43,15.58,0,0,32.01,-0.05,0.84,1064,ganjam,jagannathprasad,pratapur
odisha,ganjam,jagannathprasad,23,routi,0,19.62,15.89,4.94,0,0,20.82,-1.2,0.11,1065,ganjam,jagannathprasad,routi
odisha,ganjam,jagannathprasad,24,rudhapadar,0,17.47,17.63,0.61,0,0,18.24,-0.76,0.22,1066,ganjam,jagannathprasad,rudhapadar
odisha,ganjam,jagannathprasad,25,tarasingi,0,37.3,32.81,4.57,0,0,37.37,-0.07,0.17,1067,ganjam,jagannathprasad,tarasingi
odisha,ganjam,kabisuryanagar,1,ambapua,0,16.09,4.86,11.22,0,0,16.08,0.01,0,1068,ganjam,kabisuryanagar,ambapua
odisha,ganjam,kabisuryanagar,2,athagada patana,0,26.09,15.72,10.37,0,0,26.09,0,0.09,1069,ganjam,kabisuryanagar,athagada patana
odisha,ganjam,kabisuryanagar,3,badamahuri,0,10.79,10.75,0,0,0,10.75,0.04,0.28,1070,ganjam,kabisuryanagar,badamahuri
odisha,ganjam,kabisuryanagar,4,baliasara,0,41.54,21.05,20.47,0,0,41.52,0.02,0.14,1071,ganjam,kabisuryanagar,baliasara
odisha,ganjam,kabisuryanagar,5,barida,0,10.73,4.19,6.52,0,0,10.7,0.03,0.28,1072,ganjam,kabisuryanagar,barida
odisha,ganjam,kabisuryanagar,6,baunsia,0,31.84,25.92,5.92,0,0,31.84,0,0.13,1073,ganjam,kabisuryanagar,baunsia
odisha,ganjam,kabisuryanagar,7,bolasara,0,9.3,7.66,1.64,0,0,9.3,0,0,1074,ganjam,kabisuryanagar,bolasara
odisha,ganjam,kabisuryanagar,8,borasingi,0,4.81,4.34,0.43,0,0,4.78,0.03,0.03,1075,ganjam,kabisuryanagar,borasingi
odisha,ganjam,kabisuryanagar,9,budhamba,0,7.61,5.26,2.34,0,0,7.61,0,0.09,1076,ganjam,kabisuryanagar,budhamba
odisha,ganjam,kabisuryanagar,10,gangapur,0,40.14,24.17,15.96,0,0,40.14,0,0.23,1077,ganjam,kabisuryanagar,gangapur
odisha,ganjam,kabisuryanagar,11,gudiali,0,8.36,4.85,3.5,0,0,8.36,0,0.7,1078,ganjam,kabisuryanagar,gudiali
odisha,ganjam,kabisuryanagar,12,jarada,0,10.25,8.13,2.05,0,0,10.18,0.07,0.06,1079,ganjam,kabisuryanagar,jarada
odisha,ganjam,kabisuryanagar,13,kaniari,0,41.84,30.62,11.2,0,0,41.81,0.02,0.67,1080,ganjam,kabisuryanagar,kaniari
odisha,ganjam,kabisuryanagar,14,khajapalli,0,15.34,10.96,4.39,0,0,15.34,0,0.11,1081,ganjam,kabisuryanagar,khajapalli
odisha,ganjam,kabisuryanagar,15,nandiagada,0,17.77,12.79,4.97,0,0,17.76,0.01,0.06,1082,ganjam,kabisuryanagar,nandiagada
odisha,ganjam,kabisuryanagar,16,paikajamuna,0,7.95,7.45,0.5,0,0,7.95,0,0.19,1083,ganjam,kabisuryanagar,paikajamuna
odisha,ganjam,kabisuryanagar,17,rishipur,0,15.7,6.81,8.89,0,0,15.7,0,0.12,1084,ganjam,kabisuryanagar,rishipur
odisha,ganjam,kabisuryanagar,18,sialia,0,30.04,20.17,9.82,0,0,30,0.04,0.23,1085,ganjam,kabisuryanagar,sialia
odisha,ganjam,kabisuryanagar,19,subalaya,0,2.45,2.62,0,0,0,2.62,-0.17,0,1086,ganjam,kabisuryanagar,subalaya
odisha,ganjam,kabisuryanagar,20,sunapalli,0,37.22,30.19,7.01,0,0,37.19,0.03,0.26,1087,ganjam,kabisuryanagar,sunapalli
odisha,ganjam,kabisuryanagar,21,sunarijhola,0,6.73,6.07,0.66,0,0,6.73,0,0.14,1088,ganjam,kabisuryanagar,sunarijhola
odisha,ganjam,khalikote,1,aitipur,0,15.42,12.3,2.98,0,0,15.27,0.14,0.03,1089,ganjam,khalikote,aitipur
odisha,ganjam,khalikote,2,badapalli,0,47.06,32.52,14.5,0,0,47.01,0.04,0.01,1090,ganjam,khalikote,badapalli
odisha,ganjam,khalikote,3,badhi nuapalli,0,59.59,30.4,29.04,0,0,59.44,0.15,0.09,1091,ganjam,khalikote,badhi nuapalli
odisha,ganjam,khalikote,4,bania,0,8.2,7.54,0.67,0,0,8.21,-0.02,0.02,1092,ganjam,khalikote,bania
odisha,ganjam,khalikote,5,bedha nalinakhyapur,0,23.92,13.95,9.9,0,0,23.85,0.07,0.29,1093,ganjam,khalikote,bedha nalinakhyapur
odisha,ganjam,khalikote,6,bhakutagam,0,10.6,6.17,4.44,0,0,10.6,0,0,1094,ganjam,khalikote,bhakutagam
odisha,ganjam,khalikote,7,bhikapada,0,7.31,7.31,0,0,0,7.31,0,0.04,1095,ganjam,khalikote,bhikapada
odisha,ganjam,khalikote,8,bikrampur,0,13.72,12.24,1.46,0,0,13.7,0.02,0.05,1096,ganjam,khalikote,bikrampur
odisha,ganjam,khalikote,9,chikili,0,62.25,33.68,28.42,0,0,62.09,0.16,0.06,1097,ganjam,khalikote,chikili
odisha,ganjam,khalikote,10,danapur,0,33.74,25.96,7.7,0,0,33.66,0.07,0.15,1098,ganjam,khalikote,danapur
odisha,ganjam,khalikote,11,dimiria,0,31.99,23.46,8.5,0,0,31.96,0.03,0.29,1099,ganjam,khalikote,dimiria
odisha,ganjam,khalikote,12,kairasi,0,4.42,4.33,5.86,0,0,10.18,-5.76,0,1100,ganjam,khalikote,kairasi
odisha,ganjam,khalikote,13,kanaka,0,27.59,11.35,16.18,0,0,27.54,0.06,0,1101,ganjam,khalikote,kanaka
odisha,ganjam,khalikote,14,kanchana,0,16.09,7.05,8.97,0,0,16.03,0.07,0,1102,ganjam,khalikote,kanchana
odisha,ganjam,khalikote,15,kanheipur,0,3.33,3.27,0.05,0,0,3.32,0.01,0,1103,ganjam,khalikote,kanheipur
odisha,ganjam,khalikote,16,keshapur,0,23.83,8.55,15.29,0,0,23.83,0,0,1104,ganjam,khalikote,keshapur
odisha,ganjam,khalikote,17,khajapalli,0,0.86,0.86,0,0,0,0.86,0,0,1105,ganjam,khalikote,khajapalli
odisha,ganjam,khalikote,18,komonda,0,19.29,16.66,2.49,0,0,19.15,0.14,0.02,1106,ganjam,khalikote,komonda
odisha,ganjam,khalikote,19,langaleswar,0,17.46,10.2,6.98,0,0,17.18,0.28,0.03,1107,ganjam,khalikote,langaleswar
odisha,ganjam,khalikote,20,manikapur,0,9.66,6.6,3.05,0,0,9.66,0,0.1,1108,ganjam,khalikote,manikapur
odisha,ganjam,khalikote,21,mathura,0,26.34,12.47,13.79,0,0,26.26,0.09,0.03,1109,ganjam,khalikote,mathura
odisha,ganjam,khalikote,22,naikanipalli,0,8.43,7.82,0.64,0,0,8.45,-0.02,0.03,1110,ganjam,khalikote,naikanipalli
odisha,ganjam,khalikote,23,odia alapur,0,27.67,12.24,15.59,0,0,27.83,-0.16,0.01,1111,ganjam,khalikote,odia alapur
odisha,ganjam,khalikote,24,pathara,0,5.78,3.21,2.4,0,0,5.61,0.16,0,1112,ganjam,khalikote,pathara
odisha,ganjam,khalikote,25,sabulia,0,5.27,4.42,0.85,0,0,5.27,0,0,1113,ganjam,khalikote,sabulia
odisha,ganjam,khalikote,26,srikrushnasaranpur,0,38.76,14.43,24.33,0,0,38.75,0.01,0,1114,ganjam,khalikote,srikrushnasaranpur
odisha,ganjam,khalikote,27,talapada,0,13.66,11.2,2.39,0,0,13.59,0.07,0,1115,ganjam,khalikote,talapada
odisha,ganjam,khalikote,28,tentuliapalli,0,19.19,6.3,12.9,0,0,19.19,0,0,1116,ganjam,khalikote,tentuliapalli
odisha,ganjam,khalikote,29,tulasipur,0,98.69,43.47,55.21,0,0,98.68,0.01,0.17,1117,ganjam,khalikote,tulasipur
odisha,ganjam,kukudakhandi,1,anantei,0,9.72,7,7.43,0,0,14.43,-4.71,0.04,1118,ganjam,kukudakhandi,anantei
odisha,ganjam,kukudakhandi,2,ankusapur,0,16.67,9.75,6.92,0,0,16.67,0,0,1119,ganjam,kukudakhandi,ankusapur
odisha,ganjam,kukudakhandi,3,baghalati,0,16.92,13.16,5.1,0,0,18.26,-1.34,0,1120,ganjam,kukudakhandi,baghalati
odisha,ganjam,kukudakhandi,4,balipada,0,20.09,13.88,6.21,0,0,20.09,0,0,1121,ganjam,kukudakhandi,balipada
odisha,ganjam,kukudakhandi,5,banthapalli,0,41.62,26.08,15.53,0,0,41.62,0,0.21,1122,ganjam,kukudakhandi,banthapalli
odisha,ganjam,kukudakhandi,6,baulojholi,0,15.23,12.1,3.13,0,0,15.23,0,0,1123,ganjam,kukudakhandi,baulojholi
odisha,ganjam,kukudakhandi,7,borigam,0,60.63,53.14,7.48,0,0,60.62,0.01,0.03,1124,ganjam,kukudakhandi,borigam
odisha,ganjam,kukudakhandi,8,dengapodar,0,14.76,10.3,4.45,0,0,14.76,0,0.04,1125,ganjam,kukudakhandi,dengapodar
odisha,ganjam,kukudakhandi,9,dhakhinapur,0,11.31,6.83,4.47,0,0,11.31,0,0,1126,ganjam,kukudakhandi,dhakhinapur
odisha,ganjam,kukudakhandi,10,gurunthi,0,10.12,10.53,0.35,0,0,10.88,-0.76,0,1127,ganjam,kukudakhandi,gurunthi
odisha,ganjam,kukudakhandi,11,hugulapatta,0,13.8,10.18,4.54,0,0,14.72,-0.92,0,1128,ganjam,kukudakhandi,hugulapatta
odisha,ganjam,kukudakhandi,12,jagadalapur,0,1.05,1.39,0,0,0,1.39,-0.33,0,1129,ganjam,kukudakhandi,jagadalapur
odisha,ganjam,kukudakhandi,13,kankia,0,1.78,2.02,3.89,0,0,5.92,-4.14,0.02,1130,ganjam,kukudakhandi,kankia
odisha,ganjam,kukudakhandi,14,kukudakhandi,0,19.68,11.58,11.64,0,0,23.23,-3.55,0.04,1131,ganjam,kukudakhandi,kukudakhandi
odisha,ganjam,kukudakhandi,15,lanjia,0,11.36,9.71,13.5,0,0,23.21,-11.85,0.12,1132,ganjam,kukudakhandi,lanjia
odisha,ganjam,kukudakhandi,16,lathi,0,8.99,7.52,1.57,0,0,9.08,-0.09,0,1133,ganjam,kukudakhandi,lathi
odisha,ganjam,kukudakhandi,17,lochapada,0,2.97,2.48,2.88,0,0,5.37,-2.4,0.03,1134,ganjam,kukudakhandi,lochapada
odisha,ganjam,kukudakhandi,18,masiakhali,0,2.59,2.59,0,0,0,2.59,0,0.07,1135,ganjam,kukudakhandi,masiakhali
