s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,bolangir,bolangir,22,sakma,0.03,14.64,13.97,0.64,0,0,14.61,0.03,0.05,42,bolangir,bolangir,sakma
odisha,bolangir,bolangir,23,sibtala,-1.03,23.58,24.57,0.05,0,0,24.61,-1.03,0.19,43,bolangir,bolangir,sibtala
odisha,bolangir,bolangir,24,sikachhida,-0.63,16,16.62,0,0,0,16.62,-0.61,0.09,44,bolangir,bolangir,sikachhida
odisha,bolangir,bolangir,25,tusrabahal,-0.49,17.46,16.24,1.68,0,0,17.92,-0.46,0.01,45,bolangir,bolangir,tusrabahal
odisha,bolangir,bangomunda,1,alanda,-0.36,90.01,61.38,28.93,0,0,90.3,-0.29,0.37,46,bolangir,bangomunda,alanda
odisha,bolangir,bangomunda,2,arsatula,-3.17,33.94,27.62,9.49,0,0,37.1,-3.16,0.16,47,bolangir,bangomunda,arsatula
odisha,bolangir,bangomunda,3,baldha,-1.6,47.2,31.93,15.93,0.9,0,48.76,-1.56,0.27,48,bolangir,bangomunda,baldha
odisha,bolangir,bangomunda,4,bangomunda,0.06,36.49,22.08,14.29,0,0,36.38,0.11,0.22,49,bolangir,bangomunda,bangomunda
odisha,bolangir,bangomunda,5,belpada,-3.88,64.99,40.54,28.02,0.07,0,68.63,-3.64,0.43,50,bolangir,bangomunda,belpada
odisha,bolangir,bangomunda,6,bhalumunda,2.9,38.22,17.59,17.72,0,0,35.32,2.91,0.26,51,bolangir,bangomunda,bhalumunda
odisha,bolangir,bangomunda,7,bhursagura,0,27.18,22.97,4.26,0,0,27.23,-0.04,0.08,52,bolangir,bangomunda,bhursagura
odisha,bolangir,bangomunda,8,bhuslad,2.99,75.82,45.89,26.88,0,0,72.76,3.07,0.27,53,bolangir,bangomunda,bhuslad
odisha,bolangir,bangomunda,9,biripali,2.93,11.58,8.66,0,0,0,8.65,2.93,0.12,54,bolangir,bangomunda,biripali
odisha,bolangir,bangomunda,10,chandotara,2.36,58.5,34.66,21.41,0,0,56.07,2.43,0.1,55,bolangir,bangomunda,chandotara
odisha,bolangir,bangomunda,11,chulifunka,4.89,66.29,41.74,19.55,0,0,61.29,5,0.05,56,bolangir,bangomunda,chulifunka
