Name of The State ,Name of The District,Name of The Block,Number of Gram Panchayats,Name  of Gram Panchayats,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20
Odisha,Dhenkanal,Kamakhyanagar,21,Sogar,0.450,31.750,14.030,17.280,0.000,0.000,31.310,0.440,0.580
Odisha,Dhenkanal,Kamakhyanagar,22,Tumusinga,0.550,58.040,41.480,16.010,0.000,0.000,57.490,0.550,1.060
Odisha,Dhenkanal,Kamakhyanagar,,Total,4.880,691.290,421.920,272.890,0.000,0.000,694.800,-3.510,17.290
Odisha,Dhenkanal,Kamakhyanagar,,Block Level Line Deptt.,1.200,1.200,163.560,123.240,0.560,1.290,288.650,-287.450,8.880
Odisha,Dhenkanal,Kamakhyanagar,,Po,1.430,172.230,0.000,NA,NA,33.150,33.150,139.080,NA
Odisha,Dhenkanal,Kamakhyanagar,,Grand Total,7.510,864.720,585.480,396.130,0.560,34.440,1016.600,-151.880,26.170
Odisha,Dhenkanal,Kankadahada,1,Balikuma,0.380,45.780,32.440,14.430,0.360,0.000,47.220,-1.440,0.000
Odisha,Dhenkanal,Kankadahada,2,Bam,0.450,41.230,37.100,4.050,0.020,0.000,41.180,0.050,1.300
Odisha,Dhenkanal,Kankadahada,3,Batagan,0.510,28.900,25.840,2.480,0.250,0.000,28.580,0.320,0.030
Odisha,Dhenkanal,Kankadahada,4,Birashal,0.110,30.510,22.360,8.110,0.900,0.000,31.370,-0.860,1.680
Odisha,Dhenkanal,Kankadahada,5,Biribolei,0.110,40.850,28.100,8.330,0.970,0.000,37.390,3.450,4.320
Odisha,Dhenkanal,Kankadahada,6,Chandapur,0.490,35.040,27.920,5.300,0.650,0.000,33.870,1.170,0.000
Odisha,Dhenkanal,Kankadahada,7,Dashipur,0.410,58.460,35.300,20.850,1.950,0.000,58.100,0.360,1.780
Odisha,Dhenkanal,Kankadahada,8,Garhapalashuni,0.440,28.090,21.270,6.170,0.530,0.000,27.970,0.120,1.130
Odisha,Dhenkanal,Kankadahada,9,Ghagaramunda,0.320,59.810,50.400,6.010,0.560,0.000,56.980,2.830,2.370
Odisha,Dhenkanal,Kankadahada,10,Jhilli,0.000,18.100,16.480,0.260,0.000,0.000,16.740,1.350,0.340
Odisha,Dhenkanal,Kankadahada,11,Kankadahad,0.890,31.780,28.640,2.240,0.000,0.000,30.890,0.890,0.400
Odisha,Dhenkanal,Kankadahada,12,Kantapal,0.260,43.030,41.740,2.390,0.190,0.000,44.310,-1.280,1.010
Odisha,Dhenkanal,Kankadahada,13,Kantol,0.660,44.170,30.650,9.220,1.020,0.000,40.890,3.280,0.930
Odisha,Dhenkanal,Kankadahada,14,Karagola,0.180,32.320,29.110,0.990,0.080,0.000,30.180,2.140,1.740
Odisha,Dhenkanal,Kankadahada,15,Kerjoli,0.300,116.600,79.300,31.990,3.800,0.000,115.090,1.510,0.320
Odisha,Dhenkanal,Kankadahada,16,Kuturia,0.100,23.580,19.590,2.380,0.350,0.000,22.330,1.250,0.180
Odisha,Dhenkanal,Kankadahada,17,Mahabiroad,0.310,51.960,28.590,19.360,2.280,0.000,50.230,1.730,0.160
Odisha,Dhenkanal,Kankadahada,18,Makua Kateni,0.010,36.330,35.770,0.570,0.000,0.000,36.340,0.000,0.850
Odisha,Dhenkanal,Kankadahada,19,Maruabili,0.290,44.610,34.720,6.800,0.630,0.000,42.150,2.460,0.000
Odisha,Dhenkanal,Kankadahada,20,Pangatira,0.280,159.490,59.630,88.410,12.010,0.000,160.050,-0.560,4.100
Odisha,Dhenkanal,Kankadahada,21,Raibola,-0.090,44.150,31.990,12.680,1.570,0.000,46.230,-2.090,2.840
Odisha,Dhenkanal,Kankadahada,,Total,6.410,1014.780,716.950,253.020,28.120,0.000,998.100,16.680,25.480
Odisha,Dhenkanal,Kankadahada,,Block Level Line Deptt.,1.180,1.180,123.390,85.790,0.250,3.070,212.500,-211.320,7.690
Odisha,Dhenkanal,Kankadahada,,Po,1.410,45.070,0.000,NA,NA,28.780,28.780,16.290,NA
Odisha,Dhenkanal,Kankadahada,,Grand Total,9.000,1061.030,840.340,338.810,28.370,31.850,1239.380,-178.350,33.170
Odisha,Dhenkanal,Odapada,1,Badalo,0.250,19.010,13.530,5.210,0.020,0.000,18.760,0.250,0.090
Odisha,Dhenkanal,Odapada,2,Balaramprasad,0.210,16.760,11.890,4.650,0.010,0.000,16.550,0.210,0.000
Odisha,Dhenkanal,Odapada,3,Balarampur,1.220,12.920,8.330,3.450,0.030,0.000,11.820,1.110,0.000
Odisha,Dhenkanal,Odapada,4,Bangursingh,0.130,23.670,12.650,10.730,0.090,0.000,23.470,0.210,0.060
Odisha,Dhenkanal,Odapada,5,Bido,0.140,18.860,15.730,2.960,0.010,0.000,18.700,0.160,0.090
Odisha,Dhenkanal,Odapada,6,Gadasila,0.090,15.280,12.060,2.930,0.040,0.000,15.040,0.240,0.000
Odisha,Dhenkanal,Odapada,7,Ghatipiri,0.180,28.550,24.230,4.100,0.040,0.000,28.370,0.180,0.020
Odisha,Dhenkanal,Odapada,8,Govbvd Prasad,0.070,16.720,14.060,2.570,0.000,0.000,16.630,0.090,0.130
Odisha,Dhenkanal,Odapada,9,Gunadei,0.130,16.260,10.750,5.360,0.020,0.000,16.130,0.130,0.020
Odisha,Dhenkanal,Odapada,10,Gundichapada,0.100,9.240,7.400,1.730,0.010,0.000,9.150,0.100,0.020
Odisha,Dhenkanal,Odapada,11,Indipur,0.130,63.210,53.590,9.370,0.120,0.000,63.080,0.130,0.120
Odisha,Dhenkanal,Odapada,12,Kadabindha,0.190,42.490,32.560,10.020,0.050,0.000,42.640,-0.140,0.050
Odisha,Dhenkanal,Odapada,13,Kalanga,0.100,60.950,47.960,15.860,0.160,0.000,63.990,-3.040,0.170
Odisha,Dhenkanal,Odapada,14,Kamalanga,0.000,6.630,4.460,2.160,0.010,0.000,6.630,0.000,0.000
Odisha,Dhenkanal,Odapada,15,Kasiadihi,0.000,12.840,11.160,12.660,0.110,0.000,23.930,-11.090,0.070
Odisha,Dhenkanal,Odapada,16,Khadag Prasad,2.620,24.990,19.590,2.750,0.000,0.000,22.340,2.650,0.050
Odisha,Dhenkanal,Odapada,17,Khuntujhari,0.000,32.090,28.330,3.670,0.000,0.000,32.000,0.090,0.100
Odisha,Dhenkanal,Odapada,18,Kottam,0.040,44.720,41.440,3.040,0.030,0.000,44.510,0.200,0.780
Odisha,Dhenkanal,Odapada,19,Kusupanga,0.200,4.350,4.200,4.590,0.040,0.000,8.840,-4.490,0.010
Odisha,Dhenkanal,Odapada,20,Mangalpur,2.190,10.170,5.370,2.530,0.000,0.000,7.900,2.270,0.070
Odisha,Dhenkanal,Odapada,21,Motonga,0.200,25.180,20.910,4.030,0.050,0.000,24.980,0.200,0.010
Odisha,Dhenkanal,Odapada,22,Nadhara,0.310,8.340,7.890,0.180,0.000,0.000,8.070,0.260,0.020
Odisha,Dhenkanal,Odapada,23,Nayabhagirathipur,0.000,17.720,13.160,6.420,0.030,0.000,19.620,-1.900,0.070
Odisha,Dhenkanal,Odapada,24,Nimindha,0.160,13.970,10.260,3.510,0.040,0.000,13.810,0.160,0.060
Odisha,Dhenkanal,Odapada,25,Odapada,0.210,15.010,9.080,5.690,0.030,0.000,14.800,0.210,0.000
Odisha,Dhenkanal,Odapada,26,Sadasibpur,0.020,28.130,23.240,4.540,0.020,0.000,27.800,0.330,0.230
Odisha,Dhenkanal,Odapada,27,Sibapur,0.000,15.430,15.280,12.880,0.080,0.000,28.240,-12.820,0.050
Odisha,Dhenkanal,Odapada,28,Siminai,0.200,13.290,8.780,4.280,0.010,0.000,13.070,0.220,0.020
Odisha,Dhenkanal,Odapada,,Total,9.090,616.800,487.920,151.890,1.070,0.000,640.870,-24.080,2.310
Odisha,Dhenkanal,Odapada,,Block Level Line Deptt.,-0.080,-0.080,126.800,130.720,0.610,2.180,260.310,-260.390,14.950
Odisha,Dhenkanal,Odapada,,Po,1.300,190.030,0.000,NA,NA,31.620,31.620,158.410,NA
Odisha,Dhenkanal,Odapada,,Grand Total,10.310,806.750,614.720,282.610,1.680,33.800,932.800,-126.060,17.260
Odisha,Dhenkanal,Parjanga,1,Akhuapal,0.150,57.870,37.700,43.660,0.250,0.000,81.610,-23.740,1.530
Odisha,Dhenkanal,Parjanga,2,Ambopalasa,0.010,40.710,23.010,17.580,0.130,0.000,40.720,-0.010,0.780
Odisha,Dhenkanal,Parjanga,3,Badajhara,0.000,22.170,12.950,11.490,0.140,0.000,24.580,-2.400,0.000
Odisha,Dhenkanal,Parjanga,4,Barihapur,0.000,19.030,17.110,1.900,0.020,0.000,19.030,0.000,0.700
Odisha,Dhenkanal,Parjanga,5,Basoi,0.000,19.540,15.770,4.100,0.030,0.000,19.900,-0.360,2.180
Odisha,Dhenkanal,Parjanga,6,Basulei,0.020,15.380,15.420,0.000,0.000,0.000,15.420,-0.040,1.100
Odisha,Dhenkanal,Parjanga,7,Chandapura,0.280,55.260,28.930,25.890,0.200,0.000,55.030,0.240,0.220
Odisha,Dhenkanal,Parjanga,8,Damal,0.000,21.910,12.360,9.480,0.070,0.000,21.910,0.000,0.110
Odisha,Dhenkanal,Parjanga,9,Gengutia,0.020,24.930,19.390,5.460,0.060,0.000,24.910,0.020,0.560
Odisha,Dhenkanal,Parjanga,10,Jayapura Kateni,0.000,18.590,20.880,31.000,0.130,0.000,52.010,-33.420,1.670
Odisha,Dhenkanal,Parjanga,11,Kalada,0.050,55.660,31.740,24.060,0.360,0.000,56.150,-0.490,1.260
Odisha,Dhenkanal,Parjanga,12,Kandarasingha,0.070,17.320,15.160,2.000,0.030,0.000,17.200,0.120,0.810
Odisha,Dhenkanal,Parjanga,13,Kankadasoda,0.430,25.210,26.290,21.950,0.310,0.000,48.560,-23.340,0.430
Odisha,Dhenkanal,Parjanga,14,Kankili,0.000,25.560,23.420,3.690,0.030,0.000,27.140,-1.580,0.570
Odisha,Dhenkanal,Parjanga,15,Kantor,0.040,13.210,14.090,8.600,0.120,0.000,22.810,-9.590,0.710
Odisha,Dhenkanal,Parjanga,16,Kualo,0.380,47.650,15.900,31.660,0.320,0.000,47.870,-0.220,1.520
Odisha,Dhenkanal,Parjanga,17,Kumushi,0.330,25.100,25.000,5.810,0.060,0.000,30.870,-5.770,0.070
Odisha,Dhenkanal,Parjanga,18,Lodhani,0.000,22.140,21.490,0.650,0.000,0.000,22.140,0.000,1.140
Odisha,Dhenkanal,Parjanga,19,Manikmara,0.040,21.830,17.670,3.720,0.000,0.000,21.390,0.440,1.110
Odisha,Dhenkanal,Parjanga,20,Muktapasi,0.020,21.280,17.080,8.370,0.090,0.000,25.540,-4.260,0.030
Odisha,Dhenkanal,Parjanga,21,Mundeilo,0.000,26.310,22.850,5.980,0.060,0.000,28.890,-2.580,0.120
Odisha,Dhenkanal,Parjanga,22,Parjanga,0.020,50.500,22.160,28.100,0.230,0.000,50.490,0.010,0.970
Odisha,Dhenkanal,Parjanga,23,Patarpada,0.730,71.130,49.530,20.630,0.240,0.000,70.400,0.730,1.240
Odisha,Dhenkanal,Parjanga,24,Patharakhumba,0.000,18.620,16.020,7.900,0.090,0.000,24.010,-5.390,1.160
Odisha,Dhenkanal,Parjanga,25,Pitiri,0.010,27.270,18.590,8.210,0.100,0.000,26.890,0.380,0.440
Odisha,Dhenkanal,Parjanga,26,Renthapat,0.300,17.790,15.110,2.450,0.010,0.000,17.570,0.230,0.210
Odisha,Dhenkanal,Parjanga,27,Roda,0.140,15.030,10.780,6.720,0.060,0.000,17.550,-2.530,0.590
Odisha,Dhenkanal,Parjanga,28,Sanda,0.000,36.570,32.280,4.270,0.020,0.000,36.570,0.000,0.430
Odisha,Dhenkanal,Parjanga,29,Saranga,0.000,11.690,12.200,4.400,0.050,0.000,16.640,-4.960,0.170
Odisha,Dhenkanal,Parjanga,,Total,3.040,845.270,610.870,349.720,3.180,0.000,963.780,-118.510,21.860
Odisha,Dhenkanal,Parjanga,,Block Level Line Deptt.,5.020,5.020,49.100,21.300,0.210,0.000,70.610,-65.590,4.710
Odisha,Dhenkanal,Parjanga,,Po,3.620,187.360,0.000,NA,NA,38.570,38.570,148.790,NA
Odisha,Dhenkanal,Parjanga,,Grand Total,11.680,1037.650,659.970,371.020,3.390,38.570,1072.960,-35.310,26.570
Odisha,Gajapati,Gosani,1,Agarakhandi,0.000,5.810,5.810,0.000,0.000,0.000,5.810,0.000,0.290
Odisha,Gajapati,Gosani,2,Bada Gosani,0.000,10.840,10.110,0.760,0.020,0.000,10.880,-0.040,2.790
Odisha,Gajapati,Gosani,3,Bada Koturu,0.000,9.330,7.910,1.360,0.050,0.000,9.330,0.000,0.060
Odisha,Gajapati,Gosani,4,Bagasala,0.000,3.590,2.560,1.130,0.010,0.000,3.690,-0.100,0.160
Odisha,Gajapati,Gosani,5,Bhuskudi,0.000,3.650,3.650,0.000,0.000,0.000,3.650,0.000,0.010
Odisha,Gajapati,Gosani,6,Bomika,0.000,9.180,8.640,0.520,0.020,0.000,9.180,0.000,0.540
Odisha,Gajapati,Gosani,7,Garabandha,0.000,11.390,10.950,0.440,0.000,0.000,11.390,0.000,0.240
Odisha,Gajapati,Gosani,8,Ghorani,0.000,8.050,8.050,0.000,0.000,0.000,8.050,0.000,0.440
Odisha,Gajapati,Gosani,9,Gurandi,0.000,6.710,6.710,0.000,0.000,0.000,6.710,0.000,0.790
Odisha,Gajapati,Gosani,10,Kantragada,0.000,8.270,8.270,0.360,0.000,0.000,8.630,-0.360,0.380
Odisha,Gajapati,Gosani,11,Katala Kaitha,0.000,38.390,34.750,3.590,0.060,0.000,38.390,0.000,0.110
Odisha,Gajapati,Gosani,12,Kerandi,0.000,10.510,10.410,0.110,0.000,0.000,10.510,0.000,0.140
Odisha,Gajapati,Gosani,13,Kharasanda,0.000,18.510,13.610,4.810,0.080,0.000,18.510,0.000,0.040
Odisha,Gajapati,Gosani,14,Labanyagada,0.000,16.120,15.600,0.510,0.020,0.000,16.120,0.000,0.960
Odisha,Gajapati,Gosani,15,Machamara,0.000,8.850,8.850,0.000,0.000,0.000,8.850,0.000,0.400
Odisha,Gajapati,Gosani,16,Madhusudanpur,0.000,11.620,11.280,0.330,0.010,0.000,11.620,0.000,0.750
Odisha,Gajapati,Gosani,17,Rampa,0.000,21.720,21.890,1.810,0.020,0.000,23.720,-2.000,0.610
Odisha,Gajapati,Gosani,18,Saradhapur,0.000,6.800,6.800,0.000,0.000,0.000,6.800,0.000,0.010
Odisha,Gajapati,Gosani,19,Sobara,0.000,24.560,24.470,0.080,0.010,0.000,24.560,0.000,1.070
Odisha,Gajapati,Gosani,20,Tatipetti,0.000,8.860,8.860,0.000,0.000,0.000,8.860,0.000,0.190
Odisha,Gajapati,Gosani,21,Uppalada,0.000,18.220,17.730,1.880,0.010,0.000,19.630,-1.410,0.510
Odisha,Gajapati,Gosani,,Total,0.000,260.980,246.900,17.690,0.300,0.000,264.890,-3.910,10.490
Odisha,Gajapati,Gosani,,Block Level Line Deptt.,0.000,0.000,35.300,19.000,0.000,0.000,54.290,-54.290,1.380
Odisha,Gajapati,Gosani,,Po,-0.100,26.660,0.000,NA,NA,23.000,23.000,3.660,NA
Odisha,Gajapati,Gosani,,Grand Total,-0.100,287.640,282.200,36.690,0.300,23.000,342.180,-54.540,11.870
Odisha,Gajapati,Gumma,1,Ajayagada,0.000,35.080,21.110,13.750,0.000,0.000,34.870,0.210,1.580
Odisha,Gajapati,Gumma,2,Badakolakote,0.000,38.910,30.820,8.010,0.000,0.000,38.830,0.090,0.690
Odisha,Gajapati,Gumma,3,Baijhal,0.000,7.960,7.290,0.630,0.000,0.000,7.920,0.040,1.140
Odisha,Gajapati,Gumma,4,Bhuvani,0.000,64.670,61.520,3.380,0.000,0.000,64.900,-0.230,1.330
Odisha,Gajapati,Gumma,5,Brusava,0.000,28.400,25.950,1.500,0.000,0.000,27.450,0.950,3.950
Odisha,Gajapati,Gumma,6,Dumbada,0.000,21.280,19.360,1.900,0.000,0.000,21.270,0.020,0.840
Odisha,Gajapati,Gumma,7,Gaiba,0.000,20.560,18.660,1.900,0.000,0.000,20.560,0.000,0.320
Odisha,Gajapati,Gumma,8,Gumma,0.000,20.890,20.860,0.000,0.000,0.000,20.860,0.030,0.550
Odisha,Gajapati,Gumma,9,Jeeba,0.000,16.930,16.610,0.230,0.000,0.000,16.840,0.090,0.220
Odisha,Gajapati,Gumma,10,Jhami,0.000,6.640,4.830,1.800,0.000,0.000,6.630,0.010,0.050
Odisha,Gajapati,Gumma,11,Kujasingi,0.000,32.460,19.530,10.770,0.000,0.000,30.300,2.160,0.690
Odisha,Gajapati,Gumma,12,Munisingi,0.000,16.760,16.130,0.520,0.000,0.000,16.650,0.110,0.340
Odisha,Gajapati,Gumma,13,Namanagada,0.000,8.460,8.350,0.000,0.000,0.000,8.350,0.110,0.150
Odisha,Gajapati,Gumma,14,Parida,0.000,34.370,28.850,5.400,0.000,0.000,34.250,0.120,0.750
Odisha,Gajapati,Gumma,15,Ragidi,0.000,9.130,8.320,0.590,0.000,0.000,8.900,0.230,0.120
Odisha,Gajapati,Gumma,16,Serango,0.000,10.590,10.530,0.100,0.000,0.000,10.630,-0.050,0.180
Odisha,Gajapati,Gumma,17,Tarangada,0.000,9.380,8.200,1.020,0.000,0.000,9.220,0.160,0.110
Odisha,Gajapati,Gumma,18,Tarava,0.000,14.780,11.830,2.950,0.000,0.000,14.780,0.010,0.020
Odisha,Gajapati,Gumma,19,Tumula,0.000,49.120,46.910,1.100,0.000,0.000,48.010,1.110,1.020
Odisha,Gajapati,Gumma,20,Ukhura,0.000,31.930,27.830,4.100,0.000,0.000,31.930,0.000,0.500
Odisha,Gajapati,Gumma,,Total,0.000,478.310,413.500,59.640,0.000,0.000,473.140,5.170,14.580
Odisha,Gajapati,Gumma,,Block Level Line Deptt.,0.000,0.000,178.200,212.640,5.470,0.000,396.310,-396.310,2.830
Odisha,Gajapati,Gumma,,Po,-4.600,94.990,0.000,NA,NA,35.030,35.030,59.960,NA
Odisha,Gajapati,Gumma,,Grand Total,-4.600,573.300,591.700,272.280,5.470,35.030,904.480,-331.180,17.410
Odisha,Gajapati,Kashinagar,1,Alada,0.000,22.550,16.050,7.650,0.000,0.000,23.700,-1.150,1.420
Odisha,Gajapati,Kashinagar,2,Budura,0.000,8.070,11.720,0.240,0.000,0.000,11.960,-3.890,1.450
Odisha,Gajapati,Kashinagar,3,Goribandha,0.000,9.270,8.520,3.840,0.000,0.000,12.360,-3.090,0.180
Odisha,Gajapati,Kashinagar,4,Hadubhangi,0.000,10.860,5.270,5.600,0.000,0.000,10.860,0.000,0.230
Odisha,Gajapati,Kashinagar,5,K.Sitapur,0.000,29.860,19.090,10.770,0.000,0.000,29.860,0.000,1.330
Odisha,Gajapati,Kashinagar,6,Khandava,0.000,15.290,14.820,0.470,0.000,0.000,15.290,0.000,0.420
Odisha,Gajapati,Kashinagar,7,Kharada,0.000,40.740,17.660,23.030,0.000,0.000,40.690,0.060,0.390
Odisha,Gajapati,Kashinagar,8,Kidigam,0.000,17.870,17.870,0.000,0.000,0.000,17.870,0.000,0.110
Odisha,Gajapati,Kashinagar,9,Parthada,0.000,11.490,7.750,3.660,0.000,0.000,11.410,0.080,0.620
Odisha,Gajapati,Kashinagar,10,Ranipeta,0.000,14.010,11.680,2.460,0.000,0.000,14.130,-0.120,0.350
Odisha,Gajapati,Kashinagar,11,Siali,0.000,36.790,27.520,10.860,0.000,0.000,38.380,-1.590,2.420
Odisha,Gajapati,Kashinagar,12,Sidhamadanga,0.000,8.030,7.880,0.150,0.000,0.000,8.030,0.000,0.250
Odisha,Gajapati,Kashinagar,,Total,0.000,224.840,165.830,68.720,0.000,0.000,234.550,-9.710,9.170
Odisha,Gajapati,Kashinagar,,Block Level Line Deptt.,0.000,0.000,95.940,91.150,0.000,0.900,188.000,-188.000,1.270
Odisha,Gajapati,Kashinagar,,Po,-8.940,-0.790,0.000,NA,NA,8.150,8.150,-8.940,NA
Odisha,Gajapati,Kashinagar,,Grand Total,-8.940,224.050,261.770,159.870,0.000,9.050,430.700,-206.650,10.440
Odisha,Gajapati,Mohana,1,Adava,0.000,19.420,18.860,0.000,0.000,0.000,18.860,0.560,0.450
Odisha,Gajapati,Mohana,2,Aligonda,0.000,27.590,24.000,3.300,0.000,0.000,27.300,0.290,1.480
Odisha,Gajapati,Mohana,3,Antaraba,0.000,22.250,19.700,2.250,0.000,0.000,21.950,0.300,0.610
Odisha,Gajapati,Mohana,4,Badakhani,0.000,15.350,15.050,0.010,0.000,0.000,15.060,0.280,0.520
Odisha,Gajapati,Mohana,5,Badasindhiba,0.000,13.590,11.680,1.790,0.000,0.000,13.470,0.120,0.130
Odisha,Gajapati,Mohana,6,Badeguda,0.000,7.960,7.930,0.030,0.000,0.000,7.960,0.000,0.170
Odisha,Gajapati,Mohana,7,Baghamari,0.000,18.810,18.430,0.220,0.000,0.000,18.650,0.160,0.280
Odisha,Gajapati,Mohana,8,Birikote,0.000,26.170,20.570,5.540,0.000,0.000,26.110,0.060,1.280
Odisha,Gajapati,Mohana,9,Chandiput,0.000,14.450,14.300,0.000,0.000,0.000,14.300,0.150,0.450
Odisha,Gajapati,Mohana,10,Chandragiri,0.000,10.180,8.610,1.570,0.000,0.000,10.180,0.000,0.120
Odisha,Gajapati,Mohana,11,Chudangapur,0.000,12.630,9.960,2.010,0.000,0.000,11.970,0.660,0.270
Odisha,Gajapati,Mohana,12,Damadua,0.000,20.020,20.020,0.000,0.000,0.000,20.020,0.000,0.390
Odisha,Gajapati,Mohana,13,Dambaguda,0.000,23.980,18.630,4.340,0.000,0.000,22.970,1.010,0.570
Odisha,Gajapati,Mohana,14,Dengaskhal,0.000,24.000,15.020,8.640,0.000,0.000,23.670,0.330,0.640
Odisha,Gajapati,Mohana,15,Dhadiambo,0.000,4.610,4.600,0.000,0.000,0.000,4.600,0.010,1.660
Odisha,Gajapati,Mohana,16,Dhepaguda,0.000,36.880,27.230,8.670,0.000,0.000,35.900,0.980,0.640
Odisha,Gajapati,Mohana,17,Gardama,0.000,60.580,35.680,19.740,0.000,0.000,55.420,5.160,4.820
Odisha,Gajapati,Mohana,18,Govindapur,0.000,18.900,14.340,4.550,0.000,0.000,18.890,0.010,0.880
Odisha,Gajapati,Mohana,19,Guluba,0.000,21.020,20.070,0.000,0.000,0.000,20.070,0.950,3.110
Odisha,Gajapati,Mohana,20,Gurujhuli,0.000,3.420,1.860,1.020,0.000,0.000,2.880,0.540,0.040
Odisha,Gajapati,Mohana,21,Jarrow,0.000,5.880,5.880,0.000,0.000,0.000,5.880,0.000,0.130
Odisha,Gajapati,Mohana,22,Jeeranga,0.000,12.970,12.490,0.430,0.000,0.000,12.910,0.050,0.360
Odisha,Gajapati,Mohana,23,Juba,0.000,6.370,6.370,0.000,0.000,0.000,6.370,0.000,0.090
Odisha,Gajapati,Mohana,24,Karchabadi,0.000,21.630,20.810,0.410,0.000,0.000,21.220,0.410,0.390
Odisha,Gajapati,Mohana,25,Kattama,0.000,2.930,2.800,0.080,0.000,0.000,2.880,0.050,0.670
Odisha,Gajapati,Mohana,26,Kesariguda,0.000,25.400,19.290,6.110,0.000,0.000,25.400,0.000,0.200
Odisha,Gajapati,Mohana,27,Khariguda,0.000,10.270,9.930,0.210,0.000,0.000,10.140,0.140,0.390
Odisha,Gajapati,Mohana,28,Liliguda,0.000,15.410,15.420,0.090,0.000,0.000,15.510,-0.100,0.160
Odisha,Gajapati,Mohana,29,Lobarsingi,-0.040,10.030,9.300,0.550,0.000,0.000,9.840,0.190,0.530
Odisha,Gajapati,Mohana,30,Luhagudi,0.000,30.460,26.320,4.330,0.000,0.000,30.650,-0.190,2.290
Odisha,Gajapati,Mohana,31,Malasapadar,0.000,7.100,6.690,0.000,0.000,0.000,6.690,0.420,0.360
Odisha,Gajapati,Mohana,32,Mandimera,0.000,0.380,0.380,0.000,0.000,0.000,0.380,0.000,0.010
Odisha,Gajapati,Mohana,33,Manikapur,0.000,3.730,3.740,0.000,0.000,0.000,3.740,-0.010,0.090
Odisha,Gajapati,Mohana,34,Merapalli,0.000,29.960,27.300,2.410,0.000,0.000,29.710,0.240,0.450
Odisha,Gajapati,Mohana,35,Mohana,0.000,13.090,12.660,0.000,0.000,0.000,12.660,0.430,1.290
Odisha,Gajapati,Mohana,36,Paniganda,0.000,15.340,11.600,3.660,0.000,0.000,15.250,0.090,1.920
Odisha,Gajapati,Mohana,37,Pindiki,0.000,16.780,11.280,4.910,0.000,0.000,16.190,0.580,0.500
Odisha,Gajapati,Mohana,38,Raipanka,0.000,7.320,7.230,0.000,0.000,0.000,7.230,0.090,1.100
Odisha,Gajapati,Mohana,39,Sikulipadar,0.000,29.600,26.480,1.210,0.000,0.000,27.690,1.910,2.790
Odisha,Gajapati,Mohana,,Total,-0.040,666.490,562.510,88.100,0.000,0.000,650.600,15.880,32.250
Odisha,Gajapati,Mohana,,Block Level Line Deptt.,0.000,0.000,110.460,165.130,0.000,0.000,275.590,-275.590,8.970
Odisha,Gajapati,Mohana,,Po,-9.920,112.120,0.000,NA,NA,37.110,37.110,75.010,NA
Odisha,Gajapati,Mohana,,Grand Total,-9.960,778.610,672.970,253.230,0.000,37.110,963.300,-184.700,41.220
Odisha,Gajapati,Nuagada,1,Anuguru,0.000,2.340,2.340,0.000,0.000,0.000,2.340,0.000,0.120
Odisha,Gajapati,Nuagada,2,Attarsingi,0.000,11.230,7.280,3.960,0.000,0.000,11.250,-0.020,3.950
Odisha,Gajapati,Nuagada,3,Badapada,0.000,38.780,27.070,11.370,0.000,0.000,38.440,0.340,1.440
Odisha,Gajapati,Nuagada,4,Betarsingi,0.000,26.640,18.490,8.190,0.000,0.000,26.680,-0.040,2.110
Odisha,Gajapati,Nuagada,5,K Jhalrasing,0.000,8.910,7.820,1.040,0.000,0.000,8.860,0.050,0.110
Odisha,Gajapati,Nuagada,6,Keradang,0.000,24.940,20.230,4.680,0.000,0.000,24.910,0.030,0.200
Odisha,Gajapati,Nuagada,7,Khajuripada,0.000,23.170,17.360,5.630,0.000,0.000,22.990,0.180,0.590
Odisha,Gajapati,Nuagada,8,Kirama,0.000,4.230,3.800,0.440,0.000,0.000,4.230,0.000,0.100
Odisha,Gajapati,Nuagada,9,Luhangar,0.000,49.000,33.250,15.680,0.000,0.000,48.930,0.060,0.750
Odisha,Gajapati,Nuagada,10,Nuagada,0.000,139.520,52.010,87.590,0.000,0.000,139.610,-0.090,1.220
Odisha,Gajapati,Nuagada,11,Paik Antarada,0.000,82.410,39.210,43.110,0.000,0.000,82.330,0.090,0.440
Odisha,Gajapati,Nuagada,12,Parimala,0.000,15.980,15.630,0.350,0.000,0.000,15.980,0.000,0.020
Odisha,Gajapati,Nuagada,13,Putrupada,0.000,51.110,37.220,13.890,0.000,0.000,51.110,0.000,3.350
Odisha,Gajapati,Nuagada,14,Sambalpur,0.000,19.830,19.830,0.000,0.000,0.000,19.830,0.000,0.840
Odisha,Gajapati,Nuagada,15,Sundardanga,0.000,6.630,6.630,0.000,0.000,0.000,6.630,0.000,0.280
Odisha,Gajapati,Nuagada,16,Tabarada,0.000,146.870,73.060,73.950,0.000,0.000,147.010,-0.140,2.080
Odisha,Gajapati,Nuagada,17,Tangili,0.000,21.620,12.640,9.180,0.000,0.000,21.820,-0.200,0.320
Odisha,Gajapati,Nuagada,18,Titisingi,0.000,59.650,40.400,18.900,0.000,0.000,59.300,0.350,0.330
