Name of The State ,Name of The District,Name of The Block,Number of Gram Panchayats,Name  of Gram Panchayats,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20
Odisha,Bolangir,Bangomunda,8,Bhuslad,2.990,170.950,116.940,50.640,0.490,0.000,168.070,2.880,0.560
Odisha,Bolangir,Bangomunda,9,Biripali,2.930,25.230,21.900,0.000,0.000,0.000,21.890,3.340,1.860
Odisha,Bolangir,Bangomunda,10,Chandotara,2.360,42.400,40.010,0.000,0.000,0.000,40.010,2.390,0.300
Odisha,Bolangir,Bangomunda,11,Chulifunka,4.890,51.640,41.840,4.860,0.050,0.000,46.750,4.890,0.260
Odisha,Bolangir,Bangomunda,12,Dedgaon,0.260,88.940,65.850,22.860,0.000,0.000,88.710,0.230,0.120
Odisha,Bolangir,Bangomunda,13,Gandharabandh,0.000,24.120,25.140,5.890,0.000,0.000,31.030,-6.910,0.260
Odisha,Bolangir,Bangomunda,14,Gandharla,0.500,90.700,83.980,6.320,0.000,0.000,90.290,0.410,1.320
Odisha,Bolangir,Bangomunda,15,Jamkhunta,4.100,55.000,40.440,10.450,0.000,0.000,50.890,4.100,2.050
Odisha,Bolangir,Bangomunda,16,Jhalap,0.580,62.220,48.830,12.820,0.000,0.000,61.640,0.580,0.820
Odisha,Bolangir,Bangomunda,17,Jharial,1.670,27.050,24.160,1.760,0.000,0.000,25.910,1.140,2.330
Odisha,Bolangir,Bangomunda,18,Jurabandh,0.830,39.140,32.710,5.960,0.000,0.000,38.670,0.470,0.390
Odisha,Bolangir,Bangomunda,19,Kansil,0.000,29.970,30.250,0.000,0.000,0.000,30.250,-0.280,0.130
Odisha,Bolangir,Bangomunda,20,Kapilbhata,-0.480,82.200,54.780,27.900,0.000,0.000,82.680,-0.480,0.680
Odisha,Bolangir,Bangomunda,21,Khaira,1.000,36.980,34.500,1.460,0.000,0.000,35.960,1.020,0.240
Odisha,Bolangir,Bangomunda,22,Kundabutula,6.690,22.620,14.910,0.000,0.000,0.000,14.910,7.710,2.210
Odisha,Bolangir,Bangomunda,23,Mundapadar,-0.040,48.360,36.690,11.800,0.000,0.000,48.490,-0.130,3.410
Odisha,Bolangir,Bangomunda,24,Sindhekela,4.190,56.580,48.100,4.290,0.000,0.000,52.390,4.190,0.260
Odisha,Bolangir,Bangomunda,25,Themra,-0.210,111.640,81.470,30.580,0.000,0.000,112.050,-0.410,2.500
Odisha,Bolangir,Bangomunda,26,Turekela,0.000,39.160,32.340,6.890,0.000,0.000,39.230,-0.070,0.620
Odisha,Bolangir,Bangomunda,,Total,26.200,1457.930,1176.700,260.450,1.400,0.000,1438.540,19.390,27.760
Odisha,Bolangir,Bangomunda,,Block Level Line Deptt.,-103.710,-103.710,225.890,94.910,0.670,0.000,321.470,-425.180,9.540
Odisha,Bolangir,Bangomunda,,Po,0.750,254.580,0.000,NA,NA,38.980,38.980,215.600,NA
Odisha,Bolangir,Bangomunda,,Grand Total,-76.770,1608.810,1402.590,355.360,2.070,38.980,1798.990,-190.190,37.300
Odisha,Bolangir,Belpara,1,Bagdor,-0.150,65.070,54.000,11.220,0.000,0.000,65.220,-0.150,0.260
Odisha,Bolangir,Belpara,2,Bahabal,-0.240,37.650,37.780,0.000,0.000,0.000,37.780,-0.140,0.000
Odisha,Bolangir,Belpara,3,Balikhamar,0.000,9.210,9.300,0.000,0.000,0.000,9.300,-0.090,1.320
Odisha,Bolangir,Belpara,4,Beheramunda,0.670,39.360,38.700,0.000,0.000,0.000,38.700,0.670,0.220
Odisha,Bolangir,Belpara,5,Belpada,3.010,33.710,28.040,2.350,0.000,0.000,30.390,3.320,1.240
Odisha,Bolangir,Belpara,6,Bharuapali,-0.080,28.800,28.900,0.000,0.000,0.000,28.900,-0.100,0.890
