s_state,s_district,s_block,Sl.No,s_gp,SC,ST,Minority,Others,Total,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,dhenkanal,parjanga,3,badajhara,5.9,1.3,0,35.1,42.3,2079,dhenkanal,parjanga,badajhara
odisha,dhenkanal,parjanga,4,barihapur,22.5,1.7,0,86.6,110.8,2080,dhenkanal,parjanga,barihapur
odisha,dhenkanal,parjanga,5,basoi,28.1,0,0,130.6,158.7,2081,dhenkanal,parjanga,basoi
odisha,dhenkanal,parjanga,6,basulei,7.9,26.4,0,49.4,83.7,2082,dhenkanal,parjanga,basulei
odisha,dhenkanal,parjanga,7,chandapura,65.4,0,0,49.5,114.9,2083,dhenkanal,parjanga,chandapura
odisha,dhenkanal,parjanga,8,damal,12.5,0,0,24.2,36.7,2084,dhenkanal,parjanga,damal
odisha,dhenkanal,parjanga,9,gengutia,24.6,0,0,63.5,88.1,2085,dhenkanal,parjanga,gengutia
odisha,dhenkanal,parjanga,10,jayapura kateni,27,33.7,0,77.5,138.2,2086,dhenkanal,parjanga,jayapura kateni
odisha,dhenkanal,parjanga,11,kalada,40.6,0,0,75.5,116.1,2087,dhenkanal,parjanga,kalada
odisha,dhenkanal,parjanga,12,kandarasingha,12.4,0,0,48.1,60.5,2088,dhenkanal,parjanga,kandarasingha
odisha,dhenkanal,parjanga,13,kankadasoda,38.2,19.6,0,18.8,76.6,2089,dhenkanal,parjanga,kankadasoda
odisha,dhenkanal,parjanga,14,kankili,15.7,0.9,0,81.1,97.7,2090,dhenkanal,parjanga,kankili
odisha,dhenkanal,parjanga,15,kantor,10.5,2.3,0,47.7,60.5,2091,dhenkanal,parjanga,kantor
odisha,dhenkanal,parjanga,16,kualo,14.1,2.4,0,46.6,63.1,2092,dhenkanal,parjanga,kualo
odisha,dhenkanal,parjanga,17,kumushi,66.2,1.3,0,60.6,128.1,2093,dhenkanal,parjanga,kumushi
odisha,dhenkanal,parjanga,18,lodhani,18,2,0,91.5,111.5,2094,dhenkanal,parjanga,lodhani
odisha,dhenkanal,parjanga,19,manikmara,32.7,5.9,0,39.8,78.4,2095,dhenkanal,parjanga,manikmara
odisha,dhenkanal,parjanga,20,muktapasi,17.6,2.2,0,65.5,85.3,2096,dhenkanal,parjanga,muktapasi
odisha,dhenkanal,parjanga,21,mundeilo,22.1,16.6,0,31.9,70.6,2097,dhenkanal,parjanga,mundeilo
odisha,dhenkanal,parjanga,22,parjanga,41,12.2,0,61.8,115,2098,dhenkanal,parjanga,parjanga
odisha,dhenkanal,parjanga,23,patarpada,48,0,0,174.3,222.3,2099,dhenkanal,parjanga,patarpada
odisha,dhenkanal,parjanga,24,patharakhumba,15.6,16.9,0,49.1,81.6,2100,dhenkanal,parjanga,patharakhumba
odisha,dhenkanal,parjanga,25,pitiri,46.4,1.4,0,47.8,95.6,2101,dhenkanal,parjanga,pitiri
odisha,dhenkanal,parjanga,26,renthapat,37.4,6.3,0,44.3,88,2102,dhenkanal,parjanga,renthapat
odisha,dhenkanal,parjanga,27,roda,10.6,0.5,0,36.6,47.7,2103,dhenkanal,parjanga,roda
odisha,dhenkanal,parjanga,28,sanda,127.8,34.7,0,74.8,237.3,2104,dhenkanal,parjanga,sanda
odisha,dhenkanal,parjanga,29,saranga,14.1,0,0,39.7,53.8,2105,dhenkanal,parjanga,saranga
odisha,gajapati,gosani,1,agarakhandi,0,0,0,2.5,2.5,2106,gajapati,gosani,agarakhandi
odisha,gajapati,gosani,2,bada gosani,0,0,0,13.95,13.95,2107,gajapati,gosani,bada gosani
odisha,gajapati,gosani,3,bada koturu,0,0,0,15.1,15.1,2108,gajapati,gosani,bada koturu
odisha,gajapati,gosani,4,bagasala,0,0,0,7.65,7.65,2109,gajapati,gosani,bagasala
odisha,gajapati,gosani,5,bhuskudi,1,0,0,5.45,6.45,2110,gajapati,gosani,bhuskudi
odisha,gajapati,gosani,6,bomika,0.3,0.2,0,6.25,6.75,2111,gajapati,gosani,bomika
odisha,gajapati,gosani,7,garabandha,0,0,0,14.45,14.45,2112,gajapati,gosani,garabandha
odisha,gajapati,gosani,8,ghorani,3.1,0,0,4.55,7.65,2113,gajapati,gosani,ghorani
odisha,gajapati,gosani,9,kantragada,0,0,0,1.05,1.05,2114,gajapati,gosani,kantragada
odisha,gajapati,gosani,10,katala kaitha,0,0,0,20.7,20.7,2115,gajapati,gosani,katala kaitha
odisha,gajapati,gosani,11,kerandi,0,0,0,12.65,12.65,2116,gajapati,gosani,kerandi
odisha,gajapati,gosani,12,kharasanda,0,0,0,11.45,11.45,2117,gajapati,gosani,kharasanda
odisha,gajapati,gosani,13,labanyagada,1.4,0,0,36.4,37.8,2118,gajapati,gosani,labanyagada
odisha,gajapati,gosani,14,machamara,0,0,0,2.95,2.95,2119,gajapati,gosani,machamara
odisha,gajapati,gosani,15,madhusudanpur,0.65,0,0,8.3,8.95,2120,gajapati,gosani,madhusudanpur
odisha,gajapati,gosani,16,rampa,1.6,0,0,3.4,5,2121,gajapati,gosani,rampa
odisha,gajapati,gosani,17,saradhapur,0,0,0,5.65,5.65,2122,gajapati,gosani,saradhapur
odisha,gajapati,gosani,18,sobara,0.5,0,0,15.95,16.45,2123,gajapati,gosani,sobara
odisha,gajapati,gosani,19,tatipetti,0,0,0,5.45,5.45,2124,gajapati,gosani,tatipetti
odisha,gajapati,gosani,20,uppalada,4.4,5.45,0,10.1,19.95,2125,gajapati,gosani,uppalada
odisha,gajapati,gosani,21,gurandi,NA,NA,NA,NA,NA,2126,gajapati,gosani,gurandi
odisha,gajapati,gumma,1,ajayagada,0,0.2,1.1,20.75,22.05,2127,gajapati,gumma,ajayagada
odisha,gajapati,gumma,2,badakolakote,0,0,0,1.65,1.65,2128,gajapati,gumma,badakolakote
odisha,gajapati,gumma,3,baijhal,0,0,0,0.3,0.3,2129,gajapati,gumma,baijhal
odisha,gajapati,gumma,4,bhuvani,0,0,0,1.35,1.35,2130,gajapati,gumma,bhuvani
odisha,gajapati,gumma,5,brusava,0,0,0,37.55,37.55,2131,gajapati,gumma,brusava
odisha,gajapati,gumma,6,dumbada,0,0,0,6.5,6.5,2132,gajapati,gumma,dumbada
odisha,gajapati,gumma,7,gaiba,0,0,0.75,5.4,6.15,2133,gajapati,gumma,gaiba
odisha,gajapati,gumma,8,gumma,0,0,11.6,0.75,12.35,2134,gajapati,gumma,gumma
odisha,gajapati,gumma,9,jeeba,0.2,0,2.2,76.85,79.25,2135,gajapati,gumma,jeeba
odisha,gajapati,gumma,10,jhami,0.3,0,0,12.25,12.55,2136,gajapati,gumma,jhami
odisha,gajapati,gumma,11,kujasingi,0,0,0,32.55,32.55,2137,gajapati,gumma,kujasingi
odisha,gajapati,gumma,12,munisingi,0,0,0,2.05,2.05,2138,gajapati,gumma,munisingi
odisha,gajapati,gumma,13,namanagada,0,0.2,0.75,17.1,18.05,2139,gajapati,gumma,namanagada
odisha,gajapati,gumma,14,parida,0.3,0,3.5,45.2,49,2140,gajapati,gumma,parida
odisha,gajapati,gumma,15,ragidi,0,0,0,8.15,8.15,2141,gajapati,gumma,ragidi
odisha,gajapati,gumma,16,serango,0,0,2.1,4.7,6.8,2142,gajapati,gumma,serango
odisha,gajapati,gumma,17,tarangada,0,0,0,3.2,3.2,2143,gajapati,gumma,tarangada
odisha,gajapati,gumma,18,tarava,0,0.9,0,0.65,1.55,2144,gajapati,gumma,tarava
odisha,gajapati,gumma,19,tumula,0,0,0,1.5,1.5,2145,gajapati,gumma,tumula
odisha,gajapati,gumma,20,ukhura,0,0,0,7.75,7.75,2146,gajapati,gumma,ukhura
odisha,gajapati,kashinagar,1,alada,1.7,5,0,46.3,53,2147,gajapati,kashinagar,alada
odisha,gajapati,kashinagar,2,budura,0.3,0,0,48.9,49.2,2148,gajapati,kashinagar,budura
odisha,gajapati,kashinagar,3,goribandha,0,0,0,31.2,31.2,2149,gajapati,kashinagar,goribandha
odisha,gajapati,kashinagar,4,hadubhangi,0.75,0,0,15.15,15.9,2150,gajapati,kashinagar,hadubhangi
odisha,gajapati,kashinagar,5,k.sitapur,2.7,2,0,33.95,38.65,2151,gajapati,kashinagar,k.sitapur
odisha,gajapati,kashinagar,6,khandava,10.85,2.55,0,52.1,65.5,2152,gajapati,kashinagar,khandava
odisha,gajapati,kashinagar,7,kharada,3.35,0.2,0.8,26.45,30.8,2153,gajapati,kashinagar,kharada
odisha,gajapati,kashinagar,8,kidigam,0.9,0,0,62.85,63.75,2154,gajapati,kashinagar,kidigam
odisha,gajapati,kashinagar,9,parthada,0,0,0,3.45,3.45,2155,gajapati,kashinagar,parthada
odisha,gajapati,kashinagar,10,ranipeta,12.05,1.1,0,20.05,33.2,2156,gajapati,kashinagar,ranipeta
odisha,gajapati,kashinagar,11,siali,3,0,1,126.5,130.5,2157,gajapati,kashinagar,siali
odisha,gajapati,kashinagar,12,sidhamadanga,0.75,1.3,0,9,11.05,2158,gajapati,kashinagar,sidhamadanga
odisha,gajapati,mohana,1,adava,0,0,0,51.3,51.3,2159,gajapati,mohana,adava
odisha,gajapati,mohana,2,aligonda,0,9.95,14.1,58.65,82.7,2160,gajapati,mohana,aligonda
odisha,gajapati,mohana,3,antaraba,0,5.65,0,29.1,34.75,2161,gajapati,mohana,antaraba
odisha,gajapati,mohana,4,badakhani,0,9.75,0,91.5,101.25,2162,gajapati,mohana,badakhani
odisha,gajapati,mohana,5,badasindhiba,0,8.35,0,32.05,40.4,2163,gajapati,mohana,badasindhiba
odisha,gajapati,mohana,6,badeguda,0,25.35,0,5.15,30.5,2164,gajapati,mohana,badeguda
odisha,gajapati,mohana,7,baghamari,0,0,0,22.35,22.35,2165,gajapati,mohana,baghamari
odisha,gajapati,mohana,8,birikote,0,1.9,0,30.95,32.85,2166,gajapati,mohana,birikote
odisha,gajapati,mohana,9,chandiput,0,0,0,107.3,107.3,2167,gajapati,mohana,chandiput
odisha,gajapati,mohana,10,chandragiri,0,1.45,0,25.15,26.6,2168,gajapati,mohana,chandragiri
odisha,gajapati,mohana,11,chudangapur,0,5.9,0,27.05,32.95,2169,gajapati,mohana,chudangapur
odisha,gajapati,mohana,12,damadua,0,4.8,0,49.8,54.6,2170,gajapati,mohana,damadua
odisha,gajapati,mohana,13,dambaguda,0,6.1,0,12.85,18.95,2171,gajapati,mohana,dambaguda
odisha,gajapati,mohana,14,dengaskhal,0,0,0,70.45,70.45,2172,gajapati,mohana,dengaskhal
odisha,gajapati,mohana,15,dhadiambo,0,0,0.3,3.95,4.25,2173,gajapati,mohana,dhadiambo
odisha,gajapati,mohana,16,dhepaguda,0,4.2,0,11.8,16,2174,gajapati,mohana,dhepaguda
odisha,gajapati,mohana,17,gardama,0,2.65,0,67.95,70.6,2175,gajapati,mohana,gardama
odisha,gajapati,mohana,18,govindapur,0.9,23.2,0,28.15,52.25,2176,gajapati,mohana,govindapur
odisha,gajapati,mohana,19,guluba,0,0,0,89.3,89.3,2177,gajapati,mohana,guluba
odisha,gajapati,mohana,20,gurujhuli,0,0,0,17.4,17.4,2178,gajapati,mohana,gurujhuli
odisha,gajapati,mohana,21,jarrow,0,0,0,18.25,18.25,2179,gajapati,mohana,jarrow
odisha,gajapati,mohana,22,jeeranga,0,3.1,0,8.15,11.25,2180,gajapati,mohana,jeeranga
odisha,gajapati,mohana,23,juba,0,0,0,15.9,15.9,2181,gajapati,mohana,juba
odisha,gajapati,mohana,24,karchabadi,0,28.35,0,30.35,58.7,2182,gajapati,mohana,karchabadi
odisha,gajapati,mohana,25,kattama,0,0,0,29.05,29.05,2183,gajapati,mohana,kattama
odisha,gajapati,mohana,26,kesariguda,0,21.35,0,6.2,27.55,2184,gajapati,mohana,kesariguda
odisha,gajapati,mohana,27,khariguda,0,0,1,28.75,29.75,2185,gajapati,mohana,khariguda
odisha,gajapati,mohana,28,liliguda,0.3,0,0.2,30.95,31.45,2186,gajapati,mohana,liliguda
odisha,gajapati,mohana,29,lobarsingi,0,0.55,0,7.55,8.1,2187,gajapati,mohana,lobarsingi
odisha,gajapati,mohana,30,luhagudi,3.3,5.1,0,105.45,113.85,2188,gajapati,mohana,luhagudi
odisha,gajapati,mohana,31,malasapadar,0,9.2,0,16.8,26,2189,gajapati,mohana,malasapadar
odisha,gajapati,mohana,32,mandimera,0,0,0,11.4,11.4,2190,gajapati,mohana,mandimera
odisha,gajapati,mohana,33,manikapur,0,0,0,23.4,23.4,2191,gajapati,mohana,manikapur
odisha,gajapati,mohana,34,merapalli,0,8.25,0,91.4,99.65,2192,gajapati,mohana,merapalli
odisha,gajapati,mohana,35,mohana,4.95,9.65,1,55.6,71.2,2193,gajapati,mohana,mohana
odisha,gajapati,mohana,36,paniganda,0,0,0,35.1,35.1,2194,gajapati,mohana,paniganda
odisha,gajapati,mohana,37,pindiki,0,0.75,0,34.6,35.35,2195,gajapati,mohana,pindiki
odisha,gajapati,mohana,38,raipanka,0,0,0,12.7,12.7,2196,gajapati,mohana,raipanka
odisha,gajapati,mohana,39,sikulipadar,0,0.3,0,77.05,77.35,2197,gajapati,mohana,sikulipadar
odisha,gajapati,nuagada,1,anuguru,3.75,17.45,0,0,21.2,2198,gajapati,nuagada,anuguru
odisha,gajapati,nuagada,2,attarsingi,0,0.2,0,1,1.2,2199,gajapati,nuagada,attarsingi
odisha,gajapati,nuagada,3,badapada,0,2.5,4.4,9.5,16.4,2200,gajapati,nuagada,badapada
odisha,gajapati,nuagada,4,betarsingi,0,51.7,0,0,51.7,2201,gajapati,nuagada,betarsingi
odisha,gajapati,nuagada,5,k jhalrasing,0,1.25,0,0.3,1.55,2202,gajapati,nuagada,k jhalrasing
odisha,gajapati,nuagada,6,keradang,0,1.1,0,0,1.1,2203,gajapati,nuagada,keradang
odisha,gajapati,nuagada,7,khajuripada,0,2.45,0,0.3,2.75,2204,gajapati,nuagada,khajuripada
odisha,gajapati,nuagada,8,kirama,14.7,7.75,0,11.05,33.5,2205,gajapati,nuagada,kirama
odisha,gajapati,nuagada,9,luhangar,0,1.35,0,0.2,1.55,2206,gajapati,nuagada,luhangar
odisha,gajapati,nuagada,10,nuagada,0,0,5.6,1,6.6,2207,gajapati,nuagada,nuagada
odisha,gajapati,nuagada,11,paik antarada,0,1.45,0,0,1.45,2208,gajapati,nuagada,paik antarada
odisha,gajapati,nuagada,12,parimala,2.2,8.25,0,0,10.45,2209,gajapati,nuagada,parimala
odisha,gajapati,nuagada,13,putrupada,0,1.35,0,1.55,2.9,2210,gajapati,nuagada,putrupada
odisha,gajapati,nuagada,14,sambalpur,1.35,9,7.8,0,18.15,2211,gajapati,nuagada,sambalpur
odisha,gajapati,nuagada,15,sundardanga,0,8.2,0,4.4,12.6,2212,gajapati,nuagada,sundardanga
odisha,gajapati,nuagada,16,tabarada,0,1.65,0,0,1.65,2213,gajapati,nuagada,tabarada
odisha,gajapati,nuagada,17,tangili,0,20.55,0,0,20.55,2214,gajapati,nuagada,tangili
odisha,gajapati,nuagada,18,titisingi,0,3.7,0,0,3.7,2215,gajapati,nuagada,titisingi
odisha,gajapati,nuagada,19,udayapur,0,22.4,10.05,1.15,33.6,2216,gajapati,nuagada,udayapur
odisha,gajapati,r. udayagiri,1,abarsing,0,3.85,0,0,3.85,2217,gajapati,r. udayagiri,abarsing
odisha,gajapati,r. udayagiri,2,anagha,0,1.05,0,0,1.05,2218,gajapati,r. udayagiri,anagha
odisha,gajapati,r. udayagiri,3,bastriguda,0,0.8,0,0,0.8,2219,gajapati,r. udayagiri,bastriguda
odisha,gajapati,r. udayagiri,4,chellagada,0,1.5,0.3,0.3,2.1,2220,gajapati,r. udayagiri,chellagada
odisha,gajapati,r. udayagiri,5,chelligada,0,1.75,6.25,0.75,8.75,2221,gajapati,r. udayagiri,chelligada
odisha,gajapati,r. udayagiri,6,dabaraguda,0,0.6,0,0,0.6,2222,gajapati,r. udayagiri,dabaraguda
odisha,gajapati,r. udayagiri,7,mahendragada,0,20.5,10.5,8.35,39.35,2223,gajapati,r. udayagiri,mahendragada
odisha,gajapati,r. udayagiri,8,mangarajpur,0,3.15,0,0,3.15,2224,gajapati,r. udayagiri,mangarajpur
odisha,gajapati,r. udayagiri,9,parisala,0,2.8,2.65,0,5.45,2225,gajapati,r. udayagiri,parisala
odisha,gajapati,r. udayagiri,10,purunapani,0.4,63.35,0,0,63.75,2226,gajapati,r. udayagiri,purunapani
odisha,gajapati,r. udayagiri,11,r.udayagiri,0,1.65,0.75,13.7,16.1,2227,gajapati,r. udayagiri,r.udayagiri
odisha,gajapati,r. udayagiri,12,randiva,0,1.05,0,0.45,1.5,2228,gajapati,r. udayagiri,randiva
odisha,gajapati,r. udayagiri,13,sabarpalli,0,1.1,0,0.65,1.75,2229,gajapati,r. udayagiri,sabarpalli
odisha,gajapati,r. udayagiri,14,sialilati,0,37.6,0,0,37.6,2230,gajapati,r. udayagiri,sialilati
odisha,gajapati,r. udayagiri,15,subalada,0,5.1,0,0,5.1,2231,gajapati,r. udayagiri,subalada
odisha,gajapati,r. udayagiri,16,ramagiri,NA,NA,NA,NA,NA,2232,gajapati,r. udayagiri,ramagiri
odisha,gajapati,r. udayagiri,17,tabarsingi,NA,NA,NA,NA,NA,2233,gajapati,r. udayagiri,tabarsingi
odisha,gajapati,rayagada,1,ameda,0.3,16.95,0,0,17.25,2234,gajapati,rayagada,ameda
odisha,gajapati,rayagada,2,dambalo,0,6.95,0.45,8.85,16.25,2235,gajapati,rayagada,dambalo
odisha,gajapati,rayagada,3,engarsingi,0,19.6,0,0,19.6,2236,gajapati,rayagada,engarsingi
odisha,gajapati,rayagada,4,gandahati,0.2,1.8,1.45,7.15,10.6,2237,gajapati,rayagada,gandahati
odisha,gajapati,rayagada,5,gangabada,0,4.35,0,0,4.35,2238,gajapati,rayagada,gangabada
odisha,gajapati,rayagada,6,jeerango,0,5.5,3.8,3.7,13,2239,gajapati,rayagada,jeerango
odisha,gajapati,rayagada,7,jolanga,0,1.4,0,0,1.4,2240,gajapati,rayagada,jolanga
odisha,gajapati,rayagada,8,karadasingi,0.2,12.15,0.45,6.15,18.95,2241,gajapati,rayagada,karadasingi
odisha,gajapati,rayagada,9,kerandi,0,7.8,0,0.6,8.4,2242,gajapati,rayagada,kerandi
odisha,gajapati,rayagada,10,koinpur,0,3.6,1.05,0.6,5.25,2243,gajapati,rayagada,koinpur
odisha,gajapati,rayagada,11,kumulsing,0.3,27.1,11.25,1.25,39.9,2244,gajapati,rayagada,kumulsing
odisha,gajapati,rayagada,12,lailai,0,8.3,0,0.45,8.75,2245,gajapati,rayagada,lailai
odisha,gajapati,rayagada,13,laxmipur,0,12.5,0,0.3,12.8,2246,gajapati,rayagada,laxmipur
odisha,gajapati,rayagada,14,loba,0,12.25,0,0,12.25,2247,gajapati,rayagada,loba
odisha,gajapati,rayagada,15,marloba,0,12.4,0,1.45,13.85,2248,gajapati,rayagada,marloba
odisha,gajapati,rayagada,16,narayanpur,1.9,0,2.5,1.4,5.8,2249,gajapati,rayagada,narayanpur
odisha,gajapati,rayagada,17,putara,0,88.65,0,0,88.65,2250,gajapati,rayagada,putara
odisha,gajapati,rayagada,18,rayagada,0,2.85,11.35,5.4,19.6,2251,gajapati,rayagada,rayagada
odisha,gajapati,rayagada,19,s.karadasingi,0,6.7,0,1.3,8,2252,gajapati,rayagada,s.karadasingi
odisha,gajapati,rayagada,20,sanatundi,0,11.75,0,10.5,22.25,2253,gajapati,rayagada,sanatundi
odisha,gajapati,rayagada,21,talamunda,0,4.2,0,0,4.2,2254,gajapati,rayagada,talamunda
odisha,ganjam,aska,1,allipur,1,0,0,0.3,1.3,2255,ganjam,aska,allipur
odisha,ganjam,aska,2,badakholi,0.75,1,0,0.3,2.05,2256,ganjam,aska,badakholi
odisha,ganjam,aska,3,balichhai,0,0,0,1,1,2257,ganjam,aska,balichhai
odisha,ganjam,aska,4,balisira,0,0,0,4.3,4.3,2258,ganjam,aska,balisira
odisha,ganjam,aska,5,bangarada,0,0,0,0.3,0.3,2259,ganjam,aska,bangarada
odisha,ganjam,aska,6,baragam,0,0,0,0.55,0.55,2260,ganjam,aska,baragam
odisha,ganjam,aska,7,bhetanai,0,0,0,2.6,2.6,2261,ganjam,aska,bhetanai
odisha,ganjam,aska,8,debabhumi,0.75,0,0,0.3,1.05,2262,ganjam,aska,debabhumi
odisha,ganjam,aska,9,gangapur,0,0,0,4.6,4.6,2263,ganjam,aska,gangapur
odisha,ganjam,aska,10,haridapadar,1.05,0,0,2.6,3.65,2264,ganjam,aska,haridapadar
odisha,ganjam,aska,11,jayapur,3,0,0,1.4,4.4,2265,ganjam,aska,jayapur
odisha,ganjam,aska,12,kalasandhapur,0,0,0,1.3,1.3,2266,ganjam,aska,kalasandhapur
odisha,ganjam,aska,13,kendupadar,0,0,0,1.4,1.4,2267,ganjam,aska,kendupadar
odisha,ganjam,aska,14,khandadeuli,0.75,0,0,2.6,3.35,2268,ganjam,aska,khandadeuli
odisha,ganjam,aska,15,kharia,1,0,0,3.85,4.85,2269,ganjam,aska,kharia
odisha,ganjam,aska,16,munigadi,0.2,0,0,0,0.2,2270,ganjam,aska,munigadi
odisha,ganjam,aska,17,nimina,0,0,0,0.3,0.3,2271,ganjam,aska,nimina
odisha,ganjam,aska,18,pandiapathar,0.6,0,0,0,0.6,2272,ganjam,aska,pandiapathar
odisha,ganjam,aska,19,sidhanai,0.3,0,0,0,0.3,2273,ganjam,aska,sidhanai
odisha,ganjam,aska,20,babanpur,NA,NA,NA,NA,NA,2274,ganjam,aska,babanpur
odisha,ganjam,aska,21,benapat,NA,NA,NA,NA,NA,2275,ganjam,aska,benapat
odisha,ganjam,aska,22,chadhiapalli,NA,NA,NA,NA,NA,2276,ganjam,aska,chadhiapalli
odisha,ganjam,aska,23,gahangu,NA,NA,NA,NA,NA,2277,ganjam,aska,gahangu
odisha,ganjam,aska,24,gunthapada,NA,NA,NA,NA,NA,2278,ganjam,aska,gunthapada
odisha,ganjam,aska,25,kamagada,NA,NA,NA,NA,NA,2279,ganjam,aska,kamagada
odisha,ganjam,aska,26,mangalpur,NA,NA,NA,NA,NA,2280,ganjam,aska,mangalpur
odisha,ganjam,aska,27,nalabanta,NA,NA,NA,NA,NA,2281,ganjam,aska,nalabanta
odisha,ganjam,beguniapada,1,angaragam,1.8,1.3,0,12,15.1,2282,ganjam,beguniapada,angaragam
odisha,ganjam,beguniapada,2,bada khairakhama,3.2,1.6,0,23.7,28.5,2283,ganjam,beguniapada,bada khairakhama
odisha,ganjam,beguniapada,3,beguniapada,1,0,0,2.9,3.9,2284,ganjam,beguniapada,beguniapada
odisha,ganjam,beguniapada,4,beruanbadi,0.9,0,0,25.95,26.85,2285,ganjam,beguniapada,beruanbadi
odisha,ganjam,beguniapada,5,burujhari,0,0,0,2.6,2.6,2286,ganjam,beguniapada,burujhari
odisha,ganjam,beguniapada,6,chandanpur,1,2.7,0,2.1,5.8,2287,ganjam,beguniapada,chandanpur
odisha,ganjam,beguniapada,7,chingudikhol,0,0,0,13.85,13.85,2288,ganjam,beguniapada,chingudikhol
odisha,ganjam,beguniapada,8,digapada,0.75,0,0,2.7,3.45,2289,ganjam,beguniapada,digapada
odisha,ganjam,beguniapada,9,ghodapada,0,1.35,0,2.6,3.95,2290,ganjam,beguniapada,ghodapada
odisha,ganjam,beguniapada,10,k.barida,0,0,0,29.9,29.9,2291,ganjam,beguniapada,k.barida
odisha,ganjam,beguniapada,11,khandianai,0,0,0,18.9,18.9,2292,ganjam,beguniapada,khandianai
odisha,ganjam,beguniapada,12,kumbharagam,6.55,1.3,0,13.7,21.55,2293,ganjam,beguniapada,kumbharagam
odisha,ganjam,beguniapada,13,mardakote,0,0,0,12.1,12.1,2294,ganjam,beguniapada,mardakote
odisha,ganjam,beguniapada,14,mardamekha,1.75,0.75,0,21.3,23.8,2295,ganjam,beguniapada,mardamekha
odisha,ganjam,beguniapada,15,mathasarasingi,0,0,0,7.75,7.75,2296,ganjam,beguniapada,mathasarasingi
odisha,ganjam,beguniapada,16,phasi,1.3,0,0,1.6,2.9,2297,ganjam,beguniapada,phasi
odisha,ganjam,beguniapada,17,sanaustapada,0,0,0,1,1,2298,ganjam,beguniapada,sanaustapada
odisha,ganjam,beguniapada,18,sandhamula,0,0.75,0,17.9,18.65,2299,ganjam,beguniapada,sandhamula
odisha,ganjam,beguniapada,19,sankuda,0,0,0,15.15,15.15,2300,ganjam,beguniapada,sankuda
odisha,ganjam,beguniapada,20,soura chachina,4.95,2.05,0,9.15,16.15,2301,ganjam,beguniapada,soura chachina
odisha,ganjam,beguniapada,21,sumandal,0,0,0,8.4,8.4,2302,ganjam,beguniapada,sumandal
odisha,ganjam,beguniapada,22,talasara,0,4.7,0,43.3,48,2303,ganjam,beguniapada,talasara
odisha,ganjam,beguniapada,23,kalimeghi,NA,NA,NA,NA,NA,2304,ganjam,beguniapada,kalimeghi
odisha,ganjam,bellaguntha,1,ambapua,1.35,0,0,37.8,39.15,2305,ganjam,bellaguntha,ambapua
odisha,ganjam,bellaguntha,2,badaborasingi,1.6,0,0,8.6,10.2,2306,ganjam,bellaguntha,badaborasingi
odisha,ganjam,bellaguntha,3,badapada,25.6,0,0,16.55,42.15,2307,ganjam,bellaguntha,badapada
odisha,ganjam,bellaguntha,4,banka,0,0,0,9.4,9.4,2308,ganjam,bellaguntha,banka
odisha,ganjam,bellaguntha,5,benipalli,1,0,0,1,2,2309,ganjam,bellaguntha,benipalli
odisha,ganjam,bellaguntha,6,dhumuchai,0.45,0,0,14,14.45,2310,ganjam,bellaguntha,dhumuchai
odisha,ganjam,bellaguntha,7,g.nuagam,2.85,0,0,11.6,14.45,2311,ganjam,bellaguntha,g.nuagam
odisha,ganjam,bellaguntha,8,gangapur,1.85,0,0,44.3,46.15,2312,ganjam,bellaguntha,gangapur
odisha,ganjam,bellaguntha,9,gobara,5,0,0,1.85,6.85,2313,ganjam,bellaguntha,gobara
odisha,ganjam,bellaguntha,10,inginathi,1.3,0,0,6.2,7.5,2314,ganjam,bellaguntha,inginathi
odisha,ganjam,bellaguntha,11,khairputi,1,0,0,5.55,6.55,2315,ganjam,bellaguntha,khairputi
odisha,ganjam,bellaguntha,12,khetribarpur,4.05,0,0,13.2,17.25,2316,ganjam,bellaguntha,khetribarpur
odisha,ganjam,bellaguntha,13,mangalpur,0,0,0,4.95,4.95,2317,ganjam,bellaguntha,mangalpur
odisha,ganjam,bellaguntha,14,nettenga,7.15,0,0,2.65,9.8,2318,ganjam,bellaguntha,nettenga
odisha,ganjam,bellaguntha,15,pailipada,1.3,0,0,1.6,2.9,2319,ganjam,bellaguntha,pailipada
odisha,ganjam,bellaguntha,16,sasan,0,0,0,8.65,8.65,2320,ganjam,bellaguntha,sasan
odisha,ganjam,bellaguntha,17,tanarada,2.25,0,0,11.9,14.15,2321,ganjam,bellaguntha,tanarada
odisha,ganjam,bellaguntha,18,udhra,11.55,0,0,15.1,26.65,2322,ganjam,bellaguntha,udhra
odisha,ganjam,bhanjanagar,1,badakodanda,7,0.75,0,14.1,21.85,2323,ganjam,bhanjanagar,badakodanda
odisha,ganjam,bhanjanagar,2,baibali,2.4,11.35,0,80.2,93.95,2324,ganjam,bhanjanagar,baibali
odisha,ganjam,bhanjanagar,3,baruda,12.6,11.4,0,30.85,54.85,2325,ganjam,bhanjanagar,baruda
odisha,ganjam,bhanjanagar,4,baunsalundi,1.1,1,0,2.85,4.95,2326,ganjam,bhanjanagar,baunsalundi
odisha,ganjam,bhanjanagar,5,brahmanapadar,9.35,19.3,0,94,122.65,2327,ganjam,bhanjanagar,brahmanapadar
odisha,ganjam,bhanjanagar,6,dadaralunda,21.45,20.15,0,31.75,73.35,2328,ganjam,bhanjanagar,dadaralunda
