s_state,s_district,s_block,Sl.No,s_gp,SC,ST,Minority,Others,Total,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,anugul,banarpal,3,balaramprasad,0.9,0,0,1.5,2.4,61,anugul,banarpal,balaramprasad
odisha,anugul,banarpal,4,banarpal,3.2,0.3,0,0.3,3.8,62,anugul,banarpal,banarpal
odisha,anugul,banarpal,5,bauligarh,9.8,0,0,28.3,38.1,63,anugul,banarpal,bauligarh
odisha,anugul,banarpal,6,benagadia,3.4,0,0,0,3.4,64,anugul,banarpal,benagadia
odisha,anugul,banarpal,7,bhogabereni,26.8,1.2,0,0.2,28.2,65,anugul,banarpal,bhogabereni
odisha,anugul,banarpal,8,bonda,0,0,0,0.3,0.3,66,anugul,banarpal,bonda
odisha,anugul,banarpal,9,budhapanka,8.5,0,0,0.7,9.2,67,anugul,banarpal,budhapanka
odisha,anugul,banarpal,10,fulapada,4.8,6.6,0,14.7,26.1,68,anugul,banarpal,fulapada
odisha,anugul,banarpal,11,garhsantri,0,3.6,0,45.1,48.7,69,anugul,banarpal,garhsantri
odisha,anugul,banarpal,12,giranga,0.3,2.4,0,0,2.7,70,anugul,banarpal,giranga
odisha,anugul,banarpal,13,gotamara,1.5,1.2,0,0.3,3,71,anugul,banarpal,gotamara
odisha,anugul,banarpal,14,jamunali,5.1,1.2,0,19.8,26.1,72,anugul,banarpal,jamunali
odisha,anugul,banarpal,15,jarada,2,0,0,3.8,5.8,73,anugul,banarpal,jarada
odisha,anugul,banarpal,16,jarasinga,0.6,0,0,2.2,2.8,74,anugul,banarpal,jarasinga
odisha,anugul,banarpal,17,kandasar,0.3,0,0,0,0.3,75,anugul,banarpal,kandasar
odisha,anugul,banarpal,18,kanjara,27.4,1,0,34.4,62.8,76,anugul,banarpal,kanjara
odisha,anugul,banarpal,19,karadagadia,9.8,7,0,3.6,20.4,77,anugul,banarpal,karadagadia
odisha,anugul,banarpal,20,kukadanga,15.7,0,0,2.7,18.4,78,anugul,banarpal,kukadanga
