g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,updated_district_name,updated_block_name,updated_gp_name
26,4772,baragarh,yes,paikmal,yes,kansada,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,12,kansada,0.96,3.58,2.61,0,0,0,2.61,0.98,0.12,baragarh,paikmal,kansada
27,4773,baragarh,yes,paikmal,yes,kechhodadar,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,13,kechhodadar,0,9.79,10.86,1.93,0.15,0,12.94,-3.15,0.12,baragarh,paikmal,kechhodadar
28,4774,baragarh,yes,paikmal,yes,kermelabahal,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,14,kermelabahal,0.04,8.99,9.21,0.4,0.03,0,9.64,-0.65,0.41,baragarh,paikmal,kermelabahal
29,4775,baragarh,yes,paikmal,yes,lakhamara,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,15,lakhamara,0.15,17.5,17.57,0.28,0.02,0,17.87,-0.37,0.18,baragarh,paikmal,lakhamara
30,4776,baragarh,yes,paikmal,yes,mandiadhipa,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,16,mandiadhipa,0,9.81,10.01,1.1,0.04,0,11.14,-1.33,0.08,baragarh,paikmal,mandiadhipa
31,4777,baragarh,yes,paikmal,yes,mandosil,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,17,mandosil,0.09,23.73,23.92,0,0,0,23.92,-0.19,0,baragarh,paikmal,mandosil
32,4778,baragarh,yes,paikmal,yes,mithapali,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,18,mithapali,0.18,32.45,35.43,8.84,0.15,0,44.41,-11.97,0.35,baragarh,paikmal,mithapali
33,4779,baragarh,yes,paikmal,yes,paikmal,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,19,paikmal,0,16.12,16.5,1.28,0.1,0,17.88,-1.76,0.05,baragarh,paikmal,paikmal
34,4780,baragarh,yes,paikmal,yes,palsada,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,20,palsada,0.2,3.64,4.09,4.09,0.25,0,8.43,-4.79,0.07,baragarh,paikmal,palsada
35,4781,baragarh,yes,paikmal,yes,saraikela,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,21,saraikela,0.1,11.27,11.25,0,0,0,11.25,0.02,0.08,baragarh,paikmal,saraikela
36,4782,baragarh,yes,paikmal,yes,temeri,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,22,temeri,0.5,9.34,9.68,0.19,0,0,9.87,-0.53,0.29,baragarh,paikmal,temeri
37,4751,baragarh,yes,padampur,yes,kansar,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,13,kansar,0.73,19.33,18.87,3.33,0.02,0,22.22,-2.89,0,baragarh,padampur,kansar
38,4752,baragarh,yes,padampur,yes,kansingha,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,14,kansingha,0.61,11.37,11.51,2.25,0.08,0,13.84,-2.47,0.01,baragarh,padampur,kansingha
39,4753,baragarh,yes,padampur,yes,khaliapali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,15,khaliapali,0.42,21.47,18.9,4.82,0,0,23.72,-2.25,0,baragarh,padampur,khaliapali
40,4744,baragarh,yes,padampur,yes,charpali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,6,charpali,1.94,23.19,13.08,10.23,0.1,0,23.41,-0.22,0.03,baragarh,padampur,charpali
41,4750,baragarh,yes,padampur,yes,jamartala,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,12,jamartala,0.57,64.26,31.95,30.73,1.13,0,63.82,0.44,0.04,baragarh,padampur,jamartala
42,4749,baragarh,yes,padampur,yes,jamala,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,11,jamala,0.79,28.86,22.75,15.49,0,0,38.24,-9.37,0,baragarh,padampur,jamala
43,4748,baragarh,yes,padampur,yes,gyan,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,10,gyan,0,6.65,6.83,0.3,0,0,7.13,-0.48,0,baragarh,padampur,gyan
44,4760,baragarh,yes,padampur,yes,tal,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,22,tal,0,10.8,11.54,3.57,0,0,15.11,-4.31,0,baragarh,padampur,tal
45,4747,baragarh,yes,padampur,yes,dangaghat,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,9,dangaghat,0,16.11,15.62,1.73,0,0,17.35,-1.24,0,baragarh,padampur,dangaghat
46,4745,baragarh,yes,padampur,yes,dahigaon,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,7,dahigaon,0,18.65,19.16,1.16,0,0,20.32,-1.67,0.01,baragarh,padampur,dahigaon
47,4746,baragarh,yes,padampur,yes,dahita,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,8,dahita,-0.01,20.29,20.32,0.37,0,0,20.69,-0.39,0.04,baragarh,padampur,dahita
48,4757,baragarh,yes,padampur,yes,palsapali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,19,palsapali,0.54,18.08,16.57,1.91,0,0,18.48,-0.4,0.02,baragarh,padampur,palsapali
49,4758,baragarh,yes,padampur,yes,purena,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,20,purena,0.63,8.44,8.53,6.5,0.27,0,15.31,-6.87,0.05,baragarh,padampur,purena
50,4740,baragarh,yes,padampur,yes,barikel,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,2,barikel,1.49,12.37,11.76,0.64,0,0,12.4,-0.02,0.03,baragarh,padampur,barikel
51,4739,baragarh,yes,padampur,yes,barihapali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,1,barihapali,0.6,8.04,7.4,1.44,0,0,8.84,-0.8,0.03,baragarh,padampur,barihapali
52,4742,baragarh,yes,padampur,yes,budamal,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,4,budamal,0.9,23.19,22.79,0,0,0,22.79,0.4,0.03,baragarh,padampur,budamal
53,4743,baragarh,yes,padampur,yes,buden,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,5,buden,0.7,22.71,20.15,3.46,0.02,0,23.64,-0.93,0.06,baragarh,padampur,buden
54,4741,baragarh,yes,padampur,yes,bheunria,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,3,bheunria,0.96,21.14,16.26,9.13,0.23,0,25.61,-4.47,0.01,baragarh,padampur,bheunria
55,4755,baragarh,yes,padampur,yes,mahulpali,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,17,mahulpali,0,7.64,7.77,1.06,0,0,8.84,-1.19,0.06,baragarh,padampur,mahulpali
