g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19,updated_district_name,updated_block_name,updated_gp_name
1071,2022,keonjhar,yes,hatadihi,yes,ambo,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,3,ambo,8.01,100.82,72.36,19.95,0.43,0,92.73,8.08,0.29,keonjhar,hatadihi,ambo
1072,2023,keonjhar,yes,hatadihi,yes,anara,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,4,anara,2.44,18.62,16.18,0,0,0,16.18,2.44,0,keonjhar,hatadihi,anara
1073,2024,keonjhar,yes,hatadihi,yes,badarampas,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,5,badarampas,3.41,108.08,68.45,34,1.19,0,103.64,4.44,0.15,keonjhar,hatadihi,badarampas
1074,2025,keonjhar,yes,hatadihi,yes,balibarei,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,6,balibarei,-5.15,80.34,80.49,4.92,0.08,0,85.48,-5.15,0.24,keonjhar,hatadihi,balibarei
1075,2026,keonjhar,yes,hatadihi,yes,bancho,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,7,bancho,-2.65,52.25,23.9,30.24,0.67,0,54.81,-2.56,0.11,keonjhar,hatadihi,bancho
1076,2027,keonjhar,yes,hatadihi,yes,bangore,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,8,bangore,9.36,34.94,25.51,0,0,0,25.51,9.43,0.03,keonjhar,hatadihi,bangore
1077,2028,keonjhar,yes,hatadihi,yes,danara,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,9,danara,17.89,28.68,11.41,1.98,0.04,0,13.43,15.25,0.07,keonjhar,hatadihi,danara
1078,2029,keonjhar,yes,hatadihi,yes,dhanurjaypur,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,10,dhanurjaypur,-0.07,65.51,40.21,24.2,1.04,0,65.44,0.07,0.01,keonjhar,hatadihi,dhanurjaypur
1079,2030,keonjhar,yes,hatadihi,yes,dhenka,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,11,dhenka,5.19,51.1,45.56,1.87,0.02,0,47.44,3.66,0.27,keonjhar,hatadihi,dhenka
1080,2031,keonjhar,yes,hatadihi,yes,gedma,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,12,gedma,9.41,31.64,22.22,0,0,0,22.22,9.42,0.04,keonjhar,hatadihi,gedma
1081,2032,keonjhar,yes,hatadihi,yes,habaleswar,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,13,habaleswar,-0.06,17.45,19.73,2.07,0.05,0,21.86,-4.41,0.33,keonjhar,hatadihi,habaleswar
1082,2033,keonjhar,yes,hatadihi,yes,hadgarh,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,14,hadgarh,-1.19,27.32,26.69,1.77,0.02,0,28.48,-1.16,0.03,keonjhar,hatadihi,hadgarh
1083,2034,keonjhar,yes,hatadihi,yes,hatadihi,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,15,hatadihi,3.66,173.26,106.62,60.38,2.58,0,169.58,3.68,0.26,keonjhar,hatadihi,hatadihi
1084,2035,keonjhar,yes,hatadihi,yes,inchola,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,16,inchola,17.53,34.46,13.47,3.38,0.08,0,16.94,17.53,0.08,keonjhar,hatadihi,inchola
1085,2036,keonjhar,yes,hatadihi,yes,jambhira,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,17,jambhira,15.59,65.19,28.94,20.01,0.63,0,49.59,15.6,0.35,keonjhar,hatadihi,jambhira
1086,2037,keonjhar,yes,hatadihi,yes,kaligaon,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,18,kaligaon,12.02,81.39,46.62,25.89,0.8,0,73.31,8.08,0.05,keonjhar,hatadihi,kaligaon
1087,2038,keonjhar,yes,hatadihi,yes,kanleibalipal,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,19,kanleibalipal,2.33,11.62,4.7,3.99,0.04,0,8.73,2.89,0,keonjhar,hatadihi,kanleibalipal
1088,2039,keonjhar,yes,hatadihi,yes,mareigoan,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,20,mareigoan,-0.81,55.25,48.12,7.76,0.16,0,56.03,-0.79,0.1,keonjhar,hatadihi,mareigoan
1089,2040,keonjhar,yes,hatadihi,yes,orali,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,21,orali,-1.58,26.87,28.45,0,0,0,28.45,-1.58,0.1,keonjhar,hatadihi,orali
1090,2041,keonjhar,yes,hatadihi,yes,padhiaripalli,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,22,padhiaripalli,10.06,70.28,41.77,18.18,0.25,0,60.2,10.08,0.43,keonjhar,hatadihi,padhiaripalli
1091,2042,keonjhar,yes,hatadihi,yes,panchugochhia,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,23,panchugochhia,-2.14,55.58,44.14,13.32,0.17,0,57.64,-2.06,0.12,keonjhar,hatadihi,panchugochhia
1092,2043,keonjhar,yes,hatadihi,yes,pandado,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,24,pandado,0.45,39.24,29.04,9.56,0.18,0,38.78,0.46,0.05,keonjhar,hatadihi,pandado
1093,2044,keonjhar,yes,hatadihi,yes,sadanga,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,25,sadanga,8.85,35.57,26.7,0,0,0,26.7,8.87,0.31,keonjhar,hatadihi,sadanga
1094,2045,keonjhar,yes,hatadihi,yes,sadha,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,26,sadha,9.74,127.87,90.25,27.51,0.34,0,118.1,9.77,0.03,keonjhar,hatadihi,sadha
1095,2046,keonjhar,yes,hatadihi,yes,salania,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,27,salania,14.01,30.12,16.1,0,0,0,16.1,14.02,0.29,keonjhar,hatadihi,salania
1096,2047,keonjhar,yes,hatadihi,yes,samana,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,28,samana,-4.22,56.4,59.52,1.08,0.01,0,60.62,-4.22,0.05,keonjhar,hatadihi,samana
1097,2048,keonjhar,yes,hatadihi,yes,sasanga,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,29,sasanga,-5.84,37.2,26.49,15.93,0.63,0,43.05,-5.84,0.59,keonjhar,hatadihi,sasanga
1098,2049,keonjhar,yes,hatadihi,yes,soso,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,30,soso,-0.26,51.81,47.31,4.61,0.08,0,52,-0.19,0.35,keonjhar,hatadihi,soso
1099,2050,keonjhar,yes,hatadihi,yes,sulana,yes,22,22 anandapur (sc),keonjhar (st),odisha,keonjhar,hatadihi,31,sulana,3.98,46.82,24.94,17.44,0.45,0,42.83,3.98,0.47,keonjhar,hatadihi,sulana
1100,2052,keonjhar,yes,jhumpura,yes,asanpat,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,jhumpura,2,asanpat,15.18,60.49,40.23,5.09,0,0,45.32,15.16,0.19,keonjhar,jhumpura,asanpat
1101,2053,keonjhar,yes,jhumpura,yes,badadumuria,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,jhumpura,3,badadumuria,3.82,62.72,48.07,10.81,0,0,58.88,3.84,0.06,keonjhar,jhumpura,badadumuria
1102,2054,keonjhar,yes,jhumpura,yes,badaneuli,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,jhumpura,4,badaneuli,-10.33,36.49,39.77,7.03,0,0,46.8,-10.31,0.03,keonjhar,jhumpura,badaneuli
1103,2056,keonjhar,yes,jhumpura,yes,baria,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,jhumpura,6,baria,-4.27,24.64,26.83,1.94,0,0,28.77,-4.14,0.13,keonjhar,jhumpura,baria
1104,2058,keonjhar,yes,jhumpura,yes,chauthia,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,jhumpura,8,chauthia,-2.31,29.34,29.24,2.38,0,0,31.61,-2.27,0.03,keonjhar,jhumpura,chauthia
1105,2059,keonjhar,yes,jhumpura,yes,dhanurjaypur,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,jhumpura,9,dhanurjaypur,4.69,26.39,20.56,1.14,0,0,21.69,4.7,0.09,keonjhar,jhumpura,dhanurjaypur
1106,2061,keonjhar,yes,jhumpura,yes,gundunia,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,jhumpura,11,gundunia,9.35,56.45,30.94,15.97,0.22,0,47.14,9.31,0,keonjhar,jhumpura,gundunia
1107,2064,keonjhar,yes,jhumpura,yes,khuntapada,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,jhumpura,14,khuntapada,-4.05,125.76,104.74,25.02,0,0,129.75,-3.99,0.46,keonjhar,jhumpura,khuntapada
1108,2071,keonjhar,yes,jhumpura,yes,tukudiha,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,jhumpura,21,tukudiha,0.48,129.54,75.56,53.43,0,0,128.99,0.55,0.15,keonjhar,jhumpura,tukudiha
1109,2072,keonjhar,yes,jhumpura,yes,ukhunda,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,jhumpura,22,ukhunda,-5.67,24.07,27.16,2.47,0,0,29.63,-5.55,0.13,keonjhar,jhumpura,ukhunda
1110,1924,keonjhar,yes,champua,yes,jajaposi,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,champua,5,jajaposi,3.32,45.2,40.82,1.05,0.01,0,41.88,3.32,0.35,keonjhar,champua,jajaposi
1111,1922,keonjhar,yes,champua,yes,bhuinpur,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,champua,3,bhuinpur,-1.36,16.41,16.78,3.95,0.08,0,20.81,-4.4,0.11,keonjhar,champua,bhuinpur
1112,1925,keonjhar,yes,champua,yes,jali,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,champua,6,jali,-0.28,19.94,18.63,1.45,0.14,0,20.22,-0.28,0,keonjhar,champua,jali
1113,1927,keonjhar,yes,champua,yes,jyotipur,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,champua,8,jyotipur,5.43,35.65,24.49,5.61,0.11,0,30.21,5.43,0.22,keonjhar,champua,jyotipur
1114,1934,keonjhar,yes,champua,yes,parshala,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,champua,15,parshala,0.15,13.13,10.47,2.47,0.08,0,13.02,0.11,0,keonjhar,champua,parshala
1115,1938,keonjhar,yes,champua,yes,sadangi,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,champua,19,sadangi,0.46,22.04,15.49,6.01,0.08,0,21.58,0.46,0.15,keonjhar,champua,sadangi
1116,2117,keonjhar,yes,patna,yes,bada patana,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,1,bada patana,-24.08,19.85,28.97,24.47,2.7,0,56.13,-36.28,0.02,keonjhar,patna,bada patana
1117,2118,keonjhar,yes,patna,yes,baunshuli,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,2,baunshuli,-24.99,8.2,30.98,12.08,1.12,0,44.18,-35.98,0.06,keonjhar,patna,baunshuli
1118,2119,keonjhar,yes,patna,yes,budhikapudi,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,3,budhikapudi,-55.24,-20.56,32.16,5.27,0.85,0,38.28,-58.84,0,keonjhar,patna,budhikapudi
1119,2120,keonjhar,yes,patna,yes,chakundapal,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,4,chakundapal,-61.91,-37.99,24.21,2.1,0.03,0,26.34,-64.32,0.17,keonjhar,patna,chakundapal
1120,2121,keonjhar,yes,patna,yes,chemana,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,5,chemana,3.08,31.67,25.01,13.29,1.09,0,39.39,-7.71,0.28,keonjhar,patna,chemana
1121,2122,keonjhar,yes,patna,yes,chinamalipasi,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,6,chinamalipasi,-16.31,2.31,19.26,5.93,0.07,0,25.25,-22.94,0.02,keonjhar,patna,chinamalipasi
1122,2123,keonjhar,yes,patna,yes,dumuria,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,7,dumuria,-3.93,24.46,27.94,14.03,1.88,0,43.85,-19.39,0.05,keonjhar,patna,dumuria
1123,2124,keonjhar,yes,patna,yes,erendei,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,8,erendei,-19.72,1.96,20.81,5.65,0.21,0,26.67,-24.71,0.02,keonjhar,patna,erendei
1124,2125,keonjhar,yes,patna,yes,jamunaposi,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,9,jamunaposi,-0.22,12.11,11.01,13.72,0.62,0,25.36,-13.25,0.02,keonjhar,patna,jamunaposi
1125,2126,keonjhar,yes,patna,yes,kantiapada,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,10,kantiapada,-22.44,4.94,27.02,5.27,0.2,0,32.49,-27.54,0.22,keonjhar,patna,kantiapada
1126,2127,keonjhar,yes,patna,yes,kendeiposi,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,11,kendeiposi,-19.83,18.26,36.74,12.65,0.96,0,50.36,-32.1,0.08,keonjhar,patna,kendeiposi
1127,2128,keonjhar,yes,patna,yes,khireitangiri,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,12,khireitangiri,-0.16,19.76,18.68,7.84,0.24,0,26.76,-6.99,0.12,keonjhar,patna,khireitangiri
1128,2129,keonjhar,yes,patna,yes,mirigikhoji,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,13,mirigikhoji,1.97,24.32,21.74,4.92,0.61,0,27.27,-2.95,0,keonjhar,patna,mirigikhoji
1129,2130,keonjhar,yes,patna,yes,murusuan,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,14,murusuan,8.32,27.88,18.69,8.54,0.67,0,27.91,-0.03,0.08,keonjhar,patna,murusuan
1130,2131,keonjhar,yes,patna,yes,mushakhari,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,15,mushakhari,-12.61,14.76,30.99,16,1.95,0,48.93,-34.17,0,keonjhar,patna,mushakhari
1131,2132,keonjhar,yes,patna,yes,palanaghati,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,16,palanaghati,-4.95,17.1,23.14,9.72,0.33,0,33.19,-16.09,0.02,keonjhar,patna,palanaghati
1132,2133,keonjhar,yes,patna,yes,rajnagar,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,17,rajnagar,-3.92,14.68,20.45,9.32,1.12,0,30.89,-16.21,0,keonjhar,patna,rajnagar
1133,2134,keonjhar,yes,patna,yes,saraskola,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,18,saraskola,-1.36,26.1,22.31,11.56,0.51,0,34.38,-8.28,0.01,keonjhar,patna,saraskola
1134,2135,keonjhar,yes,patna,yes,tangarapada,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,19,tangarapada,-8.06,54.02,58.52,21.5,0.71,0,80.73,-26.71,0.02,keonjhar,patna,tangarapada
1135,2136,keonjhar,yes,patna,yes,turumunga,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,patna,20,turumunga,-15.2,4.9,17.03,8.99,1.31,0,27.34,-22.43,0.05,keonjhar,patna,turumunga
1136,2137,keonjhar,yes,saharpada,yes,baikala,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,1,baikala,0.96,27.56,20.33,6.14,0.13,0,26.6,0.96,0.02,keonjhar,saharpada,baikala
1137,2138,keonjhar,yes,saharpada,yes,barbil,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,2,barbil,-3.88,57.92,38.54,22.95,0.31,0,61.8,-3.88,0,keonjhar,saharpada,barbil
1138,2139,keonjhar,yes,saharpada,yes,dalapaka,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,3,dalapaka,3.72,60.61,39.03,17.86,0.35,0,57.24,3.37,0.17,keonjhar,saharpada,dalapaka
1139,2140,keonjhar,yes,saharpada,yes,damahuda,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,4,damahuda,2.83,43.95,27.44,14.01,0.23,0,41.68,2.27,0.16,keonjhar,saharpada,damahuda
1140,2141,keonjhar,yes,saharpada,yes,digiposi,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,5,digiposi,1.71,51.19,31.24,20.1,0.32,0,51.65,-0.46,0.21,keonjhar,saharpada,digiposi
1141,2142,keonjhar,yes,saharpada,yes,gandabeda,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,6,gandabeda,-0.85,69.8,45.11,25.08,0.43,0,70.63,-0.83,0.61,keonjhar,saharpada,gandabeda
1142,2143,keonjhar,yes,saharpada,yes,gorasa,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,7,gorasa,-0.42,46.99,34.34,13.65,0.15,0,48.14,-1.15,0.27,keonjhar,saharpada,gorasa
1143,2144,keonjhar,yes,saharpada,yes,kapundi,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,8,kapundi,33.05,76.55,36.51,7.41,0.16,0,44.07,32.48,0,keonjhar,saharpada,kapundi
1144,2145,keonjhar,yes,saharpada,yes,khadikapada,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,9,khadikapada,-0.5,15.97,13.35,3.07,0.04,0,16.47,-0.5,0.13,keonjhar,saharpada,khadikapada
1145,2146,keonjhar,yes,saharpada,yes,khajirapat,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,10,khajirapat,-0.6,52.3,35.04,19.84,0.24,0,55.13,-2.83,0.19,keonjhar,saharpada,khajirapat
1146,2147,keonjhar,yes,saharpada,yes,khuntapada,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,11,khuntapada,0.23,43.62,33.72,9.52,0.16,0,43.39,0.23,0.03,keonjhar,saharpada,khuntapada
1147,2148,keonjhar,yes,saharpada,yes,kundala,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,12,kundala,5.27,52.3,22.08,24.62,0.32,0,47.03,5.28,0.07,keonjhar,saharpada,kundala
1148,2149,keonjhar,yes,saharpada,yes,machhagarh,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,13,machhagarh,0.08,97.86,59.63,37.58,0.56,0,97.77,0.09,0.43,keonjhar,saharpada,machhagarh
1149,2150,keonjhar,yes,saharpada,yes,malarpada,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,14,malarpada,3.49,33.77,19.41,11.75,0.12,0,31.28,2.49,0.13,keonjhar,saharpada,malarpada
1150,2151,keonjhar,yes,saharpada,yes,raidiha,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,15,raidiha,11.96,38.02,17.94,7.98,0.14,0,26.06,11.96,0.1,keonjhar,saharpada,raidiha
1151,2152,keonjhar,yes,saharpada,yes,saharapada,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,16,saharapada,-1.54,70.06,56.16,18.48,0.25,0,74.89,-4.83,0.28,keonjhar,saharpada,saharapada
1152,2153,keonjhar,yes,saharpada,yes,shankhua,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,17,shankhua,-0.12,68.93,42.06,31.34,0.51,0,73.92,-4.99,0.11,keonjhar,saharpada,shankhua
1153,2154,keonjhar,yes,saharpada,yes,silipada,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,18,silipada,0.51,68.38,51.17,16.46,0.23,0,67.87,0.51,0.52,keonjhar,saharpada,silipada
1154,2155,keonjhar,yes,saharpada,yes,tendera,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,19,tendera,0.32,49.73,38.44,10.78,0.13,0,49.35,0.38,0.12,keonjhar,saharpada,tendera
1155,2156,keonjhar,yes,saharpada,yes,udayapur,yes,23,23 patna (st),keonjhar (st),odisha,keonjhar,saharpada,20,udayapur,-4.87,67.58,54.15,17.93,0.35,0,72.43,-4.84,0.19,keonjhar,saharpada,udayapur
1156,2051,keonjhar,yes,jhumpura,yes,arsala,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,jhumpura,1,arsala,2.45,58.81,51.77,4.6,0,0,56.36,2.45,0.01,keonjhar,jhumpura,arsala
1157,2055,keonjhar,yes,jhumpura,yes,balibandha,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,jhumpura,5,balibandha,25.89,51.34,25.34,0,0,0,25.34,25.99,0.11,keonjhar,jhumpura,balibandha
1158,2057,keonjhar,yes,jhumpura,yes,basantapur,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,jhumpura,7,basantapur,0.85,11.25,9.28,1.11,0,0,10.4,0.85,0.01,keonjhar,jhumpura,basantapur
1159,2060,keonjhar,yes,jhumpura,yes,gumura,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,jhumpura,10,gumura,-2.24,8.26,9.36,1.14,0,0,10.5,-2.24,0.03,keonjhar,jhumpura,gumura
1160,2062,keonjhar,yes,jhumpura,yes,jhumpura,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,jhumpura,12,jhumpura,-4.71,26.66,29.48,1.85,0,0,31.34,-4.68,0.02,keonjhar,jhumpura,jhumpura
1161,2063,keonjhar,yes,jhumpura,yes,khendara,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,jhumpura,13,khendara,16.1,46.46,22.04,8.23,0.07,0,30.34,16.12,0,keonjhar,jhumpura,khendara
1162,2065,keonjhar,yes,jhumpura,yes,kutugaon,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,jhumpura,15,kutugaon,19.65,64.77,44.46,0.64,0,0,45.1,19.67,0,keonjhar,jhumpura,kutugaon
1163,2066,keonjhar,yes,jhumpura,yes,malada,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,jhumpura,16,malada,-7.48,12.77,13.02,7.82,0,0,20.84,-8.08,0.03,keonjhar,jhumpura,malada
1164,2067,keonjhar,yes,jhumpura,yes,nahabeda,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,jhumpura,17,nahabeda,20.14,56.26,34.45,1.64,0.02,0,36.11,20.16,0,keonjhar,jhumpura,nahabeda
1165,2069,keonjhar,yes,jhumpura,yes,nayagada,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,jhumpura,19,nayagada,3.63,28.97,18.39,6.96,0,0,25.34,3.63,0,keonjhar,jhumpura,nayagada
1166,2070,keonjhar,yes,jhumpura,yes,nischintapur,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,jhumpura,20,nischintapur,-0.7,32.37,31.85,1.17,0,0,33.02,-0.65,0.07,keonjhar,jhumpura,nischintapur
1167,2068,keonjhar,yes,jhumpura,yes,naradpur,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,jhumpura,18,naradpur,8.25,36.72,28.45,0,0,0,28.46,8.27,0.08,keonjhar,jhumpura,naradpur
1168,1907,keonjhar,yes,banspal,yes,kodipasa,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,banspal,9,kodipasa,1.14,13.48,10.09,1.42,0.02,0,11.54,1.94,0,keonjhar,banspal,kodipasa
1169,1909,keonjhar,yes,banspal,yes,kumundi,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,banspal,11,kumundi,-1.24,9.67,8.15,2.71,0.05,0,10.9,-1.23,0.03,keonjhar,banspal,kumundi
1170,1913,keonjhar,yes,banspal,yes,suakati,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,banspal,15,suakati,1.92,19.5,15.34,2.18,0.03,0,17.55,1.95,0,keonjhar,banspal,suakati
1171,1915,keonjhar,yes,banspal,yes,talachampei,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,banspal,17,talachampei,-6.17,14.62,16.49,4.21,0.04,0,20.74,-6.12,0,keonjhar,banspal,talachampei
1172,1916,keonjhar,yes,banspal,yes,talakainsari,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,banspal,18,talakainsari,-2.58,-2.12,0.45,0,0,0,0.45,-2.57,0,keonjhar,banspal,talakainsari
1173,2092,keonjhar,yes,keonjhar,yes,baradapal,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,keonjhar,1,baradapal,8.78,24.31,15.99,3.09,0.04,0,19.12,5.19,0.08,keonjhar,keonjhar,baradapal
1174,2093,keonjhar,yes,keonjhar,yes,bauripada,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,keonjhar,2,bauripada,0.51,25.93,25.97,2.57,0.03,0,28.57,-2.64,0.27,keonjhar,keonjhar,bauripada
1175,2094,keonjhar,yes,keonjhar,yes,bodapalsa,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,keonjhar,3,bodapalsa,2.79,19.69,18.35,1.49,0.02,0,19.86,-0.17,0.15,keonjhar,keonjhar,bodapalsa
1176,2095,keonjhar,yes,keonjhar,yes,dimbo,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,keonjhar,4,dimbo,10.95,38.71,22.3,7.04,0.07,0,29.41,9.31,0.07,keonjhar,keonjhar,dimbo
1177,2096,keonjhar,yes,keonjhar,yes,gobardhan,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,keonjhar,5,gobardhan,2.2,28.01,16.09,17.5,0.21,0,33.81,-5.8,0.12,keonjhar,keonjhar,gobardhan
1178,2097,keonjhar,yes,keonjhar,yes,gopinathpur,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,keonjhar,6,gopinathpur,0,14.55,15.37,0,0,0,15.37,-0.82,0.01,keonjhar,keonjhar,gopinathpur
1179,2098,keonjhar,yes,keonjhar,yes,handibhanga,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,keonjhar,7,handibhanga,3.87,146.61,97.42,49.29,0.87,0,147.57,-0.96,0.22,keonjhar,keonjhar,handibhanga
1180,2099,keonjhar,yes,keonjhar,yes,janardan pur,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,keonjhar,8,janardan pur,11.61,18.88,7.27,0,0,0,7.27,11.61,0,keonjhar,keonjhar,janardan pur
1181,2100,keonjhar,yes,keonjhar,yes,kandrapasi,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,keonjhar,9,kandrapasi,1.52,21.37,19.68,0.17,0,0,19.85,1.52,0.08,keonjhar,keonjhar,kandrapasi
1182,2101,keonjhar,yes,keonjhar,yes,kathabari,yes,24,24 keonjhar (st),keonjhar (st),odisha,keonjhar,keonjhar,10,kathabari,1.29,42.87,26.22,16.86,0.26,0,43.33,-0.47,0.09,keonjhar,keonjhar,kathabari
