g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20,updated_district_name,updated_block_name,updated_gp_name
1299,2813,mayurbhanj,yes,raruan,yes,budamara,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,raruan,4,budamara,0,45.98,36.64,5.45,0.05,0,42.15,3.83,0.61,mayurbhanj,raruan,budamara
1300,2814,mayurbhanj,yes,raruan,yes,gadapalasa,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,raruan,5,gadapalasa,0,36.01,28.67,7.07,0.06,0,35.79,0.22,0.16,mayurbhanj,raruan,gadapalasa
1301,2815,mayurbhanj,yes,raruan,yes,ghagarbeda,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,raruan,6,ghagarbeda,0,33.15,24.85,7.67,0.06,0,32.58,0.56,0.29,mayurbhanj,raruan,ghagarbeda
1302,2816,mayurbhanj,yes,raruan,yes,narasandha,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,raruan,7,narasandha,0,35.13,29.9,4,0.03,0,33.92,1.2,1.23,mayurbhanj,raruan,narasandha
1303,2817,mayurbhanj,yes,raruan,yes,niunty,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,raruan,8,niunty,0,12.68,10.03,2.49,0.02,0,12.55,0.13,0.25,mayurbhanj,raruan,niunty
1304,2818,mayurbhanj,yes,raruan,yes,nuagaon,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,raruan,9,nuagaon,-0.12,12.37,12.35,0,0,0,12.35,0.02,0.55,mayurbhanj,raruan,nuagaon
1305,2819,mayurbhanj,yes,raruan,yes,panpatria,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,raruan,10,panpatria,0,41.91,23.54,18.26,0.13,0,41.93,-0.02,0.29,mayurbhanj,raruan,panpatria
1306,2820,mayurbhanj,yes,raruan,yes,raruan,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,raruan,11,raruan,0,56.29,21.68,34.27,0.34,0,56.29,0,0.42,mayurbhanj,raruan,raruan
1307,2821,mayurbhanj,yes,raruan,yes,tilakuti,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,raruan,12,tilakuti,0,11.43,5.9,5.54,0.06,0,11.5,-0.06,0.52,mayurbhanj,raruan,tilakuti
1308,2869,mayurbhanj,yes,sukruli,yes,arjunbilla,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,sukruli,1,arjunbilla,0,59.35,29.36,32.59,0.4,0,59.35,0,0.15,mayurbhanj,sukruli,arjunbilla
1309,2870,mayurbhanj,yes,sukruli,yes,baria,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,sukruli,2,baria,0,65.9,45.87,19.76,0.28,0,65.9,0,0.23,mayurbhanj,sukruli,baria
1310,2871,mayurbhanj,yes,sukruli,yes,chaturanjali,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,sukruli,3,chaturanjali,0,94.55,55.82,38.17,0.55,0,94.55,0,1.36,mayurbhanj,sukruli,chaturanjali
1311,2872,mayurbhanj,yes,sukruli,yes,galusahi,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,sukruli,4,galusahi,0,23.32,16.89,6.32,0.11,0,23.32,0,0.89,mayurbhanj,sukruli,galusahi
1312,2873,mayurbhanj,yes,sukruli,yes,haladia,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,sukruli,5,haladia,0,67.65,39.35,27.91,0.39,0,67.65,0,1.23,mayurbhanj,sukruli,haladia
1313,2874,mayurbhanj,yes,sukruli,yes,jamunti,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,sukruli,6,jamunti,0,134.21,64.54,68.69,1,0,134.24,-0.03,2.4,mayurbhanj,sukruli,jamunti
1314,2875,mayurbhanj,yes,sukruli,yes,jhadaghosada,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,sukruli,7,jhadaghosada,0,88.05,42.77,44.7,0.57,0,88.05,0,0.06,mayurbhanj,sukruli,jhadaghosada
1315,2876,mayurbhanj,yes,sukruli,yes,khiching,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,sukruli,8,khiching,0,41.28,25.35,15.69,0.23,0,41.28,0,0.22,mayurbhanj,sukruli,khiching
1316,2877,mayurbhanj,yes,sukruli,yes,sukruli,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,sukruli,9,sukruli,0,41.97,21.93,19.76,0.27,0,41.96,0.01,0.14,mayurbhanj,sukruli,sukruli
1317,2878,mayurbhanj,yes,sukruli,yes,teranty,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,sukruli,10,teranty,0,90.91,65.68,24.92,0.33,0,90.93,-0.01,0.42,mayurbhanj,sukruli,teranty
1318,2768,mayurbhanj,yes,kusumi,yes,badhatnabeda,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,kusumi,2,badhatnabeda,0,19.57,10.35,3.11,0.04,0,13.5,6.07,0.2,mayurbhanj,kusumi,badhatnabeda
1319,2770,mayurbhanj,yes,kusumi,yes,chuapani,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,kusumi,4,chuapani,0,30.66,13.57,10.4,0.22,0,24.18,6.48,0.34,mayurbhanj,kusumi,chuapani
1320,2771,mayurbhanj,yes,kusumi,yes,dhangirimuta,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,kusumi,5,dhangirimuta,0,2.92,1.87,0,0,0,1.87,1.05,0.01,mayurbhanj,kusumi,dhangirimuta
1321,2772,mayurbhanj,yes,kusumi,yes,hatbadra,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,kusumi,6,hatbadra,0,24.42,11.25,5.29,0.07,0,16.61,7.82,0.21,mayurbhanj,kusumi,hatbadra
1322,2774,mayurbhanj,yes,kusumi,yes,jarda,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,kusumi,8,jarda,0,68.61,39.98,28.37,0.26,0,68.6,0.01,1.05,mayurbhanj,kusumi,jarda
1323,2775,mayurbhanj,yes,kusumi,yes,jhipabandha,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,kusumi,9,jhipabandha,0,20.98,7.07,2.56,0.07,0,9.7,11.28,0.9,mayurbhanj,kusumi,jhipabandha
1324,2778,mayurbhanj,yes,kusumi,yes,talapati,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,kusumi,12,talapati,0,29.09,9.93,4.77,0.07,0,14.77,14.31,0.36,mayurbhanj,kusumi,talapati
1325,2779,mayurbhanj,yes,kusumi,yes,talokpokhari,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,kusumi,13,talokpokhari,0,27.46,8.27,12.13,0.09,0,20.49,6.98,0.02,mayurbhanj,kusumi,talokpokhari
1326,2780,mayurbhanj,yes,kusumi,yes,uparbeda,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,kusumi,14,uparbeda,0,87.39,44.35,33.71,0.53,0,78.59,8.8,0.34,mayurbhanj,kusumi,uparbeda
1327,2767,mayurbhanj,yes,kusumi,yes,aaharbandh,yes,26,26 jashipur (st),mayurbhanj (st),odisha,mayurbhanj,kusumi,1,aaharbandh,0,22.45,7.1,4.69,0.08,0,11.87,10.58,0.07,mayurbhanj,kusumi,aaharbandh
1328,2627,mayurbhanj,yes,bijatala,yes,badjharan,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bijatala,1,badjharan,0,202.41,79.8,124.88,0.02,0,204.7,-2.29,1.52,mayurbhanj,bijatala,badjharan
1329,2628,mayurbhanj,yes,bijatala,yes,bankati,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bijatala,2,bankati,0,373.38,124.9,282.07,0.46,0,407.43,-34.05,2.36,mayurbhanj,bijatala,bankati
1330,2629,mayurbhanj,yes,bijatala,yes,bijatala,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bijatala,3,bijatala,-0.02,360.73,111.62,263.95,0.14,0,375.71,-14.98,2.52,mayurbhanj,bijatala,bijatala
1331,2630,mayurbhanj,yes,bijatala,yes,chadheipahadi,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bijatala,4,chadheipahadi,0,261.82,76.13,191.09,0.11,0,267.33,-5.51,2.96,mayurbhanj,bijatala,chadheipahadi
1332,2631,mayurbhanj,yes,bijatala,yes,khanta,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bijatala,5,khanta,0,223.03,89.08,181.06,0.41,0,270.56,-47.53,2.29,mayurbhanj,bijatala,khanta
1333,2632,mayurbhanj,yes,bijatala,yes,luhasila,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bijatala,6,luhasila,0,179.39,60.33,118.64,0.16,0,179.13,0.27,1.71,mayurbhanj,bijatala,luhasila
1334,2633,mayurbhanj,yes,bijatala,yes,madheikocha,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bijatala,7,madheikocha,0,221.21,72.2,156.77,0.24,0,229.21,-8,1.86,mayurbhanj,bijatala,madheikocha
1335,2634,mayurbhanj,yes,bijatala,yes,manikpur,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bijatala,8,manikpur,0,157.22,48.46,108.3,0,0,156.76,0.46,0.78,mayurbhanj,bijatala,manikpur
1336,2635,mayurbhanj,yes,bijatala,yes,mundathakura,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bijatala,9,mundathakura,0,228.41,88.46,186.49,0.32,0,275.26,-46.85,2.38,mayurbhanj,bijatala,mundathakura
1337,2636,mayurbhanj,yes,bijatala,yes,nusadihi,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bijatala,10,nusadihi,0,160.25,40.93,123.17,0.05,0,164.15,-3.89,1.49,mayurbhanj,bijatala,nusadihi
1338,2637,mayurbhanj,yes,bijatala,yes,raihari,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bijatala,11,raihari,0,260.25,81.43,189.07,0.5,0,271,-10.75,9.76,mayurbhanj,bijatala,raihari
1339,2638,mayurbhanj,yes,bijatala,yes,sargoda,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bijatala,12,sargoda,0,218.66,70.99,150.38,0.23,0,221.6,-2.94,1.12,mayurbhanj,bijatala,sargoda
1340,2773,mayurbhanj,yes,kusumi,yes,jaipur,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,kusumi,7,jaipur,0,49.15,14.48,15.37,0.24,0,30.09,19.05,0.45,mayurbhanj,kusumi,jaipur
1341,2776,mayurbhanj,yes,kusumi,yes,kusumi,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,kusumi,10,kusumi,0,25.26,19.9,5.25,0.06,0,25.21,0.04,0.12,mayurbhanj,kusumi,kusumi
1342,2777,mayurbhanj,yes,kusumi,yes,mayurdar,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,kusumi,11,mayurdar,0,87.17,49.66,37.01,0.5,0,87.17,0,0.39,mayurbhanj,kusumi,mayurdar
1343,2769,mayurbhanj,yes,kusumi,yes,bhutukabadi,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,kusumi,3,bhutukabadi,0,53.1,22.93,15.14,0.2,0,38.27,14.84,0.19,mayurbhanj,kusumi,bhutukabadi
1344,2852,mayurbhanj,yes,saraskana,yes,bagbuda,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,saraskana,1,bagbuda,0,111.98,48.26,62.79,0.87,0,111.93,0.06,0.08,mayurbhanj,saraskana,bagbuda
1345,2853,mayurbhanj,yes,saraskana,yes,bhursani,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,saraskana,2,bhursani,0,94.16,62.32,31.39,0.46,0,94.16,0,0,mayurbhanj,saraskana,bhursani
1346,2854,mayurbhanj,yes,saraskana,yes,dhangidisole,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,saraskana,3,dhangidisole,0,32.64,18.26,14.05,0.34,0,32.64,0,0,mayurbhanj,saraskana,dhangidisole
1347,2855,mayurbhanj,yes,saraskana,yes,jalda,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,saraskana,4,jalda,0,92.86,62.35,30.04,0.44,0,92.84,0.02,0.06,mayurbhanj,saraskana,jalda
1348,2856,mayurbhanj,yes,saraskana,yes,jharpokharia,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,saraskana,5,jharpokharia,0,67.24,31.78,34.88,0.48,0,67.14,0.09,0.17,mayurbhanj,saraskana,jharpokharia
1349,2857,mayurbhanj,yes,saraskana,yes,joka,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,saraskana,6,joka,0,96.99,65.97,30.75,0.46,0,97.18,-0.19,1.12,mayurbhanj,saraskana,joka
1350,2858,mayurbhanj,yes,saraskana,yes,murunia,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,saraskana,7,murunia,0,21.65,8.35,13.06,0.16,0,21.57,0.08,0.19,mayurbhanj,saraskana,murunia
1351,2859,mayurbhanj,yes,saraskana,yes,paktia,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,saraskana,8,paktia,0,63.5,45.85,17.2,0.27,0,63.33,0.17,0.07,mayurbhanj,saraskana,paktia
1352,2860,mayurbhanj,yes,saraskana,yes,pandara,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,saraskana,9,pandara,0,19.45,7.43,11.84,0.14,0,19.42,0.03,0.08,mayurbhanj,saraskana,pandara
1353,2861,mayurbhanj,yes,saraskana,yes,pokharia,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,saraskana,10,pokharia,0,97.16,78.12,18.13,0.31,0,96.55,0.61,0.49,mayurbhanj,saraskana,pokharia
1354,2862,mayurbhanj,yes,saraskana,yes,pokharidiha,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,saraskana,11,pokharidiha,0,94.08,49.47,43.67,0.67,0,93.8,0.28,0.17,mayurbhanj,saraskana,pokharidiha
1355,2863,mayurbhanj,yes,saraskana,yes,rajaloka,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,saraskana,12,rajaloka,0,66.71,28.03,38.16,0.5,0,66.7,0.01,0,mayurbhanj,saraskana,rajaloka
1356,2864,mayurbhanj,yes,saraskana,yes,sankhabhanga,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,saraskana,13,sankhabhanga,0,71.1,32.56,37.97,0.56,0,71.1,0,0,mayurbhanj,saraskana,sankhabhanga
1357,2865,mayurbhanj,yes,saraskana,yes,saraskana,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,saraskana,14,saraskana,0,91.44,44.46,46.18,0.6,0,91.23,0.21,0.12,mayurbhanj,saraskana,saraskana
1358,2866,mayurbhanj,yes,saraskana,yes,silphodi,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,saraskana,15,silphodi,0,74.13,49.88,23.74,0.38,0,74,0.13,0,mayurbhanj,saraskana,silphodi
1359,2867,mayurbhanj,yes,saraskana,yes,sirsa,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,saraskana,16,sirsa,0,131.08,70.82,59.43,0.78,0,131.03,0.05,0.36,mayurbhanj,saraskana,sirsa
1360,2868,mayurbhanj,yes,saraskana,yes,umadeipur,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,saraskana,17,umadeipur,0,73.22,35.43,37.27,0.51,0,73.21,0.01,0.45,mayurbhanj,saraskana,umadeipur
1361,2639,mayurbhanj,yes,bisoi,yes,asana,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bisoi,1,asana,0,17.57,11.67,5.48,0.15,0,17.3,0.26,0.05,mayurbhanj,bisoi,asana
1362,2640,mayurbhanj,yes,bisoi,yes,badmanada,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bisoi,2,badmanada,0,20.2,14.97,5.17,0.07,0,20.2,0,0,mayurbhanj,bisoi,badmanada
1363,2641,mayurbhanj,yes,bisoi,yes,baneikala,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bisoi,3,baneikala,0,16.93,12.29,4.62,0.06,0,16.97,-0.04,0.06,mayurbhanj,bisoi,baneikala
1364,2642,mayurbhanj,yes,bisoi,yes,bautibeda,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bisoi,4,bautibeda,0,26.45,13.94,12.32,0.16,0,26.42,0.03,0.05,mayurbhanj,bisoi,bautibeda
1365,2643,mayurbhanj,yes,bisoi,yes,bhhatchhatar,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bisoi,5,bhhatchhatar,0,12.93,8.97,3.64,0.11,0,12.71,0.22,0.07,mayurbhanj,bisoi,bhhatchhatar
1366,2644,mayurbhanj,yes,bisoi,yes,bisoi,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bisoi,6,bisoi,0,9.34,8.49,0.74,0,0,9.23,0.1,0.19,mayurbhanj,bisoi,bisoi
1367,2645,mayurbhanj,yes,bisoi,yes,jagannathpur,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bisoi,7,jagannathpur,0,30.93,23.93,6.56,0.09,0,30.57,0.36,0,mayurbhanj,bisoi,jagannathpur
1368,2646,mayurbhanj,yes,bisoi,yes,jodia,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bisoi,8,jodia,0,16.2,8.34,7.77,0.08,0,16.19,0.01,0.11,mayurbhanj,bisoi,jodia
1369,2647,mayurbhanj,yes,bisoi,yes,khadambeda,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bisoi,9,khadambeda,0,25.68,15.41,10.05,0.14,0,25.59,0.09,0.06,mayurbhanj,bisoi,khadambeda
1370,2648,mayurbhanj,yes,bisoi,yes,luhakani,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bisoi,10,luhakani,0,21.97,13.38,8.59,0,0,21.97,0,0.02,mayurbhanj,bisoi,luhakani
1371,2649,mayurbhanj,yes,bisoi,yes,nangal benta pokharia,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bisoi,11,nangal benta pokharia,0,6.27,5.09,1.17,0.01,0,6.27,0,0.07,mayurbhanj,bisoi,nangal benta pokharia
1372,2650,mayurbhanj,yes,bisoi,yes,nuagan,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bisoi,12,nuagan,0,31.23,22.3,8.54,0.23,0,31.08,0.15,0.16,mayurbhanj,bisoi,nuagan
1373,2651,mayurbhanj,yes,bisoi,yes,sanpurunapani,yes,27,27 saraskana (st),mayurbhanj (st),odisha,mayurbhanj,bisoi,13,sanpurunapani,0,18.87,15.69,3.09,0.07,0,18.85,0.03,0,mayurbhanj,bisoi,sanpurunapani
1374,2913,mayurbhanj,yes,tiring,yes,bad dalima,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,tiring,1,bad dalima,0,52.6,41.51,10.12,0.11,0,51.74,0.86,0.09,mayurbhanj,tiring,bad dalima
1375,2914,mayurbhanj,yes,tiring,yes,bad narini,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,tiring,2,bad narini,0,18.29,18.04,0,0,0,18.04,0.24,0.9,mayurbhanj,tiring,bad narini
1376,2915,mayurbhanj,yes,tiring,yes,gitilata,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,tiring,3,gitilata,0,3.56,2.73,0.46,0.01,0,3.19,0.37,0.09,mayurbhanj,tiring,gitilata
1377,2916,mayurbhanj,yes,tiring,yes,kulughutu,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,tiring,4,kulughutu,0,17.2,15.18,1.9,0.02,0,17.11,0.09,0.03,mayurbhanj,tiring,kulughutu
1378,2917,mayurbhanj,yes,tiring,yes,lupung,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,tiring,5,lupung,0,22.45,22.4,0,0,0,22.4,0.05,0.09,mayurbhanj,tiring,lupung
1379,2918,mayurbhanj,yes,tiring,yes,naranpur,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,tiring,6,naranpur,0,34.45,32.89,1.51,0.02,0,34.42,0.03,0.46,mayurbhanj,tiring,naranpur
1380,2919,mayurbhanj,yes,tiring,yes,pandupani,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,tiring,7,pandupani,0,14.13,13.58,0,0,0,13.58,0.55,0.13,mayurbhanj,tiring,pandupani
1381,2920,mayurbhanj,yes,tiring,yes,rengalbeda,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,tiring,8,rengalbeda,0,23.19,22.55,0.31,0,0,22.86,0.33,0.02,mayurbhanj,tiring,rengalbeda
1382,2921,mayurbhanj,yes,tiring,yes,sanbhundu,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,tiring,9,sanbhundu,0,25.98,25.43,0,0,0,25.42,0.56,0.41,mayurbhanj,tiring,sanbhundu
1383,2922,mayurbhanj,yes,tiring,yes,tiring,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,tiring,10,tiring,0,24.15,23.97,0.09,0,0,24.06,0.09,0.3,mayurbhanj,tiring,tiring
1384,2561,mayurbhanj,yes,bahalda,yes,anlajodi,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,bahalda,1,anlajodi,-0.01,55.74,43.57,11.47,0.15,0,55.19,0.55,0.07,mayurbhanj,bahalda,anlajodi
1385,2562,mayurbhanj,yes,bahalda,yes,asana,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,bahalda,2,asana,0,176.71,84.36,87.67,1.22,0,173.25,3.46,1.68,mayurbhanj,bahalda,asana
1386,2563,mayurbhanj,yes,bahalda,yes,badpalsa,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,bahalda,3,badpalsa,0,73.34,34,38.35,0.51,0,72.87,0.48,0.31,mayurbhanj,bahalda,badpalsa
1387,2564,mayurbhanj,yes,bahalda,yes,bahalda,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,bahalda,4,bahalda,0,30.64,13.19,17.51,0.2,0,30.9,-0.26,0,mayurbhanj,bahalda,bahalda
1388,2565,mayurbhanj,yes,bahalda,yes,basingi,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,bahalda,5,basingi,0,119.59,67.82,53.09,0.69,0,121.59,-2.01,0.38,mayurbhanj,bahalda,basingi
1389,2566,mayurbhanj,yes,bahalda,yes,bhitaramda,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,bahalda,6,bhitaramda,0,100.76,43.84,57.42,0.78,0,102.03,-1.28,0.54,mayurbhanj,bahalda,bhitaramda
1390,2567,mayurbhanj,yes,bahalda,yes,gambharia,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,bahalda,7,gambharia,0,97.68,63.18,33,0.48,0,96.65,1.03,6.49,mayurbhanj,bahalda,gambharia
1391,2568,mayurbhanj,yes,bahalda,yes,gidighaty,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,bahalda,8,gidighaty,0,40.65,24.27,4.43,0.04,0,28.74,11.91,0.12,mayurbhanj,bahalda,gidighaty
1392,2569,mayurbhanj,yes,bahalda,yes,jashipur,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,bahalda,9,jashipur,0,157.73,62.81,89.54,1.21,0,153.56,4.17,0.33,mayurbhanj,bahalda,jashipur
1393,2570,mayurbhanj,yes,bahalda,yes,jharadihi,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,bahalda,10,jharadihi,0,57.51,25.13,31.36,0.37,0,56.86,0.65,0.17,mayurbhanj,bahalda,jharadihi
1394,2571,mayurbhanj,yes,bahalda,yes,kanki,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,bahalda,11,kanki,0,71.81,42.5,29.02,0.42,0,71.93,-0.12,0.16,mayurbhanj,bahalda,kanki
1395,2572,mayurbhanj,yes,bahalda,yes,soso,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,bahalda,12,soso,0,140.25,79.35,59.3,0.89,0,139.55,0.71,0.53,mayurbhanj,bahalda,soso
1396,2665,mayurbhanj,yes,jamada,yes,bad dundu,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,jamada,1,bad dundu,0,29.96,11.83,17.85,0.27,0,29.95,0.01,0.05,mayurbhanj,jamada,bad dundu
1397,2666,mayurbhanj,yes,jamada,yes,bad kuleibira,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,jamada,2,bad kuleibira,0,18.38,11.59,6.53,0.07,0,18.2,0.18,0.03,mayurbhanj,jamada,bad kuleibira
1398,2667,mayurbhanj,yes,jamada,yes,hensda,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,jamada,3,hensda,0,50.52,31.86,18.34,0.32,0,50.52,0,0.52,mayurbhanj,jamada,hensda
1399,2668,mayurbhanj,yes,jamada,yes,jamda,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,jamada,4,jamda,0,25.33,18.55,6.67,0.11,0,25.33,0,0.06,mayurbhanj,jamada,jamda
1400,2669,mayurbhanj,yes,jamada,yes,jarkani,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,jamada,5,jarkani,0,7.58,6.93,0.63,0.02,0,7.58,0,0.02,mayurbhanj,jamada,jarkani
1401,2670,mayurbhanj,yes,jamada,yes,moranda,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,jamada,6,moranda,0,34.81,20.51,14.1,0.2,0,34.81,0,0.03,mayurbhanj,jamada,moranda
1402,2671,mayurbhanj,yes,jamada,yes,pasna,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,jamada,7,pasna,0,39.82,19.16,20.17,0.28,0,39.6,0.22,0.12,mayurbhanj,jamada,pasna
1403,2672,mayurbhanj,yes,jamada,yes,talagaon,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,jamada,8,talagaon,0,16.46,11.13,5.24,0.09,0,16.46,0,0.09,mayurbhanj,jamada,talagaon
1404,2673,mayurbhanj,yes,jamada,yes,tarana,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,jamada,9,tarana,0,73.2,31.06,41.6,0.55,0,73.2,0,0.27,mayurbhanj,jamada,tarana
1405,2674,mayurbhanj,yes,jamada,yes,tendra,yes,28,28 rairangpur (st),mayurbhanj (st),odisha,mayurbhanj,jamada,10,tendra,0,38.93,26.02,12.68,0.23,0,38.93,0,0.1,mayurbhanj,jamada,tendra
