g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20,updated_district_name,updated_block_name,updated_gp_name
26,4772,baragarh,yes,paikmal,yes,kansada,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,12,kansada,0.96,64.62,64.36,5.64,0.48,0,70.49,-5.87,0,baragarh,paikmal,kansada
27,4773,baragarh,yes,paikmal,yes,kechhodadar,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,13,kechhodadar,0,49.07,41.66,12.17,0.81,0,54.65,-5.58,0.23,baragarh,paikmal,kechhodadar
28,4774,baragarh,yes,paikmal,yes,kermelabahal,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,14,kermelabahal,0.04,31.23,26.37,4.15,0.1,0,30.62,0.61,0.6,baragarh,paikmal,kermelabahal
29,4775,baragarh,yes,paikmal,yes,lakhamara,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,15,lakhamara,0.15,49.37,49.71,0,0,0,49.71,-0.34,0.1,baragarh,paikmal,lakhamara
30,4776,baragarh,yes,paikmal,yes,mandiadhipa,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,16,mandiadhipa,0,49.44,37.21,16.4,2.29,0,55.9,-6.46,0.05,baragarh,paikmal,mandiadhipa
31,4777,baragarh,yes,paikmal,yes,mandosil,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,17,mandosil,0.09,51.07,45.26,7.46,0.41,0,53.13,-2.06,0.32,baragarh,paikmal,mandosil
32,4778,baragarh,yes,paikmal,yes,mithapali,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,18,mithapali,0.18,78.81,60.63,20.72,1.79,0,83.14,-4.33,0.16,baragarh,paikmal,mithapali
33,4779,baragarh,yes,paikmal,yes,paikmal,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,19,paikmal,0,38.91,40.08,21.41,2.08,0,63.57,-24.66,0.25,baragarh,paikmal,paikmal
34,4780,baragarh,yes,paikmal,yes,palsada,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,20,palsada,0.2,29.37,30.86,8.68,0.61,0,40.15,-10.78,0.13,baragarh,paikmal,palsada
35,4781,baragarh,yes,paikmal,yes,saraikela,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,21,saraikela,0.1,32.93,32.32,0,0,0,32.32,0.61,0.23,baragarh,paikmal,saraikela
36,4782,baragarh,yes,paikmal,yes,temeri,yes,1,1 padampur,bargarh,odisha,baragarh,paikmal,22,temeri,0.5,22.01,22.85,3.94,0.33,0,27.12,-5.11,0.39,baragarh,paikmal,temeri
37,4751,baragarh,yes,padampur,yes,kansar,yes,1,1 padampur,bargarh,odisha,baragarh,padampur,13,kansar,0.73,38.6,38.12,0,0,0,38.11,0.48,0.06,baragarh,padampur,kansar
