State,District,Block,Sl. No,Name of Gram Panchayat,SC,ST,Minority,Others,Total
Odisha,Baragarh,Ambabhona,6,Dunguri,24,26.8,0,21.3,72.1
Odisha,Baragarh,Ambabhona,7,Dwari,55.4,22.7,0,22.1,100.2
Odisha,Baragarh,Ambabhona,8,Kandpala,60.1,55,0,30.5,145.6
Odisha,Baragarh,Ambabhona,9,Kapasira,32.5,29,0,32.5,94
Odisha,Baragarh,Ambabhona,10,Karla,2.7,39.5,0,8.1,50.3
Odisha,Baragarh,Ambabhona,11,Khola,6,49.1,0,22.2,77.3
Odisha,Baragarh,Ambabhona,12,Kumbho,22.6,50.5,0,28.9,102
Odisha,Baragarh,Ambabhona,13,Lakhanpur,31.3,123,0,41.1,195.4
Odisha,Baragarh,Ambabhona,14,Ruchida,58.1,35.9,0,67.5,161.5
Odisha,Baragarh,Ambabhona,15,Uttam,24.7,42.3,0,16.9,83.9
Odisha,Baragarh,Ambabhona,,Total,501.4,725.2,0,508.2,1734.8
Odisha,Baragarh,Attabira,1,Amlipali,20.9,61,0,20.1,102
Odisha,Baragarh,Attabira,2,Bugbuga,25,20.8,0,37.9,83.7
Odisha,Baragarh,Attabira,3,Chakuli,37.2,14.9,0,34.4,86.5
Odisha,Baragarh,Attabira,4,Dulampur,4,9.2,0,10.4,23.6
Odisha,Baragarh,Attabira,5,Godbhaga,12.4,5,0,36.4,53.8
Odisha,Baragarh,Attabira,6,Hirlipali,28,20.4,0,19.7,68.1
Odisha,Baragarh,Attabira,7,Janged,25.6,27.5,0,15,68.1
Odisha,Baragarh,Attabira,8,Janhapada,12.8,6,0,25.7,44.5
Odisha,Baragarh,Attabira,9,Jhiliminda,22.8,27.2,0,37.8,87.8
Odisha,Baragarh,Attabira,10,Kadobahal,13.7,1.7,0,24.4,39.8
Odisha,Baragarh,Attabira,11,Kharamunda,13.9,69.4,0,17.2,100.5
Odisha,Baragarh,Attabira,12,Kulitatukura,3.1,16.7,0,35.6,55.4
Odisha,Baragarh,Attabira,13,Kulunda,12.4,23.2,0,21.1,56.7
Odisha,Baragarh,Attabira,14,Kumelsingha,18.5,12.7,0,17.8,49
Odisha,Baragarh,Attabira,15,Lachida,27,26.3,0,14,67.3
Odisha,Baragarh,Attabira,16,Lahanda,17,44.3,0,20.7,82
Odisha,Baragarh,Attabira,17,Larambha,1,2.1,0,12.6,15.7
Odisha,Baragarh,Attabira,18,Larasara,32.2,20.6,0,21.6,74.4
Odisha,Baragarh,Attabira,19,Manapara,28.6,12.4,0,51.7,92.7
Odisha,Baragarh,Attabira,20,Paharsrigida,45.1,169.3,0,26.4,240.8
Odisha,Baragarh,Attabira,21,Silat,20.1,20.6,0,23.5,64.2
Odisha,Baragarh,Attabira,22,Tamparsara,49.8,16.9,0,78.3,145
Odisha,Baragarh,Attabira,23,Tangarpali,20.4,68.3,0,7.9,96.6
Odisha,Baragarh,Attabira,24,Tope,69.4,30.1,0,52.1,151.6
Odisha,Baragarh,Attabira,,Total,560.9,726.6,0,662.3,1949.8
Odisha,Baragarh,Bargarh,1,Adgaon,23.6,4.4,0,13.8,41.8
Odisha,Baragarh,Bargarh,2,Bardol,31.9,17.6,0,37,86.5
Odisha,Baragarh,Bargarh,3,Bargaon,24.6,2,0,26,52.6
Odisha,Baragarh,Bargarh,4,Barhagoda,2.8,2.3,0,13.3,18.4
Odisha,Baragarh,Bargarh,5,Birmal,5.6,25.2,0,42.1,72.9
Odisha,Baragarh,Bargarh,6,Bonda,4.8,11.9,0,20.5,37.2
Odisha,Baragarh,Bargarh,7,Chakarkend,20.4,7.9,0,59.9,88.2
Odisha,Baragarh,Bargarh,8,Deogaon,11.4,3.5,0,15.9,30.8
Odisha,Baragarh,Bargarh,9,Dhanger,26.4,17.6,0,37.1,81.1
Odisha,Baragarh,Bargarh,10,Gaisama,1.3,0.3,0,25.3,26.9
Odisha,Baragarh,Bargarh,11,Gobindapur,12.8,10.7,0,24.9,48.4
Odisha,Baragarh,Bargarh,12,Gudesira,36.2,5.8,0,39.6,81.6
Odisha,Baragarh,Bargarh,13,Jumurda,8.4,1.7,0,19.3,29.4
Odisha,Baragarh,Bargarh,14,Kalapani,2.8,1.4,0,13.7,17.9
Odisha,Baragarh,Bargarh,15,Katapali,13.9,2,0,40,55.9
Odisha,Baragarh,Bargarh,16,Khaliapali,32.8,2.7,7.3,11.9,54.7
Odisha,Baragarh,Bargarh,17,Khandtha,9.5,3.1,0,32.6,45.2
Odisha,Baragarh,Bargarh,18,Khuntpali,1.1,0.7,0,23.4,25.2
Odisha,Baragarh,Bargarh,19,Kuruan,2.4,0.6,0,14.4,17.4
Odisha,Baragarh,Bargarh,20,N.Jampali,33,20.9,0,20.4,74.3
Odisha,Baragarh,Bargarh,21,Nileswar,9.2,5.7,0,61.8,76.7
Odisha,Baragarh,Bargarh,22,Patharla,6.4,5.4,0,39.1,50.9
Odisha,Baragarh,Bargarh,23,S.Dumerpali,9.1,2.1,0,79.7,90.9
Odisha,Baragarh,Bargarh,24,Sarsara,7.9,8,0,18.7,34.6
Odisha,Baragarh,Bargarh,25,Talsirgida,10.1,2.6,0,18.6,31.3
Odisha,Baragarh,Bargarh,26,Tora,108,9.2,0,99.6,216.8
Odisha,Baragarh,Bargarh,27,Tumgaon,15.6,13.8,0,22.1,51.5
Odisha,Baragarh,Bargarh,,Total,472,189.1,7.3,870.7,1539.1
Odisha,Baragarh,Barpali,1,Agalpur,11.2,0,0,37.8,49
Odisha,Baragarh,Barpali,2,Bagbadi,0.6,3.1,0,25.2,28.9
Odisha,Baragarh,Barpali,3,Bandhpali,4.2,7,0,30.5,41.7
Odisha,Baragarh,Barpali,4,Baramkela,3.8,3.8,0,29.8,37.4
Odisha,Baragarh,Barpali,5,Barguda,34.5,14.9,0,30.2,79.6
Odisha,Baragarh,Barpali,6,Bhatigaon,14,14.3,0,23.3,51.6
Odisha,Baragarh,Barpali,7,Gopeipali,8,5.7,0,31.7,45.4
