s_state,s_district,s_block,Sl. No,s_gp,SC,ST,Minority,Others,Total,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,anugul,banarpal,3,balaramprasad,7.7,0.3,0,7.5,15.5,61,anugul,banarpal,balaramprasad
odisha,anugul,banarpal,4,banarpal,0.4,2,0,1.5,3.9,62,anugul,banarpal,banarpal
odisha,anugul,banarpal,5,bauligarh,5.6,0,0,21.7,27.3,63,anugul,banarpal,bauligarh
odisha,anugul,banarpal,6,benagadia,4.8,0,0,2.6,7.4,64,anugul,banarpal,benagadia
odisha,anugul,banarpal,7,bhogabereni,51.3,0.3,0,0,51.6,65,anugul,banarpal,bhogabereni
odisha,anugul,banarpal,8,bonda,1.5,0,0,10.9,12.4,66,anugul,banarpal,bonda
odisha,anugul,banarpal,9,budhapanka,33,4.8,0,3.6,41.4,67,anugul,banarpal,budhapanka
odisha,anugul,banarpal,10,fulapada,14,24.6,0,14.5,53.1,68,anugul,banarpal,fulapada
odisha,anugul,banarpal,11,garhsantri,1,2.4,0,43.8,47.2,69,anugul,banarpal,garhsantri
odisha,anugul,banarpal,12,giranga,0,0.3,0,0,0.3,70,anugul,banarpal,giranga
odisha,anugul,banarpal,13,gotamara,9.2,2.5,0,6.9,18.6,71,anugul,banarpal,gotamara
odisha,anugul,banarpal,14,jamunali,18,2.5,0,29.2,49.7,72,anugul,banarpal,jamunali
odisha,anugul,banarpal,15,jarada,3.4,0,0,9,12.4,73,anugul,banarpal,jarada
odisha,anugul,banarpal,16,jarasinga,2.7,0,0,10.5,13.2,74,anugul,banarpal,jarasinga
odisha,anugul,banarpal,17,kandasar,1.9,0,0,0.7,2.6,75,anugul,banarpal,kandasar
odisha,anugul,banarpal,18,kanjara,36.5,0,0,38,74.5,76,anugul,banarpal,kanjara
odisha,anugul,banarpal,19,karadagadia,4.4,4.4,0,11.1,19.9,77,anugul,banarpal,karadagadia
odisha,anugul,banarpal,20,kukadanga,20.7,0,0,2.2,22.9,78,anugul,banarpal,kukadanga
odisha,anugul,banarpal,21,kulad,4,0,0,4.2,8.2,79,anugul,banarpal,kulad
odisha,anugul,banarpal,22,kumunda,2.3,0,0,0.2,2.5,80,anugul,banarpal,kumunda
odisha,anugul,banarpal,23,kurudol,29.9,0.7,0,7.5,38.1,81,anugul,banarpal,kurudol
odisha,anugul,banarpal,24,mahidhar pur,69.5,0,0,25.4,94.9,82,anugul,banarpal,mahidhar pur
odisha,anugul,banarpal,25,nuahata,8.8,0,0,9.1,17.9,83,anugul,banarpal,nuahata
odisha,anugul,banarpal,26,raniguda jungle,0,0,0,8.6,8.6,84,anugul,banarpal,raniguda jungle
odisha,anugul,banarpal,27,sankerjanga,7.5,0,0,10.2,17.7,85,anugul,banarpal,sankerjanga
odisha,anugul,banarpal,28,santarapur,22.2,0,0,29.7,51.9,86,anugul,banarpal,santarapur
odisha,anugul,banarpal,29,santarapur(kha),11.9,1.3,0,36.9,50.1,87,anugul,banarpal,santarapur(kha)
odisha,anugul,banarpal,30,shakosingha,5.4,0,0,1,6.4,88,anugul,banarpal,shakosingha
odisha,anugul,banarpal,31,talamul,16.7,10.2,0,7.1,34,89,anugul,banarpal,talamul
odisha,anugul,banarpal,32,talamul sasan,53.9,1.2,0,25.1,80.2,90,anugul,banarpal,talamul sasan
odisha,anugul,banarpal,33,tubey,14.9,6.4,0,52.6,73.9,91,anugul,banarpal,tubey
odisha,anugul,banarpal,34,tulasipal,8.6,1.5,0,21.4,31.5,92,anugul,banarpal,tulasipal
odisha,anugul,banarpal,35,turanga,32.6,0,0,5.8,38.4,93,anugul,banarpal,turanga
odisha,anugul,chhendipada,1,bagedia,17.2,2.9,0,57.8,77.9,94,anugul,chhendipada,bagedia
odisha,anugul,chhendipada,2,balipata,84.6,72.4,0,93.5,250.5,95,anugul,chhendipada,balipata
odisha,anugul,chhendipada,3,barapada,3.2,0.6,0,2,5.8,96,anugul,chhendipada,barapada
odisha,anugul,chhendipada,4,barasahi,31.5,0,0,5.6,37.1,97,anugul,chhendipada,barasahi
odisha,anugul,chhendipada,5,brahmanbil,21,4.6,0,17.6,43.2,98,anugul,chhendipada,brahmanbil
odisha,anugul,chhendipada,6,changudia,10,6.8,0,46.1,62.9,99,anugul,chhendipada,changudia
odisha,anugul,chhendipada,7,durgapur,29.9,6.1,0,56.7,92.7,100,anugul,chhendipada,durgapur
odisha,anugul,chhendipada,8,jarapada,21.8,0.6,0,9.1,31.5,101,anugul,chhendipada,jarapada
odisha,anugul,chhendipada,9,jerang dehurisahi,18.2,22.2,0,58.2,98.6,102,anugul,chhendipada,jerang dehurisahi
odisha,anugul,chhendipada,10,kampasala,0.9,8.5,0,18,27.4,103,anugul,chhendipada,kampasala
odisha,anugul,chhendipada,11,kanaloi,18.2,0,0,2,20.2,104,anugul,chhendipada,kanaloi
odisha,anugul,chhendipada,12,katada,56.5,51.3,0,44.7,152.5,105,anugul,chhendipada,katada
odisha,anugul,chhendipada,13,korada,35.6,6.9,0,33.9,76.4,106,anugul,chhendipada,korada
odisha,anugul,chhendipada,14,kosala,31.3,20.6,0,69.2,121.1,107,anugul,chhendipada,kosala
odisha,anugul,chhendipada,15,kukurpeta,6.5,0.6,0,29,36.1,108,anugul,chhendipada,kukurpeta
odisha,anugul,chhendipada,16,kusakila,10.5,4,0,49.5,64,109,anugul,chhendipada,kusakila
odisha,anugul,chhendipada,17,machhakuta,12.5,11,0,1.3,24.8,110,anugul,chhendipada,machhakuta
odisha,anugul,chhendipada,18,nisa,0.7,24.1,0,15.1,39.9,111,anugul,chhendipada,nisa
odisha,anugul,chhendipada,19,nuagaon,12.3,0.2,0,19.7,32.2,112,anugul,chhendipada,nuagaon
odisha,anugul,chhendipada,20,ogi,41.5,7.4,0,101.6,150.5,113,anugul,chhendipada,ogi
odisha,anugul,chhendipada,21,para,31.3,3.9,0,85,120.2,114,anugul,chhendipada,para
odisha,anugul,chhendipada,22,paranga,83.9,3.1,0,4.2,91.2,115,anugul,chhendipada,paranga
odisha,anugul,chhendipada,23,patakamunda,12.4,0.6,0,27.9,40.9,116,anugul,chhendipada,patakamunda
odisha,anugul,chhendipada,24,patrapada,5.3,0,0,9.6,14.9,117,anugul,chhendipada,patrapada
odisha,anugul,chhendipada,25,t.kodasahi,15.4,5.2,0,9.6,30.2,118,anugul,chhendipada,t.kodasahi
odisha,anugul,chhendipada,26,tangiri,9.5,2.6,0,26.8,38.9,119,anugul,chhendipada,tangiri
odisha,anugul,chhendipada,27,tukuda,38,10.7,0,10.5,59.2,120,anugul,chhendipada,tukuda
odisha,anugul,chhendipada,28,bahalsahi,NA,NA,NA,NA,NA,121,anugul,chhendipada,bahalsahi
odisha,anugul,chhendipada,29,basantapur,NA,NA,NA,NA,NA,122,anugul,chhendipada,basantapur
odisha,anugul,chhendipada,30,chhendipada,NA,NA,NA,NA,NA,123,anugul,chhendipada,chhendipada
odisha,anugul,chhendipada,31,kankarei,NA,NA,NA,NA,NA,124,anugul,chhendipada,kankarei
odisha,anugul,chhendipada,32,natada,NA,NA,NA,NA,NA,125,anugul,chhendipada,natada
odisha,anugul,chhendipada,33,raijharan,NA,NA,NA,NA,NA,126,anugul,chhendipada,raijharan
odisha,anugul,chhendipada,34,similipal,NA,NA,NA,NA,NA,127,anugul,chhendipada,similipal
odisha,anugul,kaniha,1,arkil,3.1,0.6,0,0.7,4.4,128,anugul,kaniha,arkil
odisha,anugul,kaniha,2,badagunduri,0.7,0,0,0,0.7,129,anugul,kaniha,badagunduri
odisha,anugul,kaniha,3,badatribida,2,0,0,0.3,2.3,130,anugul,kaniha,badatribida
odisha,anugul,kaniha,4,bajrakote,9.9,5.2,0,0,15.1,131,anugul,kaniha,bajrakote
odisha,anugul,kaniha,5,balipasi,38.2,8.1,0,19.2,65.5,132,anugul,kaniha,balipasi
