g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc
76,754,baragarh,yes,gaisilet,yes,sardhapali,yes,2,2 bijepur,bargarh
77,755,baragarh,yes,gaisilet,yes,talpali,yes,2,2 bijepur,bargarh
78,713,baragarh,yes,bijepur,yes,badabaunsen,yes,2,2 bijepur,bargarh
79,714,baragarh,yes,bijepur,yes,badbrahmani,yes,2,2 bijepur,bargarh
80,715,baragarh,yes,bijepur,yes,bairakhapali,yes,2,2 bijepur,bargarh
81,716,baragarh,yes,bijepur,yes,barmunda,yes,2,2 bijepur,bargarh
82,717,baragarh,yes,bijepur,yes,beniachal,yes,2,2 bijepur,bargarh
83,718,baragarh,yes,bijepur,yes,bhatigaon,yes,2,2 bijepur,bargarh
84,719,baragarh,yes,bijepur,yes,bijepur,yes,2,2 bijepur,bargarh
85,720,baragarh,yes,bijepur,yes,budapali,yes,2,2 bijepur,bargarh
86,721,baragarh,yes,bijepur,yes,charpali (new),yes,2,2 bijepur,bargarh
87,722,baragarh,yes,bijepur,yes,ganthiapali,yes,2,2 bijepur,bargarh
88,723,baragarh,yes,bijepur,yes,jaring,yes,2,2 bijepur,bargarh
89,724,baragarh,yes,bijepur,yes,jokhipali,yes,2,2 bijepur,bargarh
90,725,baragarh,yes,bijepur,yes,kharmunda,yes,2,2 bijepur,bargarh
91,726,baragarh,yes,bijepur,yes,laumunda,yes,2,2 bijepur,bargarh
92,727,baragarh,yes,bijepur,yes,m.srigida,yes,2,2 bijepur,bargarh
93,728,baragarh,yes,bijepur,yes,pada,yes,2,2 bijepur,bargarh
94,729,baragarh,yes,bijepur,yes,pahandi,yes,2,2 bijepur,bargarh
95,730,baragarh,yes,bijepur,yes,patharla,yes,2,2 bijepur,bargarh
96,731,baragarh,yes,bijepur,yes,saipali,yes,2,2 bijepur,bargarh
97,732,baragarh,yes,bijepur,yes,samaleipadar,yes,2,2 bijepur,bargarh
98,733,baragarh,yes,bijepur,yes,sanbausen,yes,2,2 bijepur,bargarh
99,734,baragarh,yes,bijepur,yes,surubali,yes,2,2 bijepur,bargarh
100,735,baragarh,yes,bijepur,yes,t.gandpali,yes,2,2 bijepur,bargarh
101,736,baragarh,yes,bijepur,yes,talpadar,yes,2,2 bijepur,bargarh
102,669,baragarh,yes,barpali,yes,patkulunda,yes,2,2 bijepur,bargarh
103,653,baragarh,yes,barpali,yes,agalpur,yes,2,2 bijepur,bargarh
104,655,baragarh,yes,barpali,yes,bandhpali,yes,2,2 bijepur,bargarh
105,657,baragarh,yes,barpali,yes,barguda,yes,2,2 bijepur,bargarh
106,658,baragarh,yes,barpali,yes,bhatigaon,yes,2,2 bijepur,bargarh
107,659,baragarh,yes,barpali,yes,gopeipali,yes,2,2 bijepur,bargarh
108,660,baragarh,yes,barpali,yes,kainsir,yes,2,2 bijepur,bargarh
109,663,baragarh,yes,barpali,yes,khemasara,yes,2,2 bijepur,bargarh
110,667,baragarh,yes,barpali,yes,mahada,yes,2,2 bijepur,bargarh
111,670,baragarh,yes,barpali,yes,raxa,yes,2,2 bijepur,bargarh
112,671,baragarh,yes,barpali,yes,remta,yes,2,2 bijepur,bargarh
113,672,baragarh,yes,barpali,yes,satalama,yes,2,2 bijepur,bargarh
114,673,baragarh,yes,barpali,yes,tileimal,yes,2,2 bijepur,bargarh
115,664,baragarh,yes,barpali,yes,kumbhari,yes,2,2 bijepur,bargarh
