g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc
74,4721,baragarh,yes,gaisilet,yes,raisalpadar,yes,2,2 bijepur,bargarh
75,4722,baragarh,yes,gaisilet,yes,sandhibahal,yes,2,2 bijepur,bargarh
76,4723,baragarh,yes,gaisilet,yes,sardhapali,yes,2,2 bijepur,bargarh
77,4724,baragarh,yes,gaisilet,yes,talpali,yes,2,2 bijepur,bargarh
78,4682,baragarh,yes,bijepur,yes,badabaunsen,yes,2,2 bijepur,bargarh
79,4683,baragarh,yes,bijepur,yes,badbrahmani,yes,2,2 bijepur,bargarh
80,4684,baragarh,yes,bijepur,yes,bairakhapali,yes,2,2 bijepur,bargarh
81,4685,baragarh,yes,bijepur,yes,barmunda,yes,2,2 bijepur,bargarh
82,4686,baragarh,yes,bijepur,yes,beniachal,yes,2,2 bijepur,bargarh
83,4687,baragarh,yes,bijepur,yes,bhatigaon,yes,2,2 bijepur,bargarh
84,4688,baragarh,yes,bijepur,yes,bijepur,yes,2,2 bijepur,bargarh
85,4689,baragarh,yes,bijepur,yes,budapali,yes,2,2 bijepur,bargarh
86,4690,baragarh,yes,bijepur,yes,charpali (new),yes,2,2 bijepur,bargarh
87,4691,baragarh,yes,bijepur,yes,ganthiapali,yes,2,2 bijepur,bargarh
88,4692,baragarh,yes,bijepur,yes,jaring,yes,2,2 bijepur,bargarh
89,4693,baragarh,yes,bijepur,yes,jokhipali,yes,2,2 bijepur,bargarh
90,4694,baragarh,yes,bijepur,yes,kharmunda,yes,2,2 bijepur,bargarh
91,4695,baragarh,yes,bijepur,yes,laumunda,yes,2,2 bijepur,bargarh
92,4696,baragarh,yes,bijepur,yes,m.srigida,yes,2,2 bijepur,bargarh
93,4697,baragarh,yes,bijepur,yes,pada,yes,2,2 bijepur,bargarh
94,4698,baragarh,yes,bijepur,yes,pahandi,yes,2,2 bijepur,bargarh
95,4699,baragarh,yes,bijepur,yes,patharla,yes,2,2 bijepur,bargarh
96,4700,baragarh,yes,bijepur,yes,saipali,yes,2,2 bijepur,bargarh
97,4701,baragarh,yes,bijepur,yes,samaleipadar,yes,2,2 bijepur,bargarh
98,4702,baragarh,yes,bijepur,yes,sanbausen,yes,2,2 bijepur,bargarh
99,4703,baragarh,yes,bijepur,yes,surubali,yes,2,2 bijepur,bargarh
100,4704,baragarh,yes,bijepur,yes,t.gandpali,yes,2,2 bijepur,bargarh
101,4705,baragarh,yes,bijepur,yes,talpadar,yes,2,2 bijepur,bargarh
102,4638,baragarh,yes,barpali,yes,patkulunda,yes,2,2 bijepur,bargarh
103,4622,baragarh,yes,barpali,yes,agalpur,yes,2,2 bijepur,bargarh
104,4624,baragarh,yes,barpali,yes,bandhpali,yes,2,2 bijepur,bargarh
105,4626,baragarh,yes,barpali,yes,barguda,yes,2,2 bijepur,bargarh
106,4627,baragarh,yes,barpali,yes,bhatigaon,yes,2,2 bijepur,bargarh
107,4628,baragarh,yes,barpali,yes,gopeipali,yes,2,2 bijepur,bargarh
108,4629,baragarh,yes,barpali,yes,kainsir,yes,2,2 bijepur,bargarh
109,4632,baragarh,yes,barpali,yes,khemasara,yes,2,2 bijepur,bargarh
110,4636,baragarh,yes,barpali,yes,mahada,yes,2,2 bijepur,bargarh
111,4639,baragarh,yes,barpali,yes,raxa,yes,2,2 bijepur,bargarh
112,4640,baragarh,yes,barpali,yes,remta,yes,2,2 bijepur,bargarh
113,4641,baragarh,yes,barpali,yes,satalama,yes,2,2 bijepur,bargarh
114,4642,baragarh,yes,barpali,yes,tileimal,yes,2,2 bijepur,bargarh
115,4633,baragarh,yes,barpali,yes,kumbhari,yes,2,2 bijepur,bargarh
