g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Sl. No,s_gp,SC,ST,Minority,Others,Total,updated_district_name,updated_block_name,updated_gp_name
274,3333,jharsuguda,yes,lakhanpur,yes,palsada,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,lakhanpur,20,palsada,42.2,37.4,0,25.6,105.2,jharsuguda,lakhanpur,palsada
275,3334,jharsuguda,yes,lakhanpur,yes,panchagaon,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,lakhanpur,21,panchagaon,27.3,6.2,0,31.9,65.4,jharsuguda,lakhanpur,panchagaon
276,3335,jharsuguda,yes,lakhanpur,yes,pandari,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,lakhanpur,22,pandari,19.9,30.2,0,19.3,69.4,jharsuguda,lakhanpur,pandari
277,3336,jharsuguda,yes,lakhanpur,yes,piplikani,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,lakhanpur,23,piplikani,29.1,29,0,13.8,71.9,jharsuguda,lakhanpur,piplikani
278,3337,jharsuguda,yes,lakhanpur,yes,piplimal,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,lakhanpur,24,piplimal,14.8,55.3,0,30.7,100.8,jharsuguda,lakhanpur,piplimal
279,3338,jharsuguda,yes,lakhanpur,yes,pithinda,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,lakhanpur,25,pithinda,47.2,18.3,0,42.7,108.2,jharsuguda,lakhanpur,pithinda
280,3339,jharsuguda,yes,lakhanpur,yes,rampella,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,lakhanpur,26,rampella,16.7,28.1,0,15.7,60.5,jharsuguda,lakhanpur,rampella
281,3340,jharsuguda,yes,lakhanpur,yes,remenda,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,lakhanpur,27,remenda,9.5,63.3,0.6,29.4,102.8,jharsuguda,lakhanpur,remenda
282,3341,jharsuguda,yes,lakhanpur,yes,remta,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,lakhanpur,28,remta,34.8,13.4,0,63.9,112.1,jharsuguda,lakhanpur,remta
283,3342,jharsuguda,yes,lakhanpur,yes,samarbaga,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,lakhanpur,29,samarbaga,12.2,28.1,0,25.6,65.9,jharsuguda,lakhanpur,samarbaga
284,3343,jharsuguda,yes,lakhanpur,yes,sarandamal,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,lakhanpur,30,sarandamal,48.8,60.5,0,16.1,125.4,jharsuguda,lakhanpur,sarandamal
285,3344,jharsuguda,yes,lakhanpur,yes,sunari,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,lakhanpur,31,sunari,47.1,74,0,29.1,150.2,jharsuguda,lakhanpur,sunari
286,3345,jharsuguda,yes,lakhanpur,yes,telenpali,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,lakhanpur,32,telenpali,17.1,9.9,0,14.8,41.8,jharsuguda,lakhanpur,telenpali
287,3346,jharsuguda,yes,lakhanpur,yes,tilia,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,lakhanpur,33,tilia,18.5,67.9,0,9.1,95.5,jharsuguda,lakhanpur,tilia
288,3270,jharsuguda,yes,jharsuguda,yes,chandinimal,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,jharsuguda,2,chandinimal,8.2,27.8,0,27.5,63.5,jharsuguda,jharsuguda,chandinimal
289,3273,jharsuguda,yes,jharsuguda,yes,gourmal,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,jharsuguda,5,gourmal,12.1,69.2,0,9.9,91.2,jharsuguda,jharsuguda,gourmal
290,3285,jharsuguda,yes,jharsuguda,yes,kudopali,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,jharsuguda,17,kudopali,NA,NA,NA,NA,NA,jharsuguda,jharsuguda,kudopali
291,3278,jharsuguda,yes,jharsuguda,yes,loisingh,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,jharsuguda,10,loisingh,51.9,72,0,44.3,168.2,jharsuguda,jharsuguda,loisingh
292,3282,jharsuguda,yes,jharsuguda,yes,rajpur,yes,6,6 brajarajnagar,bargarh,odisha,jharsuguda,jharsuguda,14,rajpur,41.9,13.5,0,20.7,76.1,jharsuguda,jharsuguda,rajpur
293,3269,jharsuguda,yes,jharsuguda,yes,badmal,yes,7,7 jharsuguda,bargarh,odisha,jharsuguda,jharsuguda,1,badmal,15,16.9,0,11.6,43.5,jharsuguda,jharsuguda,badmal
