g_match_id,s_id,g_district,district_mapped,g_block,block_mapped,g_gp,gp_mapped,g_ac_id,g_ac,g_pc,s_state,s_district,s_block,Sl. No,s_gp,SC,ST,Minority,Others,Total,updated_district_name,updated_block_name,updated_gp_name
756,1837,deogarh,yes,barkote,yes,kalla,yes,19,19 deogarh,sambalpur,odisha,deogarh,barkote,14,kalla,9.95,5.25,0,14.5,29.7,deogarh,barkote,kalla
757,1838,deogarh,yes,barkote,yes,kandhal,yes,19,19 deogarh,sambalpur,odisha,deogarh,barkote,15,kandhal,22.65,0.6,0,16.85,40.1,deogarh,barkote,kandhal
758,1839,deogarh,yes,barkote,yes,kantapali,yes,19,19 deogarh,sambalpur,odisha,deogarh,barkote,16,kantapali,2.25,67,0,13.9,83.15,deogarh,barkote,kantapali
759,1840,deogarh,yes,barkote,yes,kaunsibahal,yes,19,19 deogarh,sambalpur,odisha,deogarh,barkote,17,kaunsibahal,27.55,8.3,0,21.1,56.95,deogarh,barkote,kaunsibahal
760,1841,deogarh,yes,barkote,yes,kelda,yes,19,19 deogarh,sambalpur,odisha,deogarh,barkote,18,kelda,5.65,31.2,0,10.7,47.55,deogarh,barkote,kelda
761,1842,deogarh,yes,barkote,yes,madhyapur,yes,19,19 deogarh,sambalpur,odisha,deogarh,barkote,19,madhyapur,59.35,4.95,0,83.65,147.95,deogarh,barkote,madhyapur
762,1843,deogarh,yes,barkote,yes,raitabahal,yes,19,19 deogarh,sambalpur,odisha,deogarh,barkote,20,raitabahal,7.3,6.85,0,27,41.15,deogarh,barkote,raitabahal
763,1844,deogarh,yes,barkote,yes,rambhei,yes,19,19 deogarh,sambalpur,odisha,deogarh,barkote,21,rambhei,14.25,123.9,0.75,30.05,168.95,deogarh,barkote,rambhei
764,1846,deogarh,yes,barkote,yes,saruali,yes,19,19 deogarh,sambalpur,odisha,deogarh,barkote,23,saruali,23.65,92.2,0,11.35,127.2,deogarh,barkote,saruali
765,1845,deogarh,yes,barkote,yes,saida,yes,19,19 deogarh,sambalpur,odisha,deogarh,barkote,22,saida,12.25,17.85,0,13.1,43.2,deogarh,barkote,saida
766,1847,deogarh,yes,barkote,yes,singsal,yes,19,19 deogarh,sambalpur,odisha,deogarh,barkote,24,singsal,5.2,30.75,0,10.25,46.2,deogarh,barkote,singsal
767,1848,deogarh,yes,reamal,yes,adas,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,1,adas,0.3,21.6,0,18.3,40.2,deogarh,reamal,adas
768,1849,deogarh,yes,reamal,yes,baghbar,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,2,baghbar,10.5,32.3,0,13.9,56.7,deogarh,reamal,baghbar
769,1850,deogarh,yes,reamal,yes,budhapal,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,3,budhapal,26.55,7.55,0,14.55,48.65,deogarh,reamal,budhapal
770,1851,deogarh,yes,reamal,yes,budido,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,4,budido,7,12.5,0,12.85,32.35,deogarh,reamal,budido
771,1852,deogarh,yes,reamal,yes,chadeimara,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,5,chadeimara,3.9,4.6,0,27.85,36.35,deogarh,reamal,chadeimara
772,1853,deogarh,yes,reamal,yes,gundiapali,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,6,gundiapali,22.85,64.4,0,38.4,125.65,deogarh,reamal,gundiapali
773,1854,deogarh,yes,reamal,yes,kantabahal,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,7,kantabahal,16,46.9,0,11.2,74.1,deogarh,reamal,kantabahal
774,1855,deogarh,yes,reamal,yes,karlaga,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,8,karlaga,38.2,26.65,9.55,46.9,121.3,deogarh,reamal,karlaga
775,1856,deogarh,yes,reamal,yes,khilei,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,9,khilei,18.85,21.8,0,24.35,65,deogarh,reamal,khilei
776,1857,deogarh,yes,reamal,yes,kolhabasa,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,10,kolhabasa,0,24.35,0,9.7,34.05,deogarh,reamal,kolhabasa
777,1858,deogarh,yes,reamal,yes,kundheigola,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,11,kundheigola,9.25,11.9,0,18.15,39.3,deogarh,reamal,kundheigola
778,1859,deogarh,yes,reamal,yes,lulang,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,12,lulang,1.05,50.8,0,11,62.85,deogarh,reamal,lulang
779,1860,deogarh,yes,reamal,yes,mahaleipada,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,13,mahaleipada,15,19.4,0,31.5,65.9,deogarh,reamal,mahaleipada
780,1861,deogarh,yes,reamal,yes,naulipada,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,14,naulipada,15.35,9.5,0,15.9,40.75,deogarh,reamal,naulipada
781,1862,deogarh,yes,reamal,yes,nuadihi,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,15,nuadihi,15.45,20.9,0,5.25,41.6,deogarh,reamal,nuadihi
782,1863,deogarh,yes,reamal,yes,nuapada,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,16,nuapada,6,0,0,10.7,16.7,deogarh,reamal,nuapada
783,1864,deogarh,yes,reamal,yes,palsama,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,17,palsama,30.2,37.15,0,34.5,101.85,deogarh,reamal,palsama
784,1865,deogarh,yes,reamal,yes,para,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,18,para,22.5,16.45,0,24.35,63.3,deogarh,reamal,para
785,1866,deogarh,yes,reamal,yes,reamal,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,19,reamal,13.7,0.3,0,33.65,47.65,deogarh,reamal,reamal
786,1867,deogarh,yes,reamal,yes,tabada,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,20,tabada,8.15,55.6,0,10.35,74.1,deogarh,reamal,tabada
787,1868,deogarh,yes,reamal,yes,tarange,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,21,tarange,20.55,20.5,0,17.7,58.75,deogarh,reamal,tarange
788,1869,deogarh,yes,reamal,yes,tentalabahal,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,22,tentalabahal,9.9,28.55,0,4.25,42.7,deogarh,reamal,tentalabahal
789,1870,deogarh,yes,reamal,yes,tinkbir,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,23,tinkbir,2.5,15.95,0,11.9,30.35,deogarh,reamal,tinkbir
790,1871,deogarh,yes,reamal,yes,tuhilamal,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,24,tuhilamal,0.5,5.8,0,14,20.3,deogarh,reamal,tuhilamal
791,1872,deogarh,yes,reamal,yes,tungamal,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,25,tungamal,7.3,5.05,0,3.65,16,deogarh,reamal,tungamal
792,1873,deogarh,yes,reamal,yes,utunia,yes,19,19 deogarh,sambalpur,odisha,deogarh,reamal,26,utunia,18.35,39.75,0,7.9,66,deogarh,reamal,utunia
793,6291,sambalpur,yes,bamara,yes,babuniktimal,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,bamara,1,babuniktimal,1.3,19.8,0,8,29.1,sambalpur,bamara,babuniktimal
794,6292,sambalpur,yes,bamara,yes,baunsalaga,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,bamara,2,baunsalaga,0.9,34.85,0,22,57.75,sambalpur,bamara,baunsalaga
795,6293,sambalpur,yes,bamara,yes,garposh,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,bamara,3,garposh,0.9,60.7,0,14.5,76.1,sambalpur,bamara,garposh
796,6294,sambalpur,yes,bamara,yes,govindpur,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,bamara,4,govindpur,0.6,36.45,0,33.7,70.75,sambalpur,bamara,govindpur
797,6295,sambalpur,yes,bamara,yes,jarabaga,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,bamara,5,jarabaga,0.9,29.45,0,29.5,59.85,sambalpur,bamara,jarabaga
798,6296,sambalpur,yes,bamara,yes,kabribahal,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,bamara,6,kabribahal,1.1,27.7,0,24.9,53.7,sambalpur,bamara,kabribahal
799,6297,sambalpur,yes,bamara,yes,keseibahal,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,bamara,7,keseibahal,3,68.5,0,13,84.5,sambalpur,bamara,keseibahal
800,6298,sambalpur,yes,bamara,yes,kinabaga,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,bamara,8,kinabaga,0.3,131.35,0,17.4,149.05,sambalpur,bamara,kinabaga
801,6299,sambalpur,yes,bamara,yes,kutarimal,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,bamara,9,kutarimal,0.95,78.65,0,46.3,125.9,sambalpur,bamara,kutarimal
802,6300,sambalpur,yes,bamara,yes,lariapali,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,bamara,10,lariapali,1.1,53.5,0,6.2,60.8,sambalpur,bamara,lariapali
803,6301,sambalpur,yes,bamara,yes,mahulpali,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,bamara,11,mahulpali,4.7,13.65,0,33.7,52.05,sambalpur,bamara,mahulpali
804,6302,sambalpur,yes,bamara,yes,pindapathar,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,bamara,12,pindapathar,1.2,73.1,0,26.3,100.6,sambalpur,bamara,pindapathar
805,6303,sambalpur,yes,bamara,yes,rabaga,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,bamara,13,rabaga,1.5,124.65,0,7.1,133.25,sambalpur,bamara,rabaga
806,6304,sambalpur,yes,bamara,yes,rangiatikra,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,bamara,14,rangiatikra,0.3,74.1,0,6.5,80.9,sambalpur,bamara,rangiatikra
807,6305,sambalpur,yes,bamara,yes,sagara,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,bamara,15,sagara,3,52.8,0,20.8,76.6,sambalpur,bamara,sagara
808,6306,sambalpur,yes,bamara,yes,turei,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,bamara,16,turei,0.3,46.5,0,7.9,54.7,sambalpur,bamara,turei
809,6307,sambalpur,yes,bamara,yes,uchkapat,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,bamara,17,uchkapat,0.6,47.6,0,30.2,78.4,sambalpur,bamara,uchkapat
810,6356,sambalpur,yes,kuchinda,yes,ardabahal,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,kuchinda,1,ardabahal,6.5,29.9,0,58.5,94.9,sambalpur,kuchinda,ardabahal
811,6357,sambalpur,yes,kuchinda,yes,bankey,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,kuchinda,2,bankey,17.95,53.15,0,23.1,94.2,sambalpur,kuchinda,bankey
812,6358,sambalpur,yes,kuchinda,yes,bauriguda,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,kuchinda,3,bauriguda,26.3,56.8,0,36.3,119.4,sambalpur,kuchinda,bauriguda
813,6359,sambalpur,yes,kuchinda,yes,boxama,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,kuchinda,4,boxama,7,28.6,0,11,46.6,sambalpur,kuchinda,boxama
814,6360,sambalpur,yes,kuchinda,yes,chandnimal,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,kuchinda,5,chandnimal,20.1,17,0,6.6,43.7,sambalpur,kuchinda,chandnimal
815,6361,sambalpur,yes,kuchinda,yes,gochhara,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,kuchinda,6,gochhara,35.75,108.45,0,56.5,200.7,sambalpur,kuchinda,gochhara
816,6362,sambalpur,yes,kuchinda,yes,hadipali,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,kuchinda,7,hadipali,15.1,50.7,0,34.35,100.15,sambalpur,kuchinda,hadipali
817,6363,sambalpur,yes,kuchinda,yes,jamankira,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,kuchinda,8,jamankira,1.6,56.1,0,19.2,76.9,sambalpur,kuchinda,jamankira
818,6364,sambalpur,yes,kuchinda,yes,khandokata,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,kuchinda,9,khandokata,45.45,21.3,0,20.4,87.15,sambalpur,kuchinda,khandokata
819,6365,sambalpur,yes,kuchinda,yes,kudapara,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,kuchinda,10,kudapara,27.4,48.9,0,50.5,126.8,sambalpur,kuchinda,kudapara
820,6366,sambalpur,yes,kuchinda,yes,kuntura,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,kuchinda,11,kuntura,20.9,74.15,0,20.6,115.65,sambalpur,kuchinda,kuntura
821,6367,sambalpur,yes,kuchinda,yes,kusumi,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,kuchinda,12,kusumi,42.25,97.15,0,29.35,168.75,sambalpur,kuchinda,kusumi
822,6368,sambalpur,yes,kuchinda,yes,kuturachua,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,kuchinda,13,kuturachua,21.1,43.8,0,30.9,95.8,sambalpur,kuchinda,kuturachua
823,6369,sambalpur,yes,kuchinda,yes,paruabhadi,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,kuchinda,14,paruabhadi,61.75,87.7,0,43.7,193.15,sambalpur,kuchinda,paruabhadi
824,6370,sambalpur,yes,kuchinda,yes,salebhadi,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,kuchinda,15,salebhadi,8.3,28.6,0,9,45.9,sambalpur,kuchinda,salebhadi
825,6371,sambalpur,yes,kuchinda,yes,tainsar,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,kuchinda,16,tainsar,6.4,31.2,0,6.6,44.2,sambalpur,kuchinda,tainsar
826,6372,sambalpur,yes,kuchinda,yes,teltileimal,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,kuchinda,17,teltileimal,13.8,92.4,0,45.8,152,sambalpur,kuchinda,teltileimal
827,6317,sambalpur,yes,jamankira,yes,badarama,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,1,badarama,5.9,99.35,0,13.25,118.5,sambalpur,jamankira,badarama
828,6318,sambalpur,yes,jamankira,yes,badmal,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,2,badmal,9.5,50.35,0,25.45,85.3,sambalpur,jamankira,badmal
829,6319,sambalpur,yes,jamankira,yes,bhojpur,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,3,bhojpur,3.25,3.8,0,7.7,14.75,sambalpur,jamankira,bhojpur
830,6320,sambalpur,yes,jamankira,yes,chakuliabahal,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,4,chakuliabahal,6.75,23.4,0,5.5,35.65,sambalpur,jamankira,chakuliabahal
831,6321,sambalpur,yes,jamankira,yes,dhudipali,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,5,dhudipali,27.55,105.75,0,26.4,159.7,sambalpur,jamankira,dhudipali
832,6322,sambalpur,yes,jamankira,yes,dimirimunda,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,6,dimirimunda,16.6,61.8,0,35.1,113.5,sambalpur,jamankira,dimirimunda
833,6323,sambalpur,yes,jamankira,yes,fasimal,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,7,fasimal,7.55,65.4,0,27.75,100.7,sambalpur,jamankira,fasimal
834,6324,sambalpur,yes,jamankira,yes,gundruchuan,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,8,gundruchuan,62.95,113.9,0,52.6,229.45,sambalpur,jamankira,gundruchuan
835,6325,sambalpur,yes,jamankira,yes,jamankira,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,9,jamankira,26.95,61.75,0,53.15,141.85,sambalpur,jamankira,jamankira
836,6326,sambalpur,yes,jamankira,yes,kasada,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,10,kasada,5.1,48.85,0,25.8,79.75,sambalpur,jamankira,kasada
837,6327,sambalpur,yes,jamankira,yes,katangpani,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,11,katangpani,1.1,8.8,0,9,18.9,sambalpur,jamankira,katangpani
838,6328,sambalpur,yes,jamankira,yes,kenadhipa,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,12,kenadhipa,1.1,13.45,0,6.5,21.05,sambalpur,jamankira,kenadhipa
839,6329,sambalpur,yes,jamankira,yes,kharsanmal,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,13,kharsanmal,1.85,78.15,0,35.8,115.8,sambalpur,jamankira,kharsanmal
840,6330,sambalpur,yes,jamankira,yes,kulundi,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,14,kulundi,47.85,95,0,83.25,226.1,sambalpur,jamankira,kulundi
841,6331,sambalpur,yes,jamankira,yes,mahada,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,15,mahada,6.5,50.35,0,11.75,68.6,sambalpur,jamankira,mahada
842,6332,sambalpur,yes,jamankira,yes,mundhenpali,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,16,mundhenpali,50.9,85.85,0,94.35,231.1,sambalpur,jamankira,mundhenpali
843,6333,sambalpur,yes,jamankira,yes,sarda,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,17,sarda,0,3.45,0,1.3,4.75,sambalpur,jamankira,sarda
844,6334,sambalpur,yes,jamankira,yes,siridi,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,18,siridi,0.45,33.05,0,8.9,42.4,sambalpur,jamankira,siridi
845,6335,sambalpur,yes,jamankira,yes,subarnapali,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,19,subarnapali,20.65,144.35,0,35.1,200.1,sambalpur,jamankira,subarnapali
846,6336,sambalpur,yes,jamankira,yes,tikiba,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,20,tikiba,0,1.5,0,17.4,18.9,sambalpur,jamankira,tikiba
847,6337,sambalpur,yes,jamankira,yes,tikilipara,yes,15,15 kuchinda (st),sambalpur,odisha,sambalpur,jamankira,21,tikilipara,0,11.3,0,13,24.3,sambalpur,jamankira,tikilipara
848,6418,sambalpur,yes,rengali,yes,bomaloi,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,rengali,1,bomaloi,25.9,77.8,0,22.7,126.4,sambalpur,rengali,bomaloi
849,6419,sambalpur,yes,rengali,yes,ghichamura,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,rengali,2,ghichamura,27.3,103,0,68.2,198.5,sambalpur,rengali,ghichamura
850,6420,sambalpur,yes,rengali,yes,jangla,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,rengali,3,jangla,28.6,77.25,0,29.9,135.75,sambalpur,rengali,jangla
851,6421,sambalpur,yes,rengali,yes,jhankarpali,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,rengali,4,jhankarpali,47.4,140.5,0,73.1,261,sambalpur,rengali,jhankarpali
852,6422,sambalpur,yes,rengali,yes,katarbaga,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,rengali,5,katarbaga,88.45,114.2,0,110.4,313.05,sambalpur,rengali,katarbaga
853,6423,sambalpur,yes,rengali,yes,khinda,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,rengali,6,khinda,5.15,30.8,0,23.95,59.9,sambalpur,rengali,khinda
854,6424,sambalpur,yes,rengali,yes,kinaloi,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,rengali,7,kinaloi,21.6,123.75,0,31.5,176.85,sambalpur,rengali,kinaloi
855,6425,sambalpur,yes,rengali,yes,laida,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,rengali,8,laida,79.25,40.05,0,52.7,172,sambalpur,rengali,laida
856,6426,sambalpur,yes,rengali,yes,lapanga,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,rengali,9,lapanga,24.6,52.55,0,41.9,119.05,sambalpur,rengali,lapanga
857,6427,sambalpur,yes,rengali,yes,nishanbhanga,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,rengali,10,nishanbhanga,15.75,52.15,0,18.65,86.55,sambalpur,rengali,nishanbhanga
858,6428,sambalpur,yes,rengali,yes,rengali,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,rengali,11,rengali,15.25,106.5,0,41.5,163.25,sambalpur,rengali,rengali
859,6429,sambalpur,yes,rengali,yes,rengloi,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,rengali,12,rengloi,5.8,41,0,9.1,55.9,sambalpur,rengali,rengloi
860,6430,sambalpur,yes,rengali,yes,salad,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,rengali,13,salad,57.8,38.7,0,31.8,128.3,sambalpur,rengali,salad
861,6431,sambalpur,yes,rengali,yes,tabadabahal,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,rengali,14,tabadabahal,16.6,63.8,0,11.1,91.5,sambalpur,rengali,tabadabahal
862,6432,sambalpur,yes,rengali,yes,tamperkela,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,rengali,15,tamperkela,0.3,48.25,0,34,82.55,sambalpur,rengali,tamperkela
863,6433,sambalpur,yes,rengali,yes,thelkoloi,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,rengali,16,thelkoloi,5.75,5.5,0,2.9,14.15,sambalpur,rengali,thelkoloi
864,6308,sambalpur,yes,dhankauda,yes,basantpur,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,dhankauda,1,basantpur,45.95,14.6,0,51.2,111.75,sambalpur,dhankauda,basantpur
865,6309,sambalpur,yes,dhankauda,yes,bisalkhinda,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,dhankauda,2,bisalkhinda,76.25,72.55,0,40.5,189.3,sambalpur,dhankauda,bisalkhinda
866,6310,sambalpur,yes,dhankauda,yes,kalamati,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,dhankauda,3,kalamati,72.3,16.2,0,53.25,141.75,sambalpur,dhankauda,kalamati
867,6311,sambalpur,yes,dhankauda,yes,kankhinda,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,dhankauda,4,kankhinda,55.3,33.95,0,15.6,104.85,sambalpur,dhankauda,kankhinda
868,6312,sambalpur,yes,dhankauda,yes,kardola,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,dhankauda,5,kardola,60.3,16.25,0,34,110.55,sambalpur,dhankauda,kardola
869,6313,sambalpur,yes,dhankauda,yes,kilasama,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,dhankauda,6,kilasama,90.75,129,0,35.55,255.3,sambalpur,dhankauda,kilasama
870,6314,sambalpur,yes,dhankauda,yes,kudgunderpur,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,dhankauda,7,kudgunderpur,28.55,20.95,0,25.2,74.7,sambalpur,dhankauda,kudgunderpur
871,6315,sambalpur,yes,dhankauda,yes,sason,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,dhankauda,8,sason,53.9,34.3,0,37,125.2,sambalpur,dhankauda,sason
872,6316,sambalpur,yes,dhankauda,yes,talab,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,dhankauda,9,talab,37.05,119.15,0,19.7,175.9,sambalpur,dhankauda,talab
873,6380,sambalpur,yes,maneswar,yes,gunderpur,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,maneswar,8,gunderpur,NA,NA,NA,NA,NA,sambalpur,maneswar,gunderpur
874,6375,sambalpur,yes,maneswar,yes,batemura,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,maneswar,3,batemura,82.55,87.15,0,36.9,206.6,sambalpur,maneswar,batemura
875,6376,sambalpur,yes,maneswar,yes,bhikampur,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,maneswar,4,bhikampur,6.35,18.75,0,25.35,50.45,sambalpur,maneswar,bhikampur
876,6388,sambalpur,yes,maneswar,yes,tabala,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,maneswar,16,tabala,69.65,115.6,0,50.7,235.95,sambalpur,maneswar,tabala
877,6384,sambalpur,yes,maneswar,yes,nuadihura,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,maneswar,12,nuadihura,37.3,2.2,0,93.45,132.95,sambalpur,maneswar,nuadihura
878,6385,sambalpur,yes,maneswar,yes,parmanpur,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,maneswar,13,parmanpur,44.45,61.05,0,89.8,195.3,sambalpur,maneswar,parmanpur
879,6382,sambalpur,yes,maneswar,yes,maneswar,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,maneswar,10,maneswar,NA,NA,NA,NA,NA,sambalpur,maneswar,maneswar
880,6383,sambalpur,yes,maneswar,yes,mathpali,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,maneswar,11,mathpali,NA,NA,NA,NA,NA,sambalpur,maneswar,mathpali
881,6387,sambalpur,yes,maneswar,yes,sindurpank,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,maneswar,15,sindurpank,NA,NA,NA,NA,NA,sambalpur,maneswar,sindurpank
882,6389,sambalpur,yes,maneswar,yes,themra,yes,16,16 rengali (sc),sambalpur,odisha,sambalpur,maneswar,17,themra,NA,NA,NA,NA,NA,sambalpur,maneswar,themra
883,6338,sambalpur,yes,jujomura,yes,baham,yes,18,18 rairakhol,sambalpur,odisha,sambalpur,jujomura,1,baham,127.25,62.7,0,42.65,232.6,sambalpur,jujomura,baham
884,6339,sambalpur,yes,jujomura,yes,birsingharh,yes,18,18 rairakhol,sambalpur,odisha,sambalpur,jujomura,2,birsingharh,6.3,26.9,0,33.8,67,sambalpur,jujomura,birsingharh
885,6340,sambalpur,yes,jujomura,yes,chhamunda,yes,18,18 rairakhol,sambalpur,odisha,sambalpur,jujomura,3,chhamunda,3.7,70,0,10.15,83.85,sambalpur,jujomura,chhamunda
886,6341,sambalpur,yes,jujomura,yes,dangarpada,yes,18,18 rairakhol,sambalpur,odisha,sambalpur,jujomura,4,dangarpada,10.5,57.7,0,35.1,103.3,sambalpur,jujomura,dangarpada
887,6342,sambalpur,yes,jujomura,yes,ghenupali,yes,18,18 rairakhol,sambalpur,odisha,sambalpur,jujomura,5,ghenupali,42.8,72.3,0,75.45,190.55,sambalpur,jujomura,ghenupali
888,6343,sambalpur,yes,jujomura,yes,godloisingh,yes,18,18 rairakhol,sambalpur,odisha,sambalpur,jujomura,6,godloisingh,0,60.95,0,5.5,66.45,sambalpur,jujomura,godloisingh
889,6344,sambalpur,yes,jujomura,yes,jayantpur,yes,18,18 rairakhol,sambalpur,odisha,sambalpur,jujomura,7,jayantpur,11.3,72.6,0,26.75,110.65,sambalpur,jujomura,jayantpur
890,6345,sambalpur,yes,jujomura,yes,jhankarpali,yes,18,18 rairakhol,sambalpur,odisha,sambalpur,jujomura,8,jhankarpali,40.05,60.45,0,22.65,123.15,sambalpur,jujomura,jhankarpali
891,6346,sambalpur,yes,jujomura,yes,jujumura,yes,18,18 rairakhol,sambalpur,odisha,sambalpur,jujomura,9,jujumura,2,21.25,0,15.6,38.85,sambalpur,jujomura,jujumura
892,6347,sambalpur,yes,jujomura,yes,kabrapali,yes,18,18 rairakhol,sambalpur,odisha,sambalpur,jujomura,10,kabrapali,19.2,58.05,0,26.9,104.15,sambalpur,jujomura,kabrapali
