constituency,constituency_code,level,scheme,year,Openning Balance,Total Fund Available,Total Expenditure on Wages,Total Expenditure on Materials,Total Expenditure on Tax,Total Expenditure on Admin Expenses,Grand Total Expenditure,Total Unspent Balance,Total Payment Due
jayadev (sc),111,AC,MNREGA,2019-20,-11.04,82.87,88.88,36.92,0.27,0,126.07,-43.18,0.98
bhubaneswar north,113,AC,MNREGA,2019-20,1.22,7.0600000000000005,7.93,6.550000000000001,0.060000000000000005,0,14.55,-7.48,0.08
ekamra- bhubaneswar,114,AC,MNREGA,2019-20,1.6400000000000001,2.25,1.03,2.12,0,0,3.17,-0.8900000000000001,0
jatani,115,AC,MNREGA,2019-20,-19.62,67.88,68.49,31.93,0.18,0,100.63,-32.7,0.14
begunia,116,AC,MNREGA,2019-20,1.2599999999999998,586.33,523.51,62.620000000000005,0.11,0,586.27,0.049999999999999836,2.4
khurda,117,AC,MNREGA,2019-20,14.24,291.53000000000003,243.95,40.67,0.27,0,284.86,6.64,2.45
chilika,118,AC,MNREGA,2019-20,4.12,285.29,234.33,51.03,0.14,0,285.54,-0.2400000000000002,2.79
ranpur,119,AC,MNREGA,2019-20,0,460.87,429.93,28.84,0.39,0,459.18,1.75,13.53
rourkela,12,AC,MNREGA,2019-20,0,8.11,6.14,1.73,0.23,0,8.11,0,0
khandapada,120,AC,MNREGA,2019-20,0,1019.84,697.79,329.37,0,0,1027.16,-7.3100000000000005,19.43
daspalla (sc),121,AC,MNREGA,2019-20,0,324.28000000000003,280.06,41.88,1.1700000000000002,0,323.09,1.17,2.95
nayagarh,122,AC,MNREGA,2019-20,0,582.4,529.96,50.84,1.18,0,581.97,0.42,9.709999999999999
bhanjanagar,123,AC,MNREGA,2019-20,3,1721.09,1361.3,357.5,0,0,1718.75,2.3600000000000003,45.980000000000004
polasara,124,AC,MNREGA,2019-20,-0.01,900.03,660.49,237.77,0.02,0,898.26,1.71,14.98
kabisuryanagar,125,AC,MNREGA,2019-20,0,917.76,787.28,129.72,0,0,917,0.77,17.02
khalikote (sc),126,AC,MNREGA,2019-20,0,1305.69,1029.51,274.37,0.45,0,1304.33,1.3800000000000001,16.68
chhatrapur (sc),127,AC,MNREGA,2019-20,0,1112.1,776.49,332.96999999999997,0,0,1109.39,2.6999999999999997,7.62
aska,128,AC,MNREGA,2019-20,0,1199.17,885.93,312.42,0,0,1198.37,0.81,13.75
surada,129,AC,MNREGA,2019-20,-1.36,1740.77,1438.78,304.11,1.2,0,1744.09,-3.32,19.72
rajgangpur (st),13,AC,MNREGA,2019-20,-0.02,1851.35,1452.23,454.23,1.47,0,1907.89,-56.51,46.61
sanakhemundi,130,AC,MNREGA,2019-20,-0.01,2409.44,1758.97,649.62,0,0,2408.63,0.81,26.61
hinjili,131,AC,MNREGA,2019-20,0,1924.94,1483.6,440.49,0.65,0,1924.75,0.16,20.16
gopalpur,132,AC,MNREGA,2019-20,0,785.5799999999999,645.77,141.16,0,0,786.91,-1.3900000000000001,6.27
digapahandi,134,AC,MNREGA,2019-20,0,907.01,749.53,164.57999999999998,0.22,0,914.3,-7.32,12.83
chikiti,135,AC,MNREGA,2019-20,3.85,2010.13,1712.95,292.66,0.12,0,2005.7,4.44,19.38
mohana (st),136,AC,MNREGA,2019-20,-0.22,2463.9700000000003,1751.7,725.89,0,0,2477.56,-13.590000000000002,90.4
paralakhemundi,137,AC,MNREGA,2019-20,0,964.11,826.23,146.07,0.31,0,972.58,-8.44,34.21
gunupur (st),138,AC,MNREGA,2019-20,-224.33,3174.09,1921.04,1420.81,70.01,0,3411.91,-237.81,58.51
bissam cuttack (st),139,AC,MNREGA,2019-20,-217.2,2847.11,1905.1200000000001,1161.2,28.48,0,3094.81,-247.75,90.38
bonai (st),14,AC,MNREGA,2019-20,-0.26,2361.56,1913.71,455.63,1.71,0,2371.08,-9.52,34.39
rayagada (st),140,AC,MNREGA,2019-20,-298.03,2396.7599999999998,1284.3,1427.69,5.33,0,2717.29,-320.59,54.96
lakshmipur (st),141,AC,MNREGA,2019-20,-1.61,3545.36,2264.84,1256.24,57.45,0,3578.61,-33.19,143.85
kotpad (st),142,AC,MNREGA,2019-20,-1.22,2900.96,2124.97,856.14,30.57,0,3011.64,-110.66,26.71
jeypore,143,AC,MNREGA,2019-20,-0.35,1951.75,1342.25,604.5600000000001,1.42,0,1948.21,3.55,14.92
koraput (sc),144,AC,MNREGA,2019-20,-3.62,2086.4900000000002,1717.28,825.96,37.82,0,2581.09,-494.58,31.11
pottangi (st),145,AC,MNREGA,2019-20,-0.27,2663.15,1876.27,746.63,45.62,0,2668.53,-5.41,50.9
malkangiri (st),146,AC,MNREGA,2019-20,57.44,1917.89,1435.37,423.54,1.54,0,1860.42,57.46,31.31
chitrakonda (st),147,AC,MNREGA,2019-20,28.99,1860.36,1509.08,320.66,1.67,0,1831.4,28.99,27.07
kuchinda (st),15,AC,MNREGA,2019-20,17.14,1376.27,1151.16,197.52,7.07,0,1355.75,20.47,13.17
rengali (sc),16,AC,MNREGA,2019-20,7.42,720.61,612.07,108.77,0.04,0,720.89,-0.31999999999999973,13.68
rairakhol,18,AC,MNREGA,2019-20,18.46,1298.72,944.62,331.72,5.79,0,1282.2,16.52,22.13
deogarh,19,AC,MNREGA,2019-20,-27.69,1735.28,1177.81,575.25,1.6800000000000002,0,1754.77,-19.470000000000002,11.68
bijepur,2,AC,MNREGA,2019-20,20.8,1592.9,1398.8,489.64,51.93,0,1940.41,-347.42,12.36
telkoi (st),20,AC,MNREGA,2019-20,-225.41,2038.22,1638.39,624.35,7.22,0,2269.94,-231.79,38.82
ghasipura,21,AC,MNREGA,2019-20,34,1767.96,1582.7,178.57999999999998,8.38,0,1769.65,-1.7199999999999989,12.36
anandapur (sc),22,AC,MNREGA,2019-20,39.830000000000005,1567.5,1311.76,219.97,2.8000000000000003,0,1534.55,32.96,10.06
