constituency,constituency_code,level,scheme,year,SC,ST,Minority,Others,Total
padampur,1,AC,PMAGY,2018-19,1388.8,2436.4,16.7,2349,6190.9
biramitrapur (st),10,AC,PMAGY,2018-19,281.1,4158.9,25.7,653.65,5119.35
mahakalapada,100,AC,PMAGY,2018-19,639.5,35.4,21.3,1809.9,2506.1
paradeep,101,AC,PMAGY,2018-19,130,0,1,407.6,538.6
tirtol (sc),102,AC,PMAGY,2018-19,411.8,8.5,62.4,484,966.6999999999999
balikuda- erasama,103,AC,PMAGY,2018-19,635.1,0.6,30.6,1634.9,2301.2
jagatsinghpur,104,AC,PMAGY,2018-19,182,1.7,22.7,291.5,497.9
kakatpur (sc),105,AC,PMAGY,2018-19,418.6,4.8,98.6,857.3,1379.3
nimapara,106,AC,PMAGY,2018-19,501.9,1.5,52.1,1680.8,2236.3
puri,107,AC,PMAGY,2018-19,300.8,1.3,0,674.6,976.7
brahmagiri,108,AC,PMAGY,2018-19,1004.2,16.7,30.1,2441,3492
satyabadi,109,AC,PMAGY,2018-19,389.3,3.4,23.7,2401.6,2818
raghunathpali (sc),11,AC,PMAGY,2018-19,10.95,322.45,5.75,73.05,412.2
pipili,110,AC,PMAGY,2018-19,649.2,17.8,36,1591.3,2294.3
jayadev (sc),111,AC,PMAGY,2018-19,46.5,0,3.5,46.6,96.6
bhubaneswar north,113,AC,PMAGY,2018-19,0.3,0,0,2.4,2.7
ekamra- bhubaneswar,114,AC,PMAGY,2018-19,0.4,0,0,0.3,0.7
jatani,115,AC,PMAGY,2018-19,19.7,21,23.4,227.5,291.59999999999997
begunia,116,AC,PMAGY,2018-19,91.6,130.1,51.4,2086.6,2359.7
khurda,117,AC,PMAGY,2018-19,55.1,26,57.7,1123.4,1262.2
chilika,118,AC,PMAGY,2018-19,69.7,126,8.4,848.9,1053
ranpur,119,AC,PMAGY,2018-19,215.1,151.65,0,1203.75,1570.5
rourkela,12,AC,PMAGY,2018-19,0,0,0,0,0
khandapada,120,AC,PMAGY,2018-19,308.55,87.3,0,1099.3,1495.15
daspalla (sc),121,AC,PMAGY,2018-19,1246.7,1299.9,10.4,1187.35,3744.35
nayagarh,122,AC,PMAGY,2018-19,411,49.3,3.95,1320.3,1784.55
bhanjanagar,123,AC,PMAGY,2018-19,2225.95,722.6,0,1839.4,4787.95
polasara,124,AC,PMAGY,2018-19,278.8,95.75,0.6,788.1,1163.25
kabisuryanagar,125,AC,PMAGY,2018-19,84.85,30.95,0,617.95,733.75
khalikote (sc),126,AC,PMAGY,2018-19,75.5,122.60000000000001,0,465,663.1
chhatrapur (sc),127,AC,PMAGY,2018-19,41.95,0,0,91.25,133.2
aska,128,AC,PMAGY,2018-19,40.95,1.1,0,173.55,215.6
surada,129,AC,PMAGY,2018-19,1095.05,496.95,11.85,1717.6,3321.45
rajgangpur (st),13,AC,PMAGY,2018-19,163.2,3018.05,4.7,208.15,3394.1
sanakhemundi,130,AC,PMAGY,2018-19,287,327.55,0,809.7,1424.25
hinjili,131,AC,PMAGY,2018-19,23.65,4.7,0,116.4,144.75
gopalpur,132,AC,PMAGY,2018-19,24.25,0.55,0,77.4,102.2
digapahandi,134,AC,PMAGY,2018-19,103.55,99.15,0,388.15,590.85
