constituency,constituency_code,level,scheme,year,SC,ST,Minority,Others,Total
chikiti,135,AC,PMAGY,2018-19,137.2,302.2,0,578.45,1017.85
mohana (st),136,AC,PMAGY,2018-19,48.45,1286,114.85,2048.4,3497.7
paralakhemundi,137,AC,PMAGY,2018-19,68.7,16.3,10.1,1107.35,1202.45
gunupur (st),138,AC,PMAGY,2018-19,144.15,1579.05,157.55,1393.15,3273.9
bissam cuttack (st),139,AC,PMAGY,2018-19,239.65,936.6,12.15,2314.45,3502.85
bonai (st),14,AC,PMAGY,2018-19,283.7,3781.3,13.649999999999999,446.6,4525.25
rayagada (st),140,AC,PMAGY,2018-19,239.5,1793,2.05,1550.05,3584.6
lakshmipur (st),141,AC,PMAGY,2018-19,226.5,1677.1,0.6,234.55,2138.75
kotpad (st),142,AC,PMAGY,2018-19,932.15,3522.5,42.05,721,5217.7
jeypore,143,AC,PMAGY,2018-19,652.15,1678.3,22.9,437.5,2790.85
koraput (sc),144,AC,PMAGY,2018-19,243.75,1240.1,0.3,258.85,1743
pottangi (st),145,AC,PMAGY,2018-19,60.3,525.9,4.55,140.2,730.95
malkangiri (st),146,AC,PMAGY,2018-19,963.1,3499.25,0,358,4820.35
chitrakonda (st),147,AC,PMAGY,2018-19,358.3,2786,0,351.5,3495.8
kuchinda (st),15,AC,PMAGY,2018-19,702.8,3058.85,0,1439.45,5201.1
rengali (sc),16,AC,PMAGY,2018-19,1226.15,1857.5,0,1211.6,4295.25
rairakhol,18,AC,PMAGY,2018-19,917.8,1692.2,0,1609.05,4219.05
deogarh,19,AC,PMAGY,2018-19,875.9,2177.45,10.3,1277.35,4341
bijepur,2,AC,PMAGY,2018-19,1143.7,918.1,0,2512,4573.8
telkoi (st),20,AC,PMAGY,2018-19,541.25,3685.9,0,1087.75,5314.9
ghasipura,21,AC,PMAGY,2018-19,863.85,2951.7,21.5,1261.75,5098.8
anandapur (sc),22,AC,PMAGY,2018-19,1215.3,921.8,0,1194.15,3331.25
patna (st),23,AC,PMAGY,2018-19,557.65,3971.6,4.85,1345.55,5879.65
keonjhar (st),24,AC,PMAGY,2018-19,356.85,2337.25,0,709.05,3403.15
champua,25,AC,PMAGY,2018-19,157.7,1208.9,0,388.84999999999997,1755.45
jashipur (st),26,AC,PMAGY,2018-19,222.35,4083.65,13.95,688.2,5008.15
saraskana (st),27,AC,PMAGY,2018-19,283.85,4593.6,55.449999999999996,773.1,5706
rairangpur (st),28,AC,PMAGY,2018-19,310.35,4225.55,189.95000000000002,794.9,5520.75
bangriposi (st),29,AC,PMAGY,2018-19,307.15,4529.95,2.75,771.8,5611.65
bargarh,3,AC,PMAGY,2018-19,527.2,260.2,7.3,1075.7,1870.4
karanjia (st),30,AC,PMAGY,2018-19,188.1,3826,5.25,537.65,4557
udala (st),31,AC,PMAGY,2018-19,409.25,3882,1.5,756.85,5049.6
badasahi (sc),32,AC,PMAGY,2018-19,564,2534.1,25.7,1173.8,4297.6
baripada (st),33,AC,PMAGY,2018-19,224.95,3676.65,2.1999999999999997,503.5,4407.3
morada,34,AC,PMAGY,2018-19,506.5,3068.55,6.3,1279.9,4861.25
jaleswar,35,AC,PMAGY,2018-19,878,974.8,108.7,1334.5,3296
bhograi,36,AC,PMAGY,2018-19,690.3,128,98.2,1704.7,2621.2
basta,37,AC,PMAGY,2018-19,1062,510.5,91.8,1924.4,3588.7
balasore,38,AC,PMAGY,2018-19,758.7,221.6,68.4,923.6,1972.3
remuna (sc),39,AC,PMAGY,2018-19,1185.6,615.3,43.1,1084.6,2928.6
attabira (sc),4,AC,PMAGY,2018-19,1154.1,1001,1,1562.9,3719
nilgiri,40,AC,PMAGY,2018-19,595.4,1950.9,0.4,1157.8,3704.5
soro (sc),41,AC,PMAGY,2018-19,709.2,173.7,23.200000000000003,1314.4,2220.5
simulia,42,AC,PMAGY,2018-19,1083.4,325.1,48,2275.5,3732
bhandaripokhari,43,AC,PMAGY,2018-19,1032.4,89.3,92,1964.3,3178
bhadrak,44,AC,PMAGY,2018-19,607.7,95,135.3,1403.6,2241.6
basudevpur,45,AC,PMAGY,2018-19,719.8,2.6,81.4,2684.1,3487.9
dhamnagar,46,AC,PMAGY,2018-19,1206.3,12.799999999999999,225.4,2116.4,3560.9
chandabal,47,AC,PMAGY,2018-19,982.3,8.1,68.10000000000001,3196.6,4255.1
binjharpur (sc),48,AC,PMAGY,2018-19,2134.15,0,217.5,1688,4039.65
bari,49,AC,PMAGY,2018-19,1095.75,8.8,87.4,1506.25,2698.2
bhatli,5,AC,PMAGY,2018-19,1479.7,1901.8,1.6,2146.8,5529.9
barachana,50,AC,PMAGY,2018-19,189.9,95.2,55.25,385.95,726.3
dharmasala,51,AC,PMAGY,2018-19,786.4,84.6,15.55,1430.65,2317.2
jajpur,52,AC,PMAGY,2018-19,1383.9,33.7,246.95,1518.4,3182.95
korei,53,AC,PMAGY,2018-19,1096.15,253.5,214.8,1083.65,2648.1
sukinda,54,AC,PMAGY,2018-19,721.35,625.25,6.1,808.35,2161.05
dhenkanal,55,AC,PMAGY,2018-19,828.6,420.7,4,1293,2546.3
hindol (sc),56,AC,PMAGY,2018-19,1273.5,556.8,0,2025.1,3855.4
kamakhyanagar,57,AC,PMAGY,2018-19,892.4,470.6,0.6,1209.4,2573
parjanga,58,AC,PMAGY,2018-19,1048,1536.8,0,2102.1,4686.9
pallahara,59,AC,PMAGY,2018-19,570.6,1159.6,0,687.7,2417.9
brajarajnagar,6,AC,PMAGY,2018-19,901.6,1462.1,2.5,939,3305.2
talcher,60,AC,PMAGY,2018-19,29.8,17.099999999999998,0.7,33.1,80.7
angul,61,AC,PMAGY,2018-19,758.5,262,0,981.9,2002.4
chhendipada (sc),62,AC,PMAGY,2018-19,874.9,298.3,0,1193.5,2366.7
athamallik,63,AC,PMAGY,2018-19,1186.1,1609.7,0.7,1957.8,4754.3
birmaharajpur (sc),64,AC,PMAGY,2018-19,2261.1,661.8,0.6,3073.85,5997.35
sonepur,65,AC,PMAGY,2018-19,2302,891.5,2.1500000000000004,3405.65,6601.3
loisingha (sc),66,AC,PMAGY,2018-19,1885.5,1148.45,12.5,3907.85,6954.3
patnagarh,67,AC,PMAGY,2018-19,1698.7,4424.55,7.95,3479.85,9611.05
bolangir,68,AC,PMAGY,2018-19,1017.2,1363,12.6,1907.65,4300.45
titlagarh,69,AC,PMAGY,2018-19,1443.5,2006.25,12.75,3126.55,6589.05
jharsuguda,7,AC,PMAGY,2018-19,779,2240.3,0,830.2,3849.5
kantabanji,70,AC,PMAGY,2018-19,1830.65,3136.45,2.25,3787.4,8756.75
nuapada,71,AC,PMAGY,2018-19,1197.75,4350.9,35.35,1590.05,7174.05
kharia,72,AC,PMAGY,2018-19,1039.7,3502.4,8.2,2272.65,6822.95
umerkote (st),73,AC,PMAGY,2018-19,670.25,3682.15,0,561.65,4914.05
jharigam (st),74,AC,PMAGY,2018-19,729.65,4555.25,7.85,1938.45,7231.2
nabarangpur (st),75,AC,PMAGY,2018-19,922.1,3786.55,53.1,1011.7,5773.45
dabugam (st),76,AC,PMAGY,2018-19,580.7,3678.75,18.95,936.9,5215.3
lanjigarh (st),77,AC,PMAGY,2018-19,966.75,2776.55,3.15,1065.35,4811.8
junagarh,78,AC,PMAGY,2018-19,648.3,1029.9,0,2117.9,3796.1
dharamgarh,79,AC,PMAGY,2018-19,775.8,1692.1,1.6500000000000001,2568.25,5037.8
talsara (st),8,AC,PMAGY,2018-19,523.5,5272.6,62.150000000000006,610.7,6468.95
bhawanipatna (sc),80,AC,PMAGY,2018-19,638.3000000000001,1148.6,2.5,961,2750.4
narla,81,AC,PMAGY,2018-19,945.05,2075.35,13.35,1862.4,4896.15
baliguda (st),82,AC,PMAGY,2018-19,593.8,1539.3999999999999,37.1,580.05,2750.35
g. udayagiri (st),83,AC,PMAGY,2018-19,262.25,542.35,53.65,311.8,1170.05
phulbani (st),84,AC,PMAGY,2018-19,955.3,1698.8,0.3,617.2,3271.6
kantamal,85,AC,PMAGY,2018-19,1469.6,791.4,0.4,2794.5,5055.9
boudh,86,AC,PMAGY,2018-19,1700.3,668.4,3.0999999999999996,2195.1,4566.9
baramba,87,AC,PMAGY,2018-19,1076.4,238.2,11.6,2363.2,3689.4
banki,88,AC,PMAGY,2018-19,318.5,170.9,0.7,1842.4,2332.5
athagarh,89,AC,PMAGY,2018-19,140.4,199.6,13.1,1452.7,1805.8
sundargarh (st),9,AC,PMAGY,2018-19,850.8,3070.55,3.3000000000000003,845.35,4770
choudwar- cuttack,91,AC,PMAGY,2018-19,6.3,7.9,0,78.9,93.10000000000001
niali (sc),92,AC,PMAGY,2018-19,350.4,9.5,61.5,593.4,1014.8
cuttack sadar (sc),93,AC,PMAGY,2018-19,174.1,4.1,29.599999999999998,336.3,544.1
salipur,94,AC,PMAGY,2018-19,381,93.3,199.8,989,1663.1
mahanga,95,AC,PMAGY,2018-19,511.9,8,291.5,2145.7,2957.1
patkura,96,AC,PMAGY,2018-19,458.4,10.4,53.6,943.3,1465.7
kendrapara (sc),97,AC,PMAGY,2018-19,623.1,3.6,84.9,1066.7,1778.3
aul,98,AC,PMAGY,2018-19,1045.5,0,134.4,2630.8,3810.7
rajanagar,99,AC,PMAGY,2018-19,569.6,22.099999999999998,30.8,2513.4,3135.9
