constituency,level,scheme,year,SC,ST,Minority,Others,Total
aska,PC,PMAGY,2019-20,673.25,489.3,7.75,4721.2,5891.5
balasore,PC,PMAGY,2019-20,7979.35,10744.95,495.7,9016.75,28236.75
bargarh,PC,PMAGY,2019-20,7803.1,12830.4,8.2,12887.5,33529.2
berhampur,PC,PMAGY,2019-20,187.8,990.9,121,3237.3,4537
bhadrak (sc),PC,PMAGY,2019-20,6419.3,839,520.6,20417.1,28196
bhubaneswar,PC,PMAGY,2019-20,84.3,94,97.2,2858,3133.7
bolangir,PC,PMAGY,2019-20,14695.85,16441.8,54.1,27789.35,58981.1
cuttack,PC,PMAGY,2019-20,872.1,664.3,16.9,10744,12297.3
dhenkanal,PC,PMAGY,2019-20,5795.2,4745.2,0.4,9779.5,20320.3
jagatsinghpur (sc),PC,PMAGY,2019-20,1352.6,20.8,369.5,6731.2,8474.1
jajpur (sc),PC,PMAGY,2019-20,5052.2,934.3,382.7,9337.5,15706.7
kalahandi,PC,PMAGY,2019-20,8111.3,20342,32.4,13904.5,42390.2
kandhamal,PC,PMAGY,2019-20,6730.5,4954.7,118.6,17302.8,29106.6
kendrapara,PC,PMAGY,2019-20,3314.4,206.2,593.1,15202.5,19316.2
keonjhar (st),PC,PMAGY,2019-20,4850,27997.1,20.85,8987.3,41855.25
koraput (st),PC,PMAGY,2019-20,2391.25,11658.35,200,9297.1,23546.7
mayurbhanj (st),PC,PMAGY,2019-20,3803.55,41988.6,41.35,9711.25,55544.75
nabarangpur (st),PC,PMAGY,2019-20,6178.15,28328.6,114.85,9061.65,43683.25
puri,PC,PMAGY,2019-20,1393.2,343.15,104.65,11670.4,13511.4
sambalpur,PC,PMAGY,2019-20,2412.2,7539.2,28.05,8782.5,18761.95
sundargarh (st),PC,PMAGY,2019-20,3271.85,26412.95,85.9,9202.85,38973.55
