geo_entity_title,Openning Balance,Total Fund Available,Total Expenditure on Wages,Total Expenditure on Materials,Total Expenditure on Tax,Total Expenditure on Admin Expenses,Grand Total Expenditure,Total Unspent Balance,Total Payment Due,level,scheme,year,SC,ST,Minority,Others,Total
138 gunupur (st),-239.22,1935.64,1255.05,903.76,26.34,0,2185.25,-249.58,45.160000000000004,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
139 bissam cuttack (st),-217.2,1435.11,993.6,676.98,11.610000000000001,0,1682.27,-247.18,14.95,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
14 bonai (st),0,1660.13,1446.12,252.73,0.91,0,1699.8,-39.67,11.69,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
140 rayagada (st),-297.96999999999997,1437.54,916.85,819.15,2.83,0,1738.85,-301.32,30.8,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
141 lakshmipur (st),-1.61,3619.29,2272.54,1367.82,53.16,0,3693.5,-74.21,44.04,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
142 kotpad (st),-1.08,2710.66,1767.88,1051.52,44.160000000000004,0,2863.55,-152.87,21.7,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
143 jeypore,-0.35,1693.31,1046.81,641.61,2.66,0,1691.06,2.28,11.97,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
144 koraput (sc),-3.62,1843.18,1374.54,688.04,61.03,0,2175.39,-332.24,28.58,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
145 pottangi (st),-0.22,3014.1,1965.81,1020.52,41.47,0,3027.73,-13.61,35.76,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
146 malkangiri (st),57.45,660.46,493.19,110,0.23,0,603.38,57.07,4.62,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
147 chitrakonda (st),28.99,581.56,502.6,87.76,0.29,0,590.65,-9.07,4.21,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
15 kuchinda (st),18.4,1433.54,1138.98,268.79,5.89,0,1413.68,19.87,7.41,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
16 rengali (sc),7.45,978.15,769.23,207.23,0.8099999999999999,0,977.26,0.9099999999999998,6.71,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
18 rairakhol,18.48,1351.65,1030.36,307.63,3.48,0,1341.54,10.15,11,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
19 deogarh,-27.69,2031.54,1379.49,670.78,7.02,0,2057.28,-25.71,12.44,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
2 bijepur,20.81,759.3100000000001,704.65,299.05,10.62,0,1014.3,-254.95,4.43,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
20 telkoi (st),-225.39,1767.61,1368.37,634.21,9.59,0,2012.19,-244.57,10.82,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
21 ghasipura,34.01,1543.77,1257.94,312.52,20.88,0,1591.3899999999999,-47.61,8.31,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
22 anandapur (sc),39.830000000000005,2097.98,1514.82,541.3,12.51,0,2068.66,29.32,8.29,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
23 patna (st),-215.6,2090.08,1801.1299999999999,695.22,23.03,0,2519.4,-429.27,7.08,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
24 keonjhar (st),138.15,1266.02,951.64,226.44,2.91,0,1180.99,85.04,3.02,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
25 champua,-33.57,797.31,612.71,261.07,4.03,0,877.8,-80.49,3.63,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
26 jashipur (st),0,1669.43,1139.59,606.55,7.67,0,1753.83,-84.44,9.31,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
27 saraskana (st),0,4199.6900000000005,1957.84,2351.94,11.7,0,4321.54,-121.84,77.99,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
28 rairangpur (st),0,2706.66,1644.11,1020.92,13.62,0,2678.69,27.98,7.26,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
29 bangriposi (st),0,2594.39,1187.54,1385.17,10.52,0,2583.2400000000002,11.15,4.08,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
3 bargarh,-0.06,54.42,277,96.47,0.12,0,373.56,-319.19,1.8,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
30 karanjia (st),0,2708.88,1458.91,1229.48,17.03,0,2705.42,3.43,9.95,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
31 udala (st),0,2730.53,1446.07,1260.75,14.91,0,2721.75,8.78,12.33,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
32 badasahi (sc),0,954.73,694.11,252.47,3.98,0,950.59,4.14,1.79,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
33 baripada (st),0,850.97,540.61,368.57,2.82,0,911.98,-61,4.6,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
34 morada,0,1027.57,773.02,249.2,1.34,0,1023.59,3.98,5.94,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
35 jaleswar,-60.440000000000005,235.35999999999999,328.45,55.1,2.72,0,386.27,-150.91,1.34,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
36 bhograi,0,0.15,14.99,4.5600000000000005,0,0,19.54,-19.4,0.07,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
37 basta,0.06000000000000001,279.97,272.28,83.1,3.25,0,358.6,-78.69,1.07,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
38 balasore,5.12,175.51,109.4,9.01,0.13,0,118.53,56.99,1.62,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
39 remuna (sc),5.82,82.09,52.36,72.2,0.08,0,124.61,-42.57,1.2,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
4 attabira (sc),13.17,335.89,467.99,157.34,1.28,0,626.63,-290.69,2.22,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
40 nilgiri,5.69,241.1,212.31,29.79,0,0,242.10999999999999,-0.9600000000000009,1.61,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
41 soro (sc),7.4,93.67,62.15,43.4,0.44,0,106.03,-12.38,0.65,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
42 simulia,2.29,164.86,98,98.99,0.14,0,197.07999999999998,-32.230000000000004,1.37,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
43 bhandaripokhari,-0.04,301.2,292.93,29.830000000000002,0,0,322.77,-21.630000000000003,3.22,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
44 bhadrak,0,331.68,314.35,17.12,0,0,331.47,0.18,3.07,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
45 basudevpur,-0.01,386.86,394,58.14,0,0,452.12,-65.27,10.24,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
46 dhamnagar,-0.08,468.5,453.35,19.96,0.03,0,473.34,-4.81,7.51,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
47 chandabal,0,398.77,379.23,21.89,0,0,401.12,-2.3699999999999997,5.94,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
48 binjharpur (sc),-0.03,1097.43,801.47,333.89,0,0,1135.38,-37.97,4.45,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
49 bari,0,589.55,398.73,266.34,2.03,0,667.08,-77.54,6.2,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
5 bhatli,18.06,985.08,802,281.54,0.36,0,1083.91,-98.84,3.7,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
50 barachana,0,160.2,209.01,143.17,0,0,352.2,-192,3.0300000000000002,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
51 dharmasala,0,378.95,360.2,328.23,0.22,0,688.6,-309.69,1.28,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
52 jajpur,0,549.61,463.3,152.28,0,0,615.53,-65.97,4.390000000000001,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
53 korei,0,604.68,454.66999999999996,354.35,0.24000000000000002,0,809.22,-204.55,5.36,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
54 sukinda,0,464.49,440.52,44.87,0.75,0,486.17,-21.69,4.55,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
55 dhenkanal,4.1,948.9399999999999,715.79,345.73,1.61,0,1063.14,-114.28,7.89,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
56 hindol (sc),11.9,749.11,610.79,203.81,1.3800000000000001,0,815.97,-66.85,6.79,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
57 kamakhyanagar,11.92,677.75,571.01,310.77,1.4000000000000001,0.01,883.24,-205.48,5.98,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
58 parjanga,11.16,1241.83,970.07,380.18,5.42,0,1355.64,-113.79,19.169999999999998,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
59 pallahara,5.72,514.47,374.85,230.87,2.57,0,608.34,-93.83,7.42,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
6 brajarajnagar,0,441.62,411.5,56.89,1.52,0,469.93,-28.27,1.47,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
60 talcher,4.46,47.37,47.62,8.27,0.71,0,56.62,-9.23,0.08,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
61 angul,0.67,279.42,266.82,45.88,2.0100000000000002,0,314.71,-35.260000000000005,2.97,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
62 chhendipada (sc),24.16,224.84,188.04,156.73,0.76,0,345.46,-120.61,2.61,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
63 athamallik,4.67,743.53,599.58,178.25,1.1600000000000001,0,778.98,-35.41,6.17,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
64 birmaharajpur (sc),0,113.41,100.69,19.66,0.02,0,120.35,-6.97,2.03,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
65 sonepur,0,215.63,204.28,27.74,0.42,0,232.47,-16.87,6.630000000000001,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
66 loisingha (sc),21.09,1423.43,1194.1299999999999,223.85999999999999,2.59,0,1420.49,2.9100000000000006,14.31,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
67 patnagarh,68.59,1610.14,1388.7,146.56,0,0,1535.27,74.87,15.87,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
68 bolangir,23.56,895.97,773.82,96.6,0,0,870.47,25.52,5.6,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
69 titlagarh,-115.64,1479.1100000000001,1307.3799999999999,285.05,1.58,0,1594.01,-114.91,9.71,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
7 jharsuguda,0,680.33,607.04,152.68,5.29,0,765,-84.67,5.25,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
70 kantabanji,-63.84,2425.61,1806.38,683.99,2.38,0,2492.73,-67.13,20.97,AC,MNREGA,2018-19,NA,NA,NA,NA,NA
