s_state,s_district,s_ulb,s_block,s_gp,Total_IGNOAPS,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,puri,puri urban,puri urban,ward 6,69.15,1291,puri,NA,NA
odisha,puri,puri urban,puri urban,ward 7,19.45,1292,puri,NA,NA
odisha,puri,puri urban,puri urban,ward 8,56.65,1293,puri,NA,NA
odisha,puri,puri urban,puri urban,ward 9,26.27,1294,puri,NA,NA
odisha,rayagada,gudari urban,gudari urban,ward 1,1.64,1295,rayagada,NA,NA
odisha,rayagada,gudari urban,gudari urban,ward 10,4.15,1296,rayagada,NA,NA
odisha,rayagada,gudari urban,gudari urban,ward 11,7.07,1297,rayagada,NA,NA
odisha,rayagada,gudari urban,gudari urban,ward 2,0.88,1298,rayagada,NA,NA
odisha,rayagada,gudari urban,gudari urban,ward 3,0.21,1299,rayagada,NA,NA
odisha,rayagada,gudari urban,gudari urban,ward 4,1.73,1300,rayagada,NA,NA
odisha,rayagada,gudari urban,gudari urban,ward 5,1.66,1301,rayagada,NA,NA
odisha,rayagada,gudari urban,gudari urban,ward 6,1.1,1302,rayagada,NA,NA
odisha,rayagada,gudari urban,gudari urban,ward 7,3.09,1303,rayagada,NA,NA
odisha,rayagada,gudari urban,gudari urban,ward 8,2.12,1304,rayagada,NA,NA
odisha,rayagada,gudari urban,gudari urban,ward 9,2.17,1305,rayagada,NA,NA
odisha,rayagada,gunupur urban,gunupur urban,ward 1,1.83,1306,rayagada,NA,NA
odisha,rayagada,gunupur urban,gunupur urban,ward 10,5.65,1307,rayagada,NA,NA
odisha,rayagada,gunupur urban,gunupur urban,ward 11,13.98,1308,rayagada,NA,NA
odisha,rayagada,gunupur urban,gunupur urban,ward 12,9.72,1309,rayagada,NA,NA
odisha,rayagada,gunupur urban,gunupur urban,ward 13,0.77,1310,rayagada,NA,NA
odisha,rayagada,gunupur urban,gunupur urban,ward 14,2.84,1311,rayagada,NA,NA
odisha,rayagada,gunupur urban,gunupur urban,ward 15,5.52,1312,rayagada,NA,NA
odisha,rayagada,gunupur urban,gunupur urban,ward 16,8.06,1313,rayagada,NA,NA
odisha,rayagada,gunupur urban,gunupur urban,ward 17,22.16,1314,rayagada,NA,NA
odisha,rayagada,gunupur urban,gunupur urban,ward 2,6.64,1315,rayagada,NA,NA
odisha,rayagada,gunupur urban,gunupur urban,ward 3,3.86,1316,rayagada,NA,NA
odisha,rayagada,gunupur urban,gunupur urban,ward 4,9.92,1317,rayagada,NA,NA
odisha,rayagada,gunupur urban,gunupur urban,ward 5,3.58,1318,rayagada,NA,NA
odisha,rayagada,gunupur urban,gunupur urban,ward 6,3.62,1319,rayagada,NA,NA
odisha,rayagada,gunupur urban,gunupur urban,ward 7,14.13,1320,rayagada,NA,NA
odisha,rayagada,gunupur urban,gunupur urban,ward 8,5.56,1321,rayagada,NA,NA
odisha,rayagada,gunupur urban,gunupur urban,ward 9,1.31,1322,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 1,7.47,1323,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 10,5.59,1324,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 11,3.2,1325,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 12,3.67,1326,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 13,0.69,1327,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 14,4.79,1328,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 15,4.78,1329,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 16,4.67,1330,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 17,5.44,1331,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 18,4.3,1332,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 19,14.63,1333,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 2,6.59,1334,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 20,4.33,1335,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 21,3.86,1336,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 22,6.84,1337,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 23,12.93,1338,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 24,23.74,1339,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 3,13.56,1340,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 4,7.25,1341,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 5,5.66,1342,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 6,2.55,1343,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 7,7.89,1344,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 8,5.5,1345,rayagada,NA,NA
odisha,rayagada,rayagada urban,rayagada urban,ward 9,4.55,1346,rayagada,NA,NA
odisha,sonepur,binika urban,binika urban,ward 1,26.42,1347,sonepur,NA,NA
odisha,sonepur,binika urban,binika urban,ward 10,12.42,1348,sonepur,NA,NA
odisha,sonepur,binika urban,binika urban,ward 11,14.85,1349,sonepur,NA,NA
odisha,sonepur,binika urban,binika urban,ward 12,10.5,1350,sonepur,NA,NA
odisha,sonepur,binika urban,binika urban,ward 2,8.74,1351,sonepur,NA,NA
odisha,sonepur,binika urban,binika urban,ward 3,18.21,1352,sonepur,NA,NA
odisha,sonepur,binika urban,binika urban,ward 4,17.79,1353,sonepur,NA,NA
odisha,sonepur,binika urban,binika urban,ward 5,3.92,1354,sonepur,NA,NA
odisha,sonepur,binika urban,binika urban,ward 6,6.08,1355,sonepur,NA,NA
odisha,sonepur,binika urban,binika urban,ward 7,11.9,1356,sonepur,NA,NA
odisha,sonepur,binika urban,binika urban,ward 8,13.01,1357,sonepur,NA,NA
odisha,sonepur,binika urban,binika urban,ward 9,11.27,1358,sonepur,NA,NA
odisha,sonepur,sonepur urban,sonepur urban,ward 1,37.19,1359,sonepur,NA,NA
odisha,sonepur,sonepur urban,sonepur urban,ward 10,23.36,1360,sonepur,NA,NA
odisha,sonepur,sonepur urban,sonepur urban,ward 11,22.81,1361,sonepur,NA,NA
odisha,sonepur,sonepur urban,sonepur urban,ward 12,49.81,1362,sonepur,NA,NA
odisha,sonepur,sonepur urban,sonepur urban,ward 13,15.91,1363,sonepur,NA,NA
odisha,sonepur,sonepur urban,sonepur urban,ward 14,23.68,1364,sonepur,NA,NA
odisha,sonepur,sonepur urban,sonepur urban,ward 15,6.81,1365,sonepur,NA,NA
odisha,sonepur,sonepur urban,sonepur urban,ward 2,15.43,1366,sonepur,NA,NA
odisha,sonepur,sonepur urban,sonepur urban,ward 3,16.56,1367,sonepur,NA,NA
odisha,sonepur,sonepur urban,sonepur urban,ward 4,15.78,1368,sonepur,NA,NA
odisha,sonepur,sonepur urban,sonepur urban,ward 5,14.83,1369,sonepur,NA,NA
odisha,sonepur,sonepur urban,sonepur urban,ward 6,34.81,1370,sonepur,NA,NA
odisha,sonepur,sonepur urban,sonepur urban,ward 7,7.24,1371,sonepur,NA,NA
odisha,sonepur,sonepur urban,sonepur urban,ward 8,17.02,1372,sonepur,NA,NA
odisha,sonepur,sonepur urban,sonepur urban,ward 9,9.85,1373,sonepur,NA,NA
odisha,sonepur,tarbha urban,tarbha urban,ward 1,6.1,1374,sonepur,NA,NA
odisha,sonepur,tarbha urban,tarbha urban,ward 10,12.52,1375,sonepur,NA,NA
odisha,sonepur,tarbha urban,tarbha urban,ward 11,6.97,1376,sonepur,NA,NA
odisha,sonepur,tarbha urban,tarbha urban,ward 12,7.94,1377,sonepur,NA,NA
odisha,sonepur,tarbha urban,tarbha urban,ward 2,4.9,1378,sonepur,NA,NA
odisha,sonepur,tarbha urban,tarbha urban,ward 3,4.2,1379,sonepur,NA,NA
odisha,sonepur,tarbha urban,tarbha urban,ward 4,0.7,1380,sonepur,NA,NA
odisha,sonepur,tarbha urban,tarbha urban,ward 5,4.88,1381,sonepur,NA,NA
odisha,sonepur,tarbha urban,tarbha urban,ward 6,6.79,1382,sonepur,NA,NA
odisha,sonepur,tarbha urban,tarbha urban,ward 7,2.22,1383,sonepur,NA,NA
odisha,sonepur,tarbha urban,tarbha urban,ward 8,5.41,1384,sonepur,NA,NA
odisha,sonepur,tarbha urban,tarbha urban,ward 9,6.97,1385,sonepur,NA,NA
odisha,sundargarh,biramitrapur urban,biramitrapur urban,ward-1,5.86,1386,sundargarh,NA,NA
odisha,sundargarh,biramitrapur urban,biramitrapur urban,ward-10,7.3,1387,sundargarh,NA,NA
odisha,sundargarh,biramitrapur urban,biramitrapur urban,ward-11,8.12,1388,sundargarh,NA,NA
odisha,sundargarh,biramitrapur urban,biramitrapur urban,ward-2,5.4,1389,sundargarh,NA,NA
odisha,sundargarh,biramitrapur urban,biramitrapur urban,ward-3,6.24,1390,sundargarh,NA,NA
odisha,sundargarh,biramitrapur urban,biramitrapur urban,ward-4,2.94,1391,sundargarh,NA,NA
odisha,sundargarh,biramitrapur urban,biramitrapur urban,ward-5,2.79,1392,sundargarh,NA,NA
odisha,sundargarh,biramitrapur urban,biramitrapur urban,ward-6,6.74,1393,sundargarh,NA,NA
odisha,sundargarh,biramitrapur urban,biramitrapur urban,ward-7,5.62,1394,sundargarh,NA,NA
odisha,sundargarh,biramitrapur urban,biramitrapur urban,ward-8,6.57,1395,sundargarh,NA,NA
odisha,sundargarh,biramitrapur urban,biramitrapur urban,ward-9,8.98,1396,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-1,2.1,1397,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-10,4.39,1398,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-11,0.93,1399,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-12,0.93,1400,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-13,4.79,1401,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-14,3.34,1402,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-15,3.99,1403,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-16,1.08,1404,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-17,0.96,1405,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-18,1.07,1406,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-19,1.87,1407,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-2,1.01,1408,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-20,0.46,1409,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-3,0.1,1410,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-4,1.24,1411,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-5,0.23,1412,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-6,2.73,1413,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-7,2.38,1414,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-8,1.48,1415,sundargarh,NA,NA
odisha,sundargarh,rajgangpur urban,rajgangpur urban,ward-9,0.59,1416,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,auto colony,1.04,1417,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,bandhabasa,0.8,1418,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,britania colony,3.81,1419,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,champagarh,0.73,1420,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,construction colony,1,1421,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,dharamadihi,0.76,1422,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,hamirpur,13.32,1423,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,hatting tola,4.25,1424,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,idl,0.27,1425,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,jhartarang new area,1.34,1426,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,kainthabasa,0.73,1427,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,labour colony,5.62,1428,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,laltanki,2.39,1429,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,laxmi market,0.27,1430,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,luakera,36.53,1431,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,matadega,0.8,1432,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,modern inida,7.96,1433,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,nabakrushna nagar,3.25,1434,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-1,10.46,1435,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-11,0.2,1436,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-13,0.53,1437,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-14,4.83,1438,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-15,8.36,1439,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-16,9.61,1440,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-17,5.48,1441,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-18,6.08,1442,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-19,14.91,1443,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-2,39.5,1444,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-20,26.02,1445,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-21,4.9,1446,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-22,4.01,1447,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-3,8.35,1448,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-4,2.5,1449,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-5,44.87,1450,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-6,58.47,1451,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-7,21.21,1452,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-8,1.59,1453,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sec-9,1.04,1454,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,sonaparbat,0.88,1455,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,tangarpalli,32.45,1456,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,tarapur,3.73,1457,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,tilkangar,6.67,1458,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,tumkela,11.9,1459,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,upper balijhudi,0.27,1460,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-1,36.62,1461,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-10,50.32,1462,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-11,53.21,1463,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-12,40.08,1464,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-13,85.15,1465,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-14,13.47,1466,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-15,29.74,1467,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-16,24.25,1468,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-17,32.96,1469,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-18,6.67,1470,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-19,21.7,1471,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-2,94.71,1472,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-20,21.97,1473,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-21,8.3,1474,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-22,17.58,1475,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-23,25.34,1476,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-24,24.29,1477,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-25,30.32,1478,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-26,20.06,1479,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-27,3.44,1480,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-28,17.12,1481,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-29,0.38,1482,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-3,87.3,1483,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-30,29.2,1484,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-31,75.99,1485,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-32,23.09,1486,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-33,1.85,1487,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-4,6.15,1488,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-5,35.12,1489,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-6,30.41,1490,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-7,64.87,1491,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-8,8.68,1492,sundargarh,NA,NA
odisha,sundargarh,rourkela urban,rourkela urban,ward-9,43.34,1493,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-1,0.67,1494,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-10,0.09,1495,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-11,20.3,1496,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-12,1.77,1497,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-13,4.76,1498,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-14,0.62,1499,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-15,1.32,1500,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-16,0.51,1501,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-17,17.36,1502,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-18,2.53,1503,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-19,4.34,1504,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-2,1.01,1505,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-3,1.32,1506,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-4,0.28,1507,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-5,0.03,1508,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-6,0.87,1509,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-7,7.12,1510,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-8,1.08,1511,sundargarh,NA,NA
odisha,sundargarh,sundargarh urban,sundargarh urban,ward-9,1.97,1512,sundargarh,NA,NA
