s_state,s_district,Urban Local Bodies (Municipality/Munipal Corparation/Nac,s_block,s_gp,Total_IGNDPS,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,angul,NA,kaniha,sanatribida,2.23,77,anugul,kaniha,sanatribida
odisha,angul,NA,kaniha,susuba,2.37,78,anugul,kaniha,susuba
odisha,angul,NA,kaniha,talapada,2.02,79,anugul,kaniha,talapada
odisha,angul,NA,kaniha,gadasila,3.53,80,anugul,kaniha,gadasila
odisha,angul,NA,kaniha,gandamala,2.02,81,anugul,kaniha,gandamala
odisha,angul,NA,kishorenagar,ambapal,4.82,82,anugul,kishorenagar,ambapal
odisha,angul,NA,kishorenagar,angapada,9.63,83,anugul,kishorenagar,angapada
odisha,angul,NA,kishorenagar,bamur,11.07,84,anugul,kishorenagar,bamur
odisha,angul,NA,kishorenagar,bileinali,6.02,85,anugul,kishorenagar,bileinali
odisha,angul,NA,kishorenagar,dhadarpal,21.67,86,anugul,kishorenagar,dhadarpal
odisha,angul,NA,kishorenagar,dhaurapali,13.2,87,anugul,kishorenagar,dhaurapali
odisha,angul,NA,kishorenagar,gaon boinda,24.72,88,anugul,kishorenagar,gaon boinda
odisha,angul,NA,kishorenagar,handapa,28.9,89,anugul,kishorenagar,handapa
odisha,angul,NA,kishorenagar,himitira,21.67,90,anugul,kishorenagar,himitira
odisha,angul,NA,kishorenagar,jairat,35.01,91,anugul,kishorenagar,jairat
odisha,angul,NA,kishorenagar,jamunali,21.67,92,anugul,kishorenagar,jamunali
odisha,angul,NA,kishorenagar,jharberani,19.66,93,anugul,kishorenagar,jharberani
odisha,angul,NA,kishorenagar,kadalimunda,29.91,94,anugul,kishorenagar,kadalimunda
odisha,angul,NA,kishorenagar,kanteikulia,12.04,95,anugul,kishorenagar,kanteikulia
odisha,angul,NA,kishorenagar,kataranga,3.17,96,anugul,kishorenagar,kataranga
odisha,angul,NA,kishorenagar,nakchi,21.47,97,anugul,kishorenagar,nakchi
odisha,angul,NA,kishorenagar,nunukapasi,13.27,98,anugul,kishorenagar,nunukapasi
odisha,angul,NA,kishorenagar,oskapali,6.02,99,anugul,kishorenagar,oskapali
odisha,angul,NA,kishorenagar,urukula,26.05,100,anugul,kishorenagar,urukula
odisha,angul,NA,talacher,badajorada,12.61,101,anugul,talcher,badajorada
odisha,angul,NA,talacher,bantol,15.99,102,anugul,talcher,bantol
odisha,angul,NA,talacher,brajanathpur,19.01,103,anugul,talcher,brajanathpur
odisha,angul,NA,talacher,danara,8.53,104,anugul,talcher,danara
odisha,angul,NA,talacher,dera,14.5,105,anugul,talcher,dera
odisha,angul,NA,talacher,dharampur,14.5,106,anugul,talcher,dharampur
odisha,angul,NA,talacher,ghantapada,35.35,107,anugul,talcher,ghantapada
odisha,angul,NA,talacher,gopal prasad,6.78,108,anugul,talcher,gopal prasad
odisha,angul,NA,talacher,gurujang,24.29,109,anugul,talcher,gurujang
odisha,angul,NA,talacher,gurujanguli,20.93,110,anugul,talcher,gurujanguli
odisha,angul,NA,talacher,hensmul,11.02,111,anugul,talcher,hensmul
odisha,angul,NA,talacher,jaganathpur,17.61,112,anugul,talcher,jaganathpur
odisha,angul,NA,talacher,kalamchuin,38.92,113,anugul,talcher,kalamchuin
odisha,angul,NA,talacher,kandhal,11.2,114,anugul,talcher,kandhal
odisha,angul,NA,talacher,kankili,22.79,115,anugul,talcher,kankili
odisha,angul,NA,talacher,karnapur,17.07,116,anugul,talcher,karnapur
odisha,angul,NA,talacher,kumunda,16.56,117,anugul,talcher,kumunda
odisha,angul,NA,talacher,padmabatipur,18.23,118,anugul,talcher,padmabatipur
odisha,angul,NA,talacher,santhapada,2.16,119,anugul,talcher,santhapada
odisha,angul,NA,talacher,tentulei,11.24,120,anugul,talcher,tentulei
odisha,baleshwar,NA,bahanaga,bahanaga,1.06,121,balasore,bahanaga,bahanaga
odisha,baleshwar,NA,bahanaga,patharpentha,0.35,122,balasore,bahanaga,patharpentha
odisha,baleshwar,NA,bahanaga,dandaharipur,0.16,123,balasore,bahanaga,dandaharipur
odisha,baleshwar,NA,bahanaga,saud,3.14,124,balasore,bahanaga,saud
odisha,baleshwar,NA,bahanaga,chakjagannathpur,0.97,125,balasore,bahanaga,NA
odisha,baleshwar,NA,bahanaga,khantapada,1.13,126,balasore,bahanaga,khantapada
odisha,baleshwar,NA,bahanaga,kasabajaypur,0.91,127,balasore,bahanaga,kasabajaypur
odisha,baleshwar,NA,bahanaga,panapana,0.32,128,balasore,bahanaga,panapana
odisha,baleshwar,NA,bahanaga,gopalpur,7.32,129,balasore,bahanaga,gopalpur
odisha,baleshwar,NA,bahanaga,kalyani,2.34,130,balasore,bahanaga,kalyani
odisha,baleshwar,NA,bahanaga,baripada,2.32,131,balasore,bahanaga,baripada
odisha,baleshwar,NA,bahanaga,aruhabad,0.48,132,balasore,bahanaga,aruhabad
odisha,baleshwar,NA,bahanaga,bishnupur,0.16,133,balasore,bahanaga,bishnupur
odisha,baleshwar,NA,bahanaga,sahaspura,0.16,134,balasore,bahanaga,sahaspura
odisha,baleshwar,NA,bahanaga,anji,0.07,135,balasore,bahanaga,anji
