s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,ganjam,polasara,5,belagam,0,16.07,12.82,3.06,0,0,15.87,0.19,0.27,1167,ganjam,polasara,belagam
odisha,ganjam,polasara,6,bhabarada,0,7.33,7.34,0,0,0,7.35,-0.02,1.87,1168,ganjam,polasara,bhabarada
odisha,ganjam,polasara,7,budheisuni,0,20.9,18.83,2.04,0,0,20.87,0.03,0.25,1169,ganjam,polasara,budheisuni
odisha,ganjam,polasara,8,chirikipadasasan,0,5.01,5.01,0,0,0,5.01,0,0.16,1170,ganjam,polasara,chirikipadasasan
odisha,ganjam,polasara,9,dhunkapada,0,12.92,10.45,2.47,0,0,12.92,0,0.16,1171,ganjam,polasara,dhunkapada
odisha,ganjam,polasara,10,ghodapalana,0,12.22,11.64,0.39,0,0,12.03,0.19,0.32,1172,ganjam,polasara,ghodapalana
odisha,ganjam,polasara,11,gochabadi,0,20.37,19.34,0.86,0,0,20.2,0.17,0.33,1173,ganjam,polasara,gochabadi
odisha,ganjam,polasara,12,hatiota,0,21.23,18.24,2.88,0,0,21.12,0.1,0.14,1174,ganjam,polasara,hatiota
odisha,ganjam,polasara,13,j.dengapadar,0,39.22,27.39,11.55,0,0,38.94,0.28,0.43,1175,ganjam,polasara,j.dengapadar
odisha,ganjam,polasara,14,jakara,0,5.4,4.96,0.78,0,0,5.74,-0.34,0.04,1176,ganjam,polasara,jakara
odisha,ganjam,polasara,15,kalamba,0,17.34,16.37,0.97,0,0,17.33,0.01,0.5,1177,ganjam,polasara,kalamba
odisha,ganjam,polasara,16,kanachai,0,8.2,6.66,1.54,0,0,8.2,0,0.03,1178,ganjam,polasara,kanachai
odisha,ganjam,polasara,17,kendubadi,0,27.21,21.13,6.09,0,0,27.22,-0.01,0.69,1179,ganjam,polasara,kendubadi
odisha,ganjam,polasara,18,khanduru,0,12.55,11.22,1.34,0,0,12.55,0,0.19,1180,ganjam,polasara,khanduru
odisha,ganjam,polasara,19,madhupalli,0,35.29,29.25,6,0,0,35.25,0.04,0.26,1181,ganjam,polasara,madhupalli
odisha,ganjam,polasara,20,malatentulia,0,22.82,13.85,8.97,0,0,22.82,0,0.05,1182,ganjam,polasara,malatentulia
odisha,ganjam,polasara,21,mandar,-0.01,12.81,11.49,1.3,0,0,12.79,0.02,0.02,1183,ganjam,polasara,mandar
odisha,ganjam,polasara,22,mathura,0,53.21,34.27,18.92,0,0,53.18,0.02,1.12,1184,ganjam,polasara,mathura
odisha,ganjam,polasara,23,nimina,0,12.54,10.14,1.88,0,0,12.02,0.52,0.14,1185,ganjam,polasara,nimina
odisha,ganjam,polasara,24,pandiripada,0,7.2,7.2,0,0,0,7.2,0,0.69,1186,ganjam,polasara,pandiripada
odisha,ganjam,polasara,25,rumagada,0,12.62,12.29,0.33,0,0,12.62,0,0.02,1187,ganjam,polasara,rumagada
odisha,ganjam,polasara,26,sodaka,0,36.01,26.15,9.86,0,0,36.01,-0.01,0.51,1188,ganjam,polasara,sodaka
odisha,ganjam,purusottampur,1,achuli,0,37.52,29.18,8.33,0,0,37.51,0.01,0.07,1189,ganjam,purusottampur,achuli
odisha,ganjam,purusottampur,2,anatirigam,0,16.95,15.56,1.4,0,0,16.96,-0.01,0.24,1190,ganjam,purusottampur,anatirigam
odisha,ganjam,purusottampur,3,arakhapur,0,0.04,0.04,0,0,0,0.04,0,0,1191,ganjam,purusottampur,arakhapur
odisha,ganjam,purusottampur,4,badabaragam,0,25.9,25.38,0.58,0,0,25.96,-0.06,0.43,1192,ganjam,purusottampur,badabaragam
odisha,ganjam,purusottampur,5,badakharida,0,69.11,49.76,19.37,0,0,69.12,-0.01,0.55,1193,ganjam,purusottampur,badakharida
odisha,ganjam,purusottampur,6,baghala,0,13.2,12.77,0.55,0,0,13.31,-0.11,0.12,1194,ganjam,purusottampur,baghala
odisha,ganjam,purusottampur,7,bhatakumarada,0,44.71,40.97,3.75,0,0,44.72,0,0.16,1195,ganjam,purusottampur,bhatakumarada
odisha,ganjam,purusottampur,8,bhimpur,0,20.96,11.92,9.04,0,0,20.96,0,0.13,1196,ganjam,purusottampur,bhimpur
odisha,ganjam,purusottampur,9,bhutasarasingi,0,22.98,20.86,2.22,0,0,23.08,-0.1,0.13,1197,ganjam,purusottampur,bhutasarasingi
odisha,ganjam,purusottampur,10,chingudighai,0,18.89,17.99,0.7,0,0,18.68,0.21,0.23,1198,ganjam,purusottampur,chingudighai
odisha,ganjam,purusottampur,11,chingudipadar nuagam,0,22.56,19.73,2.94,0,0,22.67,-0.11,0.02,1199,ganjam,purusottampur,chingudipadar nuagam
odisha,ganjam,purusottampur,12,gangadahani,0,29.51,23.22,6.02,0,0,29.24,0.28,1.35,1200,ganjam,purusottampur,gangadahani
odisha,ganjam,purusottampur,13,handighar,0,4.24,4.21,0,0,0,4.21,0.03,1.38,1201,ganjam,purusottampur,handighar
odisha,ganjam,purusottampur,14,jaganathapur,0,31.43,29.01,2.28,0,0,31.29,0.14,0.64,1202,ganjam,purusottampur,jaganathapur
odisha,ganjam,purusottampur,15,jamuni,0,11.82,7.86,3.96,0,0,11.82,0,0.67,1203,ganjam,purusottampur,jamuni
odisha,ganjam,purusottampur,16,jhadabai,0,48.52,42.51,5.98,0,0,48.49,0.03,2.29,1204,ganjam,purusottampur,jhadabai
odisha,ganjam,purusottampur,17,kama nalinakhyapur,0,59.99,54.39,5.33,0,0,59.72,0.28,0.95,1205,ganjam,purusottampur,kama nalinakhyapur
odisha,ganjam,purusottampur,18,laxmipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,1206,ganjam,purusottampur,laxmipur
odisha,ganjam,purusottampur,19,pandia,0,34.25,30.2,4.05,0,0,34.25,0,0.36,1207,ganjam,purusottampur,pandia
odisha,ganjam,purusottampur,20,pratappur,0,46.03,44.54,1.49,0,0,46.03,0,0.55,1208,ganjam,purusottampur,pratappur
odisha,ganjam,purusottampur,21,raipur,0,24.67,22.92,1.75,0,0,24.67,0,0.71,1209,ganjam,purusottampur,raipur
odisha,ganjam,purusottampur,22,ranajhali,0,57.23,50.51,6.45,0,0,56.97,0.26,0.02,1210,ganjam,purusottampur,ranajhali
odisha,ganjam,purusottampur,23,sama,0,26.15,21.93,4.22,0,0,26.15,0,0.24,1211,ganjam,purusottampur,sama
odisha,ganjam,purusottampur,24,sikula,0,29.52,27.26,2.26,0,0,29.52,0,0.17,1212,ganjam,purusottampur,sikula
odisha,ganjam,purusottampur,25,solaghara,0,3.52,2.82,0.7,0,0,3.52,0,0,1213,ganjam,purusottampur,solaghara
odisha,ganjam,purusottampur,26,sunathara,0,44.57,40.16,4.4,0,0,44.55,0.01,0.34,1214,ganjam,purusottampur,sunathara
odisha,ganjam,purusottampur,27,tankchai,0,26.18,22.56,3.63,0,0,26.19,-0.01,3.4,1215,ganjam,purusottampur,tankchai
odisha,ganjam,rangailunda,1,badakusastali,0,15.19,14.53,0.68,0,0,15.21,-0.02,0.12,1216,ganjam,rangailunda,badakusastali
odisha,ganjam,rangailunda,2,bakshipalli,0,17.4,14.28,3.08,0,0,17.36,0.03,0.27,1217,ganjam,rangailunda,bakshipalli
odisha,ganjam,rangailunda,3,bhabinipur,0,4.35,1.99,2.34,0,0,4.33,0.02,0.02,1218,ganjam,rangailunda,bhabinipur
odisha,ganjam,rangailunda,4,biswanathpur,0,65.38,50.23,15.05,0,0,65.27,0.11,0.63,1219,ganjam,rangailunda,biswanathpur
odisha,ganjam,rangailunda,5,chandapur,0,9.6,7.87,1.82,0,0,9.69,-0.09,0.11,1220,ganjam,rangailunda,chandapur
odisha,ganjam,rangailunda,6,chikarada,0,9.86,9.65,0.15,0,0,9.79,0.07,0.11,1221,ganjam,rangailunda,chikarada
odisha,ganjam,rangailunda,7,dura,0,22.2,20.96,1.21,0,0,22.18,0.02,0.08,1222,ganjam,rangailunda,dura
odisha,ganjam,rangailunda,8,ganju,0,13.64,7.3,6.79,0,0,14.08,-0.45,0.01,1223,ganjam,rangailunda,ganju
odisha,ganjam,rangailunda,9,golabandha,0,11.03,7.2,3.8,0,0,11,0.03,0.08,1224,ganjam,rangailunda,golabandha
odisha,ganjam,rangailunda,10,golanthara,0,34.41,24.08,10.33,0,0,34.41,0,0.16,1225,ganjam,rangailunda,golanthara
odisha,ganjam,rangailunda,11,haladiapadar,0,15.47,6.64,8.79,0,0,15.42,0.05,0.07,1226,ganjam,rangailunda,haladiapadar
odisha,ganjam,rangailunda,12,hatipada,0,5.26,4.97,0.29,0,0,5.26,0,0,1227,ganjam,rangailunda,hatipada
odisha,ganjam,rangailunda,13,indrakhi,0,29.79,21.81,7.99,0,0,29.79,0,0.1,1228,ganjam,rangailunda,indrakhi
odisha,ganjam,rangailunda,14,kamalapur,0,24.78,21,4.2,0,0,25.21,-0.43,0.02,1229,ganjam,rangailunda,kamalapur
odisha,ganjam,rangailunda,15,kanisi,0,15.39,15.09,0.3,0,0,15.39,0,0,1230,ganjam,rangailunda,kanisi
odisha,ganjam,rangailunda,16,karapalli,0,15.29,14.42,0.88,0,0,15.3,-0.01,0.9,1231,ganjam,rangailunda,karapalli
odisha,ganjam,rangailunda,17,keluapalli,0,29.78,24.36,5.45,0,0,29.82,-0.04,0.82,1232,ganjam,rangailunda,keluapalli
odisha,ganjam,rangailunda,18,kolathigam,0,12.58,12.08,0.43,0,0,12.5,0.07,0.09,1233,ganjam,rangailunda,kolathigam
odisha,ganjam,rangailunda,19,kotharasingi,0,24.2,15.26,8.94,0,0,24.2,0,0,1234,ganjam,rangailunda,kotharasingi
odisha,ganjam,rangailunda,20,laudigam,0,26.38,17.94,8.44,0,0,26.38,0,0.04,1235,ganjam,rangailunda,laudigam
odisha,ganjam,rangailunda,21,luhajhar,0,20.99,17.96,3.04,0,0,21,-0.01,0.23,1236,ganjam,rangailunda,luhajhar
odisha,ganjam,rangailunda,22,mantridi,0,44.33,32.19,12.55,0,0,44.73,-0.4,0,1237,ganjam,rangailunda,mantridi
odisha,ganjam,rangailunda,23,markandi,0,36.69,36.27,0.52,0,0,36.79,-0.11,0.18,1238,ganjam,rangailunda,markandi
odisha,ganjam,rangailunda,24,mendrajpur,0,27.11,26.03,1.1,0,0,27.13,-0.02,0.25,1239,ganjam,rangailunda,mendrajpur
odisha,ganjam,rangailunda,25,narayanpur,0,4.38,4.03,0.35,0,0,4.38,0,0.18,1240,ganjam,rangailunda,narayanpur
odisha,ganjam,rangailunda,26,padmapur,0,16.21,15.35,0.76,0,0,16.11,0.1,0.7,1241,ganjam,rangailunda,padmapur
odisha,ganjam,rangailunda,27,phulta,0,24.85,16.84,8.02,0,0,24.87,-0.02,0.01,1242,ganjam,rangailunda,phulta
odisha,ganjam,rangailunda,28,randha,0,16.23,14.06,2.19,0,0,16.25,-0.03,0.02,1243,ganjam,rangailunda,randha
odisha,ganjam,rangailunda,29,rangeilunda,0,17.34,17.07,0.27,0,0,17.34,0,0.19,1244,ganjam,rangailunda,rangeilunda
odisha,ganjam,rangailunda,30,rangipur,0,12.53,10.34,2.27,0,0,12.61,-0.09,0.06,1245,ganjam,rangailunda,rangipur
odisha,ganjam,rangailunda,31,sasanapadara,0,10.51,10.35,0.23,0,0,10.58,-0.07,0.28,1246,ganjam,rangailunda,sasanapadara
odisha,ganjam,rangailunda,32,satakutuni,0,8.48,8.35,0.04,0,0,8.39,0.09,0.01,1247,ganjam,rangailunda,satakutuni
odisha,ganjam,sanakhemundi,1,adapada,0,42.15,31.99,10.16,0,0,42.15,0,0.36,1248,ganjam,sanakhemundi,adapada
odisha,ganjam,sanakhemundi,2,ambagam,0,32.87,28.73,4.05,0,0,32.78,0.08,0.08,1249,ganjam,sanakhemundi,ambagam
odisha,ganjam,sanakhemundi,3,chhanameri,0,107.98,86.38,21.63,0,0,108,-0.03,0.9,1250,ganjam,sanakhemundi,chhanameri
odisha,ganjam,sanakhemundi,4,chudangapur,0,36.29,26.24,9.93,0,0,36.17,0.12,0.15,1251,ganjam,sanakhemundi,chudangapur
odisha,ganjam,sanakhemundi,5,dayanidhipur,0,53.35,30.45,22.85,0,0,53.3,0.05,0.99,1252,ganjam,sanakhemundi,dayanidhipur
odisha,ganjam,sanakhemundi,6,dengadi,0,13.57,13.31,0.22,0,0,13.53,0.04,0.18,1253,ganjam,sanakhemundi,dengadi
odisha,ganjam,sanakhemundi,7,erendra,0,39.16,29.97,9.16,0,0,39.14,0.03,0.05,1254,ganjam,sanakhemundi,erendra
odisha,ganjam,sanakhemundi,8,gangapur,0,79.79,57.69,22.1,0,0,79.79,0,1.65,1255,ganjam,sanakhemundi,gangapur
odisha,ganjam,sanakhemundi,9,goutami,0,56.05,36.17,19.89,0,0,56.06,-0.01,0.28,1256,ganjam,sanakhemundi,goutami
odisha,ganjam,sanakhemundi,10,jura,0,58.33,35.65,22.63,0,0,58.28,0.05,0.53,1257,ganjam,sanakhemundi,jura
odisha,ganjam,sanakhemundi,11,kalarapadar,0,22.5,20.52,1.98,0,0,22.5,0,0.22,1258,ganjam,sanakhemundi,kalarapadar
odisha,ganjam,sanakhemundi,12,kankarada,0,44.94,34.56,10.38,0,0,44.94,0,0.1,1259,ganjam,sanakhemundi,kankarada
odisha,ganjam,sanakhemundi,13,kansamari,0,19.97,16.28,3.68,0,0,19.97,0,0.18,1260,ganjam,sanakhemundi,kansamari
odisha,ganjam,sanakhemundi,14,kaudia,0,14.69,8.29,6.4,0,0,14.69,0,0.21,1261,ganjam,sanakhemundi,kaudia
odisha,ganjam,sanakhemundi,15,khalingi,0,35.45,23.04,12.41,0,0,35.45,0,1.81,1262,ganjam,sanakhemundi,khalingi
odisha,ganjam,sanakhemundi,16,maulabhanja,0,76.13,60.08,15.98,0,0,76.06,0.07,2.6,1263,ganjam,sanakhemundi,maulabhanja
odisha,ganjam,sanakhemundi,17,padmapur,0,97.81,64.41,33.4,0,0,97.82,-0.01,1.12,1264,ganjam,sanakhemundi,padmapur
odisha,ganjam,sanakhemundi,18,patapur,0,27.81,14.55,13.26,0,0,27.81,0,0.05,1265,ganjam,sanakhemundi,patapur
odisha,ganjam,sanakhemundi,19,pattiguda,0,160.42,116.26,43.85,0,0,160.11,0.32,2.9,1266,ganjam,sanakhemundi,pattiguda
odisha,ganjam,sanakhemundi,20,podamari,0,143.12,92.93,50.14,0,0,143.07,0.04,0.78,1267,ganjam,sanakhemundi,podamari
odisha,ganjam,sanakhemundi,21,radhadeipur,0,16.03,15.57,0.46,0,0,16.03,0,0.19,1268,ganjam,sanakhemundi,radhadeipur
odisha,ganjam,sanakhemundi,22,ramachandrapur,0,18.21,16.82,1.49,0,0,18.31,-0.1,0.27,1269,ganjam,sanakhemundi,ramachandrapur
odisha,ganjam,sanakhemundi,23,sahaspur,0,44.01,38.12,5.89,0,0,44.01,0,0.35,1270,ganjam,sanakhemundi,sahaspur
odisha,ganjam,sanakhemundi,24,satapentha gopalpur,0,86.39,65.49,20.84,0,0,86.33,0.07,0.55,1271,ganjam,sanakhemundi,satapentha gopalpur
odisha,ganjam,sanakhemundi,25,singipur,0,143.46,83.82,59.64,0,0,143.45,0.01,0.51,1272,ganjam,sanakhemundi,singipur
odisha,ganjam,sanakhemundi,26,t.gobindapur,-0.01,225.97,158.79,67.3,0,0,226.09,-0.12,0.29,1273,ganjam,sanakhemundi,t.gobindapur
odisha,ganjam,sheragada,1,alarigada,0,54.38,36.73,17.78,0,0,54.52,-0.14,0.08,1274,ganjam,sheragada,alarigada
odisha,ganjam,sheragada,2,bandhaguda,0,36.39,32.59,3.84,0,0,36.42,-0.04,0.37,1275,ganjam,sheragada,bandhaguda
odisha,ganjam,sheragada,3,baramunduli,0,30.7,23.83,6.94,0.09,0,30.86,-0.16,0.35,1276,ganjam,sheragada,baramunduli
odisha,ganjam,sheragada,4,brahmanachai,0,44.69,23.67,21,0,0,44.67,0.01,0.28,1277,ganjam,sheragada,brahmanachai
odisha,ganjam,sheragada,5,dengapadara,0,15.13,11.81,3.34,0,0,15.15,-0.02,0.16,1278,ganjam,sheragada,dengapadara
odisha,ganjam,sheragada,6,dhabalapur,0,15.88,14.68,1.18,0,0,15.86,0.01,0.16,1279,ganjam,sheragada,dhabalapur
odisha,ganjam,sheragada,7,dhanantara,0,68.75,58.19,10.49,0,0,68.68,0.07,0.67,1280,ganjam,sheragada,dhanantara
odisha,ganjam,sheragada,8,gobindapur,0,20.68,17.42,3.09,0,0,20.5,0.18,0.11,1281,ganjam,sheragada,gobindapur
odisha,ganjam,sheragada,9,gothagam,0,14.07,9.86,4.11,0,0,13.97,0.1,0,1282,ganjam,sheragada,gothagam
odisha,ganjam,sheragada,10,k.karadakana,0,54.61,47.66,6.83,0,0,54.49,0.12,0.23,1283,ganjam,sheragada,k.karadakana
odisha,ganjam,sheragada,11,khirida,0,48.08,42.93,5.15,0,0,48.08,0,0.35,1284,ganjam,sheragada,khirida
odisha,ganjam,sheragada,12,krushnachhai,0,28.37,25.56,2.79,0,0,28.34,0.03,0.11,1285,ganjam,sheragada,krushnachhai
odisha,ganjam,sheragada,13,kulagada,0,25.77,22.05,3.71,0,0,25.77,0,0.87,1286,ganjam,sheragada,kulagada
odisha,ganjam,sheragada,14,kumarapani,0,20.2,12.21,8.02,0,0,20.22,-0.03,0.18,1287,ganjam,sheragada,kumarapani
odisha,ganjam,sheragada,15,kurula,0,8.38,7.28,1.14,0,0,8.42,-0.04,0.41,1288,ganjam,sheragada,kurula
odisha,ganjam,sheragada,16,mahupadar,0,41.33,34.56,6.55,0,0,41.11,0.22,0.65,1289,ganjam,sheragada,mahupadar
odisha,ganjam,sheragada,17,narendrapur,0,28.42,20.2,7.87,0.25,0,28.31,0.11,3.52,1290,ganjam,sheragada,narendrapur
odisha,ganjam,sheragada,18,pitala,0,18.94,15.83,3.07,0.04,0,18.94,0,0.23,1291,ganjam,sheragada,pitala
odisha,ganjam,sheragada,19,sheragada,0,50.46,38.99,11.48,0,0,50.46,0,0.79,1292,ganjam,sheragada,sheragada
odisha,ganjam,sheragada,20,tahara,0,16.83,14.16,2.65,0,0,16.81,0.03,0.2,1293,ganjam,sheragada,tahara
odisha,ganjam,sheragada,21,takarada,0,34.99,27.56,7.43,0,0,34.99,0,0.16,1294,ganjam,sheragada,takarada
odisha,ganjam,sheragada,22,thuruburai,0,20.36,14.01,6.44,0.04,0,20.48,-0.12,0.1,1295,ganjam,sheragada,thuruburai
odisha,ganjam,surada,1,amrutulu,0,35.83,33.17,2.64,0,0,35.81,0.02,0.38,1296,ganjam,surada,amrutulu
odisha,ganjam,surada,2,asurabandha,0,46.98,46.4,0.58,0,0,46.98,0,0.17,1297,ganjam,surada,asurabandha
odisha,ganjam,surada,3,bada badangi,0,58.09,56.16,2,0,0,58.16,-0.07,0.54,1298,ganjam,surada,bada badangi
odisha,ganjam,surada,4,bada gochha,0,5.68,5.68,0,0,0,5.68,0,0.01,1299,ganjam,surada,bada gochha
odisha,ganjam,surada,5,badagada,0,69.17,57.78,11.39,0,0,69.17,0,0.45,1300,ganjam,surada,badagada
odisha,ganjam,surada,6,bhagabanpur,0,49.76,41.43,8.32,0,0,49.76,0,0.74,1301,ganjam,surada,bhagabanpur
odisha,ganjam,surada,7,borada,0,56.65,56.72,0,0,0,56.72,-0.06,0.26,1302,ganjam,surada,borada
odisha,ganjam,surada,8,borasingi,0,30.44,25.25,5.19,0,0,30.44,0,0.37,1303,ganjam,surada,borasingi
odisha,ganjam,surada,9,ekalapur,0,34.18,31.35,2.83,0,0,34.18,0,0.05,1304,ganjam,surada,ekalapur
odisha,ganjam,surada,10,gajalbadi,0,41.24,41.24,0,0,0,41.24,0,0.53,1305,ganjam,surada,gajalbadi
odisha,ganjam,surada,11,gangapur,0,35.87,28.49,7.38,0,0,35.87,0,0.15,1306,ganjam,surada,gangapur
odisha,ganjam,surada,12,genja,0,29.04,24.9,4.14,0,0,29.04,0,0.7,1307,ganjam,surada,genja
odisha,ganjam,surada,13,gochha,0,41.93,41.93,0,0,0,41.93,0,0.41,1308,ganjam,surada,gochha
odisha,ganjam,surada,14,gopalpursasan,0,51.21,50.45,0.77,0,0,51.21,0,0.86,1309,ganjam,surada,gopalpursasan
odisha,ganjam,surada,15,goudagotha,0,148.55,125.46,24,0,0,149.46,-0.91,1.42,1310,ganjam,surada,goudagotha
odisha,ganjam,surada,16,hinjalakuda,0,47.21,40.55,6.76,0,0,47.31,-0.1,0.62,1311,ganjam,surada,hinjalakuda
odisha,ganjam,surada,17,hukuma,0,18.31,18.31,0,0,0,18.31,0,0.04,1312,ganjam,surada,hukuma
odisha,ganjam,surada,18,kullangi,0,33.65,24.06,9.59,0,0,33.65,0,0.56,1313,ganjam,surada,kullangi
odisha,ganjam,surada,19,lathipada,0,47.04,40.62,6.42,0,0,47.04,0,1.23,1314,ganjam,surada,lathipada
odisha,ganjam,surada,20,merikote,0,51.3,44.89,6.39,0,0,51.28,0.02,0.99,1315,ganjam,surada,merikote
odisha,ganjam,surada,21,nuagada,0,50.76,40.74,10.02,0,0,50.76,0,0.83,1316,ganjam,surada,nuagada
odisha,ganjam,surada,22,palakatu,0,58.98,49.48,9.49,0,0,58.96,0.01,0.75,1317,ganjam,surada,palakatu
odisha,ganjam,surada,23,raibandha,0,64.76,55.41,9.34,0,0,64.75,0.01,0.49,1318,ganjam,surada,raibandha
odisha,ganjam,surada,24,sarabadi,0,38.91,36.36,2.55,0,0,38.91,-0.01,0.79,1319,ganjam,surada,sarabadi
odisha,ganjam,surada,25,sidhapur,0,15.08,14.77,0.31,0,0,15.08,0,0.01,1320,ganjam,surada,sidhapur
odisha,ganjam,surada,26,suramani,0,45.5,34.87,10.62,0,0,45.5,0,0.08,1321,ganjam,surada,suramani
odisha,jharsuguda,jharsuguda,1,badmal,0,23.09,15.89,7.45,0.08,0,23.43,-0.33,0.13,1322,jharsuguda,jharsuguda,badmal
odisha,jharsuguda,jharsuguda,2,chandinimal,0,30.73,25.7,6.2,0.07,0,31.97,-1.24,0.05,1323,jharsuguda,jharsuguda,chandinimal
odisha,jharsuguda,jharsuguda,3,dalki,0,26.72,22.49,9.49,0.11,0,32.09,-5.37,0.23,1324,jharsuguda,jharsuguda,dalki
odisha,jharsuguda,jharsuguda,4,durlaga,0,24.8,24.91,5.9,0.06,0,30.88,-6.08,0.2,1325,jharsuguda,jharsuguda,durlaga
odisha,jharsuguda,jharsuguda,5,gourmal,0,32.49,25.7,9.62,0.12,0,35.44,-2.96,0.17,1326,jharsuguda,jharsuguda,gourmal
odisha,jharsuguda,jharsuguda,6,h.katapali,0,36.5,36.18,2.85,0.04,0,39.07,-2.57,0.52,1327,jharsuguda,jharsuguda,h.katapali
odisha,jharsuguda,jharsuguda,7,hirma,0,54.58,45.54,17.19,0.57,0,63.3,-8.73,0.46,1328,jharsuguda,jharsuguda,hirma
odisha,jharsuguda,jharsuguda,8,jamera,0,19.11,16.04,7.36,0.1,0,23.5,-4.39,0.26,1329,jharsuguda,jharsuguda,jamera
odisha,jharsuguda,jharsuguda,9,katikela,0,22.91,17.55,9.93,0.12,0,27.6,-4.69,0.72,1330,jharsuguda,jharsuguda,katikela
odisha,jharsuguda,jharsuguda,10,kudopali,0,8.81,6.88,2.32,0.01,0,9.2,-0.4,0.05,1331,jharsuguda,jharsuguda,kudopali
odisha,jharsuguda,jharsuguda,11,loisingh,0,46.48,40.64,12.3,0.16,0,53.1,-6.62,1.32,1332,jharsuguda,jharsuguda,loisingh
odisha,jharsuguda,jharsuguda,12,malda,0,22.15,21.37,6.69,0.07,0,28.13,-5.98,0.05,1333,jharsuguda,jharsuguda,malda
odisha,jharsuguda,jharsuguda,13,marakuta,0,7.7,7.12,5.32,0.06,0,12.5,-4.79,0.07,1334,jharsuguda,jharsuguda,marakuta
odisha,jharsuguda,jharsuguda,14,patrapali,0,19.72,17.33,2.61,0.02,0,19.96,-0.24,0.77,1335,jharsuguda,jharsuguda,patrapali
odisha,jharsuguda,jharsuguda,15,rajpur,0,30.35,29.31,5.47,0.08,0,34.86,-4.51,0.05,1336,jharsuguda,jharsuguda,rajpur
odisha,jharsuguda,jharsuguda,16,sripura,0,10.02,8.36,5.29,0.07,0,13.72,-3.7,0.04,1337,jharsuguda,jharsuguda,sripura
odisha,jharsuguda,jharsuguda,17,talpatia,0,16.29,17.31,2.94,0.03,0,20.28,-3.98,0.3,1338,jharsuguda,jharsuguda,talpatia
odisha,jharsuguda,kirmira,1,arda,0,61.85,43.5,22.93,0,0,66.44,-4.59,1.77,1339,jharsuguda,kirmira,arda
odisha,jharsuguda,kirmira,2,bandhpali,0,24.08,16.7,7.37,0,0,24.08,0,0.24,1340,jharsuguda,kirmira,bandhpali
odisha,jharsuguda,kirmira,3,bhimjore,0,49.44,29.8,19.64,0,0,49.44,0,4.09,1341,jharsuguda,kirmira,bhimjore
odisha,jharsuguda,kirmira,4,g.panpali,0,27.74,25.45,2.27,0.02,0,27.74,0,0.88,1342,jharsuguda,kirmira,g.panpali
odisha,jharsuguda,kirmira,5,jharmunda,0,72.33,36,36.34,0,0,72.34,-0.01,1.14,1343,jharsuguda,kirmira,jharmunda
odisha,jharsuguda,kirmira,6,kirmira,0,16.34,16.3,0,0,0,16.3,0.03,3.47,1344,jharsuguda,kirmira,kirmira
odisha,jharsuguda,kirmira,7,naxapali,0,32.78,29.75,2.92,0,0,32.67,0.11,1.97,1345,jharsuguda,kirmira,naxapali
odisha,jharsuguda,kirmira,8,sulahi,0,43.43,36.8,6.71,0,0,43.51,-0.08,4.61,1346,jharsuguda,kirmira,sulahi
odisha,jharsuguda,kolabira,1,jhirlapali,0,71.47,41.46,27.48,2.51,0,71.45,0.02,0.23,1347,jharsuguda,kolabira,jhirlapali
odisha,jharsuguda,kolabira,2,keldamal,0,49.29,42.65,15.6,1.25,0,59.5,-10.2,2.27,1348,jharsuguda,kolabira,keldamal
odisha,jharsuguda,kolabira,3,kolabira,0,42.75,36.69,9.19,0.73,0,46.6,-3.85,0.83,1349,jharsuguda,kolabira,kolabira
odisha,jharsuguda,kolabira,4,kulihamal,0,56.76,34.28,22.03,2.04,0,58.34,-1.58,0.38,1350,jharsuguda,kolabira,kulihamal
odisha,jharsuguda,kolabira,5,parmanpur,0,47.93,39.02,13.92,1.08,0,54.01,-6.08,3.08,1351,jharsuguda,kolabira,parmanpur
odisha,jharsuguda,kolabira,6,pokhrasale,0,97.22,64.55,47.56,5.53,0,117.65,-20.43,0.73,1352,jharsuguda,kolabira,pokhrasale
odisha,jharsuguda,kolabira,7,raghunathpali,0,70.41,42.2,27.76,3.18,0,73.14,-2.73,0.18,1353,jharsuguda,kolabira,raghunathpali
odisha,jharsuguda,kolabira,8,samasingha,0,36.87,27.38,11.02,1.01,0,39.41,-2.54,2.32,1354,jharsuguda,kolabira,samasingha
odisha,jharsuguda,kolabira,9,sodamal,0,57.66,23.84,47.02,5.52,0,76.38,-18.72,0.55,1355,jharsuguda,kolabira,sodamal
odisha,jharsuguda,laikera,1,babuchhipidhi,0,33.57,30.86,4.05,0,0,34.9,-1.33,0.77,1356,jharsuguda,laikera,babuchhipidhi
odisha,jharsuguda,laikera,2,bhatlaida,0,54.18,54.46,10.24,0,0,64.7,-10.52,0.19,1357,jharsuguda,laikera,bhatlaida
odisha,jharsuguda,laikera,3,jammal,0,63.5,35.08,29.41,0,0,64.49,-1,0.7,1358,jharsuguda,laikera,jammal
