s_state,s_district,s_block,Number of Gram Panchayats,s_gp,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20,s_id,updated_district_name,updated_block_name,updated_gp_name
odisha,bolangir,bolangir,22,sakma,0.03,6.54,6.5,0,0,0,6.5,0.03,0.1,42,bolangir,bolangir,sakma
odisha,bolangir,bolangir,23,sibtala,-1.03,26.79,27.55,0,0,0,27.54,-0.75,0.21,43,bolangir,bolangir,sibtala
odisha,bolangir,bolangir,24,sikachhida,-0.63,15.82,16.42,0.02,0,0,16.45,-0.63,0.1,44,bolangir,bolangir,sikachhida
odisha,bolangir,bolangir,25,tusrabahal,-0.49,36.44,28.56,8.18,0.09,0,36.83,-0.39,0,45,bolangir,bolangir,tusrabahal
odisha,bolangir,bangomunda,1,alanda,-0.36,58.75,43.22,16.05,0,0,59.27,-0.52,0.78,46,bolangir,bangomunda,alanda
odisha,bolangir,bangomunda,2,arsatula,-3.17,28.35,27.75,3.78,0,0,31.53,-3.17,0.32,47,bolangir,bangomunda,arsatula
odisha,bolangir,bangomunda,3,baldha,-1.6,83.88,72.61,11.73,0.86,0,85.21,-1.33,1.52,48,bolangir,bangomunda,baldha
odisha,bolangir,bangomunda,4,bangomunda,0.06,44.11,36.63,7.04,0,0,43.68,0.43,1.09,49,bolangir,bangomunda,bangomunda
odisha,bolangir,bangomunda,5,belpada,-3.88,69.75,62.51,11.23,0,0,73.74,-3.99,3.43,50,bolangir,bangomunda,belpada
odisha,bolangir,bangomunda,6,bhalumunda,2.9,40.96,31.93,6.13,0,0,38.06,2.9,0.11,51,bolangir,bangomunda,bhalumunda
odisha,bolangir,bangomunda,7,bhursagura,0,27.22,27.22,0,0,0,27.22,0,0.17,52,bolangir,bangomunda,bhursagura
odisha,bolangir,bangomunda,8,bhuslad,2.99,170.95,116.94,50.64,0.49,0,168.07,2.88,0.56,53,bolangir,bangomunda,bhuslad
odisha,bolangir,bangomunda,9,biripali,2.93,25.23,21.9,0,0,0,21.89,3.34,1.86,54,bolangir,bangomunda,biripali
odisha,bolangir,bangomunda,10,chandotara,2.36,42.4,40.01,0,0,0,40.01,2.39,0.3,55,bolangir,bangomunda,chandotara
odisha,bolangir,bangomunda,11,chulifunka,4.89,51.64,41.84,4.86,0.05,0,46.75,4.89,0.26,56,bolangir,bangomunda,chulifunka
odisha,bolangir,bangomunda,12,dedgaon,0.26,88.94,65.85,22.86,0,0,88.71,0.23,0.12,57,bolangir,bangomunda,dedgaon
odisha,bolangir,bangomunda,13,gandharabandh,0,24.12,25.14,5.89,0,0,31.03,-6.91,0.26,58,bolangir,bangomunda,gandharabandh
odisha,bolangir,bangomunda,14,gandharla,0.5,90.7,83.98,6.32,0,0,90.29,0.41,1.32,59,bolangir,bangomunda,gandharla
odisha,bolangir,bangomunda,15,jamkhunta,4.1,55,40.44,10.45,0,0,50.89,4.1,2.05,60,bolangir,bangomunda,jamkhunta
odisha,bolangir,bangomunda,16,jhalap,0.58,62.22,48.83,12.82,0,0,61.64,0.58,0.82,61,bolangir,bangomunda,jhalap
odisha,bolangir,bangomunda,17,jharial,1.67,27.05,24.16,1.76,0,0,25.91,1.14,2.33,62,bolangir,bangomunda,jharial
odisha,bolangir,bangomunda,18,jurabandh,0.83,39.14,32.71,5.96,0,0,38.67,0.47,0.39,63,bolangir,bangomunda,jurabandh
odisha,bolangir,bangomunda,19,kansil,0,29.97,30.25,0,0,0,30.25,-0.28,0.13,64,bolangir,bangomunda,kansil
odisha,bolangir,bangomunda,20,kapilbhata,-0.48,82.2,54.78,27.9,0,0,82.68,-0.48,0.68,65,bolangir,bangomunda,kapilbhata
odisha,bolangir,bangomunda,21,khaira,1,36.98,34.5,1.46,0,0,35.96,1.02,0.24,66,bolangir,bangomunda,khaira
odisha,bolangir,bangomunda,22,kundabutula,6.69,22.62,14.91,0,0,0,14.91,7.71,2.21,67,bolangir,bangomunda,kundabutula
odisha,bolangir,bangomunda,23,mundapadar,-0.04,48.36,36.69,11.8,0,0,48.49,-0.13,3.41,68,bolangir,bangomunda,mundapadar
odisha,bolangir,bangomunda,24,sindhekela,4.19,56.58,48.1,4.29,0,0,52.39,4.19,0.26,69,bolangir,bangomunda,sindhekela
odisha,bolangir,bangomunda,25,themra,-0.21,111.64,81.47,30.58,0,0,112.05,-0.41,2.5,70,bolangir,bangomunda,themra
odisha,bolangir,bangomunda,26,turekela,0,39.16,32.34,6.89,0,0,39.23,-0.07,0.62,71,bolangir,bangomunda,turekela
odisha,bolangir,belpara,1,bagdor,-0.15,65.07,54,11.22,0,0,65.22,-0.15,0.26,72,bolangir,belpara,bagdor
odisha,bolangir,belpara,2,bahabal,-0.24,37.65,37.78,0,0,0,37.78,-0.14,0,73,bolangir,belpara,bahabal
odisha,bolangir,belpara,3,balikhamar,0,9.21,9.3,0,0,0,9.3,-0.09,1.32,74,bolangir,belpara,balikhamar
odisha,bolangir,belpara,4,beheramunda,0.67,39.36,38.7,0,0,0,38.7,0.67,0.22,75,bolangir,belpara,beheramunda
odisha,bolangir,belpara,5,belpada,3.01,33.71,28.04,2.35,0,0,30.39,3.32,1.24,76,bolangir,belpara,belpada
odisha,bolangir,belpara,6,bharuapali,-0.08,28.8,28.9,0,0,0,28.9,-0.1,0.89,77,bolangir,belpara,bharuapali
odisha,bolangir,belpara,7,darlipali,0,39.21,25.93,13.29,0,0,39.21,0,0.17,78,bolangir,belpara,darlipali
odisha,bolangir,belpara,8,dhumabhata,1.14,66.39,65.25,0,0,0,65.25,1.13,3.17,79,bolangir,belpara,dhumabhata
odisha,bolangir,belpara,9,gambhari,0.71,45.71,43.52,1.46,0.01,0,45,0.71,0.76,80,bolangir,belpara,gambhari
odisha,bolangir,belpara,10,ghagurli,2.95,79.08,64.99,10.2,0,0,75.19,3.89,4.91,81,bolangir,belpara,ghagurli
odisha,bolangir,belpara,11,juba,1.41,35.09,33.64,0,0,0,33.64,1.45,0.3,82,bolangir,belpara,juba
odisha,bolangir,belpara,12,kandhenjhula,0.46,24.95,24.5,0,0,0,24.5,0.46,0.04,83,bolangir,belpara,kandhenjhula
odisha,bolangir,belpara,13,kanut,-0.8,55.32,56.12,0,0,0,56.12,-0.8,0.21,84,bolangir,belpara,kanut
odisha,bolangir,belpara,14,kapani,0.21,20.75,20.55,0,0,0,20.55,0.21,0.53,85,bolangir,belpara,kapani
odisha,bolangir,belpara,15,madhyapur,1.92,22.49,20.6,0,0,0,20.6,1.89,0.47,86,bolangir,belpara,madhyapur
odisha,bolangir,belpara,16,mandal,0.29,57.18,45.72,11.18,0,0,56.91,0.27,0.31,87,bolangir,belpara,mandal
odisha,bolangir,belpara,17,nunhad,1.84,39.5,32.2,5.43,0,0,37.63,1.87,0.13,88,bolangir,belpara,nunhad
odisha,bolangir,belpara,18,pandrijore,2.55,49.41,46.86,0,0,0,46.86,2.55,0.22,89,bolangir,belpara,pandrijore
odisha,bolangir,belpara,19,parlimal,1.22,24.22,11.55,11.44,0,0,23,1.22,0.11,90,bolangir,belpara,parlimal
odisha,bolangir,belpara,20,salendi,-0.04,21.47,21.51,0,0,0,21.51,-0.04,1.96,91,bolangir,belpara,salendi
