State ,District,Block,Sl.No,Name of Gram Panchayat ,SC,ST,Minority,Others,Total
Odisha,Balasore,Basta,17,Nabara,8.6,0.2,0,32.7,41.5
Odisha,Balasore,Basta,18,Naikudi,17.2,2.1,0,41.7,61
Odisha,Balasore,Basta,19,Natakata,26.3,2.6,0,41.6,70.5
Odisha,Balasore,Basta,20,Patharjhara,18.7,54.6,33.6,11.4,118.3
Odisha,Balasore,Basta,21,Paunskuli,4.5,13,11.3,32.4,61.2
Odisha,Balasore,Basta,22,Purusottampur,18.1,8.4,0.9,24.3,51.7
Odisha,Balasore,Basta,23,Putura,3.9,0.8,0,65.3,70
Odisha,Balasore,Basta,24,Raghunathpur,39.5,8.7,2.7,22.5,73.4
Odisha,Balasore,Basta,25,Routpada,23.4,4.6,7.4,24,59.4
Odisha,Balasore,Basta,26,Sadanandapur,15.7,22.3,21.5,40,99.5
Odisha,Balasore,Basta,27,Sahada,62.4,4.1,2.8,30,99.3
Odisha,Balasore,Basta,28,Santoshpur,9.9,15.9,4.6,10,40.4
Odisha,Balasore,Basta,29,Singla,0.7,1.5,0,32.5,34.7
Odisha,Balasore,Basta,30,Tadada,32.9,16.8,0,42.6,92.3
Odisha,Balasore,Basta,31,Velora,5.1,29.1,0,13.4,47.6
Odisha,Balasore,Basta,,Total,587.2,447.2,236.6,961.8,2232.8
Odisha,Balasore,Bhograi,1,Analia,3.5,0,0,34.1,37.6
Odisha,Balasore,Bhograi,2,Aruhabruti-1,20.9,0,18.4,33.4,72.7
Odisha,Balasore,Bhograi,3,Bajitpur,4.5,0,7.3,13.7,25.5
Odisha,Balasore,Bhograi,4,Balim,15.6,16.6,0,37.9,70.1
Odisha,Balasore,Bhograi,5,Barabatia,0,0,0,32.9,32.9
Odisha,Balasore,Bhograi,6,Baunsadiha,18.9,3.2,0,20.5,42.6
Odisha,Balasore,Bhograi,7,Bhograi,10.5,0.6,2.8,20.2,34.1
Odisha,Balasore,Bhograi,8,Dahunda,12.1,0.9,0,32.5,45.5
Odisha,Balasore,Bhograi,9,Daruha,0,0,0,25.7,25.7
Odisha,Balasore,Bhograi,10,Dehurda,8.9,0,0,41.4,50.3
Odisha,Balasore,Bhograi,11,Deula,13.7,3,0,44.3,61
Odisha,Balasore,Bhograi,12,Durpal,0.2,0.4,0,35.2,35.8
Odisha,Balasore,Bhograi,13,Gabagan,2.6,0.2,0,34,36.8
Odisha,Balasore,Bhograi,14,Gochhidateghari,23.9,0,0,33.4,57.3
Odisha,Balasore,Bhograi,15,Gopinathapur,23.2,0,0,40.9,64.1
Odisha,Balasore,Bhograi,16,Gunasartha,9,2.3,0,32.4,43.7
Odisha,Balasore,Bhograi,17,Guneibasan,1.7,0,0,41.8,43.5
Odisha,Balasore,Bhograi,18,Hooguli,8.9,2.1,3.3,13.3,27.6
Odisha,Balasore,Bhograi,19,Jagannathpur,16.7,0,0,27.5,44.2
Odisha,Balasore,Bhograi,20,Jaleswarpur,22,0,0,15.6,37.6
Odisha,Balasore,Bhograi,21,Jalsoharia,1.2,8.2,0,26.9,36.3
Odisha,Balasore,Bhograi,22,Jayrampur,89.3,44.9,0,43,177.2
Odisha,Balasore,Bhograi,23,K.Kamarda,13.1,0,6.3,40.5,59.9
Odisha,Balasore,Bhograi,24,Kachuadi,10.6,0,0,26.6,37.2
Odisha,Balasore,Bhograi,25,Kakhada,11.1,0,0,26.3,37.4
Odisha,Balasore,Bhograi,26,Khanthibhanuri,56.7,9.1,0,26.6,92.4
Odisha,Balasore,Bhograi,27,Kharidpipal,25.6,0.2,19.4,18,63.2
Odisha,Balasore,Bhograi,28,Kulida,0,0,0,17.2,17.2
Odisha,Balasore,Bhograi,29,Kumbharmuli,6.6,0,0,27.7,34.3
Odisha,Balasore,Bhograi,30,Kumbhirgadi,43.1,3.7,0,18.8,65.6
Odisha,Balasore,Bhograi,31,Kusuda,3,0,0,20.1,23.1
Odisha,Balasore,Bhograi,32,Mahagab,3.2,3.6,0,31,37.8
Odisha,Balasore,Bhograi,33,Maheshpur,19.6,0,0,32.1,51.7
Odisha,Balasore,Bhograi,34,Mandarsahi,3.8,0,0.3,40.1,44.2
Odisha,Balasore,Bhograi,35,N. M. Padia,22.8,1.3,0,35.2,59.3
Odisha,Balasore,Bhograi,36,Nachinda,155.3,0,0,37.2,192.5
Odisha,Balasore,Bhograi,37,Nahara,18.2,1.2,0,49.3,68.7
Odisha,Balasore,Bhograi,38,Nimatpur,21.1,0,0,32.4,53.5
Odisha,Balasore,Bhograi,39,Panisanda,0,0,28.1,27.6,55.7
Odisha,Balasore,Bhograi,40,Pasarbindha,87.2,0,0,21.8,109
Odisha,Balasore,Bhograi,41,Putina,2.9,0,0,37.9,40.8
Odisha,Balasore,Bhograi,42,Rasolpur,137.3,0,4.1,30.6,172
Odisha,Balasore,Bhograi,43,Sahabajipur,29.7,8.4,4.1,7.4,49.6
Odisha,Balasore,Bhograi,44,Sankhari,1.2,0,0,24.6,25.8
Odisha,Balasore,Bhograi,45,Sianroi,12.3,2.8,0,41.4,56.5
Odisha,Balasore,Bhograi,46,Soharia,1.2,0,0,22.8,24
Odisha,Balasore,Bhograi,47,Sradhapur,18.4,0,2.3,53.5,74.2
Odisha,Balasore,Bhograi,48,Sultanpur,7.3,0,0,18.9,26.2
Odisha,Balasore,Bhograi,49,Sunadharbasan,33.1,0,0,19.2,52.3
Odisha,Balasore,Bhograi,50,T.Hazira,72.7,16.2,0,26.4,115.3
Odisha,Balasore,Bhograi,,Total,1124.4,128.9,96.4,1491.8,2841.5
Odisha,Balasore,Jaleswar,1,Aruha,3.8,5.3,0,32.6,41.7
Odisha,Balasore,Jaleswar,2,Baiganbadia,66.8,0,0,30.2,97
Odisha,Balasore,Jaleswar,3,Baradiha,36.2,179.2,0,45.7,261.1
Odisha,Balasore,Jaleswar,4,Bartana,46.9,5.9,0,31.1,83.9
Odisha,Balasore,Jaleswar,5,Chamargan,0,18.6,0,11.9,30.5
Odisha,Balasore,Jaleswar,6,D.P.Pur,66.2,36.7,0,19.5,122.4
Odisha,Balasore,Jaleswar,7,Gadasahi Baliapal,19.1,5.7,0,7.9,32.7
Odisha,Balasore,Jaleswar,8,Gobarghata,9.8,21.6,0,14.2,45.6
Odisha,Balasore,Jaleswar,9,Gopimohanpur,22.2,31.9,0,15.8,69.9
Odisha,Balasore,Jaleswar,10,Jharpipal,25,0,0,17.9,42.9
Odisha,Balasore,Jaleswar,11,K.Majhisahi,110.3,71,0,29,210.3
Odisha,Balasore,Jaleswar,12,Kalama,28.2,87.5,0,18.3,134
Odisha,Balasore,Jaleswar,13,Kalika,12.7,108.3,17.6,15.7,154.3
Odisha,Balasore,Jaleswar,14,Khalina,37.5,0,0,29.1,66.6
Odisha,Balasore,Jaleswar,15,Khuad,12.6,190.9,0,27.1,230.6
Odisha,Balasore,Jaleswar,16,Khuluda,50.3,1.8,0,25.4,77.5
Odisha,Balasore,Jaleswar,17,Kotsahi,46.4,26,0,28.2,100.6
Odisha,Balasore,Jaleswar,18,Laxmananatha,19.5,19.8,0,27.1,66.4
Odisha,Balasore,Jaleswar,19,Mahamadnagarpatna,10.7,13.8,0,6.9,31.4
Odisha,Balasore,Jaleswar,20,Mankidia,1.4,0,0,13.4,14.8
Odisha,Balasore,Jaleswar,21,Nachhimpur,2.1,5.1,0,17.5,24.7
Odisha,Balasore,Jaleswar,22,Nampo,3.9,27.1,8.7,23.2,62.9
Odisha,Balasore,Jaleswar,23,Netua,0.4,7.1,0,18.7,26.2
Odisha,Balasore,Jaleswar,24,Olmara,73.1,0,26.2,23,122.3
Odisha,Balasore,Jaleswar,25,Paikasida,57.7,2.9,0,20.9,81.5
Odisha,Balasore,Jaleswar,26,Paschimbad,160.3,0,7.7,30,198
Odisha,Balasore,Jaleswar,27,R. R. Pur,30.1,43.8,0,16.7,90.6
Odisha,Balasore,Jaleswar,28,Raibania,129,85.4,0,33.4,247.8
Odisha,Balasore,Jaleswar,29,Rajpur,7.6,93.5,14.5,23.4,139
Odisha,Balasore,Jaleswar,30,Sampatia,5.4,0,0,20.1,25.5
Odisha,Balasore,Jaleswar,31,Sardarbandha,0,90.2,0,1.7,91.9
Odisha,Balasore,Jaleswar,32,Shyamnagar,13.1,131.6,0,15.2,159.9
Odisha,Balasore,Jaleswar,33,Sikharpur,7.7,1.5,0,37.9,47.1
Odisha,Balasore,Jaleswar,34,Srirampur,23.8,20.9,0,18.9,63.6
Odisha,Balasore,Jaleswar,35,Sugo,10.6,1.8,0,25,37.4
