State ,District,Block,Sl.No,Name of Gram Panchayat ,SC,ST,Minority,Others,Total
Odisha,Bhadrak,Bhandaripokhari,15,Patuli,4.5,5.2,0,61.9,71.6
Odisha,Bhadrak,Bhandaripokhari,16,Rahania,20.6,1,0,166.7,188.3
Odisha,Bhadrak,Bhandaripokhari,17,Rajendrapur,22.2,0,2.2,94.3,118.7
Odisha,Bhadrak,Bhandaripokhari,18,Ramachandrapur,9.5,0.2,0,39.7,49.4
Odisha,Bhadrak,Bhandaripokhari,19,Ranjit,11.1,0,0,42.8,53.9
Odisha,Bhadrak,Bhandaripokhari,20,Sanasasan,7,0.2,0,42,49.2
Odisha,Bhadrak,Bhandaripokhari,21,Sarsada,22.1,2.2,0,85.3,109.6
Odisha,Bhadrak,Bhandaripokhari,22,Solampur,5.2,0,0,34.6,39.8
Odisha,Bhadrak,Bhandaripokhari,23,Tesinga,19.8,3.1,0,59.1,82
Odisha,Bhadrak,Bhandaripokhari,,Total,276.3,25.8,3.8,1412.9,1718.8
Odisha,Bhadrak,Bonth,1,Adia,54.5,2.9,0,67,124.4
Odisha,Bhadrak,Bonth,2,Anijo,51.3,0.2,6.1,60.2,117.8
Odisha,Bhadrak,Bonth,3,Badabarchikayan,13.3,0.3,0,60.5,74.1
Odisha,Bhadrak,Bonth,4,Badahata Trilochanpur,15.7,0.2,0,60.8,76.7
Odisha,Bhadrak,Bonth,5,Badamahisagotha,11,0.4,26.2,33.8,71.4
Odisha,Bhadrak,Bonth,6,Basantia,37.7,0,0,52.6,90.3
Odisha,Bhadrak,Bonth,7,Bonth,51.5,1.2,3.3,82.9,138.9
Odisha,Bhadrak,Bonth,8,Charigan,81.5,0,0,77.6,159.1
Odisha,Bhadrak,Bonth,9,Chhayalsing,10.1,0,0,34.3,44.4
Odisha,Bhadrak,Bonth,10,Ganijang,23.3,12.4,0,87.6,123.3
Odisha,Bhadrak,Bonth,11,Gopinathpur,97.8,8.7,0,130.8,237.3
Odisha,Bhadrak,Bonth,12,Govindapur,14.4,6.8,0,115.8,137
Odisha,Bhadrak,Bonth,13,Kadabarang,17.6,2.9,0,64.7,85.2
Odisha,Bhadrak,Bonth,14,Kenduapada,19.1,9.4,0,83.1,111.6
Odisha,Bhadrak,Bonth,15,Mohantypada,3.1,3.6,0,40.3,47
Odisha,Bhadrak,Bonth,16,Nilak,23.9,2.4,0,60.7,87
Odisha,Bhadrak,Bonth,17,Odanga,19.8,2.4,0,65.7,87.9
Odisha,Bhadrak,Bonth,18,Padhanpada,32.5,0,13.6,38.2,84.3
Odisha,Bhadrak,Bonth,19,Purusandha,15,6,4.4,23.7,49.1
Odisha,Bhadrak,Bonth,20,Ramachandrapur,23,0.4,0,44,67.4
Odisha,Bhadrak,Bonth,21,Ramakrushnapur,22,0.7,0,37.5,60.2
Odisha,Bhadrak,Bonth,22,Rampur,16.1,29.3,0,40.1,85.5
Odisha,Bhadrak,Bonth,23,Sendhatira,22.8,4.5,0,90,117.3
Odisha,Bhadrak,Bonth,24,Tillo,59.9,23.5,4.4,142.5,230.3
Odisha,Bhadrak,Bonth,25,Todagaon,3.5,15.4,0,17.7,36.6
Odisha,Bhadrak,Bonth,,Total,740.4,133.6,58,1612.1,2544.1
Odisha,Bhadrak,Chandabali,1,Aradi,15.8,0,0,108.4,124.2
Odisha,Bhadrak,Chandabali,2,Badaostia,1.7,0,0,54.2,55.9
Odisha,Bhadrak,Chandabali,3,Bajarpur,18.3,0,0,120.7,139
Odisha,Bhadrak,Chandabali,4,Bansada,35.3,0.7,0,25.9,61.9
Odisha,Bhadrak,Chandabali,5,Bhatapada,0.9,0,0,104.4,105.3
Odisha,Bhadrak,Chandabali,6,Bhuinbruti,54,0,0,38,92
Odisha,Bhadrak,Chandabali,7,Bijaynagar,6.5,0,0,80.7,87.2
Odisha,Bhadrak,Chandabali,8,Chardia,73,0,0.5,106,179.5
Odisha,Bhadrak,Chandabali,9,Dhamara,15.2,0,0,62.7,77.9
Odisha,Bhadrak,Chandabali,10,Dosinga,8.9,3.8,31.1,187.2,231
Odisha,Bhadrak,Chandabali,11,Ghatapur,13.6,0,0,109.2,122.8
Odisha,Bhadrak,Chandabali,12,Gopinathpur,3.8,0,0,201.3,205.1
Odisha,Bhadrak,Chandabali,13,Jagula,27,0,0,75.3,102.3
Odisha,Bhadrak,Chandabali,14,Jaleswarpur,14.4,0,0,73.2,87.6
Odisha,Bhadrak,Chandabali,15,Jashipur,45.2,0,0.2,134.7,180.1
Odisha,Bhadrak,Chandabali,16,Kaithakolha,0.2,0.3,12.7,87.6,100.8
Odisha,Bhadrak,Chandabali,17,Kandagaradi,3.3,0.6,0,10.9,14.8
Odisha,Bhadrak,Chandabali,18,Karanjamal,34.5,0,0,152.5,187
Odisha,Bhadrak,Chandabali,19,Karanpalli,0.6,0,0,77.1,77.7
Odisha,Bhadrak,Chandabali,20,Khadalpokhari,6.6,0,0,136,142.6
Odisha,Bhadrak,Chandabali,21,Kheranga,15,0,0,60.8,75.8
Odisha,Bhadrak,Chandabali,22,Madhapur,11.4,0,0,90.3,101.7
Odisha,Bhadrak,Chandabali,23,Mahulia,0.9,0,0,73.6,74.5
Odisha,Bhadrak,Chandabali,24,Mausudha,3.4,0,0,83,86.4
Odisha,Bhadrak,Chandabali,25,Motto,0.5,0,0.3,83.2,84
Odisha,Bhadrak,Chandabali,26,Nalagohira,52.9,0,0,222.4,275.3
Odisha,Bhadrak,Chandabali,27,Nalgunda,6,0,0,111.3,117.3
Odisha,Bhadrak,Chandabali,28,Nandapur,1.7,0,0,99.9,101.6
Odisha,Bhadrak,Chandabali,29,Nuagaon,5,0.5,0,39.8,45.3
Odisha,Bhadrak,Chandabali,30,Olaga,32.4,2,0,89.8,124.2
Odisha,Bhadrak,Chandabali,31,Orasahi,2.2,0,0,10.4,12.6
Odisha,Bhadrak,Chandabali,32,Panchutikiri,23.2,0.2,0,117.9,141.3
Odisha,Bhadrak,Chandabali,33,Sundarpur,43.3,0,0,95,138.3
Odisha,Bhadrak,Chandabali,34,Tentulidihi,3.5,0,0,108.4,111.9
Odisha,Bhadrak,Chandabali,35,Totapada,12.5,0,0,118.1,130.6
Odisha,Bhadrak,Chandabali,36,Utukuda,2.8,0,0,104.8,107.6
Odisha,Bhadrak,Chandabali,37,Baligaon,,,,,
Odisha,Bhadrak,Chandabali,38,Chandbali,,,,,
Odisha,Bhadrak,Chandabali,39,Panchapada,,,,,
Odisha,Bhadrak,Chandabali,,Total,595.5,8.1,44.8,3454.7,4103.1
Odisha,Bhadrak,Dhamnagar,1,Anandapur,11,0,0,103.7,114.7
Odisha,Bhadrak,Dhamnagar,2,Arjunpur,23.2,0.2,0,120.4,143.8
Odisha,Bhadrak,Dhamnagar,3,Asurali,19.7,17,0,75.2,111.9
Odisha,Bhadrak,Dhamnagar,4,Bamkura,51.8,0,0,67.4,119.2
Odisha,Bhadrak,Dhamnagar,5,Bayangdihi,32.1,0,37.1,53.5,122.7
Odisha,Bhadrak,Dhamnagar,6,Bhagabanpur,8.7,1.3,0,114.9,124.9
Odisha,Bhadrak,Dhamnagar,7,Bhatasahi,3.2,0,0,79.7,82.9
Odisha,Bhadrak,Dhamnagar,8,Chudakuti,3.4,0,12.2,95.5,111.1
Odisha,Bhadrak,Dhamnagar,9,Daipur,14.5,0.5,0,91.4,106.4
Odisha,Bhadrak,Dhamnagar,10,Dalanga,8.8,0,0,66.2,75
Odisha,Bhadrak,Dhamnagar,11,Dhusuri,2,6,0.3,87.7,96
Odisha,Bhadrak,Dhamnagar,12,Dobal,2.2,0,0,43.3,45.5
Odisha,Bhadrak,Dhamnagar,13,Fateipur,5.3,0,0,83.6,88.9
Odisha,Bhadrak,Dhamnagar,14,Gadiali,11.2,0,0,63.4,74.6
Odisha,Bhadrak,Dhamnagar,15,Govindapur,26.6,0.2,0,94.6,121.4
Odisha,Bhadrak,Dhamnagar,16,Hasnabad,3.6,0,0,81.3,84.9
Odisha,Bhadrak,Dhamnagar,17,Kalyani,10.6,0,0,47.3,57.9
Odisha,Bhadrak,Dhamnagar,18,Karada,8.2,0,0,48.4,56.6
Odisha,Bhadrak,Dhamnagar,19,Kasimpur,23,0,0,35.8,58.8
Odisha,Bhadrak,Dhamnagar,20,Katasahi,17.9,0.4,0,86.2,104.5
Odisha,Bhadrak,Dhamnagar,21,Khadipada,2,0,0,18.5,20.5
Odisha,Bhadrak,Dhamnagar,22,Khaparpada,2.8,0,0,81.9,84.7
Odisha,Bhadrak,Dhamnagar,23,Kothar,33.4,0,0,74.3,107.7
Odisha,Bhadrak,Dhamnagar,24,Musthafapur,5.4,8.8,16.6,41.6,72.4
Odisha,Bhadrak,Dhamnagar,25,Nadigaon,31.6,0,2.4,135.3,169.3
Odisha,Bhadrak,Dhamnagar,26,Padhani,1.7,0,0,82.4,84.1
Odisha,Bhadrak,Dhamnagar,27,Palasahi,47.7,0,0,109.1,156.8
Odisha,Bhadrak,Dhamnagar,28,Radhaballavpur,6.7,0,0,73.8,80.5
Odisha,Bhadrak,Dhamnagar,29,Raipur,28,0,0,161.7,189.7
Odisha,Bhadrak,Dhamnagar,30,Sahaspur,36,0,28.6,87.4,152
Odisha,Bhadrak,Dhamnagar,31,Sohada,68.2,0,0.7,111.2,180.1
Odisha,Bhadrak,Dhamnagar,32,Dhamnagar,,,,,
Odisha,Bhadrak,Dhamnagar,33,Jainagar,,,,,
Odisha,Bhadrak,Dhamnagar,,Total,550.5,34.4,97.9,2516.7,3199.5
Odisha,Bhadrak,Tihidi,1,Achak,11.8,0,11.8,68.2,91.8
Odisha,Bhadrak,Tihidi,2,Bahabalpur,19.5,0,0,64.8,84.3
Odisha,Bhadrak,Tihidi,3,Bamanbindha,21.6,0.2,0,54.1,75.9
Odisha,Bhadrak,Tihidi,4,Baro,101.2,0,0,83.9,185.1
Odisha,Bhadrak,Tihidi,5,Barsar,76.8,0,0,71.3,148.1
Odisha,Bhadrak,Tihidi,6,Bhatapada,19.5,1.2,1.1,154.2,176
Odisha,Bhadrak,Tihidi,7,Bilana,18.3,0,0,39.8,58.1
Odisha,Bhadrak,Tihidi,8,Bodak,79.8,0,0,193.5,273.3
Odisha,Bhadrak,Tihidi,9,Daulatpur,6.3,0,0,66.1,72.4
Odisha,Bhadrak,Tihidi,10,Dolasahi,12.2,0.3,5.8,99.9,118.2
Odisha,Bhadrak,Tihidi,11,Fathepur,11.1,0,0,101.1,112.2
Odisha,Bhadrak,Tihidi,12,Gobindapur,27.1,0,0,34.8,61.9
Odisha,Bhadrak,Tihidi,13,Guamal,63.5,0,0,94.6,158.1
Odisha,Bhadrak,Tihidi,14,Harisinghpur,7.8,0,3.3,75.4,86.5
Odisha,Bhadrak,Tihidi,15,Jamjodi,6.3,0,0,132.9,139.2
Odisha,Bhadrak,Tihidi,16,Kanpada,198.6,0,0,0,198.6
Odisha,Bhadrak,Tihidi,17,Kolha,21.1,1.2,0.6,115.8,138.7
Odisha,Bhadrak,Tihidi,18,Kubera,25.1,0,0,183.3,208.4
Odisha,Bhadrak,Tihidi,19,Maharampur,8.5,0,0,51,59.5
Odisha,Bhadrak,Tihidi,20,Mangalapur,9.4,0,0,39.3,48.7
Odisha,Bhadrak,Tihidi,21,Mukundapur,79.1,0,0,168,247.1
Odisha,Bhadrak,Tihidi,22,Narendrapur,1.4,0,0,103.7,105.1
Odisha,Bhadrak,Tihidi,23,Nayananada,25,0.9,0,34.1,60
Odisha,Bhadrak,Tihidi,24,Paliabindha,3.9,0,2.4,115.7,122
Odisha,Bhadrak,Tihidi,25,Rajnagar,8.2,0,0,134.1,142.3
Odisha,Bhadrak,Tihidi,26,Sahapur,98.9,0,0,121.6,220.5
Odisha,Bhadrak,Tihidi,27,Saya,45.3,0,0,96.5,141.8
Odisha,Bhadrak,Tihidi,28,Sindol,14,0,1.9,110.7,126.6
Odisha,Bhadrak,Tihidi,29,Syamsundarpur,55.8,0,0,96.7,152.5
Odisha,Bhadrak,Tihidi,30,Talagopabindha,21.2,0,0,65.1,86.3
Odisha,Bhadrak,Tihidi,31,Talapada,37.1,0,0,34.4,71.5
Odisha,Bhadrak,Tihidi,,Total,1135.4,3.8,26.9,2804.6,3970.7
Odisha,Bolangir,Agalpur,1,Agalpur,45.8,36.35,0,69.5,151.65
Odisha,Bolangir,Agalpur,2,Babufasad,25.3,47.2,0,82.3,154.8
Odisha,Bolangir,Agalpur,3,Badtika,20.4,44.85,0,59.5,124.75
Odisha,Bolangir,Agalpur,4,Bakti,3.3,1,0,68.9,73.2
Odisha,Bolangir,Agalpur,5,Bendra,34.55,55.2,0,64.75,154.5
Odisha,Bolangir,Agalpur,6,Bharsuja,41.7,3.5,0,149.2,194.4
Odisha,Bolangir,Agalpur,7,Budula,82.65,30.05,0,125.45,238.15
Odisha,Bolangir,Agalpur,8,Duduka,11.95,34.55,4.4,119.25,170.15
Odisha,Bolangir,Agalpur,9,Jharanipali,31.6,56.1,0,66.45,154.15
Odisha,Bolangir,Agalpur,10,Kutasingha,76.05,7.45,0,111.1,194.6
Odisha,Bolangir,Agalpur,11,Luhuramunda,71.4,15.35,0,73.85,160.6
Odisha,Bolangir,Agalpur,12,Mursundhi,30.7,4.25,0,62.55,97.5
Odisha,Bolangir,Agalpur,13,Nagaon-A,55.15,22.95,0,89.3,167.4
Odisha,Bolangir,Agalpur,14,Nagaon-B,4.55,12,0,86.3,102.85
Odisha,Bolangir,Agalpur,15,Nuniapali,25.7,43.75,0,82.55,152
Odisha,Bolangir,Agalpur,16,Patuapali,22.05,13.05,0,86.45,121.55
Odisha,Bolangir,Agalpur,17,Rinbachan,24.25,14.9,0,46.6,85.75
Odisha,Bolangir,Agalpur,18,Roth,22.15,6,0,51.35,79.5
Odisha,Bolangir,Agalpur,19,Salebhata,76.95,35.35,0,59,171.3
Odisha,Bolangir,Agalpur,20,Uperbahal,46.25,14.45,0,93.55,154.25
Odisha,Bolangir,Agalpur,,Total,752.45,498.3,4.4,1647.9,2903.05
Odisha,Bolangir,Bolangir,1,Baidipali,35.7,81.15,0,32.7,149.55
Odisha,Bolangir,Bolangir,2,Barapudugia,5.5,35.95,0,54.3,95.75
Odisha,Bolangir,Bolangir,3,Barkani,45.2,25.7,0,26.5,97.4
Odisha,Bolangir,Bolangir,4,Bhundimuhan,5.65,9.4,0,11.15,26.2
Odisha,Bolangir,Bolangir,5,Bhutiarbahal,50.45,37,0,53.9,141.35
Odisha,Bolangir,Bolangir,6,Bidighat,1.3,5.2,0,37.7,44.2
Odisha,Bolangir,Bolangir,7,Chandanbhati,16,16.55,0,39.3,71.85
Odisha,Bolangir,Bolangir,8,Chikalbahal,15.85,41.9,0,37.4,95.15
Odisha,Bolangir,Bolangir,9,Chudapali,6.7,29.75,2.6,30.4,69.45
Odisha,Bolangir,Bolangir,10,Jhankarpali,31.25,26.95,0,31.55,89.75
Odisha,Bolangir,Bolangir,11,Khaliapali,8.5,1,0,24.7,34.2
Odisha,Bolangir,Bolangir,12,Khujenpali,32.1,3.45,0,36.25,71.8
Odisha,Bolangir,Bolangir,13,Khuntpali,9.9,18.15,0,7.05,35.1
Odisha,Bolangir,Bolangir,14,Kudasingha,8.65,11.4,0,46.55,66.6
Odisha,Bolangir,Bolangir,15,Kutumdola,22.25,40.4,0,55.1,117.75
Odisha,Bolangir,Bolangir,16,Madhiapali,35.55,4.9,0,19.5,59.95
Odisha,Bolangir,Bolangir,17,Manhira,11.65,56.5,0,74.25,142.4
Odisha,Bolangir,Bolangir,18,Mayabarha,6.9,11.2,0,96.15,114.25
Odisha,Bolangir,Bolangir,19,Mirdhapali,28.15,7.45,0,57.2,92.8
Odisha,Bolangir,Bolangir,20,Sadeipali,9.2,28.8,0,4.6,42.6
Odisha,Bolangir,Bolangir,21,Sahajbahal,14.25,10.45,0,14.7,39.4
Odisha,Bolangir,Bolangir,22,Sakma,48.7,0.95,0,56.8,106.45
Odisha,Bolangir,Bolangir,23,Sibtala,31.45,46.8,0,56.85,135.1
Odisha,Bolangir,Bolangir,24,Sikachhida,31.6,47.65,0,44.6,123.85
Odisha,Bolangir,Bolangir,25,Tusrabahal,2.6,13.8,0,33.95,50.35
Odisha,Bolangir,Bolangir,,Total,515.05,612.45,2.6,983.15,2113.25
Odisha,Bolangir,Bangomunda,1,Alanda,26.5,23.6,0,104.15,154.25
Odisha,Bolangir,Bangomunda,2,Arsatula,41.75,68,0,73.75,183.5
Odisha,Bolangir,Bangomunda,3,Baldha,7.8,17.55,0,28.1,53.45
Odisha,Bolangir,Bangomunda,4,Bangomunda,72.8,4.2,0,75.05,152.05
Odisha,Bolangir,Bangomunda,5,Belpada,85.95,38.95,0,102.35,227.25
Odisha,Bolangir,Bangomunda,6,Bhalumunda,0.55,0,0,43.9,44.45
Odisha,Bolangir,Bangomunda,7,Bhursagura,9.05,28.85,0,71.85,109.75
Odisha,Bolangir,Bangomunda,8,Bhuslad,13.4,23.95,0,85.15,122.5
Odisha,Bolangir,Bangomunda,9,Biripali,12.5,4.95,0,50.35,67.8
Odisha,Bolangir,Bangomunda,10,Chandotara,38.5,2.75,0,28.55,69.8
Odisha,Bolangir,Bangomunda,11,Chulifunka,25.6,14.25,0,67.45,107.3
Odisha,Bolangir,Bangomunda,12,Dedgaon,18.95,5.35,0,65.05,89.35
Odisha,Bolangir,Bangomunda,13,Gandharabandh,27.4,41.95,0,86.2,155.55
Odisha,Bolangir,Bangomunda,14,Gandharla,13.85,83.7,0,39.05,136.6
Odisha,Bolangir,Bangomunda,15,Jamkhunta,20.6,53.1,0,34.95,108.65
Odisha,Bolangir,Bangomunda,16,Jhalap,94.8,29.55,0,67.3,191.65
Odisha,Bolangir,Bangomunda,17,Jharial,39.7,26.25,0,58.3,124.25
Odisha,Bolangir,Bangomunda,18,Jurabandh,6.65,10.05,0,51.55,68.25
Odisha,Bolangir,Bangomunda,19,Kansil,31.95,9.8,0,76.75,118.5
Odisha,Bolangir,Bangomunda,20,Kapilbhata,13.75,11.4,0,70.7,95.85
Odisha,Bolangir,Bangomunda,21,Khaira,17,116.45,0,30.95,164.4
Odisha,Bolangir,Bangomunda,22,Kundabutula,31.2,23.15,0,44.85,99.2
Odisha,Bolangir,Bangomunda,23,Mundapadar,60,49.6,0,41.8,151.4
Odisha,Bolangir,Bangomunda,24,Sindhekela,38.6,58.15,0,70.85,167.6
Odisha,Bolangir,Bangomunda,25,Themra,76.45,56.7,0,116.2,249.35
Odisha,Bolangir,Bangomunda,26,Turekela,8.25,4.7,0,55.8,68.75
Odisha,Bolangir,Bangomunda,,Total,833.55,806.95,0,1640.95,3281.45
Odisha,Bolangir,Belpara,1,Bagdor,20.4,85.7,0,53.2,159.3
Odisha,Bolangir,Belpara,2,Bahabal,24.4,71.45,0,25.55,121.4
Odisha,Bolangir,Belpara,3,Balikhamar,8.35,18.65,0,16.55,43.55
Odisha,Bolangir,Belpara,4,Beheramunda,3.9,29.4,0,10.45,43.75
Odisha,Bolangir,Belpara,5,Belpada,37.1,25,0,92.15,154.25
Odisha,Bolangir,Belpara,6,Bharuapali,18.8,71.4,0,55.45,145.65
Odisha,Bolangir,Belpara,7,Darlipali,7.1,45.95,0,4,57.05
Odisha,Bolangir,Belpara,8,Dhumabhata,30.95,96.1,0.2,126.95,254.2
Odisha,Bolangir,Belpara,9,Gambhari,40.15,64.2,0,38.55,142.9
Odisha,Bolangir,Belpara,10,Ghagurli,23.65,89.55,0.45,85,198.65
Odisha,Bolangir,Belpara,11,Juba,20.15,64.55,0,30.25,114.95
Odisha,Bolangir,Belpara,12,Kandhenjhula,8.15,66.85,0,5.4,80.4
Odisha,Bolangir,Belpara,13,Kanut,60.25,124.15,0,35.85,220.25
Odisha,Bolangir,Belpara,14,Kapani,15.2,108.25,0,20.4,143.85
Odisha,Bolangir,Belpara,15,Madhyapur,23.75,53.45,0,35.05,112.25
Odisha,Bolangir,Belpara,16,Mandal,50.15,50.85,0,96,197
Odisha,Bolangir,Belpara,17,Nunhad,19.85,49.15,0,74.55,143.55
Odisha,Bolangir,Belpara,18,Pandrijore,42.35,63.85,0,68.9,175.1
Odisha,Bolangir,Belpara,19,Parlimal,3.4,11.75,0,13.4,28.55
Odisha,Bolangir,Belpara,20,Salendi,47.55,77.55,0,23.9,149
Odisha,Bolangir,Belpara,21,Sarmuhan,48.9,110.3,0,41.45,200.65
Odisha,Bolangir,Belpara,22,Sihini,44.5,12.95,0,65,122.45
Odisha,Bolangir,Belpara,23,Sulekela,30,95.7,0,120.2,245.9
Odisha,Bolangir,Belpara,24,Tentelmunda,45.75,76.2,0,31.05,153
Odisha,Bolangir,Belpara,,Total,674.75,1562.95,0.65,1169.25,3407.6
Odisha,Bolangir,Deogaon,1,Arjunpur,29.65,3,0,14.3,46.95
Odisha,Bolangir,Deogaon,2,Badbahal,23.45,8.75,0,24.1,56.3
Odisha,Bolangir,Deogaon,3,Badbandh,61.25,6,0,61,128.25
Odisha,Bolangir,Deogaon,4,Bandhpara,21.75,14.35,0,60.55,96.65
Odisha,Bolangir,Deogaon,5,Brahmanijore,13.95,1.9,0.65,37.25,53.75
Odisha,Bolangir,Deogaon,6,Deogaon,4.1,3.9,0,45.15,53.15
Odisha,Bolangir,Deogaon,7,Desandh,34.2,119,0,31.1,184.3
Odisha,Bolangir,Deogaon,8,Dhandamal,24.1,53.95,0,35.45,113.5
Odisha,Bolangir,Deogaon,9,Dumerpita,5.25,55.05,0.3,11.65,72.25
Odisha,Bolangir,Deogaon,10,Gaibahal,40.6,80.95,0,42.55,164.1
Odisha,Bolangir,Deogaon,11,Gourgoth,38.25,27.6,0,72.4,138.25
Odisha,Bolangir,Deogaon,12,Gudkhapala,5.55,5.35,0,47.15,58.05
Odisha,Bolangir,Deogaon,13,Hatisara,10.9,13.6,0,19.9,44.4
Odisha,Bolangir,Deogaon,14,Jarasingha,39.4,24.55,0,26.6,90.55
Odisha,Bolangir,Deogaon,15,Kultapada,57.1,14.75,0,36.3,108.15
Odisha,Bolangir,Deogaon,16,Kuturla,41.5,45.2,3.75,50.45,140.9
Odisha,Bolangir,Deogaon,17,Landapathar,41,56.25,0,35.05,132.3
Odisha,Bolangir,Deogaon,18,Mahalei,9.65,44.85,0,32.85,87.35
Odisha,Bolangir,Deogaon,19,Makundpur,74.3,33.1,0,43,150.4
Odisha,Bolangir,Deogaon,20,Ramchandrapur,18.3,57.6,0,14.25,90.15
Odisha,Bolangir,Deogaon,21,Salepali,36.55,33.55,0,56.75,126.85
Odisha,Bolangir,Deogaon,22,Sarasmal,37.05,8.15,0.6,35.7,81.5
Odisha,Bolangir,Deogaon,23,Sikuan,19.45,4.3,0.3,26.1,50.15
Odisha,Bolangir,Deogaon,24,Singhanmunda,4.45,40.3,0,23.55,68.3
Odisha,Bolangir,Deogaon,25,Sirabahal(Udar),12.4,37.65,0,37.8,87.85
Odisha,Bolangir,Deogaon,26,Uperjhar,17.2,5.95,0,19.6,42.75
Odisha,Bolangir,Deogaon,,Total,721.35,799.6,5.6,940.55,2467.1
Odisha,Bolangir,Gudvella,1,Badangomunda,18.9,32,0,29.9,80.8
Odisha,Bolangir,Gudvella,2,Birmunda,33.6,62.55,0,41.4,137.55
Odisha,Bolangir,Gudvella,3,Chinched,13.45,30.35,0,39.3,83.1
Odisha,Bolangir,Gudvella,4,Deulgudi,36.4,31.8,0,56.5,124.7
Odisha,Bolangir,Gudvella,5,Gambhariguda,13.75,119.35,0,6.35,139.45
Odisha,Bolangir,Gudvella,6,Ghuna,29.4,91.55,0,9.05,130
Odisha,Bolangir,Gudvella,7,Gudvela,10.75,42.65,0,25.95,79.35
Odisha,Bolangir,Gudvella,8,Jamut,30.8,29.05,0,21.15,81
Odisha,Bolangir,Gudvella,9,Madhekela,50.05,28.2,0,65.4,143.65
Odisha,Bolangir,Gudvella,10,Nuapada,41.45,98.9,0,38.55,178.9
Odisha,Bolangir,Gudvella,11,Rusuda,39.35,168.75,0,58.45,266.55
Odisha,Bolangir,Gudvella,12,Samara,2.35,5.75,0,33.8,41.9
Odisha,Bolangir,Gudvella,13,Tentelkhunti,27.85,58.6,0,73,159.45
Odisha,Bolangir,Gudvella,,Total,348.1,799.5,0,498.8,1646.4
Odisha,Bolangir,Khaprakhol,1,Baghmund,25.85,76.15,0,45.15,147.15
Odisha,Bolangir,Khaprakhol,2,Bender,14.95,45,0,34.6,94.55
Odisha,Bolangir,Khaprakhol,3,Bhanpur,27.35,128.65,0,42.1,198.1
Odisha,Bolangir,Khaprakhol,4,Changria,6.6,52.2,0,25.95,84.75
Odisha,Bolangir,Khaprakhol,5,Dameipali,17.7,73.6,0,35.25,126.55
Odisha,Bolangir,Khaprakhol,6,Dhandamunda,41.95,122.65,2.6,111.65,278.85
Odisha,Bolangir,Khaprakhol,7,Ghunsar,18.4,122.9,0,35.6,176.9
Odisha,Bolangir,Khaprakhol,8,Karuanjhar,22.2,60.4,0,30.4,113
Odisha,Bolangir,Khaprakhol,9,Khaprakhol,10.1,81.3,0,38.15,129.55
Odisha,Bolangir,Khaprakhol,10,Lathor,19.85,3.6,1.1,76.35,100.9
Odisha,Bolangir,Khaprakhol,11,Luhasingha,39.55,53.55,0,88,181.1
Odisha,Bolangir,Khaprakhol,12,Maharapadar,40.95,85.65,0,44.05,170.65
Odisha,Bolangir,Khaprakhol,13,Malpara,29,42.6,0,50.05,121.65
Odisha,Bolangir,Khaprakhol,14,Matiabhata,42.75,132.75,0,43.2,218.7
Odisha,Bolangir,Khaprakhol,15,Nandupala,11.75,55.95,0,23.2,90.9
Odisha,Bolangir,Khaprakhol,16,Padiabahal,25.85,73.55,0,37.45,136.85
Odisha,Bolangir,Khaprakhol,17,Rengali,24.9,136.55,0,47.3,208.75
Odisha,Bolangir,Khaprakhol,18,Sahajpani,6.05,94.9,0,25.25,126.2
Odisha,Bolangir,Khaprakhol,19,Tankapani,22.75,169.4,0,65.9,258.05
Odisha,Bolangir,Khaprakhol,20,Telenpali,19.65,172.75,0,42,234.4
Odisha,Bolangir,Khaprakhol,21,Udiapali,49.35,46.65,0,86.45,182.45
Odisha,Bolangir,Khaprakhol,,Total,517.5,1830.75,3.7,1028.05,3380
Odisha,Bolangir,Loisingha,1,Badibahal,30.85,23.2,0,74.2,128.25
Odisha,Bolangir,Loisingha,2,Badimunda,23.2,39.25,0,48.4,110.85
Odisha,Bolangir,Loisingha,3,Banipali,7.2,48.45,0,17.15,72.8
Odisha,Bolangir,Loisingha,4,Budhipadar,17.45,17.6,0,21.8,56.85
Odisha,Bolangir,Loisingha,5,Burda,16.9,4.1,0,29.6,50.6
Odisha,Bolangir,Loisingha,6,Dunguripali,3.05,2.05,0,12.1,17.2
Odisha,Bolangir,Loisingha,7,Hirapur,17.35,28.55,0,56.2,102.1
Odisha,Bolangir,Loisingha,8,Jharmunda,15.55,53.65,0,51.35,120.55
Odisha,Bolangir,Loisingha,9,Jogisurda,6.65,8.1,0,29.8,44.55
Odisha,Bolangir,Loisingha,10,Kandajuri,3.15,4.5,0,20.3,27.95
Odisha,Bolangir,Loisingha,11,Kusang,11.65,2.3,0,42.15,56.1
Odisha,Bolangir,Loisingha,12,Kusmel,40.15,40.7,0,73.8,154.65
Odisha,Bolangir,Loisingha,13,Kutenpali,9.1,42.4,0.3,45.95,97.75
Odisha,Bolangir,Loisingha,14,Loisingha,5.95,41.6,0.45,22.1,70.1
Odisha,Bolangir,Loisingha,15,Magurbeda,0.75,0.35,0,13.65,14.75
Odisha,Bolangir,Loisingha,16,Ratakhandi,8,31.8,0,24.2,64
Odisha,Bolangir,Loisingha,17,Rengali,2.85,44.5,0,32.95,80.3
Odisha,Bolangir,Loisingha,18,Sargad,5,1.3,0,42.6,48.9
Odisha,Bolangir,Loisingha,19,Taliudar,27.75,17.35,0,51.95,97.05
