Name of the State,Name of the District,Name of the Block,Number of Gram Panchayats,Name of the Gram Panchayat,Openning Balance for FY 2018-19,Total Fund Available for the FY 2018-19,Total Expenditure on Wages for FY 2018-19,Total Expenditure on Materials for FY 2018-19,Total Expenditure on Tax for FY 2018-19,Total Expenditure on Admin Expenses  for FY 2018-19,Grand Total Expenditure for FY 2018-19,Total Unspent Balance for FY 2018-19,Total Payment Due for FY 2018-19
Odisha,Ganjam,Kabisuryanagar,,Grand Total,0.000,835.970,586.320,270.310,0.190,33.490,890.310,-54.330,9.540
Odisha,Ganjam,khalikote,1,Aitipur,0.000,15.420,12.300,2.980,0.000,0.000,15.270,0.140,0.030
Odisha,Ganjam,khalikote,2,Badapalli,0.000,47.060,32.520,14.500,0.000,0.000,47.010,0.040,0.010
Odisha,Ganjam,khalikote,3,Badhi Nuapalli,0.000,59.590,30.400,29.040,0.000,0.000,59.440,0.150,0.090
Odisha,Ganjam,khalikote,4,Bania,0.000,8.200,7.540,0.670,0.000,0.000,8.210,-0.020,0.020
Odisha,Ganjam,khalikote,5,Bedha Nalinakhyapur,0.000,23.920,13.950,9.900,0.000,0.000,23.850,0.070,0.290
Odisha,Ganjam,khalikote,6,Bhakutagam,0.000,10.600,6.170,4.440,0.000,0.000,10.600,0.000,0.000
Odisha,Ganjam,khalikote,7,Bhikapada,0.000,7.310,7.310,0.000,0.000,0.000,7.310,0.000,0.040
Odisha,Ganjam,khalikote,8,Bikrampur,0.000,13.720,12.240,1.460,0.000,0.000,13.700,0.020,0.050
Odisha,Ganjam,khalikote,9,Chikili,0.000,62.250,33.680,28.420,0.000,0.000,62.090,0.160,0.060
Odisha,Ganjam,khalikote,10,Danapur,0.000,33.740,25.960,7.700,0.000,0.000,33.660,0.070,0.150
Odisha,Ganjam,khalikote,11,Dimiria,0.000,31.990,23.460,8.500,0.000,0.000,31.960,0.030,0.290
Odisha,Ganjam,khalikote,12,Kairasi,0.000,4.420,4.330,5.860,0.000,0.000,10.180,-5.760,0.000
Odisha,Ganjam,khalikote,13,Kanaka,0.000,27.590,11.350,16.180,0.000,0.000,27.540,0.060,0.000
Odisha,Ganjam,khalikote,14,Kanchana,0.000,16.090,7.050,8.970,0.000,0.000,16.030,0.070,0.000
Odisha,Ganjam,khalikote,15,Kanheipur,0.000,3.330,3.270,0.050,0.000,0.000,3.320,0.010,0.000
Odisha,Ganjam,khalikote,16,Keshapur,0.000,23.830,8.550,15.290,0.000,0.000,23.830,0.000,0.000
Odisha,Ganjam,khalikote,17,Khajapalli,0.000,0.860,0.860,0.000,0.000,0.000,0.860,0.000,0.000
Odisha,Ganjam,khalikote,18,Komonda,0.000,19.290,16.660,2.490,0.000,0.000,19.150,0.140,0.020
Odisha,Ganjam,khalikote,19,Langaleswar,0.000,17.460,10.200,6.980,0.000,0.000,17.180,0.280,0.030
Odisha,Ganjam,khalikote,20,Manikapur,0.000,9.660,6.600,3.050,0.000,0.000,9.660,0.000,0.100
Odisha,Ganjam,khalikote,21,Mathura,0.000,26.340,12.470,13.790,0.000,0.000,26.260,0.090,0.030
Odisha,Ganjam,khalikote,22,Naikanipalli,0.000,8.430,7.820,0.640,0.000,0.000,8.450,-0.020,0.030
Odisha,Ganjam,khalikote,23,Odia Alapur,0.000,27.670,12.240,15.590,0.000,0.000,27.830,-0.160,0.010
Odisha,Ganjam,khalikote,24,Pathara,0.000,5.780,3.210,2.400,0.000,0.000,5.610,0.160,0.000
Odisha,Ganjam,khalikote,25,Sabulia,0.000,5.270,4.420,0.850,0.000,0.000,5.270,0.000,0.000
Odisha,Ganjam,khalikote,26,Srikrushnasaranpur,0.000,38.760,14.430,24.330,0.000,0.000,38.750,0.010,0.000
Odisha,Ganjam,khalikote,27,Talapada,0.000,13.660,11.200,2.390,0.000,0.000,13.590,0.070,0.000
Odisha,Ganjam,khalikote,28,Tentuliapalli,0.000,19.190,6.300,12.900,0.000,0.000,19.190,0.000,0.000
Odisha,Ganjam,khalikote,29,Tulasipur,0.000,98.690,43.470,55.210,0.000,0.000,98.680,0.010,0.170
Odisha,Ganjam,khalikote,,Total,0.000,680.120,389.930,294.560,0.000,0.000,684.490,-4.380,1.400
Odisha,Ganjam,khalikote,,Block Level Line Deptt.,0.000,0.000,370.500,308.690,0.780,2.300,682.260,-682.260,2.940
Odisha,Ganjam,khalikote,,Po,0.000,547.160,0.000,NA,NA,31.000,31.000,516.160,NA
Odisha,Ganjam,khalikote,,Grand Total,0.000,1227.280,760.430,603.250,0.780,33.300,1397.750,-170.480,4.340
Odisha,Ganjam,Kukudakhandi,1,Anantei,0.000,9.720,7.000,7.430,0.000,0.000,14.430,-4.710,0.040
Odisha,Ganjam,Kukudakhandi,2,Ankusapur,0.000,16.670,9.750,6.920,0.000,0.000,16.670,0.000,0.000
Odisha,Ganjam,Kukudakhandi,3,Baghalati,0.000,16.920,13.160,5.100,0.000,0.000,18.260,-1.340,0.000
Odisha,Ganjam,Kukudakhandi,4,Balipada,0.000,20.090,13.880,6.210,0.000,0.000,20.090,0.000,0.000
Odisha,Ganjam,Kukudakhandi,5,Banthapalli,0.000,41.620,26.080,15.530,0.000,0.000,41.620,0.000,0.210
Odisha,Ganjam,Kukudakhandi,6,Baulojholi,0.000,15.230,12.100,3.130,0.000,0.000,15.230,0.000,0.000
Odisha,Ganjam,Kukudakhandi,7,Borigam,0.000,60.630,53.140,7.480,0.000,0.000,60.620,0.010,0.030
Odisha,Ganjam,Kukudakhandi,8,Dengapodar,0.000,14.760,10.300,4.450,0.000,0.000,14.760,0.000,0.040
Odisha,Ganjam,Kukudakhandi,9,Dhakhinapur,0.000,11.310,6.830,4.470,0.000,0.000,11.310,0.000,0.000
Odisha,Ganjam,Kukudakhandi,10,Gurunthi,0.000,10.120,10.530,0.350,0.000,0.000,10.880,-0.760,0.000
Odisha,Ganjam,Kukudakhandi,11,Hugulapatta,0.000,13.800,10.180,4.540,0.000,0.000,14.720,-0.920,0.000
Odisha,Ganjam,Kukudakhandi,12,Jagadalapur,0.000,1.050,1.390,0.000,0.000,0.000,1.390,-0.330,0.000
Odisha,Ganjam,Kukudakhandi,13,Kankia,0.000,1.780,2.020,3.890,0.000,0.000,5.920,-4.140,0.020
Odisha,Ganjam,Kukudakhandi,14,Kukudakhandi,0.000,19.680,11.580,11.640,0.000,0.000,23.230,-3.550,0.040
Odisha,Ganjam,Kukudakhandi,15,Lanjia,0.000,11.360,9.710,13.500,0.000,0.000,23.210,-11.850,0.120
Odisha,Ganjam,Kukudakhandi,16,Lathi,0.000,8.990,7.520,1.570,0.000,0.000,9.080,-0.090,0.000
Odisha,Ganjam,Kukudakhandi,17,Lochapada,0.000,2.970,2.480,2.880,0.000,0.000,5.370,-2.400,0.030
Odisha,Ganjam,Kukudakhandi,18,Masiakhali,0.000,2.590,2.590,0.000,0.000,0.000,2.590,0.000,0.070
Odisha,Ganjam,Kukudakhandi,19,Mohada,0.000,26.890,17.370,9.990,0.000,0.000,27.360,-0.470,0.360
Odisha,Ganjam,Kukudakhandi,20,Nimakhandi,0.000,4.350,2.230,2.120,0.000,0.000,4.350,0.000,0.050
Odisha,Ganjam,Kukudakhandi,21,Rohigam,0.000,31.820,21.020,16.510,0.000,0.000,37.520,-5.710,0.090
Odisha,Ganjam,Kukudakhandi,22,Sihala,0.000,23.290,22.300,1.000,0.000,0.000,23.290,0.000,0.020
Odisha,Ganjam,Kukudakhandi,,Total,0.000,365.620,273.180,128.710,0.000,0.000,401.880,-36.260,1.120
Odisha,Ganjam,Kukudakhandi,,Block Level Line Deptt.,0.000,0.000,140.960,97.280,2.760,2.470,243.470,-243.470,0.450
Odisha,Ganjam,Kukudakhandi,,Po,0.000,199.740,0.000,NA,NA,20.440,20.440,179.300,NA
Odisha,Ganjam,Kukudakhandi,,Grand Total,0.000,565.360,414.140,225.990,2.760,22.910,665.790,-100.430,1.570
Odisha,Ganjam,Patrapur,1,Ambapur,0.000,24.710,17.510,7.030,0.000,0.000,24.550,0.160,0.750
Odisha,Ganjam,Patrapur,2,Ankuli,1.000,10.250,3.720,5.400,0.000,0.000,9.120,1.120,0.080
Odisha,Ganjam,Patrapur,3,B.Nuagam,0.000,5.130,4.720,0.070,0.000,0.000,4.790,0.340,0.000
Odisha,Ganjam,Patrapur,4,Badapur,0.000,10.780,10.710,0.000,0.000,0.000,10.710,0.070,0.060
Odisha,Ganjam,Patrapur,5,Baranga,0.000,11.720,11.670,0.000,0.000,0.000,11.670,0.050,0.080
Odisha,Ganjam,Patrapur,6,Buratala,0.000,10.050,9.760,0.000,0.000,0.000,9.760,0.290,0.070
Odisha,Ganjam,Patrapur,7,Gudipadara,0.000,16.070,15.980,0.000,0.000,0.000,15.980,0.090,0.100
Odisha,Ganjam,Patrapur,8,Gundura,0.000,28.220,21.280,6.870,0.000,0.000,28.160,0.060,0.070
Odisha,Ganjam,Patrapur,9,Jarada,0.000,10.290,8.060,2.080,0.000,0.000,10.130,0.160,0.140
Odisha,Ganjam,Patrapur,10,Jayantipur,0.000,1.740,0.880,0.860,0.000,0.000,1.740,0.000,0.050
Odisha,Ganjam,Patrapur,11,Kesaripada,0.000,11.710,11.460,0.000,0.000,0.000,11.460,0.250,0.170
Odisha,Ganjam,Patrapur,12,Khamarigam,0.000,10.980,10.700,0.000,0.000,0.000,10.700,0.280,0.050
Odisha,Ganjam,Patrapur,13,Kharanipada,0.000,19.510,10.370,9.010,0.000,0.000,19.380,0.130,0.280
Odisha,Ganjam,Patrapur,14,Khariaguda,0.000,44.460,24.890,19.390,0.000,0.000,44.280,0.180,0.120
Odisha,Ganjam,Patrapur,15,Mandarada,0.000,26.610,15.200,11.220,0.000,0.000,26.420,0.190,0.400
Odisha,Ganjam,Patrapur,16,Padadigi,0.000,13.900,11.370,2.370,0.000,0.000,13.740,0.160,0.200
Odisha,Ganjam,Patrapur,17,Patrapur,0.000,14.680,11.990,2.670,0.000,0.000,14.660,0.020,0.050
Odisha,Ganjam,Patrapur,18,Samantarapur,0.000,0.250,0.300,0.120,0.000,0.000,0.420,-0.170,0.000
Odisha,Ganjam,Patrapur,19,Samantiapalli,0.000,19.130,18.750,0.340,0.000,0.000,19.090,0.030,0.320
Odisha,Ganjam,Patrapur,20,Surangi,0.000,57.010,24.220,32.610,0.000,0.000,56.840,0.180,0.260
Odisha,Ganjam,Patrapur,21,Tandipur,2.850,30.320,21.720,5.670,0.000,0.000,27.390,2.920,0.270
Odisha,Ganjam,Patrapur,22,Tumbagada,0.000,1.270,0.920,0.180,0.000,0.000,1.100,0.170,0.010
Odisha,Ganjam,Patrapur,23,Turubudi,0.000,16.060,10.990,5.070,0.000,0.000,16.060,0.000,0.170
Odisha,Ganjam,Patrapur,,Total,3.850,394.830,277.190,110.950,0.000,0.000,388.140,6.690,3.720
Odisha,Ganjam,Patrapur,,Block Level Line Deptt.,0.000,0.000,468.290,215.120,2.750,0.250,686.410,-686.410,6.130
Odisha,Ganjam,Patrapur,,Po,0.000,628.730,0.000,NA,NA,37.900,37.900,590.830,NA
Odisha,Ganjam,Patrapur,,Grand Total,3.850,1023.560,745.480,326.070,2.750,38.150,1112.450,-88.890,9.850
Odisha,Ganjam,polasara,1,Badapankalabadi,0.000,14.560,12.340,2.340,0.000,0.000,14.690,-0.130,0.370
Odisha,Ganjam,polasara,2,Balichhai,0.000,21.270,15.230,6.460,0.000,0.000,21.700,-0.430,0.010
Odisha,Ganjam,polasara,3,Banthapalli,0.000,1.510,0.130,0.000,0.000,0.000,0.130,1.380,0.010
Odisha,Ganjam,polasara,4,Bartani,0.000,9.620,9.420,0.160,0.000,0.000,9.580,0.040,0.060
Odisha,Ganjam,polasara,5,Belagam,0.000,16.520,15.520,0.390,0.000,0.000,15.910,0.610,0.030
Odisha,Ganjam,polasara,6,Bhabarada,0.000,3.490,2.630,3.030,0.000,0.000,5.660,-2.170,0.010
Odisha,Ganjam,polasara,7,Budheisuni,0.000,7.480,7.240,0.000,0.000,0.000,7.240,0.250,0.080
Odisha,Ganjam,polasara,8,Chirikipadasasan,0.000,5.710,3.820,1.880,0.000,0.000,5.710,0.000,0.040
Odisha,Ganjam,polasara,9,Dhunkapada,0.000,12.310,6.570,5.740,0.000,0.000,12.310,0.000,0.000
Odisha,Ganjam,polasara,10,Ghodapalana,0.000,17.000,11.620,5.330,0.000,0.000,16.960,0.040,0.190
Odisha,Ganjam,polasara,11,Gochabadi,0.000,7.210,2.290,4.700,0.000,0.000,7.000,0.210,0.000
Odisha,Ganjam,polasara,12,Hatiota,0.000,8.990,7.910,0.720,0.000,0.000,8.640,0.350,0.020
Odisha,Ganjam,polasara,13,J.Dengapadar,0.000,29.690,27.300,2.340,0.000,0.000,29.640,0.040,0.220
Odisha,Ganjam,polasara,14,Jakara,0.000,17.120,14.510,3.010,0.000,0.000,17.510,-0.390,0.000
Odisha,Ganjam,polasara,15,Kalamba,0.000,3.840,3.110,0.730,0.000,0.000,3.840,0.000,0.050
Odisha,Ganjam,polasara,16,Kanachai,0.000,9.590,8.610,0.780,0.000,0.000,9.390,0.200,0.160
Odisha,Ganjam,polasara,17,Kendubadi,0.000,11.000,9.600,2.530,0.000,0.000,12.130,-1.130,0.010
Odisha,Ganjam,polasara,18,Khanduru,0.000,4.370,5.680,0.060,0.000,0.000,5.740,-1.370,0.000
Odisha,Ganjam,polasara,19,Madhupalli,0.000,22.500,13.030,9.420,0.000,0.000,22.450,0.050,0.000
Odisha,Ganjam,polasara,20,Malatentulia,0.000,25.540,25.230,0.000,0.000,0.000,25.230,0.310,1.000
Odisha,Ganjam,polasara,21,Mandar,0.000,20.380,15.230,5.160,0.000,0.000,20.390,-0.010,0.080
Odisha,Ganjam,polasara,22,Mathura,0.000,16.220,13.600,2.620,0.000,0.000,16.220,0.000,0.020
Odisha,Ganjam,polasara,23,Nimina,0.000,13.220,13.230,0.000,0.000,0.000,13.220,0.000,0.140
Odisha,Ganjam,polasara,24,Pandiripada,0.000,9.680,7.390,0.000,0.000,0.000,7.390,2.290,0.310
Odisha,Ganjam,polasara,25,Rumagada,0.000,11.150,7.390,3.760,0.000,0.000,11.150,0.000,0.000
Odisha,Ganjam,polasara,26,Sodaka,0.000,21.810,19.120,2.520,0.000,0.000,21.640,0.170,0.280
Odisha,Ganjam,polasara,,Total,0.000,341.780,277.770,63.690,0.000,0.000,341.470,0.310,3.110
Odisha,Ganjam,polasara,,Block Level Line Deptt.,0.000,0.000,525.360,129.750,1.080,0.250,656.440,-656.440,2.190
Odisha,Ganjam,polasara,,Po,0.000,577.480,0.000,NA,NA,35.460,35.460,542.020,NA
Odisha,Ganjam,polasara,,Grand Total,0.000,919.260,803.130,193.440,1.080,35.710,1033.370,-114.110,5.300
Odisha,Ganjam,Purusottampur,1,Achuli,0.000,20.010,19.300,0.710,0.000,0.000,20.010,0.000,0.150
Odisha,Ganjam,Purusottampur,2,Anatirigam,0.000,17.740,13.860,3.880,0.000,0.000,17.740,0.000,0.610
Odisha,Ganjam,Purusottampur,3,Arakhapur,0.000,3.350,1.810,1.530,0.000,0.000,3.350,0.000,0.080
Odisha,Ganjam,Purusottampur,4,Badabaragam,0.000,26.100,20.930,5.150,0.000,0.000,26.090,0.010,0.160
Odisha,Ganjam,Purusottampur,5,Badakharida,0.000,25.350,22.940,2.390,0.000,0.000,25.330,0.020,0.050
Odisha,Ganjam,Purusottampur,6,Baghala,0.000,12.660,11.980,0.670,0.000,0.000,12.650,0.010,0.220
Odisha,Ganjam,Purusottampur,7,bhatakumarada,0.000,36.550,27.700,8.850,0.000,0.000,36.550,0.010,0.010
Odisha,Ganjam,Purusottampur,8,Bhimpur,0.000,12.680,8.450,4.200,0.000,0.000,12.650,0.020,0.020
Odisha,Ganjam,Purusottampur,9,Bhutasarasingi,0.000,20.430,17.060,3.370,0.000,0.000,20.430,0.000,0.060
Odisha,Ganjam,Purusottampur,10,Chingudighai,0.000,15.460,14.320,1.090,0.000,0.000,15.410,0.050,0.080
Odisha,Ganjam,Purusottampur,11,Chingudipadar Nuagam,0.000,28.780,20.180,8.570,0.000,0.000,28.740,0.030,0.040
Odisha,Ganjam,Purusottampur,12,Gangadahani,0.000,24.490,15.120,9.370,0.000,0.000,24.490,0.000,0.830
Odisha,Ganjam,Purusottampur,13,Handighar,0.000,8.370,1.630,0.040,0.000,0.000,1.670,6.700,0.000
Odisha,Ganjam,Purusottampur,14,Jaganathapur,0.000,15.860,13.310,2.470,0.000,0.000,15.780,0.080,0.440
Odisha,Ganjam,Purusottampur,15,Jamuni,0.000,21.380,10.580,10.780,0.000,0.000,21.360,0.010,0.850
Odisha,Ganjam,Purusottampur,16,Jhadabai,0.000,42.860,36.880,5.700,0.000,0.000,42.580,0.280,1.110
Odisha,Ganjam,Purusottampur,17,Kama Nalinakhyapur,0.000,42.400,33.820,8.880,0.000,0.000,42.710,-0.310,0.320
Odisha,Ganjam,Purusottampur,18,Pandia,0.000,37.840,26.050,11.780,0.000,0.000,37.830,0.010,0.160
Odisha,Ganjam,Purusottampur,19,pratappur,0.000,26.060,19.620,6.190,0.000,0.000,25.810,0.250,0.480
Odisha,Ganjam,Purusottampur,20,Raipur,0.000,27.950,20.780,7.110,0.000,0.000,27.890,0.060,0.130
Odisha,Ganjam,Purusottampur,21,Ranajhali,0.000,28.010,22.260,5.760,0.000,0.000,28.010,0.000,0.030
Odisha,Ganjam,Purusottampur,22,Sama,0.000,24.420,17.260,7.190,0.000,0.000,24.450,-0.030,0.100
Odisha,Ganjam,Purusottampur,23,Sikula,0.000,21.050,17.870,3.180,0.000,0.000,21.050,0.000,0.030
Odisha,Ganjam,Purusottampur,24,Solaghara,0.000,4.620,3.770,0.810,0.000,0.000,4.580,0.030,0.250
Odisha,Ganjam,Purusottampur,25,Sunathara,0.000,28.820,27.000,1.780,0.000,0.000,28.780,0.040,0.160
Odisha,Ganjam,Purusottampur,26,Tankchai,0.000,22.900,19.050,4.240,0.000,0.000,23.290,-0.390,0.160
Odisha,Ganjam,Purusottampur,27,Laxmipur,,,,,,,,,
Odisha,Ganjam,Purusottampur,,Total,0.000,596.120,463.520,125.700,0.000,0.000,589.220,6.890,6.510
Odisha,Ganjam,Purusottampur,,Block Level Line Deptt.,0.000,0.000,106.280,107.370,1.130,0.320,215.110,-215.110,6.310
Odisha,Ganjam,Purusottampur,,Po,0.000,166.410,0.000,NA,NA,32.960,32.960,133.450,NA
Odisha,Ganjam,Purusottampur,,Grand Total,0.000,762.530,569.800,233.070,1.130,33.280,837.290,-74.770,12.820
Odisha,Ganjam,Rangailunda,1,Badakusastali,0.000,12.420,11.200,1.190,0.000,0.000,12.400,0.020,0.060
Odisha,Ganjam,Rangailunda,2,Bakshipalli,0.000,15.000,6.390,8.590,0.000,0.000,14.980,0.020,0.010
Odisha,Ganjam,Rangailunda,3,Bhabinipur,0.000,2.550,1.320,1.230,0.000,0.000,2.550,0.000,0.000
Odisha,Ganjam,Rangailunda,4,Biswanathpur,0.000,12.610,9.000,5.470,0.000,0.000,14.470,-1.860,0.210
Odisha,Ganjam,Rangailunda,5,Chandapur,0.000,2.420,1.440,0.980,0.000,0.000,2.420,0.000,0.040
Odisha,Ganjam,Rangailunda,6,Chikarada,0.000,3.270,1.010,2.250,0.000,0.000,3.260,0.010,0.040
Odisha,Ganjam,Rangailunda,7,Dura,0.000,1.510,1.230,0.270,0.000,0.000,1.500,0.010,0.000
Odisha,Ganjam,Rangailunda,8,Ganju,0.000,2.600,0.870,1.710,0.000,0.000,2.580,0.020,0.050
Odisha,Ganjam,Rangailunda,9,Golabandha,0.000,6.030,5.160,0.790,0.000,0.000,5.950,0.080,0.030
Odisha,Ganjam,Rangailunda,10,Golanthara,0.000,19.750,8.510,11.240,0.000,0.000,19.750,0.000,0.050
Odisha,Ganjam,Rangailunda,11,Haladiapadar,0.000,1.270,0.360,0.910,0.000,0.000,1.270,0.000,1.130
Odisha,Ganjam,Rangailunda,12,Hatipada,0.000,7.570,7.150,0.420,0.000,0.000,7.570,0.000,0.150
Odisha,Ganjam,Rangailunda,13,Indrakhi,0.000,9.340,9.180,0.160,0.000,0.000,9.340,0.000,0.000
Odisha,Ganjam,Rangailunda,14,Kamalapur,0.000,5.920,4.550,1.370,0.000,0.000,5.920,0.000,0.000
Odisha,Ganjam,Rangailunda,15,Kanisi,0.000,1.690,0.580,1.110,0.000,0.000,1.690,0.000,0.010
Odisha,Ganjam,Rangailunda,16,Karapalli,0.000,1.930,1.660,0.270,0.000,0.000,1.930,0.000,0.000
Odisha,Ganjam,Rangailunda,17,Keluapalli,0.000,8.780,5.630,3.140,0.000,0.000,8.770,0.010,0.150
Odisha,Ganjam,Rangailunda,18,Kolathigam,0.000,5.900,1.210,4.680,0.000,0.000,5.890,0.010,0.000
Odisha,Ganjam,Rangailunda,19,Kotharasingi,0.000,12.960,6.030,6.870,0.000,0.000,12.900,0.060,0.000
Odisha,Ganjam,Rangailunda,20,Laudigam,0.000,11.280,6.960,4.310,0.000,0.000,11.280,0.000,0.000
Odisha,Ganjam,Rangailunda,21,Luhajhar,0.000,4.190,3.340,0.850,0.000,0.000,4.190,0.000,0.050
Odisha,Ganjam,Rangailunda,22,Mantridi,0.000,21.590,19.180,2.390,0.000,0.000,21.560,0.030,0.110
Odisha,Ganjam,Rangailunda,23,Markandi,0.000,2.090,1.650,0.450,0.000,0.000,2.090,0.000,0.030
Odisha,Ganjam,Rangailunda,24,Mendrajpur,0.000,3.100,2.810,0.280,0.000,0.000,3.080,0.010,0.000
Odisha,Ganjam,Rangailunda,25,Narayanpur,0.000,0.080,0.080,0.000,0.000,0.000,0.080,0.000,0.000
Odisha,Ganjam,Rangailunda,26,Padmapur,0.000,3.510,2.950,0.560,0.000,0.000,3.510,0.000,0.080
Odisha,Ganjam,Rangailunda,27,Phulta,0.000,14.390,10.410,3.970,0.000,0.000,14.390,0.000,0.070
Odisha,Ganjam,Rangailunda,28,Randha,0.000,3.360,1.640,1.710,0.000,0.000,3.350,0.010,0.000
Odisha,Ganjam,Rangailunda,29,Rangeilunda,0.000,3.580,1.540,2.040,0.000,0.000,3.580,0.000,0.000
Odisha,Ganjam,Rangailunda,30,Rangipur,0.000,28.390,13.490,14.900,0.000,0.000,28.390,0.000,0.070
Odisha,Ganjam,Rangailunda,31,Sasanapadara,0.000,8.890,6.110,2.780,0.000,0.000,8.880,0.010,0.040
Odisha,Ganjam,Rangailunda,32,Satakutuni,0.000,4.500,3.830,0.670,0.000,0.000,4.500,0.000,0.010
Odisha,Ganjam,Rangailunda,,Total,0.000,242.460,156.470,87.550,0.000,0.000,244.030,-1.570,2.390
Odisha,Ganjam,Rangailunda,,Block Level Line Deptt.,0.000,0.000,396.670,397.670,1.580,0.500,796.430,-796.430,2.220
Odisha,Ganjam,Rangailunda,,Po,0.000,755.300,0.000,NA,NA,43.300,43.300,712.000,NA
Odisha,Ganjam,Rangailunda,,Grand Total,0.000,997.760,553.140,485.220,1.580,43.800,1083.760,-86.000,4.610
Odisha,Ganjam,Sanakhemundi,1,Adapada,0.000,22.130,15.290,6.800,0.000,0.000,22.090,0.050,0.000
Odisha,Ganjam,Sanakhemundi,2,Ambagam,0.000,4.330,4.290,0.000,0.000,0.000,4.290,0.040,0.040
Odisha,Ganjam,Sanakhemundi,3,Chhanameri,0.000,36.580,21.230,15.340,0.000,0.000,36.570,0.010,0.110
Odisha,Ganjam,Sanakhemundi,4,Chudangapur,0.000,13.790,12.230,1.560,0.000,0.000,13.790,0.000,0.000
Odisha,Ganjam,Sanakhemundi,5,Dayanidhipur,0.000,14.410,6.250,7.990,0.000,0.000,14.250,0.170,0.050
Odisha,Ganjam,Sanakhemundi,6,Dengadi,0.000,2.330,0.100,2.210,0.000,0.000,2.310,0.010,0.010
Odisha,Ganjam,Sanakhemundi,7,Erendra,0.000,4.560,2.850,1.620,0.000,0.000,4.470,0.090,0.000
Odisha,Ganjam,Sanakhemundi,8,Gangapur,0.000,26.600,21.520,4.370,0.000,0.000,25.900,0.700,0.190
Odisha,Ganjam,Sanakhemundi,9,Goutami,0.000,13.530,8.500,4.920,0.000,0.000,13.420,0.110,0.220
Odisha,Ganjam,Sanakhemundi,10,Jura,0.000,25.960,18.340,7.530,0.000,0.000,25.880,0.080,0.090
Odisha,Ganjam,Sanakhemundi,11,Kalarapadar,0.000,1.470,0.980,0.480,0.000,0.000,1.470,0.000,0.000
Odisha,Ganjam,Sanakhemundi,12,Kankarada,0.000,17.980,11.300,6.620,0.000,0.000,17.920,0.060,0.000
Odisha,Ganjam,Sanakhemundi,13,Kansamari,0.000,8.690,4.050,4.640,0.000,0.000,8.690,0.000,0.000
Odisha,Ganjam,Sanakhemundi,14,Kaudia,0.000,4.840,4.010,0.810,0.000,0.000,4.830,0.020,0.000
Odisha,Ganjam,Sanakhemundi,15,Khalingi,0.000,49.590,32.100,17.180,0.000,0.000,49.280,0.310,0.260
Odisha,Ganjam,Sanakhemundi,16,Maulabhanja,0.000,40.130,22.390,17.260,0.000,0.000,39.650,0.480,0.070
Odisha,Ganjam,Sanakhemundi,17,Padmapur,0.000,54.970,32.200,23.320,0.000,0.000,55.530,-0.560,0.440
Odisha,Ganjam,Sanakhemundi,18,Patapur,0.000,4.900,2.470,2.400,0.000,0.000,4.870,0.030,0.040
Odisha,Ganjam,Sanakhemundi,19,Pattiguda,0.000,37.100,19.740,17.310,0.010,0.000,37.060,0.040,0.030
Odisha,Ganjam,Sanakhemundi,20,Podamari,0.000,50.790,32.670,15.110,0.000,0.000,47.780,3.010,0.080
Odisha,Ganjam,Sanakhemundi,21,Radhadeipur,0.000,4.360,2.050,2.300,0.000,0.000,4.350,0.010,0.000
Odisha,Ganjam,Sanakhemundi,22,Ramachandrapur,0.000,4.680,4.450,0.180,0.000,0.000,4.630,0.060,0.080
Odisha,Ganjam,Sanakhemundi,23,Sahaspur,0.000,12.560,11.230,1.300,0.000,0.000,12.530,0.030,0.000
Odisha,Ganjam,Sanakhemundi,24,Satapentha Gopalpur,0.000,40.790,24.800,15.710,0.000,0.000,40.500,0.290,0.000
Odisha,Ganjam,Sanakhemundi,25,Singipur,0.000,50.890,31.360,19.480,0.000,0.000,50.850,0.050,0.000
Odisha,Ganjam,Sanakhemundi,26,T.Gobindapur,0.000,97.910,65.990,31.500,0.000,0.000,97.490,0.420,0.480
Odisha,Ganjam,Sanakhemundi,,Total,0.000,645.880,412.400,227.950,0.010,0.000,640.370,5.510,2.210
Odisha,Ganjam,Sanakhemundi,,Block Level Line Deptt.,0.000,0.000,219.730,135.890,1.260,0.750,357.640,-357.640,0.820
Odisha,Ganjam,Sanakhemundi,,Po,0.000,322.480,0.000,NA,NA,36.890,36.890,285.590,NA
Odisha,Ganjam,Sanakhemundi,,Grand Total,0.000,968.360,632.130,363.840,1.270,37.640,1034.900,-66.540,3.030
Odisha,Ganjam,Sheragada,1,Alarigada,0.000,20.390,15.460,4.910,0.000,0.000,20.370,0.030,0.040
Odisha,Ganjam,Sheragada,2,Bandhaguda,0.000,18.680,17.940,0.720,0.000,0.000,18.660,0.020,0.000
Odisha,Ganjam,Sheragada,3,Baramunduli,0.000,18.680,14.650,4.000,0.000,0.000,18.660,0.020,1.120
Odisha,Ganjam,Sheragada,4,Brahmanachai,0.000,20.280,16.130,4.100,0.000,0.000,20.240,0.050,0.120
Odisha,Ganjam,Sheragada,5,Dengapadara,0.000,6.790,5.080,1.680,0.000,0.000,6.760,0.040,0.010
Odisha,Ganjam,Sheragada,6,Dhabalapur,0.000,12.570,9.860,2.660,0.000,0.000,12.530,0.050,0.000
Odisha,Ganjam,Sheragada,7,Dhanantara,0.000,70.640,48.060,22.560,0.000,0.000,70.620,0.020,0.310
