g_ac_id,g_ac,g_block,g_gp,g_district,g_pc,g_match_id
2,2 bijepur,barpali,agalpur,baragarh,bargarh,103
2,2 bijepur,barpali,bandhpali,baragarh,bargarh,104
2,2 bijepur,barpali,barguda,baragarh,bargarh,105
2,2 bijepur,barpali,bhatigaon,baragarh,bargarh,106
2,2 bijepur,barpali,gopeipali,baragarh,bargarh,107
2,2 bijepur,barpali,kainsir,baragarh,bargarh,108
2,2 bijepur,barpali,khemasara,baragarh,bargarh,109
2,2 bijepur,barpali,mahada,baragarh,bargarh,110
2,2 bijepur,barpali,raxa,baragarh,bargarh,111
2,2 bijepur,barpali,remta,baragarh,bargarh,112
2,2 bijepur,barpali,satalama,baragarh,bargarh,113
2,2 bijepur,barpali,tileimal,baragarh,bargarh,114
2,2 bijepur,barpali,kumbhari,baragarh,bargarh,115
2,2 bijepur,barpali,tinkani,baragarh,bargarh,116
2,2 bijepur,barpali,tulandi,baragarh,bargarh,117
3,3 bargarh,barpali,bagbadi,baragarh,bargarh,118
3,3 bargarh,barpali,baramkela,baragarh,bargarh,119
3,3 bargarh,barpali,kanbar,baragarh,bargarh,120
3,3 bargarh,barpali,katapali,baragarh,bargarh,121
3,3 bargarh,barpali,kusanpuri,baragarh,bargarh,122
3,3 bargarh,barpali,lemda,baragarh,bargarh,123
3,3 bargarh,barpali,mahulpali,baragarh,bargarh,124
3,3 bargarh,bargarh,adgaon,baragarh,bargarh,125
3,3 bargarh,bargarh,bardol,baragarh,bargarh,126
3,3 bargarh,bargarh,bargaon,baragarh,bargarh,127
3,3 bargarh,bargarh,barhagoda,baragarh,bargarh,128
3,3 bargarh,bargarh,birmal,baragarh,bargarh,129
3,3 bargarh,bargarh,bonda,baragarh,bargarh,130
3,3 bargarh,bargarh,chakarkend,baragarh,bargarh,131
3,3 bargarh,bargarh,deogaon,baragarh,bargarh,132
3,3 bargarh,bargarh,dhanger,baragarh,bargarh,133
3,3 bargarh,bargarh,gaisama,baragarh,bargarh,134
3,3 bargarh,bargarh,gobindapur,baragarh,bargarh,135
3,3 bargarh,bargarh,gudesira,baragarh,bargarh,136
3,3 bargarh,bargarh,jumurda,baragarh,bargarh,137
3,3 bargarh,bargarh,kalapani,baragarh,bargarh,138
3,3 bargarh,bargarh,katapali,baragarh,bargarh,139
3,3 bargarh,bargarh,khaliapali,baragarh,bargarh,140
3,3 bargarh,bargarh,khandtha,baragarh,bargarh,141
3,3 bargarh,bargarh,khuntpali,baragarh,bargarh,142
3,3 bargarh,bargarh,kuruan,baragarh,bargarh,143
3,3 bargarh,bargarh,n.jampali,baragarh,bargarh,144
3,3 bargarh,bargarh,nileswar,baragarh,bargarh,145
3,3 bargarh,bargarh,patharla,baragarh,bargarh,146
3,3 bargarh,bargarh,s.dumerpali,baragarh,bargarh,147
3,3 bargarh,bargarh,sarsara,baragarh,bargarh,148
3,3 bargarh,bargarh,talsirgida,baragarh,bargarh,149
3,3 bargarh,bargarh,tora,baragarh,bargarh,150
3,3 bargarh,bargarh,tumgaon,baragarh,bargarh,151
4,4 attabira (sc),attabira,amlipali,baragarh,bargarh,152
4,4 attabira (sc),attabira,bugbuga,baragarh,bargarh,153
4,4 attabira (sc),attabira,chakuli,baragarh,bargarh,154
4,4 attabira (sc),attabira,dulampur,baragarh,bargarh,155
4,4 attabira (sc),attabira,godbhaga,baragarh,bargarh,156
4,4 attabira (sc),attabira,hirlipali,baragarh,bargarh,157
4,4 attabira (sc),attabira,janged,baragarh,bargarh,158
4,4 attabira (sc),attabira,janhapada,baragarh,bargarh,159
4,4 attabira (sc),attabira,jhiliminda,baragarh,bargarh,160
4,4 attabira (sc),attabira,kadobahal,baragarh,bargarh,161
4,4 attabira (sc),attabira,kharamunda,baragarh,bargarh,162
4,4 attabira (sc),attabira,kulitatukura,baragarh,bargarh,163
4,4 attabira (sc),attabira,kulunda,baragarh,bargarh,164
4,4 attabira (sc),attabira,kumelsingha,baragarh,bargarh,165
4,4 attabira (sc),attabira,lachida,baragarh,bargarh,166
4,4 attabira (sc),attabira,lahanda,baragarh,bargarh,167
4,4 attabira (sc),attabira,larambha,baragarh,bargarh,168
4,4 attabira (sc),attabira,larasara,baragarh,bargarh,169
4,4 attabira (sc),attabira,manapara,baragarh,bargarh,170
4,4 attabira (sc),attabira,paharsrigida,baragarh,bargarh,171
4,4 attabira (sc),attabira,silat,baragarh,bargarh,172
4,4 attabira (sc),attabira,tamparsara,baragarh,bargarh,173
4,4 attabira (sc),attabira,tangarpali,baragarh,bargarh,174
4,4 attabira (sc),attabira,tope,baragarh,bargarh,175
4,4 attabira (sc),bheden,ainlapali,baragarh,bargarh,176
4,4 attabira (sc),bheden,areigudi,baragarh,bargarh,177
4,4 attabira (sc),bheden,arjunda,baragarh,bargarh,178
4,4 attabira (sc),bheden,bakti,baragarh,bargarh,179
4,4 attabira (sc),bheden,bheden,baragarh,bargarh,180
4,4 attabira (sc),bheden,chichinda,baragarh,bargarh,181
4,4 attabira (sc),bheden,dalab,baragarh,bargarh,182
4,4 attabira (sc),bheden,deshbhatli,baragarh,bargarh,183
4,4 attabira (sc),bheden,kubedega,baragarh,bargarh,184
4,4 attabira (sc),bheden,luhakhandi,baragarh,bargarh,185
4,4 attabira (sc),bheden,lupursingha,baragarh,bargarh,186
4,4 attabira (sc),bheden,mahulpali,baragarh,bargarh,187
4,4 attabira (sc),bheden,manpur,baragarh,bargarh,188
4,4 attabira (sc),bheden,papanga,baragarh,bargarh,189
4,4 attabira (sc),bheden,remunda,baragarh,bargarh,190
4,4 attabira (sc),bheden,reshma,baragarh,bargarh,191
4,4 attabira (sc),bheden,rusuda,baragarh,bargarh,192
4,4 attabira (sc),bheden,sankirda,baragarh,bargarh,193
4,4 attabira (sc),bheden,sialkhandtha,baragarh,bargarh,194
4,4 attabira (sc),bheden,sunalarambha,baragarh,bargarh,195
4,4 attabira (sc),bheden,talmenda,baragarh,bargarh,196
5,5 bhatli,sohella,bausenmura,baragarh,bargarh,197
5,5 bhatli,sohella,beherapali,baragarh,bargarh,198
5,5 bhatli,sohella,bijapali,baragarh,bargarh,199
5,5 bhatli,sohella,birjam,baragarh,bargarh,200
5,5 bhatli,sohella,chhuriapali,baragarh,bargarh,201
5,5 bhatli,sohella,dumberpali,baragarh,bargarh,202
5,5 bhatli,sohella,garvana,baragarh,bargarh,203
5,5 bhatli,sohella,ghess,baragarh,bargarh,204
5,5 bhatli,sohella,jatla,baragarh,bargarh,205
5,5 bhatli,sohella,jhar,baragarh,bargarh,206
5,5 bhatli,sohella,kalangapali,baragarh,bargarh,207
5,5 bhatli,sohella,kanapali,baragarh,bargarh,208
5,5 bhatli,sohella,kangoan,baragarh,bargarh,209
5,5 bhatli,sohella,karandols,baragarh,bargarh,210
5,5 bhatli,sohella,kuchipali,baragarh,bargarh,211
5,5 bhatli,sohella,lebidi,baragarh,bargarh,212
5,5 bhatli,sohella,pandkipali,baragarh,bargarh,213
5,5 bhatli,sohella,panimura,baragarh,bargarh,214
5,5 bhatli,sohella,petupali,baragarh,bargarh,215
5,5 bhatli,sohella,rengali,baragarh,bargarh,216
