SL NO. for AC,AC,ULB,Wards of ULBs,District,PCs,Sl. No. of PCs,Notified Area Council (NAC),Municipality (M),Municipal Corporation (MC),Outgrowth (OG)
33,33 Baripada (ST),Baripada (M),Baripada (M) - Ward No.4,Mayurbhanj,Mayurbhanj (ST),5,Baripada (M),,,
33,33 Baripada (ST),Baripada (M),Baripada (M) - Ward No.5,Mayurbhanj,Mayurbhanj (ST),5,Baripada (M),,,
33,33 Baripada (ST),Baripada (M),Baripada (M) - Ward No.6,Mayurbhanj,Mayurbhanj (ST),5,Baripada (M),,,
33,33 Baripada (ST),Baripada (M),Baripada (M) - Ward No.7,Mayurbhanj,Mayurbhanj (ST),5,Baripada (M),,,
33,33 Baripada (ST),Baripada (M),Baripada (M) - Ward No.8,Mayurbhanj,Mayurbhanj (ST),5,Baripada (M),,,
33,33 Baripada (ST),Baripada (M),Baripada (M) - Ward No.9,Mayurbhanj,Mayurbhanj (ST),5,Baripada (M),,,
33,33 Baripada (ST),Baripada (M),Podaastia Business Centre Area (OG) E.Block No. 178-183 and 198 - Ward No.26,Mayurbhanj,Mayurbhanj (ST),5,Baripada (M),,,
33,33 Baripada (ST),Baripada (M),Subarnarekha Irrigation Project Colony Area (OG) E.Block No. 95-98 and 189 - Ward No.27,Mayurbhanj,Mayurbhanj (ST),5,Baripada (M),,,
35,35 Jaleswar,Jaleswar (NAC),Jaleswar (M) - Ward No.1,Balasore,Balasore,6,Jaleswar (NAC),,,
35,35 Jaleswar,Jaleswar (NAC),Jaleswar (M) - Ward No.10,Balasore,Balasore,6,Jaleswar (NAC),,,
35,35 Jaleswar,Jaleswar (NAC),Jaleswar (M) - Ward No.11,Balasore,Balasore,6,Jaleswar (NAC),,,
35,35 Jaleswar,Jaleswar (NAC),Jaleswar (M) - Ward No.12,Balasore,Balasore,6,Jaleswar (NAC),,,
35,35 Jaleswar,Jaleswar (NAC),Jaleswar (M) - Ward No.13,Balasore,Balasore,6,Jaleswar (NAC),,,
35,35 Jaleswar,Jaleswar (NAC),Jaleswar (M) - Ward No.14,Balasore,Balasore,6,Jaleswar (NAC),,,
35,35 Jaleswar,Jaleswar (NAC),Jaleswar (M) - Ward No.15,Balasore,Balasore,6,Jaleswar (NAC),,,
35,35 Jaleswar,Jaleswar (NAC),Jaleswar (M) - Ward No.16,Balasore,Balasore,6,Jaleswar (NAC),,,
35,35 Jaleswar,Jaleswar (NAC),Jaleswar (M) - Ward No.17,Balasore,Balasore,6,Jaleswar (NAC),,,
35,35 Jaleswar,Jaleswar (NAC),Jaleswar (M) - Ward No.2,Balasore,Balasore,6,Jaleswar (NAC),,,
35,35 Jaleswar,Jaleswar (NAC),Jaleswar (M) - Ward No.3,Balasore,Balasore,6,Jaleswar (NAC),,,
35,35 Jaleswar,Jaleswar (NAC),Jaleswar (M) - Ward No.4,Balasore,Balasore,6,Jaleswar (NAC),,,
35,35 Jaleswar,Jaleswar (NAC),Jaleswar (M) - Ward No.5,Balasore,Balasore,6,Jaleswar (NAC),,,
35,35 Jaleswar,Jaleswar (NAC),Jaleswar (M) - Ward No.6,Balasore,Balasore,6,Jaleswar (NAC),,,
35,35 Jaleswar,Jaleswar (NAC),Jaleswar (M) - Ward No.7,Balasore,Balasore,6,Jaleswar (NAC),,,
35,35 Jaleswar,Jaleswar (NAC),Jaleswar (M) - Ward No.8,Balasore,Balasore,6,Jaleswar (NAC),,,
35,35 Jaleswar,Jaleswar (NAC),Jaleswar (M) - Ward No.9,Balasore,Balasore,6,Jaleswar (NAC),,,
38,38 Balasore,Balasore (M),"Baleshwar Industrial Estate (OG) E. Block No. 188-196, 211-216 - Ward No.32",Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),"Baleshwar Industrial Estate (OG) E. Block No. 188-196, 211-216 - Ward No.33",Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),"Baleshwar Industrial Estate (OG) E. Block No. 188-196, 211-216 - Ward No.34",Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),"Baleshwar Industrial Estate (OG) E. Block No. 188-196, 211-216 - Ward No.35",Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),"Baleshwar Industrial Estate (OG) E. Block No. 188-196, 211-216 - Ward No.36",Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),"Baleshwar Industrial Estate (OG) E. Block No. 188-196, 211-216 - Ward No.37",Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),"Baleshwar Industrial Estate (OG) E. Block No. 188-196, 211-216 - Ward No.38",Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar Industrial Estate (OG) E. Block No. 197-210 and 231 - Ward No.39,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar Industrial Estate (OG) E. Block No. 197-210 and 231 - Ward No.40,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar Industrial Estate (OG) E. Block No. 197-210 and 231 - Ward No.41,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar Industrial Estate (OG) E. Block No. 197-210 and 231 - Ward No.42,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),"Baleshwar Industrial Estate (OG) E. Block No. 217-219, 225,226 - Ward No.47",Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),"Baleshwar Industrial Estate (OG) E. Block No. 217-219, 225,226 - Ward No.48",Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),"Baleshwar Industrial Estate (OG) E. Block No. 217-219, 225,226 - Ward No.50",Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),"Baleshwar Industrial Estate (OG) E. Block No. 217-219, 225,226 - Ward No.51",Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),"Baleshwar Industrial Estate (OG) E. Block No. 220-224, 227,229,230 and 234 - Ward No.43",Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),"Baleshwar Industrial Estate (OG) E. Block No. 220-224, 227,229,230 and 234 - Ward No.44",Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),"Baleshwar Industrial Estate (OG) E. Block No. 220-224, 227,229,230 and 234 - Ward No.45",Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),"Baleshwar Industrial Estate (OG) E. Block No. 220-224, 227,229,230 and 234 - Ward No.46",Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),"Baleshwar Industrial Estate (OG) E. Block No. 220-224, 227,229,230 and 234 - Ward No.49",Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),"Baleshwar Industrial Estate (OG) E. Block No. 220-224, 227,229,230 and 234 - Ward No.52",Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.1,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.10,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.11,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.12,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.13,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.14,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.15,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.16,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.17,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.18,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.19,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.2,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.20,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.21,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.22,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.23,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.24,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.25,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.26,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.27,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.28,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.29,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.3,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.30,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.31,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.4,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.5,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.6,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.7,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.8,Balasore,Balasore,6,,Balasore (M),,
38,38 Balasore,Balasore (M),Baleshwar (M) - Ward No.9,Balasore,Balasore,6,,Balasore (M),,
40,40 Nilgiri,Nilgiri (NAC),Nilagiri (NAC) - Ward No.1,Balasore,Balasore,6,Nilgiri (NAC),,,
40,40 Nilgiri,Nilgiri (NAC),Nilagiri (NAC) - Ward No.10,Balasore,Balasore,6,Nilgiri (NAC),,,
40,40 Nilgiri,Nilgiri (NAC),Nilagiri (NAC) - Ward No.11,Balasore,Balasore,6,Nilgiri (NAC),,,
40,40 Nilgiri,Nilgiri (NAC),Nilagiri (NAC) - Ward No.12,Balasore,Balasore,6,Nilgiri (NAC),,,
40,40 Nilgiri,Nilgiri (NAC),Nilagiri (NAC) - Ward No.13,Balasore,Balasore,6,Nilgiri (NAC),,,
40,40 Nilgiri,Nilgiri (NAC),Nilagiri (NAC) - Ward No.2,Balasore,Balasore,6,Nilgiri (NAC),,,
40,40 Nilgiri,Nilgiri (NAC),Nilagiri (NAC) - Ward No.3,Balasore,Balasore,6,Nilgiri (NAC),,,
40,40 Nilgiri,Nilgiri (NAC),Nilagiri (NAC) - Ward No.4,Balasore,Balasore,6,Nilgiri (NAC),,,
40,40 Nilgiri,Nilgiri (NAC),Nilagiri (NAC) - Ward No.5,Balasore,Balasore,6,Nilgiri (NAC),,,
40,40 Nilgiri,Nilgiri (NAC),Nilagiri (NAC) - Ward No.6,Balasore,Balasore,6,Nilgiri (NAC),,,
40,40 Nilgiri,Nilgiri (NAC),Nilagiri (NAC) - Ward No.7,Balasore,Balasore,6,Nilgiri (NAC),,,
40,40 Nilgiri,Nilgiri (NAC),Nilagiri (NAC) - Ward No.8,Balasore,Balasore,6,Nilgiri (NAC),,,
40,40 Nilgiri,Nilgiri (NAC),Nilagiri (NAC) - Ward No.9,Balasore,Balasore,6,Nilgiri (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.1,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.10,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.11,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.12,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.13,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.14,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.15,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.16,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.17,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.18,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.19,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.2,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.3,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.4,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.5,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.6,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.7,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.8,Balasore,Bhadrak (SC),7,Soro (NAC),,,
41,41 Soro (SC),Soro (NAC),Soro (M) - Ward No.9,Balasore,Bhadrak (SC),7,Soro (NAC),,,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.1,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.10,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.11,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.12,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.13,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.14,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.15,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.16,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.17,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.18,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.19,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.2,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.20,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.21,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.22,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.23,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.24,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.25,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.26,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.27,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak(M) - Ward No. 28,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak(M) - Ward No. 29,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.3,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak(M) - Ward No. 30,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.4,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.5,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.6,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.7,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.8,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
44,44 Bhadrak,Bhadrak (M),Bhadrak (M) - Ward No.9,Bhadrak,Bhadrak (SC),7,,Bhadrak (M),,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No.1,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No.10,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No.11,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No.12,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No.13,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No.14,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No.15,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No.16,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No.17,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No. 18,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No. 19,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No.2,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No. 20,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No. 21,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No. 22,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No. 23,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No.3,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No.4,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No.5,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No.6,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No.7,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No.8,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
45,45 Basudevpur,Basudevpur (NAC),Basudebpur (M) - Ward No.9,Bhadrak,Bhadrak (SC),7,Basudevpur (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dhamnagar (NAC) - Ward No. 1,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dhamnagar (NAC) - Ward No. 10,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dhamnagar (NAC) - Ward No. 11,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dhamnagar (NAC) - Ward No. 2,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dhamnagar (NAC) - Ward No. 3,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dhamnagar (NAC) - Ward No. 4,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dhamnagar (NAC) - Ward No. 5,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dhamnagar (NAC) - Ward No. 6,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dhamnagar (NAC) - Ward No. 7,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dhamnagar (NAC) - Ward No. 8,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dhamnagar (NAC) - Ward No. 9,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dharamgarh (NAC) - Ward No. 1,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dharamgarh (NAC) - Ward No. 10,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dharamgarh (NAC) - Ward No. 11,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dharamgarh (NAC) - Ward No. 12,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dharamgarh (NAC) - Ward No. 13,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dharamgarh (NAC) - Ward No. 14,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dharamgarh (NAC) - Ward No. 2,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dharamgarh (NAC) - Ward No. 3,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dharamgarh (NAC) - Ward No. 4,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dharamgarh (NAC) - Ward No. 5,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dharamgarh (NAC) - Ward No. 6,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dharamgarh (NAC) - Ward No. 7,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dharamgarh (NAC) - Ward No. 8,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
46,46 Dhamnagar,Dhamnagar (NAC),Dharamgarh (NAC) - Ward No. 9,Bhadrak,Bhadrak (SC),7,Dhamnagar (NAC),,,
47,47 Chandabal,Chandbali (NAC),Chandbali (NAC) - Ward No. 1,Bhadrak,Bhadrak (SC),7,Chandbali (NAC),,,
47,47 Chandabal,Chandbali (NAC),Chandbali (NAC) - Ward No. 10,Bhadrak,Bhadrak (SC),7,Chandbali (NAC),,,
47,47 Chandabal,Chandbali (NAC),Chandbali (NAC) - Ward No. 11,Bhadrak,Bhadrak (SC),7,Chandbali (NAC),,,
47,47 Chandabal,Chandbali (NAC),Chandbali (NAC) - Ward No. 12,Bhadrak,Bhadrak (SC),7,Chandbali (NAC),,,
47,47 Chandabal,Chandbali (NAC),Chandbali (NAC) - Ward No. 13,Bhadrak,Bhadrak (SC),7,Chandbali (NAC),,,
47,47 Chandabal,Chandbali (NAC),Chandbali (NAC) - Ward No. 14,Bhadrak,Bhadrak (SC),7,Chandbali (NAC),,,
47,47 Chandabal,Chandbali (NAC),Chandbali (NAC) - Ward No. 15,Bhadrak,Bhadrak (SC),7,Chandbali (NAC),,,
47,47 Chandabal,Chandbali (NAC),Chandbali (NAC) - Ward No. 2,Bhadrak,Bhadrak (SC),7,Chandbali (NAC),,,
47,47 Chandabal,Chandbali (NAC),Chandbali (NAC) - Ward No. 3,Bhadrak,Bhadrak (SC),7,Chandbali (NAC),,,
47,47 Chandabal,Chandbali (NAC),Chandbali (NAC) - Ward No. 4,Bhadrak,Bhadrak (SC),7,Chandbali (NAC),,,
47,47 Chandabal,Chandbali (NAC),Chandbali (NAC) - Ward No. 5,Bhadrak,Bhadrak (SC),7,Chandbali (NAC),,,
47,47 Chandabal,Chandbali (NAC),Chandbali (NAC) - Ward No. 6,Bhadrak,Bhadrak (SC),7,Chandbali (NAC),,,
47,47 Chandabal,Chandbali (NAC),Chandbali (NAC) - Ward No. 7,Bhadrak,Bhadrak (SC),7,Chandbali (NAC),,,
47,47 Chandabal,Chandbali (NAC),Chandbali (NAC) - Ward No. 8,Bhadrak,Bhadrak (SC),7,Chandbali (NAC),,,
47,47 Chandabal,Chandbali (NAC),Chandbali (NAC) - Ward No. 9,Bhadrak,Bhadrak (SC),7,Chandbali (NAC),,,
