SL NO. for AC,AC,Blocks,Gram Panchayats,Notified Area Council (NAC),Municipality (M),Municipal Corporation (MC),Outgrowth (OG),Wards of ULBs,District,Sl. No. of PCs,PCs,REMARKS
1,1 Padampur,,,Padampur (NAC),,,,Padmapur (NAC) - Ward No.6,Baragarh,1,Bargarh,
1,1 Padampur,,,Padampur (NAC),,,,Padmapur (NAC) - Ward No.7,Baragarh,1,Bargarh,
1,1 Padampur,,,Padampur (NAC),,,,Padmapur (NAC) - Ward No.8,Baragarh,1,Bargarh,
1,1 Padampur,,,Padampur (NAC),,,,Padmapur (NAC) - Ward No.9,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,BUROMUNDA,,,,,,Baragarh,1,Bargarh,The AC consists of 2 entire Blocks of Gaisilet and Bijepur and parts of Barpali block.
2,2 Bijepur,Gaisilet,CHANTIPALI,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,CHIKHILI,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,DANGBAHAL,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,FIRINGIMAL,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,GAJSILET,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,GANIAPALI,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,GAURAMUNDA,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,GUDERPALI,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,JAGALPAT,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,JAMUTPALI,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,KANDAGAD,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,KATABAHAL,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,KATHAUMAL,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,KUNDAKHAI,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,RAISALPADAR,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,SANDHIBAHAL,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,SARDHAPALI,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Gaisilet,TALPALI,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,BADABAUNSEN,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,BADBRAHMANI,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,BAIRAKHAPALI,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,BARMUNDA,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,BENIACHAL,,,,,,Baragarh,1,Bargarh,
2,2 Bijepur,Bijepur,BHATIGAON,,,,,,Baragarh,1,Bargarh,
