SL NO. for AC,AC,Blocks,Gram Panchayats,Notified Area Council (NAC),Municipality (M),Municipal Corporation (MC),Outgrowth (OG),Wards of ULBs,District,Sl. No. of PCs,PCs,REMARKS
28,28 Rairangpur (ST),Rairangpur,BHALUBASA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),Rairangpur,GUHALDANGRI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),Rairangpur,HALDA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),Rairangpur,HATIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),Rairangpur,KULEISILA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),Rairangpur,PURUNAPANI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),Rairangpur,SANPAKHANA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),Rairangpur,SUDARSANPUR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),,,Rairangpur (NAC),,,,Rairangpur (M) - Ward No.1,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),,,Rairangpur (NAC),,,,Rairangpur (M) - Ward No.10,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),,,Rairangpur (NAC),,,,Rairangpur (M) - Ward No.11,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),,,Rairangpur (NAC),,,,Rairangpur (M) - Ward No.12,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),,,Rairangpur (NAC),,,,Rairangpur (M) - Ward No.13,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),,,Rairangpur (NAC),,,,Rairangpur (M) - Ward No.14,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),,,Rairangpur (NAC),,,,Rairangpur (M) - Ward No.15,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),,,Rairangpur (NAC),,,,Rairangpur (M) - Ward No.2,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),,,Rairangpur (NAC),,,,Rairangpur (M) - Ward No.3,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),,,Rairangpur (NAC),,,,Rairangpur (M) - Ward No.4,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),,,Rairangpur (NAC),,,,Rairangpur (M) - Ward No.5,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),,,Rairangpur (NAC),,,,Rairangpur (M) - Ward No.6,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),,,Rairangpur (NAC),,,,Rairangpur (M) - Ward No.7,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),,,Rairangpur (NAC),,,,Rairangpur (M) - Ward No.8,Mayurbhanj,5,Mayurbhanj (ST),
28,28 Rairangpur (ST),,,Rairangpur (NAC),,,,Rairangpur (M) - Ward No.9,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Shamakhunta,BALIDIHA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),"AC consists of three entire blocks of Shamakhunta, Bangriposi and Kuliana. "
29,29 Bangriposi (ST),Shamakhunta,BAUNSABILLA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Shamakhunta,BHALUKI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Shamakhunta,GUNDIHUDI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Shamakhunta,KALAPATHAR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Shamakhunta,KENDUA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Shamakhunta,KHANDIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Shamakhunta,KUCHILAGHATI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Shamakhunta,MAHULIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Shamakhunta,PAIKABASA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Shamakhunta,RANGAMATIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Shamakhunta,SAMAKHUNTA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Shamakhunta,SINDURGOURA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Shamakhunta,SIRISHBANI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,BADAGAN,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,BANAKATI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,BANGRIPOSI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,BHUASUNI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,BRAHMANGAN,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,BUDHIKHAMARI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,Chakidi,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,CHANDANPUR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,DHOBANISOLE,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,DIGHI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,GOLAMUNDAKATA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,KALABADIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,KUMBHARMUNDAKATA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,KUSUMBANDHA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,NAFRI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,NISCHINTA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,PATHURI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,SORISPAL,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Bangriposi,SYAMSUNDARPUR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Kuliana,BAIGANBADIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Kuliana,BHAGABANPUR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Kuliana,CHANDUA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Kuliana,DUMURDIHA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Kuliana,GANGRAJ,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Kuliana,GENDAPOKHARI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Kuliana,GOUDARUMA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Kuliana,KEUTUNIMARI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Kuliana,KUABUDA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Kuliana,KUCHEI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Kuliana,KULIANA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Kuliana,MARANGTANDI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Kuliana,NODHANA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Kuliana,PARULIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Kuliana,PATIHINJA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Kuliana,PURUNAPANI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
29,29 Bangriposi (ST),Kuliana,SARAGACHHIDA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Udala,BADKHAMAN,,,,,,Mayurbhanj,5,Mayurbhanj (ST),"AC consists of two entire blocks of Udala and Gopabandhu Nagar, parts of Kaptipada block and Udala NAC."
31,31 Udala (ST),Udala,BAD-SINGARIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Udala,BAHUBANDH,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Udala,BHIMTALI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Udala,Dugudha,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Udala,KHALADI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Udala,KOCHILADIHA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Udala,KUNDABAI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Udala,NUAGAON,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Udala,PATSANIPUR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Udala,RADHO,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Udala,SRIDAMCHANDRAPUR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Gopabandhu Nagar,ARAPATA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Gopabandhu Nagar,BARADIHI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Gopabandhu Nagar,BHANDGAN,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Gopabandhu Nagar,JAYPUR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Gopabandhu Nagar,KUAMARA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Gopabandhu Nagar,KUSALDA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Gopabandhu Nagar,PASUDA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Gopabandhu Nagar,PURUNA-BARIPADA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Gopabandhu Nagar,RANIBANDHA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Gopabandhu Nagar,SAINKULA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Gopabandhu Nagar,SANKHUNTA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Gopabandhu Nagar,SILAGHATY,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Gopabandhu Nagar,TITIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),,,Udala (NAC),,,,Udala (NAC) - Ward No.1,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),,,Udala (NAC),,,,Udala (NAC) - Ward No.10,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),,,Udala (NAC),,,,Udala (NAC) - Ward No.11,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),,,Udala (NAC),,,,Udala (NAC) - Ward No.12,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),,,Udala (NAC),,,,Udala (NAC) - Ward No.2,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),,,Udala (NAC),,,,Udala (NAC) - Ward No.3,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),,,Udala (NAC),,,,Udala (NAC) - Ward No.4,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),,,Udala (NAC),,,,Udala (NAC) - Ward No.5,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),,,Udala (NAC),,,,Udala (NAC) - Ward No.6,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),,,Udala (NAC),,,,Udala (NAC) - Ward No.7,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),,,Udala (NAC),,,,Udala (NAC) - Ward No.8,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),,,Udala (NAC),,,,Udala (NAC) - Ward No.9,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Kaptipada,BAD BISOLE,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Kaptipada,BAD KHALADI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Kaptipada,BADGUDUGUDIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Kaptipada,CHAKRADHARPUR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Kaptipada,DEBLA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Kaptipada,JADIDA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Kaptipada,JAMBANI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Kaptipada,JAYANTIPATA-SAMIL-JAMDIHA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Kaptipada,JHINKPADA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Kaptipada,KAPTIPADA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Kaptipada,KOLIALAM,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Kaptipada,MAJHIGADIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Kaptipada,MANKADAPADA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Kaptipada,NUDADIHA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Kaptipada,PEDAGADI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Kaptipada,PINGU,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
31,31 Udala (ST),Kaptipada,SALCHUA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Khunta,BADFENI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),"AC consists of two entire blocks of Khunta and Baripada, parts of Badasahi block and Baripada municipality."
33,33 Baripada (ST),Khunta,BADPATHARA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Khunta,BAHANADA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Khunta,BANGARA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Khunta,BASIPITHA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Khunta,BHOLAGADIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Khunta,BRUNDABANCHANDRAPUR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Khunta,DENGAM,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Khunta,DUKURA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Khunta,GADIGAON,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Khunta,GHANGHERA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Khunta,KARKACHIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Khunta,LAXANASAHI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Khunta,SAPANCHUA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Baripada,BADJODE,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Baripada,BANKISOLE,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Baripada,BETNA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Baripada,BHAGBATCHANDRAPUR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Baripada,BUDHIKHAMARI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Baripada,CHANDANPUR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Baripada,HATIKOTE,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Baripada,KHADISOLE,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Baripada,LAXMIPOSI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Baripada,RAJABASA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Baripada,SANKHABHANGA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.1,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.10,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.11,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.12,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.13,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.14,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.15,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.16,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.17,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.18,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.19,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.2,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.20,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.21,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.22,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.23,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.24,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.25,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No. 28,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.3,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.4,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.5,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.6,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.7,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.8,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Baripada (M) - Ward No.9,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Podaastia Business Centre Area (OG) E.Block No. 178-183 and 198 - Ward No.26,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),,,Baripada (M),,,,Subarnarekha Irrigation Project Colony Area (OG) E.Block No. 95-98 and 189 - Ward No.27,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Badasahi,Gudialbandh,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Badasahi,JADUNATHPUR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Badasahi,JARKANI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Badasahi,KHANUA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Badasahi,NAUPAL,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Badasahi,PURNACHANDRAPUR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Badasahi,SANKERKO,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Badasahi,TANGASOLE,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
33,33 Baripada (ST),Badasahi,UTHANINUAGAON,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Suliapada,ANLAKUDA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),AC consists of three entire blocks of Suliapada Rasagobindapur and Morada. 
34,34 Morada,Suliapada,BADBHALIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Suliapada,BAGHADA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Suliapada,CHUHAT,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Suliapada,DEULI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Suliapada,DHATIKA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Suliapada,FANIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Suliapada,Jhaliamara,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Suliapada,KANIMOHULI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Suliapada,KANTISAHI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Suliapada,KOSTHA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Suliapada,KUJIDIHI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Suliapada,MOHABILLA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Suliapada,NUAGAON,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Suliapada,PAKTIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Suliapada,UFALGADIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Rasagobindapur,AMARDA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Rasagobindapur,BADAMPUR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Rasagobindapur,Bhaduasole,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Rasagobindapur,CHHATNA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Rasagobindapur,DEBASOLE,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Rasagobindapur,GADIGHATY,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Rasagobindapur,JHATIADA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Rasagobindapur,KAMARDIHA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Rasagobindapur,KHUNTAPAL,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Rasagobindapur,NAKICHUA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Rasagobindapur,NALAGAZA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Rasagobindapur,RAGHABPUR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Rasagobindapur,RASGOVINDPUR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Rasagobindapur,SANAMANIDA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Rasagobindapur,SARUMULA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Rasagobindapur,TOTAPADA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Morada,BARKAND,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Morada,BHALIADIHA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Morada,CHADHEIGAN,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Morada,CHIKITAMATIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Morada,CHITRADA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Morada,DANTIAMUHAN,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Morada,DHADASAHI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Morada,DURGAPUR,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Morada,GADIGAN,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Morada,GHOLAMUHAN,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Morada,GODIA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Morada,HALDIPAL,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Morada,JUALIBHANGA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Morada,KOHI,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Morada,MORADA,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
34,34 Morada,Morada,NUAGAON,,,,,,Mayurbhanj,5,Mayurbhanj (ST),
